"site_name","reporting_area","latitude","longitude","geo_cluster_6","geo_cluster_9","p450","sod","shell","ci1","ci2","ci3","ibr1bio","ibr1morph","ibr1overall","n_samples"
"Gig Harbor Boat Launch","11",47.33785,-122.58277,"1","5",1.39869198775,0.31907420375,7.94366978775,-1.94438619375,-4.1500540285,-0.9048138585,0.8588830955,-0.32740351325,0.265739791,4
"Hood Canal Holly","12",47.5706,-122.9717,"2","4",-0.625266484333333,-1.46897301466667,1.55921044583333,0.5309847065,-0.7500638775,-0.459587991666667,-1.0471197495,0.227171319166667,-0.409974215333333,6
"Jamestown","6",48.024789,-122.998135,"4","8",0.7967274785,-0.649191047833333,-0.728861687833333,0.258842255666667,-0.0134742013333334,-0.459587991833333,0.0737682155,-1.4260551945,-0.676143489666667,6
"Kingston Marina","10",47.794695,-122.499858,"5","1",2.85616750025,-1.10274405225,4.53923987825,-1.34434278275,-3.61108597275,-1.59419584625,0.87671172375,0.358751353,0.61773153875,4
"Kitsap St Boat Launch","10",47.54167,-122.64034,"5","1",0.5065199505,-0.24745351225,5.00977084125,-0.34068960925,0.37727763875,-0.99098660725,0.12953321925,0.389543244,0.2595382315,4
"Kopachuck State Park","13",47.30973,-122.68868,"2","5",4.2553581915,-1.05516457625,3.79192599575,-2.08403824075,-1.29352333325,-0.56012286475,1.60009680775,0.776778327,1.1884375675,4
"Lions Park","10",47.5833538,-122.6414587,"5","1",3.678205884,-0.290908763,3.183003573,-3.55729060575,-1.38784274325,-0.6462956135,1.69364856075,-1.55379843425,0.0699250635,4
"Locust Beach","7",48.77636877,-122.5378679,"6","2",0.0702699295,-0.8641090055,1.799088976,-0.4788070185,1.46868795175,-1.80962771725,-0.39691953825,-0.89874485225,-0.647832195,4
"Madrona Pont","10",47.57995505,-122.6786,"5","1",4.25880451825,-1.08272647125,4.4008484185,-0.86860504025,-2.344511042,-2.0681459625,1.5880390235,-0.60293491125,0.49255205625,4
"Manchester, Stormwater Outfall","10",47.55622,-122.54281,"5","1",4.8876091565,-1.23195301,0,0.448114261,1.45521375025,0.775554736,1.82782807325,-0.44986949375,0.68897928975,4
"Maple Hollow Park","13",47.30008,-122.74566,"2","5",9.56509531425,-1.06914670525,3.736569412,1.8200805255,0.35032923625,-0.56012286475,4.247974304,-0.335951297,1.95601150325,4
"Maristone Island","9",48.018127,-122.699524,"4","9",2.180726701,-0.921546385666667,2.057419701,0.130955765833333,1.17225552116667,-0.315966744166667,0.629590157833333,-0.400601314333333,0.1144944215,6
"Meyer's Point, Henderson Inlet","13",47.11795,-122.83359,"2","7",-0.03436370825,0.351229748,4.04103062325,1.50241048425,-0.067371007,-0.21543187125,0.15843301975,-0.7671063555,-0.30433666775,4
"Miller Creek","11",47.4436,-122.360316,"1","3",12.26117259525,-1.15044088425,4.7606662135,0.474203105,-0.44464864575,-0.3016046195,5.5553658555,0.549283796,3.05232482575,4
"Minter Bay","13",47.3539722,-122.69175,"2","5",5.170821767,-1.017074171,6.89189469375,2.159235497,-2.8700048965,-1.12024572975,2.076873798,0.65399369275,1.3654337455,4
"Mukilteo","8.2",47.94968,-122.30158,"3","6",5.786854723,-0.66879508825,4.09638720725,-0.51870760325,-0.2560098265,-1.163332104,2.5590298175,-1.76330959675,0.3978601105,4
"N Avenue Park","7",48.52108,-122.61531,"6","2",4.03119332375,-1.49499810525,4.7883445055,1.96894039975,-0.55244225725,-0.0861727485,1.26809760925,-0.159855435,0.554121087,4
"North Camano","8.1",48.255358,-122.507014,"3","9",9.1298377435,-1.58816200525,3.57049966,-0.61232051425,-0.107793611,-0.904813859,3.77083787025,-0.03836375025,1.86623705925,4
"Oak Bay County Park","9",48.02218,-122.728709,"4","9",0.04001928825,-0.10106028275,3.70889112,0.816427352,-1.03751350725,-0.25851824525,-0.03052049725,-0.74435303775,-0.38743676725,4
"Penn Cove Reference","8.1",48.21423,-122.718972,"4","9",-2.50000020685093e-10,5.55111512312578e-17,5.55111512312578e-17,-2.08166817117217e-17,0,-2.50000020685093e-10,0,2.49999992929517e-10,-2.77555756156289e-17,4
"Penrose Point State Park","13",47.2619,-122.7376,"2","5",4.750101165,-1.09576975275,5.56333667975,-4.369114044,-1.4686879515,1.24950485125,1.827165706,0.6207175805,1.22394164325,4
"Point Defiance Ferry","11",47.3062,-122.5145,"1","3",-0.157244858,-0.8233697075,5.14816230075,2.07329577575,0.5659164585,-0.4739501165,-0.490307283,-0.80479643375,-0.64755185825,4
"Port Angeles Yacht Club","6",48.12823,-123.45715,"4","8",3.04301465433333,-0.616253129833333,4.30858744533333,0.483922478,-0.812943484,0.287242494666667,1.21338076216667,-0.131571146666667,0.540904807666667,6
"Purdy, Burley Lagoon","13",47.386977,-122.6367089,"1","5",1.483430408,-0.341036541,6.83653810825,-0.331481782,-0.5659164585,-0.775554736,0.57119693375,1.19998840275,0.88559266825,4
"Purdy, Dexters","13",47.38566,-122.627255,"1","5",2.06147560725,-1.452817005,5.25887546875,0.20410683775,-1.33394593775,-1.4649367235,0.304329301,-0.27015939325,0.017084954,4
"Raft Island Park","13",47.32598,-122.66724,"2","5",1.707190051,-1.18226112575,1.051775094,1.29063045725,1.1183587155,-0.86172748425,0.26246446225,-1.62292908625,-0.68023231175,4
"Reach Island","13",47.346537,-122.82236,"2","5",3.090689143,-1.07420977875,3.625856244,-0.70286414875,-2.00765600725,-0.603209239,1.008239682,-0.5797586875,0.2142404975,4
"Rich Passage","10",47.578117,-122.524833,"5","1",2.49605562425,-1.37786005025,4.511561586,0.74429937175,0.4581228475,-0.68938198775,0.5590977865,-1.321253522,-0.3810778675,4
"Rocky Point","10",47.60255,-122.66992,"5","1",6.46827531225,-0.361791788,1.82676726825,0.25321525,0.5659164585,0.6893819875,3.05324176275,-1.31680207375,0.86821984425,4
"Salmon Bay, Commodore Park","10",47.6663,-122.4018,"5","1",1.9406363495,-1.1800984225,2.241941647,0.589300946,0.78150368075,-0.04308637425,0.38026896375,-0.130838377,0.1247152935,4
"Salmon Beach","11",47.29464,-122.53053,"1","3",-0.1934626,-0.70995351475,5.70172813975,0.0429698605,-1.06446191,-0.603209239,-0.4517080575,-1.10241646275,-0.77706226025,4
"Seattle Aquarium, Pier 59","10",47.607,-122.342,"5","1",0.672362831,0.40564940225,5.231197177,1.78478385425,0.0134742015,-1.16333210425,0.53900611675,-0.314979419,0.112013349,4
"Shilshole Bay","10",47.671678,-122.406663,"5","1",0.377906185,-0.36028292525,-1.107131678,-0.704398787,1.3339459375,-0.77555473625,0.00881163000000001,-3.01634282475,-1.503765597,4
"Silverdale, Dyes Inlet","10",47.6427936,-122.6967068,"5","1",-0.78460316525,2.100471248,1.79908897625,0.6077166005,-0.30990663175,0.21543187125,0.65793404125,-0.6420507935,0.00794162374999999,4
"Skiff Point","10",47.66142,-122.49884,"5","1",2.99262672725,-1.04802262525,-1.05177509375,0.09668218625,0.1886388195,-0.775554736,0.97230205125,-1.147711279,-0.087704614,4
"Smith Cove, Terminal 91","10",47.63237,-122.37869,"5","1",1.50255977475,-0.670270421,2.96157723775,1.40879757375,-0.148216215,0.90481385875,0.416144677,-1.059905469,-0.32188039625,4
"South of Skunk Island","9",48.02667,-122.75076,"4","9",1.934554371,-0.332855151,3.9856740395,0.294650473,0.377277639,0.17234549675,0.80084961,-1.18777143575,-0.19346091325,4
"Squaxin Island","13",47.17650485,-122.9046464,"2","7",3.5094865595,-0.807258405,5.535658388,0.831773731,-1.1857297225,-0.43086374225,1.35111407725,-0.24774666,0.55168370875,4
"Suquamish, Stormwater Outfall","10",47.7296079,-122.5506191,"5","1",1.157253364,-0.90850310425,9.18919292375,-3.1736311355,-2.08850121575,0.34469099375,0.12437513,1.4198608855,0.77211800775,4
"Thea Foss Waterway","11",47.259189,-122.434689,"1","3",6.9185172856,-0.1080479942,6.4379707052,-2.5217169644,-4.794120854,-2.1887878104,3.405234646,-0.3035900544,1.5508222956,5
"Three Tree Point","11",47.44896,-122.372267,"1","3",5.0255153905,-0.62731812425,4.56691817,0.8501893855,1.22615232675,0.5170364905,2.19909863325,0.97519098575,1.5871448095,4
"Tulalip Bay","8.2",48.0617,-122.2939,"3","6",2.83640112583333,-0.85021629,5.9323805725,0.366266907333333,0.300923831,-0.488312241166667,0.993092418,-0.413099262333333,0.289996577833333,6
"Tulalip Reservation","8.2",48.0697859,-122.2997764,"3","6",2.52860877175,-1.15892404675,3.9303174555,-0.6184590655,-0.7815036805,-1.4649367235,0.6848423625,-0.4166560335,0.1340931645,4
"West Bay Park","13",47.052362,-122.910912,"2","7",5.6020086165,-1.068274918,3.68121282825,-0.2854426455,-0.9162456945,-0.21543187125,2.26686684925,-0.04428070525,1.111293072,4
"Williams Olson Park","10",47.66586,-122.56698,"5","1",0.69941897525,-0.8228835185,1.43927118075,0.320739317,-0.8758230905,-1.0771593555,-0.061732272,-1.6266570065,-0.844194639,4
