site_name,reporting_area,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,ibr1bio,ibr1morph,ibr1overall
Discovery Bay,6,48.064957,-122.857524,1.524201807,-0.437301993,4.151743791,0.293115835,-1.104884514,0.258518245,0.543449907,0.508068461,0.525759184
Donkey Creek Delta,11,47.33775,-122.59014,1.38683775,-1.353600889,2.823185778,0.670636754,0.431174445,-0.947900233,0.016618431,-0.417600907,-0.200491238
Eagle Harbor Dr,10,47.61889,-122.5275,-0.400412276,0.002246529,6.338328855,6.691021156,-0.107793611,0.086172749,-0.199082874,-1.371835913,-0.785459394
"Eastsound, Fishing Bay",7,48.69368,-122.90985,0.655722253,-0.65197965,-3.127646989,-0.664498202,-1.024039306,-1.378763975,0.001871301,-2.883654137,-1.440891418
Edmonds Ferry,9,47.81407,-122.3825,5.382067413,-1.661308325,1.85444556,3.030909813,-0.040422605,-0.086172749,1.860379545,-1.04223649,0.409071527
Edmonds Marina,9,47.8111,-122.388,13.10968643,0.169093233,3.515143077,0.469599192,-0.377277639,-1.034072981,6.639389832,-1.376167611,2.631611111
Eld Inlet,13,47.074603,-123.003527,6.767895819,-0.366385437,2.241941647,0.199502924,0.633287466,0.81864111,3.20075519,0.777062212,1.988908701
Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,0.130384096,-0.116283032,4.821558456,0.982168243,-0.48237641,0.120641848,0.007050532,0.135552869,0.071301701
"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,6.218839183,-0.95132128,5.535658388,0.475737743,-2.721788681,-1.895800466,2.633758952,-0.087796628,1.272981162
Everett Harbor,8.2,47.9726,-122.22977,3.174299962,-1.378128293,3.764247704,0.501826587,-2.452304653,-1.421850349,0.898085834,-2.033046759,-0.567480462
"Fidalgo Bay Aq Reserve, Weaverling Spit",7,48.482448,-122.583879,0.802314583,-0.09599721,3.459786493,2.2727987,0.444648646,-0.387777368,0.353158687,-1.171059341,-0.408950327
Filucy Bay,13,47.19483,-122.748665,7.73685765,-1.017174762,5.535658388,2.073295776,-2.762211285,-2.025059589,3.359841443,-0.452550364,1.45364554
Friday Harbor,7,48.5069444,-123.0194444,2.841149489,-0.789088343,3.183003573,-0.505816645,-1.678885493,-2.016442314,1.026030573,-1.810192191,-0.392080809
Gig Harbor Boat Launch,11,47.33785,-122.58277,1.398691988,0.319074204,7.943669788,-1.944386194,-4.150054029,-0.904813859,0.858883096,-0.327403513,0.265739791
Hood Canal Holly,12,47.5706,-122.9717,-0.625266484,-1.468973015,1.559210446,0.530984707,-0.750063878,-0.459587992,-1.04711975,0.227171319,-0.409974215
Jamestown,6,48.024789,-122.998135,0.796727479,-0.649191048,-0.728861688,0.258842256,-0.013474201,-0.459587992,0.073768216,-1.426055195,-0.67614349
Kingston Marina,10,47.794695,-122.499858,2.8561675,-1.102744052,4.539239878,-1.344342783,-3.611085973,-1.594195846,0.876711724,0.358751353,0.617731539
Kitsap St Boat Launch,10,47.54167,-122.64034,0.506519951,-0.247453512,5.009770841,-0.340689609,0.377277639,-0.990986607,0.129533219,0.389543244,0.259538232
Kopachuck State Park,13,47.30973,-122.68868,4.255358192,-1.055164576,3.791925996,-2.084038241,-1.293523333,-0.560122865,1.600096808,0.776778327,1.188437568
Lions Park,10,47.5833538,-122.6414587,3.678205884,-0.290908763,3.183003573,-3.557290606,-1.387842743,-0.646295614,1.693648561,-1.553798434,0.069925064
Locust Beach,7,48.77636877,-122.5378679,0.07026993,-0.864109006,1.799088976,-0.478807019,1.468687952,-1.809627717,-0.396919538,-0.898744852,-0.647832195
Madrona Pont,10,47.57995505,-122.6786,4.258804518,-1.082726471,4.400848419,-0.86860504,-2.344511042,-2.068145963,1.588039024,-0.602934911,0.492552056
"Manchester, Stormwater Outfall",10,47.55622,-122.54281,4.887609157,-1.23195301,0,0.448114261,1.45521375,0.775554736,1.827828073,-0.449869494,0.68897929
Maple Hollow Park,13,47.30008,-122.74566,9.565095314,-1.069146705,3.736569412,1.820080526,0.350329236,-0.560122865,4.247974304,-0.335951297,1.956011503
Maristone Island,9,48.018127,-122.699524,2.180726701,-0.921546386,2.057419701,0.130955766,1.172255521,-0.315966744,0.629590158,-0.400601314,0.114494422
"Meyer's Point, Henderson Inlet",13,47.11795,-122.83359,-0.034363708,0.351229748,4.041030623,1.502410484,-0.067371007,-0.215431871,0.15843302,-0.767106356,-0.304336668
Miller Creek,11,47.4436,-122.360316,12.2611726,-1.150440884,4.760666214,0.474203105,-0.444648646,-0.30160462,5.555365856,0.549283796,3.052324826
Minter Bay,13,47.3539722,-122.69175,5.170821767,-1.017074171,6.891894694,2.159235497,-2.870004897,-1.12024573,2.076873798,0.653993693,1.365433746
Mukilteo,8.2,47.94968,-122.30158,5.786854723,-0.668795088,4.096387207,-0.518707603,-0.256009827,-1.163332104,2.559029818,-1.763309597,0.397860111
N Avenue Park,7,48.52108,-122.61531,4.031193324,-1.494998105,4.788344506,1.9689404,-0.552442257,-0.086172749,1.268097609,-0.159855435,0.554121087
North Camano,8.1,48.255358,-122.507014,9.129837744,-1.588162005,3.57049966,-0.612320514,-0.107793611,-0.904813859,3.77083787,-0.03836375,1.866237059
Oak Bay County Park,9,48.02218,-122.728709,0.040019288,-0.101060283,3.70889112,0.816427352,-1.037513507,-0.258518245,-0.030520497,-0.744353038,-0.387436767
Penn Cove Reference,8.1,48.21423,-122.718972,-2.50E-10,5.55E-17,5.55E-17,-2.08E-17,0,-2.50E-10,0,2.50E-10,-2.78E-17
Penrose Point State Park,13,47.2619,-122.7376,4.750101165,-1.095769753,5.56333668,-4.369114044,-1.468687952,1.249504851,1.827165706,0.620717581,1.223941643
Point Defiance Ferry,11,47.3062,-122.5145,-0.157244858,-0.823369708,5.148162301,2.073295776,0.565916459,-0.473950117,-0.490307283,-0.804796434,-0.647551858
Port Angeles Yacht Club,6,48.12823,-123.45715,3.043014654,-0.61625313,4.308587445,0.483922478,-0.812943484,0.287242495,1.213380762,-0.131571147,0.540904808
"Purdy, Burley Lagoon",13,47.386977,-122.6367089,1.483430408,-0.341036541,6.836538108,-0.331481782,-0.565916459,-0.775554736,0.571196934,1.199988403,0.885592668
"Purdy, Dexters",13,47.38566,-122.627255,2.061475607,-1.452817005,5.258875469,0.204106838,-1.333945938,-1.464936724,0.304329301,-0.270159393,0.017084954
Raft Island Park,13,47.32598,-122.66724,1.707190051,-1.182261126,1.051775094,1.290630457,1.118358716,-0.861727484,0.262464462,-1.622929086,-0.680232312
Reach Island,13,47.346537,-122.82236,3.090689143,-1.074209779,3.625856244,-0.702864149,-2.007656007,-0.603209239,1.008239682,-0.579758688,0.214240498
Rich Passage,10,47.578117,-122.524833,2.496055624,-1.37786005,4.511561586,0.744299372,0.458122848,-0.689381988,0.559097787,-1.321253522,-0.381077868
Rocky Point,10,47.60255,-122.66992,6.468275312,-0.361791788,1.826767268,0.25321525,0.565916459,0.689381988,3.053241763,-1.316802074,0.868219844
"Salmon Bay, Commodore Park",10,47.6663,-122.4018,1.94063635,-1.180098423,2.241941647,0.589300946,0.781503681,-0.043086374,0.380268964,-0.130838377,0.124715294
Salmon Beach,11,47.29464,-122.53053,-0.1934626,-0.709953515,5.70172814,0.042969861,-1.06446191,-0.603209239,-0.451708058,-1.102416463,-0.77706226
"Seattle Aquarium, Pier 59",10,47.607,-122.342,0.672362831,0.405649402,5.231197177,1.784783854,0.013474202,-1.163332104,0.539006117,-0.314979419,0.112013349
Shilshole Bay,10,47.671678,-122.406663,0.377906185,-0.360282925,-1.107131678,-0.704398787,1.333945938,-0.775554736,0.00881163,-3.016342825,-1.503765597
"Silverdale, Dyes Inlet",10,47.6427936,-122.6967068,-0.784603165,2.100471248,1.799088976,0.607716601,-0.309906632,0.215431871,0.657934041,-0.642050794,0.007941624
Skiff Point,10,47.66142,-122.49884,2.992626727,-1.048022625,-1.051775094,0.096682186,0.18863882,-0.775554736,0.972302051,-1.147711279,-0.087704614
"Smith Cove, Terminal 91",10,47.63237,-122.37869,1.502559775,-0.670270421,2.961577238,1.408797574,-0.148216215,0.904813859,0.416144677,-1.059905469,-0.321880396
South of Skunk Island,9,48.02667,-122.75076,1.934554371,-0.332855151,3.98567404,0.294650473,0.377277639,0.172345497,0.80084961,-1.187771436,-0.193460913
Squaxin Island,13,47.17650485,-122.9046464,3.50948656,-0.807258405,5.535658388,0.831773731,-1.185729723,-0.430863742,1.351114077,-0.24774666,0.551683709
"Suquamish, Stormwater Outfall",10,47.7296079,-122.5506191,1.157253364,-0.908503104,9.189192924,-3.173631136,-2.088501216,0.344690994,0.12437513,1.419860886,0.772118008
Thea Foss Waterway,11,47.259189,-122.434689,6.918517286,-0.108047994,6.437970705,-2.521716964,-4.794120854,-2.18878781,3.405234646,-0.303590054,1.550822296
Three Tree Point,11,47.44896,-122.372267,5.025515391,-0.627318124,4.56691817,0.850189386,1.226152327,0.517036491,2.199098633,0.975190986,1.58714481
Tulalip Bay,8.2,48.0617,-122.2939,2.836401126,-0.85021629,5.932380573,0.366266907,0.300923831,-0.488312241,0.993092418,-0.413099262,0.289996578
Tulalip Reservation,8.2,48.0697859,-122.2997764,2.528608772,-1.158924047,3.930317456,-0.618459066,-0.781503681,-1.464936724,0.684842363,-0.416656034,0.134093165
West Bay Park,13,47.052362,-122.910912,5.602008617,-1.068274918,3.681212828,-0.285442646,-0.916245695,-0.215431871,2.266866849,-0.044280705,1.111293072
Williams Olson Park,10,47.66586,-122.56698,0.699418975,-0.822883519,1.439271181,0.320739317,-0.875823091,-1.077159356,-0.061732272,-1.626657007,-0.844194639
