"site_name","reporting_area","latitude","longitude","site_number","p450","sod","shell","ci1","ci2","ci3","weight_initial","weight_change","weight_final","length","height","width","ibr_bio","ibr_morph","ibr_combined"
"Eagle Harbor Dr",10,47.61889,-122.5275,31,-0.3700212615,-0.0805214775,0.51521749,0.419440053,0.000510956,0.010558475,-0.2914714245,-0.271481139,-0.30009257,-0.1061202965,-0.3398412525,-0.188902794,0.71661191925,10.1497564385,10.86636835925
"Eastsound, Fishing Bay",7,48.69368,-122.90985,60,-0.1768661715,-0.4766869685,-0.4016960765,-0.039170688,-0.0464149835,-0.2167961295,-0.476933863,-0.540525878,-0.33606242,-0.1136740285,-0.157468306,-0.20411775,2.2542324865,9.886225444,12.14045793
"Edmonds Ferry",9,47.81407,-122.3825,69,1.4901818685,-12.2984063,0.284576283,0.173924752,-0.0087688135,0.0369457445,-0.2619002165,-0.2581170745,-0.214167147,-0.056058324,-0.1224165305,-0.2074865595,4.1532869675,7.29108461225,11.444371581
"Edmonds Marina",9,47.8111,-122.388,68,1.379405923,-0.010469512,0.3231143945,0.0240066975,-0.001538328,-0.1596017285,-0.2990364305,-0.344383059,-0.2205400115,-0.041883416,-0.1929306845,-0.0636919855,1.93516679925,7.240728049,9.1758948495
"Eld Inlet",13,47.074603,-123.003527,72,2.000121848,-0.350383882,0.1763832845,0.011596638,0.0349348545,0.119878618,0.1083323045,0.1561558565,-0.00703945350000001,-0.006564021,0.0647195365,0.067501808,1.91135136325,7.217860473,9.1292118365
"Elliot Bay Myrtle Edwards",10,47.61862,-122.36108,19,0.044577902,0.089072567,0.553892494,0.053360815,-0.003591987,-0.038135129,-0.011386336,-0.073074582,0.094240486,-0.054014812,-0.010458706,-0.096485027,0.445345215,7.1383049146,7.5836501298
"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,14,1.948494321,-2.147021337,0.5027638635,0.032421416,-0.099169647,-0.322269077,-0.163636004,-0.2934865785,0.103599569,0.01498958,-0.196860292,-0.14276028,2.3636558545,7.50718845975,9.870844312
"Everett Harbor",8.2,47.9726,-122.22977,66,1.3794826255,-7.018622154,0.3392045975,0.0632054275,-0.076298823,-0.2912278225,-0.4688361335,-0.553700446,-0.2093527425,-0.0985392575,-0.2555841775,-0.218641412,2.96829756325,10.0700951825,13.038392745
"Fidalgo Bay Aq Reserve, Weaverling Spit",7,48.482448,-122.583879,63,0.549379831,-0.048655477,0.3020881155,0.155220279,0.0124754845,-0.051601293,-0.224109676,-0.205008203,-0.297927609,-0.061229053,-0.090905456,-0.173250763,0.7399928025,7.0112262455,7.75121904825
"Filucy Bay",13,47.19483,-122.748665,59,2.3423191,-1.762654377,0.4089646175,0.162947126,-0.096063005,-0.261780978,-0.1996829765,-0.269880977,-0.0501977415,-0.0205961585,-0.132263986,-0.273269884,2.53926869775,9.3834630755,11.92273177275
"Friday Harbor",7,48.5069444,-123.0194444,61,1.367021751,-2.454799252,0.277831408,0.004307841,-0.011835981,-0.230780207,-0.470660444,-0.482252872,-0.259914771,-0.075235103,-0.165830795,-0.198690993,2.6183692796,9.3760233612,11.994392642
"Gig Harbor Boat Launch",11,47.33785,-122.58277,58,0.752565451,-0.0609272085,0.655765828,-0.144550396,-0.1428724495,-0.134457668,-0.268008459,-0.44963084,0.1014629795,-0.104764435,-0.120031098,-0.080998156,0.99102390075,8.28211231975,9.273136218
"Hood Canal Holly",12,47.5706,-122.9717,29,-0.942913494,-12.2984063,0.181437333,0.0389265185,-0.0274310585,-0.064130337,0.0300750425,0.0012587225,0.0724284975,0.0213945745,-0.0292124785,-0.0367859605,3.76750575216667,2.8649443035,6.63245005566667
"Jamestown",6,48.024789,-122.998135,2,0.3522633165,-0.7518179355,-0.027481771,0.0495399595,0.003391374,-0.0267247755,-0.2627007695,-0.24686995,-0.201446934,-0.073045685,-0.1471709415,-0.079462772,0.666163586666667,5.8124808935,6.478644481
"Kingston Marina",10,47.794695,-122.499858,36,1.357068655,-1.5731534515,0.452962858,-0.0866091495,-0.1479970045,-0.263350832,-0.0182832055,-0.1673284225,0.1908519405,0.0076794015,-0.049303145,-0.111651136,1.51585868425,6.028128554,7.54398723725
"Kitsap St Boat Launch",10,47.54167,-122.64034,25,-0.2616197595,-0.3197695025,0.4525437595,-0.1569402335,0.001431674,-0.159057521,-0.173540308,-0.1482940125,-0.181895043,0.044328453,0.0028335225,-0.0022824175,1.200232913,7.06043127725,8.26066419075
"Kopachuck State Park",13,47.30973,-122.68868,52,1.83040495,-1.502652978,0.3634427075,0.045558878,-0.0516530075,-0.064368839,-0.150303663,-0.2120166045,-0.013788257,-0.0646956595,-0.1059299935,-0.1513804975,1.82609820775,9.9821987725,11.80829698175
"Lions Park",10,47.5833538,-122.6414587,37,1.6289174715,-0.2712824475,0.3398787825,-0.2678316275,-0.072794142,-0.0945714585,-0.5472174805,-0.6256974195,-0.4059163115,-0.148895524,0.019348281,-0.1212642105,1.44062893875,11.16468561125,12.60531455275
"Locust Beach",7,48.77636877,-122.5378679,76,-0.107441528,-1.260052457,0.2105269635,-0.0169357365,0.050843581,-0.290901199,-0.1220987495,-0.064763311,-0.280165673,0.0678270715,-0.1120365925,-0.031244536,0.44538891,6.33250912875,6.77789803725
"Madrona Pont",10,47.57995505,-122.6786,28,1.4766794985,-1.8185234845,0.310431938,-0.058103234,-0.08388632,-0.3539932635,-0.3596515635,-0.4432877795,-0.1454186585,-0.0444604475,-0.124363644,-0.201580589,1.7996503665,9.44906464725,11.24871501675
"Manchester, Stormwater Outfall",10,47.55622,-122.54281,33,1.6458953615,-1.565709587,-0.0030269705,0.045230207,0.0773250645,0.119878618,-0.0590626275,-0.035543078,-0.1673065905,-0.0298909125,-0.0098237125,-0.043048234,2.45829881575,3.2353994695,5.69369828525
"Maple Hollow Park",13,47.30008,-122.74566,51,1.7130770745,-7.033886271,0.338959283,0.1186763005,0.0188262885,-0.0650848165,0.00271404,0.021748357,-0.04374225,0.010019859,-0.07756076,-0.0747422515,3.57155719175,5.6003812715,9.17193846225
"Maristone Island",9,48.018127,-122.699524,11,0.521497984,-1.293643197,0.176037398,-0.000899541,0.0679164855,-0.077366443,-0.1358423325,-0.10455038,-0.2704252795,-0.012531979,-0.072104545,-0.0229240165,1.21861374433333,5.970245715,7.18885945983333
"Meyer's Point, Henderson Inlet",13,47.11795,-122.83359,71,0.106472379,-0.0877695685,0.448049368,0.094752381,-0.001824466,-0.0390558025,-0.1663961305,-0.177123683,-0.1607612295,-0.072370381,-0.1107353885,-0.1418752105,0.7018530015,6.20403436475,6.905887366
"Miller Creek",11,47.4436,-122.360316,20,2.462753412,-2.190234761,0.4296512115,0.0531463125,-0.0036154075,-0.0778523625,-0.001469755,-0.005333624,0.0074710415,-0.0040679055,-0.0256982985,-0.038355357,3.40797371725,4.687804695,8.09577841225
"Minter Bay",13,47.3539722,-122.69175,55,1.76078816,-1.417679508,0.546247974,0.162442906,-0.1081492135,-0.18791527,-0.0959279135,-0.236816912,0.1980669725,-0.0162566735,-0.0856061015,-0.2611493225,1.99672763175,7.7302908765,9.727018507
"Mukilteo",8.2,47.94968,-122.30158,65,1.921103143,-0.851281617,0.4311372175,-0.0473602085,-0.0130659155,-0.1741749015,-0.430650536,-0.4031550615,-0.4764456995,-0.101100176,-0.1727473455,-0.1306553935,2.1538166785,9.27331967225,11.42713634925
"N Avenue Park",7,48.52108,-122.61531,62,1.5441597565,-8.242890642,0.4679161525,0.0937405315,-0.0159772,-0.0390558025,-0.082501336,-0.110565912,-0.0224557595,-0.0530893935,-0.01114307,-0.1416651205,3.2923982835,6.753936708,10.04633499225
"North Camano",8.1,48.255358,-122.507014,7,1.558464484,-8.3895946705,0.297327583,-0.035186117,-0.0211675095,-0.173064709,-0.0417996275,-0.0279314915,-0.0790440745,0.0157543245,-0.0179504865,-0.0463829665,3.7445112135,4.89189988825,8.63641110175
"Oak Bay County Park",9,48.02218,-122.728709,10,0.0206088495,-0.387445092,0.3535324555,0.139127633,-0.032020772,-0.001364896,-0.2061951165,-0.222296707,-0.104333113,-0.106996257,-0.1343694915,-0.126053071,0.5527830865,6.93909711575,7.4918802025
"Penn Cove Reference",8.1,48.21423,-122.718972,3,0.032141855,0.0126166075,0.0259467045,-0.011717078,-0.005767486,0.0492767715,-0.0425105745,-0.032010629,0.0132888515,0.0088162215,0.0105593205,-0.0531113095,0.77317436825,2.49602517275,3.26919954075
"Penrose Point State Park",13,47.2619,-122.7376,50,1.853365717,-1.7356998155,0.457010322,-0.6507118775,-0.0563621735,-0.261780978,-0.207214185,-0.211969802,-0.19138053,-0.0650522435,0.1581620595,0.1199255545,1.86822779325,8.448289227,10.31651702
"Point Defiance Ferry",11,47.3062,-122.5145,43,-0.150687572,-1.14727132,0.451521185,0.135492743,0.025900526,-0.0650848165,-0.170731981,-0.1362287585,-0.256408377,-0.049526275,-0.169541227,-0.126779861,0.48051376975,6.80236720175,7.28288097125
"Port Angeles Yacht Club",6,48.12823,-123.45715,1,1.1657378255,-1.848650124,0.494801781,0.062874709,-0.0412532755,0.0721404085,-0.1584923585,-0.1757261255,-0.1099120825,-0.0836786265,0.0288433975,-0.123782896,1.94066444033333,8.25046193316667,10.1911263743333
"Purdy, Burley Lagoon",13,47.386977,-122.6367089,47,0.7320569925,-0.2319937875,0.535258184,-0.061297964,-0.012879067,-0.091592731,0.0650907115,0.062350615,0.070852277,0.0317447545,-0.0489175265,0.0350367715,1.0354784665,9.30078060325,10.33625906925
"Purdy, Dexters",13,47.38566,-122.627255,57,0.9672044735,-12.2984063,0.4733333115,0.0199373625,-0.055907183,-0.24626753,-0.155702417,-0.211704577,-0.030618353,0.028435408,-0.125395015,-0.138212686,3.36120886875,6.815316728,10.1765255985
"Raft Island Park",13,47.32598,-122.66724,53,0.9043456725,-2.7508252465,0.019910288,0.09303709,0.0577627175,-0.104590335,-0.207977711,-0.131832546,-0.405383913,-0.0112806435,-0.139624652,-0.1159634475,2.000130247,6.36334483925,8.36347508775
"Reach Island",13,47.346537,-122.82236,39,1.5432819105,-2.911215573,0.376777986,-0.0458296895,-0.0894409735,-0.0650848165,-0.3050838365,-0.3953020175,-0.1113935235,-0.091523341,-0.0883124585,-0.1446736795,2.07606355525,7.75432328775,9.83038684325
"Rich Passage",10,47.578117,-122.524833,32,0.5936409555,-2.4571052485,0.3943727,0.0608203905,0.0248951635,-0.1040860725,-0.38462906,-0.35434675,-0.416900006,-0.0853101575,-0.150561035,-0.1465713875,1.5810915525,8.294615772,9.8757073255
"Rocky Point",10,47.60255,-122.66992,27,1.061134508,-0.3000163655,0.2225921,0.010526859,0.0096958545,0.085053402,-0.3074458165,-0.2759713465,-0.3882274415,-0.129461928,-0.0555678335,-0.094396088,1.5686306555,6.470858437,8.039489093
"Salmon Bay, Commodore Park",10,47.6663,-122.4018,16,1.108706347,-1.6762637795,0.201158203,0.0464509745,0.0326207365,-0.0258196965,-0.0686410635,-0.056359056,-0.151632122,0.0080702085,-0.033705381,-0.0361669625,1.36865744175,2.98674532425,4.35540276575
"Salmon Beach",11,47.29464,-122.53053,40,-0.34480405,-0.6378087635,0.5125703405,0.013216326,-0.0389605665,-0.077366443,-0.443019328,-0.477114215,-0.365059428,-0.1086106965,-0.135056496,-0.2666553755,1.45375567775,9.9958967905,11.44965246875
"Seattle Aquarium, Pier 59",10,47.607,-122.342,17,0.1824129615,-1.6934279645,0.4935404455,0.1161379385,-0.0066871545,-0.187349285,-0.0214510625,-0.0395155955,-0.05774794,0.0447599205,-0.164299271,-0.0744853265,1.0114920165,6.282506488,7.293998504
"Shilshole Bay",10,47.671678,-122.406663,18,0.167253954,-1.501835824,-0.0954184505,-0.080093058,0.0693599625,-0.1453171525,-0.533186892,-0.4648250095,-0.657125936,-0.1083585685,-0.1759776925,-0.184303429,0.873434193,10.601856578,11.47529077225
"Silverdale, Dyes Inlet",10,47.6427936,-122.6967068,35,-0.702328254,0.159357551,0.111540029,0.0179964925,-0.0108032715,0.048053111,-0.144351865,-0.1483908345,-0.134875834,-0.070232502,-0.0908933405,-0.040238131,0.74667646525,5.34196572775,6.088642193
"Skiff Point",10,47.66142,-122.49884,24,0.726304224,-1.6549299075,-0.1097859195,0.0132205065,0.0167914565,-0.117569596,-0.150239448,-0.133557854,-0.216740614,-0.020338192,-0.0443372615,-0.0840314435,1.35719385425,4.8013431395,6.1585369935
"Smith Cove, Terminal 91",10,47.63237,-122.37869,15,0.4170924735,-0.943313674,0.312725573,0.037620202,-0.0119307445,0.094684353,-0.29988065,-0.3366020315,-0.2162608545,-0.1117657345,-0.1151474505,-0.052992562,0.95056305525,7.5232461945,8.47380924875
"South of Skunk Island",9,48.02667,-122.75076,9,0.8063073865,-0.561330752,0.3952242495,0.017560589,0.01780959,0.024821971,-0.299043995,-0.28978443,-0.3534334375,-0.1037795265,-0.11036076,-0.1335479905,1.338942778,7.61289818325,8.95184096075
"Squaxin Island",13,47.17650485,-122.9046464,38,1.410100551,-1.51404108,0.548545261,0.0817668565,-0.0655961415,-0.064130337,-0.126009957,-0.194795712,0.0248895295,-0.0600818385,-0.083071271,-0.1189574775,2.27198114925,6.38491387875,8.656895027
"Suquamish Stormwater Outfall",10,47.7296079,-122.5506191,34,0.497749394,-1.74727623,0.7470396925,-0.1889849045,-0.0958799925,-0.0134886695,-0.088362244,-0.184259545,0.117006534,-0.064855982,0.0797436525,0.0591250315,1.20192102175,8.83045131475,10.03237233525
"Thea Foss Waterway",11,47.259189,-122.434689,46,0.424032661,0.089826298,0.553892494,0.034529141,-0.036854441,-0.173064709,-0.244454449,-0.272828241,-0.111710387,-0.020748698,-0.0882318,-0.065054922,1.9377607832,8.0247791894,9.9625399716
"Three Tree Point",11,47.44896,-122.372267,22,1.981951343,-0.4683040085,0.367817032,0.047095393,0.039929655,0.0612001425,0.0957488045,0.129398453,0.012213994,0.002891401,0.035473518,-0.0140114795,1.69171429725,4.25040197,5.942116267
"Tulalip Bay",8.2,48.0617,-122.2939,67,1.244971769,-2.2858684275,0.5126908765,0.05100486,0.018816356,-0.0778523625,-0.140451227,-0.0980669365,-0.246629368,-0.030825273,-0.0874998865,-0.0984970825,1.8586285855,7.36982079666667,9.22844938133333
"Tulalip Reservation",8.2,48.0697859,-122.2997764,70,0.860161596,-2.12486572,0.444454781,-0.044772569,-0.0232523305,-0.276354151,-0.203322066,-0.2408379745,-0.1197709835,-0.0072008685,-0.106589115,-0.0724562345,2.02410567375,5.298701596,7.322807271
"West Bay Park",13,47.052362,-122.910912,73,1.508031413,-1.6928343535,0.3863186115,-0.021469215,-0.0412887475,-5.45464999999997e-05,-0.0735259275,-0.115033525,-0.016807584,-0.032605619,0.016386585,-0.103725952,2.0331905255,5.346322443,7.3795129685
"Williams Olson Park",10,47.66586,-122.56698,26,0.17395171,-1.556273496,0.124289875,0.023102009,-0.0379727465,-0.187349285,-0.2762267135,-0.322538867,-0.203718199,-0.0580784775,-0.1976878255,-0.1159491735,1.7543054405,7.288328704,9.042634145
