"latitude","longitude","site_name","sample_id","site_number","reporting_area","p450","sod","shell","ci1","ci2","ci3","weight_initial_g","weight_final_g","weight_change_g","length_mm","width_mm","height_mm","p450_quantile","sod_quantile","shell_quantile","length_mm_quantile","height_mm_quantile","width_mm_quantile","ci1_quantile","ci2_quantile","ci3_quantile","weight_initial_g_quantile","weight_final_g_quantile","weight_change_g_quantile","log2_p450","log2_sod","log2_shell","log2_length_mm","log2_height_mm","log2_width_mm","log2_ci1","log2_ci2","log2_ci3","log2_weight_initial_g","log2_weight_final_g","log2_weight_change_g"
47.27568,-122.4173,"Blair Waterway","149","41","11",4234624,0.672,0.89,35.75,0.718,0.054,15.911,4.486,11.425,59.5,25.3,21.23,"in","in","in","in","in","in","in","in","in","in","in","in",0.886376541707538,-4.22801697053033,0.553892493891908,0.0293319211822367,0.00800694821662964,-0.129185259028282,0.0963683944722313,0.0289208268554595,-0.0906025487809066,-0.0219562392772743,-0.0919582222684666,0.00648616660010527
47.27568,-122.4173,"Blair Waterway","150","41","11",5143570,6.432,0.68,34.35,0.73,0.055,13.249,3.575,9.674,55.87,24.7,20.41,"in","in","in","in","in","in","in","in","in","in","in","in",1.16691270508056,-0.969282702130158,0.16562190417585,-0.0614839269464031,-0.048821240656029,-0.163811602137915,0.0387352516245799,0.0528334467997875,-0.0641303374197156,-0.286097277681021,-0.419444600801625,-0.233523555786827
47.27568,-122.4173,"Blair Waterway","151","41","11",4339810,9.59,1.075,32.71,0.665,0.059,16.19,5.416,10.774,56.61,26.94,21.6,"in","in","in","in","in","in","in","in","in","in","in","in",0.921774547818114,-0.393019293403593,0.82635191251497,-0.0425008235788302,0.0329338893620828,-0.0385727931476515,-0.0318430879981044,-0.0817086765790398,0.0371529984174661,0.00312223503720233,0.179839896220258,-0.078154028393594
47.27568,-122.4173,"Blair Waterway","152","41","11",3633030,9.377,0.71,33.81,0.736,0.067,15.566,4.108,11.458,55.46,31.63,19.32,"in","in","in","in","in","out","in","in","in","in","in","in",0.665315944949296,-0.425423676033721,0.227906182430192,-0.072110130860953,-0.128002328852975,0.192970911907439,0.0158751688124946,0.064642749089421,0.220599139513397,-0.0535824883674227,-0.218951661036544,0.0106472441995087
47.2632444,-122.385731,"Blair Waterway Two","141","42","11",7415687,26.424,0.745,32.36,0.659,0.051,9.829,3.349,6.48,50.13,22.49,17.76,"in","out","in","in","in","in","in","in","in","in","in","in",1.69472301822364,1.06922686097644,0.297327583387672,-0.217883513118087,-0.249465841338642,-0.299038982832138,-0.0473632396509051,-0.0947845519595401,-0.17306470897288,-0.716864200891021,-0.513657466648023,-0.811642280460702
47.2632444,-122.385731,"Blair Waterway Two","142","42","11",2336026,12.854,0.97,31.46,0.615,0.058,12.898,4.96,7.938,51.51,24.26,20.19,"in","in","in","in","in","in","in","in","in","in","in","in",0.0281989975132429,0.0295953637275321,0.678071905112638,-0.178705207177141,-0.0644565123572748,-0.189743093489444,-0.0880561766651959,-0.19447660674099,0.0124909441831971,-0.324833375945333,0.0529522779194988,-0.518860531232856
47.2632444,-122.385731,"Blair Waterway Two","143","42","11",3199451,2.637,0.9,33.47,0.665,0.053,13.316,4.46,8.856,55.25,25.53,18.76,"in","in","in","in","in","in","in","in","in","in","in","in",0.481967037501574,-2.25565253744453,0.570012159255185,-0.0775832827342754,-0.170437595173372,-0.116129106202836,0.00129370360564691,-0.0817086765790398,-0.117569596381176,-0.278819975012463,-0.100344132547072,-0.360980871451137
47.2632444,-122.385731,"Blair Waterway Two","144","42","11",4752301,1.269,0.815,30.92,0.65,0.046,11.972,4.192,7.78,55.21,22.75,20.03,"in","in","in","in","in","in","in","in","in","in","in","in",1.05276888206569,-3.31085803946798,0.426887217156588,-0.0786281461084925,-0.0759350018760403,-0.282456098636534,-0.113034528156035,-0.114623299051775,-0.321928094887362,-0.432316566654625,-0.189749125817289,-0.547865938359135
47.68234,-122.5064,"Brackenwood Lane","96","23","10",1269668,0.0025,0.555,36.94,0.723,0.052,15.838,4.393,11.446,60.24,26.11,19.7,"in","in","in","in","in","in","in","in","in","in","in","in",-0.85140603179135,-12.2984062984217,-0.127425070724384,0.0471640227714964,-0.0999017933450095,-0.0837201862971129,0.143609018901556,0.0389326299835258,-0.145050332803283,-0.0285905851513841,-0.122181343261977,0.00913551331627972
47.68234,-122.5064,"Brackenwood Lane","97","23","10",2011541,15.989,0.625,33.04,0.639,0.05,15.892,5.736,10.156,58.67,27.49,19.06,"in","in","in","in","in","in","in","in","in","in","in","in",-0.187556190182003,0.344457697406627,0.0439433475875972,0.00906524477093344,-0.147549303778806,-0.00941573709700162,-0.0173611606614374,-0.139247086020597,-0.20163386116965,-0.0236800520646274,0.262657181347166,-0.163375698585183
47.68234,-122.5064,"Brackenwood Lane","98","23","10",1651492,6.809,0.75,34.22,0.672,0.052,19.457,6.375,13.083,62.93,29.59,20.53,"in","in","in","in","in","in","in","in","in","in","in","in",-0.472087352934086,-0.887107175457524,0.306977753421391,0.11019019567162,-0.0403637955801461,0.0967870525839667,0.0332649124085306,-0.0666017841888315,-0.145050332803283,0.268308533062977,0.415037499278844,0.201985397570073
47.68234,-122.5064,"Brackenwood Lane","99","23","10",2161794,7.492,0.755,34.28,0.738,0.056,17.489,4.59,12.899,61.43,27.83,22.01,"in","in","in","in","in","in","in","in","in","in","in","in",-0.0836282805652551,-0.749199209066041,0.316563802250589,0.0753856360634894,0.0600617222028093,0.00831826472165244,0.0357922620316172,0.0685577990928041,-0.0381351288867709,0.114467049446118,-0.0588936890535686,0.18155122580543
47.78184,-122.83474,"Broad Spit","269","30","12",1266434,0.896,0.645,32.14,0.717,0.036,9.702,2.746,6.957,57.72,23.12,16.22,"in","in","in","in","in","in","in","in","out","in","in","in",-0.855085440814477,-3.81297947125148,0.0893863183487644,-0.0144864474092337,-0.380323603471475,-0.259181246109276,-0.0572049184057888,0.0269101017343128,-0.675565049502063,-0.735626665957908,-0.800056217207638,-0.70917077286553
47.78184,-122.83474,"Broad Spit","270","30","12",1677283,10.875,0.56,32.6,0.694,0.05,14.668,4.493,10.176,58.66,25.72,20.69,"in","in","in","in","in","in","in","in","in","in","in","in",-0.449731205481677,-0.211606612798271,-0.114486015016886,0.00881932385652378,-0.0291637778287385,-0.105432001282007,-0.0367028829624428,-0.0201273543893311,-0.20163386116965,-0.13930857944106,-0.0897087808313004,-0.160537422948334
47.78184,-122.83474,"Broad Spit","271","30","12",4814194,7.416,0.79,38.21,0.702,0.059,15.907,4.744,11.163,57.54,25.12,20.21,"in","in","in","in","in","in","in","in","in","in","in","in",1.07143694598366,-0.763908864683556,0.381939811102613,-0.0189925261611447,-0.0630281013090128,-0.139486179718328,0.192375410276628,-0.00359198666303121,0.0371529984174661,-0.0223189761051049,-0.0112838328087352,-0.0269832023857605
47.78184,-122.83474,"Broad Spit","272","30","12",1386295,9.277,0.66,33.93,0.728,0.063,16.227,4.416,11.811,57.23,29.54,20.59,"in","in","in","in","in","in","in","in","in","in","in","in",-0.724623042081192,-0.440891767179518,0.122553182283964,-0.0267861403514628,-0.0361535930564941,0.0943471821548344,0.0209865826300939,0.0488754332311044,0.131789872555541,0.00641555272192776,-0.11464767057657,0.054423119647508
47.30515,-122.44441,"Browns Point Lighthouse","194","54","11",1869821,3.733,0.84,35.24,0.659,0.051,16.106,5.488,10.618,59.19,25.93,19.63,"in","in","in","in","in","in","in","in","in","in","in","in",-0.292957168052448,-1.75421460000602,0.47047648570427,0.021795709544283,-0.105037250222577,-0.09370043775666,0.0756390768395312,-0.0947845519595401,-0.17306470897288,-0.00438251209599436,0.198892638818074,-0.0991959521089582
47.30515,-122.44441,"Browns Point Lighthouse","195","54","11",10377436,1.51,0.8,37.38,0.721,0.06,13.293,3.715,9.578,54.25,24.56,19.23,"in","in","in","in","in","in","in","in","in","in","in","in",2.17952079542023,-3.06000155909665,0.400087157812873,-0.103934609681228,-0.134738660348851,-0.172012083239775,0.160691721664276,0.0349362422732306,0.0614005446641433,-0.281314017945625,-0.36402563192878,-0.247911657996688
47.30515,-122.44441,"Browns Point Lighthouse","196","54","11",9951688,2.472,0.82,35.77,0.712,0.061,16.448,4.736,11.712,57.74,27.12,20.91,"in","in","in","in","in","in","in","in","in","in","in","in",2.1190839215654,-2.34887136540471,0.435711067543594,-0.0139866396644497,-0.0139043610991689,-0.0289654654736108,0.097175270914343,0.0168142239988057,0.0852472866185112,0.0259314190411521,-0.0137187617257891,0.042279460051353
47.30515,-122.44441,"Browns Point Lighthouse","197","54","11",9992062,1.531,0.935,37.74,0.702,0.056,17.334,5.171,12.163,60.09,27.76,19.32,"in","in","in","in","in","in","in","in","in","in","in","in",2.12492509478009,-3.0400758258093,0.625053522813147,0.0435671746334322,-0.128002328852975,0.00468492396830633,0.174519575519563,-0.00359198666303121,-0.0381351288867709,0.101623859133046,0.11305546212865,0.0967911142527308
48.520971,-122.600717,"Cap Sante","214","64","7",1293401,14.371,0.955,26.1,0.635,0.038,11.283,4.115,7.168,57.43,25.92,18.45,"in","in","in","in","in","in","out","in","out","in","in","in",-0.824687703082406,0.19053844085712,0.655587890961259,-0.021753185514402,-0.19447660674099,-0.0942569257253298,-0.357525040623636,-0.148306425308064,-0.59756253750079,-0.517830038391264,-0.216495412045751,-0.666065456175085
48.520971,-122.600717,"Cap Sante","215","64","7",4081903,4.895,0.725,35.3,0.723,0.054,11.393,3.151,8.243,53.57,24.6,17.72,"in","in","in","in","in","in","in","in","in","in","in","in",0.833384565392322,-1.36324124881803,0.258068152940444,-0.122132451180792,-0.25271881913373,-0.169664328383352,0.0780933360776599,0.0389326299835258,-0.0906025487809066,-0.503833063676843,-0.601578088337199,-0.464466598706493
48.520971,-122.600717,"Cap Sante","216","64","7",1544138,42.805,0.6,35.3,0.723,0.054,11.393,3.151,8.243,53.57,24.6,17.72,"in","out","in","in","in","in","in","in","in","in","in","in",-0.569055641623669,1.76515731216327,-0.0149503414659714,-0.122132451180792,-0.25271881913373,-0.169664328383352,0.0780933360776599,0.0389326299835258,-0.0906025487809066,-0.503833063676843,-0.601578088337199,-0.464466598706493
48.520971,-122.600717,"Cap Sante","217","64","7",11524795,11.947,0.88,35.66,0.66,0.048,10.542,3.586,6.956,52.36,22.32,16.69,"in","in","in","in","in","in","in","in","in","in","in","in",2.3308118494843,-0.0759736238789597,0.537590681562807,-0.155092649955191,-0.339113468326149,-0.309985616780767,0.092731855544112,-0.0925969927217761,-0.260527550223219,-0.615832153423194,-0.415012354486364,-0.709378160926102
47.1905742,-122.5834897,"Chambers Bay Park","127","56","13",22777074,15.598,0.885,34.12,0.648,0.052,13.977,4.923,9.055,56.01,24.49,19.35,"out","in","in","in","in","in","in","in","in","in","in","in",3.31365318760772,0.308739042567727,0.545764613008508,-0.0578733189530735,-0.125763856656975,-0.176129870045977,0.0290427992374073,-0.119069204082967,-0.145050332803283,-0.208926014323113,0.04214989688013,-0.328921452395159
47.1905742,-122.5834897,"Chambers Bay Park","128","56","13",3578424,14.492,1,26.78,0.6,0.041,9.308,3.726,5.582,51.48,23.58,17.17,"in","in","in","in","in","in","out","in","in","in","in","in",0.643467005437017,0.202634697144201,0.722015252700235,-0.17954569367973,-0.298207383686614,-0.230758925630192,-0.320418886756572,-0.230100516471711,-0.487938046326291,-0.795437634747377,-0.359760168413101,-1.02685396916662
47.1905742,-122.5834897,"Chambers Bay Park","129","56","13",4479918,8.659,1.08,32.62,0.634,0.042,14.003,5.125,8.878,59.61,25.39,17.98,"in","in","in","in","in","in","in","in","in","in","in","in",0.967614991560718,-0.540349686275112,0.833046565088979,0.0319966260703945,-0.231704402174301,-0.124062248962449,-0.0358180653689985,-0.150580176828185,-0.453172628165615,-0.206244807614071,0.100164161925432,-0.357401384907596
47.1905742,-122.5834897,"Chambers Bay Park","130","56","13",4173684,7.718,1.26,31.08,0.653,0.053,16.477,5.723,10.754,58.77,27.32,21.55,"in","in","out","in","in","in","in","in","in","in","in","in",0.865464040592764,-0.706323064767832,1.05543898642543,0.0115221510883115,0.0295904462877123,-0.0183651603198643,-0.105588343673173,-0.107980025421161,-0.117569596381176,0.0284728414864062,0.25938376419423,-0.0808346219572216
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips","33","75","7",4058830,3.411,0.705,33.99,0.656,0.049,11.76,4.046,7.714,54.14,23.55,17.8,"in","in","in","in","in","in","in","in","in","in","in","in",0.82520658146585,-1.88435535369568,0.217710415324304,-0.106862859685468,-0.246220181834988,-0.232595584109809,0.0235355144607891,-0.101367202349508,-0.230780206829167,-0.458092690429,-0.240891522796456,-0.560156947603928
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips","34","75","7",2992400,9.761,0.86,34.69,0.667,0.045,9.375,3.12,6.255,51.73,20.59,16.93,"in","in","in","in","in","out","in","in","in","in","in","in",0.38544570199388,-0.367521151316073,0.504423817627608,-0.172556555696677,-0.318515449793106,-0.4263788139777,0.0529449932054995,-0.0773762557830068,-0.3536369546147,-0.785090154994758,-0.615841813605128,-0.862626209179507
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips","35","75","7",3977529,0.821,0.935,35.25,0.676,0.057,17.294,5.6,11.694,59.07,26.32,21.34,"in","in","in","in","in","in","in","in","in","in","in","in",0.796015115215987,-3.93909598153128,0.625053522813147,0.0188678647222782,0.0154627531356768,-0.0721631548747132,0.0760484100926355,-0.0580397706854075,-0.0126000367796333,0.0982908438100252,0.22803898447759,0.040060497746357
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips","36","75","7",3836041,1.463,0.975,34.38,0.627,0.051,13.57,5.061,8.509,55.16,23.68,18.95,"in","in","in","in","in","in","in","in","in","in","in","in",0.743760806102384,-3.1056203391706,0.685489376675121,-0.0799352903864514,-0.155899574630294,-0.224653562981005,0.0399946973971785,-0.166597574165553,-0.17306470897288,-0.25156002984651,0.082034631653983,-0.418646501002751
48.04906,-122.7724,"Chimacum Creek delta","100","8","9",2951353,2.599,0.825,36.56,0.693,0.054,17.732,5.45,12.282,60.98,25.96,21.22,"in","in","in","in","in","in","in","in","in","in","in","in",0.365519152295629,-2.27659347483689,0.444481277171326,0.0647784031093166,0.00732723322601662,-0.0920322606108162,0.128691222977187,-0.0222076648303783,-0.0906025487809066,0.134374517012538,0.188868387196912,0.110837509511878
48.04906,-122.7724,"Chimacum Creek delta","101","8","9",1782912,2.837,0.75,28.65,0.603,0.045,11.096,4.405,6.691,52.86,24.82,17.8,"in","in","in","in","in","in","in","in","in","in","in","in",-0.361621837045118,-2.15018395803473,0.306977753421391,-0.141381322258862,-0.246220181834988,-0.156819528479598,-0.223039708436615,-0.222905015067507,-0.3536369546147,-0.541941057829123,-0.118245823546963,-0.765414249336618
48.04906,-122.7724,"Chimacum Creek delta","102","8","9",2742037,0.0025,0.995,33.47,0.654,0.052,14.052,4.862,9.19,55.95,24.15,20.32,"in","in","in","in","in","in","in","in","in","in","in","in",0.259390704415586,-12.2984062984217,0.714783683469159,-0.0594196160366754,-0.0551970209165822,-0.196299454886819,0.00129370360564691,-0.105772381469509,-0.145050332803283,-0.201205268930355,0.0241620506739901,-0.307571232056293
48.04906,-122.7724,"Chimacum Creek delta","103","8","9",3088893,2.177,1.045,29.73,0.591,0.057,16.11,6.588,9.522,55.17,24.85,23.36,"in","in","in","in","in","in","in","out","in","in","in","in",0.431232562517481,-2.53220870112088,0.785518195006393,-0.0796737667673379,0.145942851191269,-0.155076792160306,-0.169655384173238,-0.25190488679006,-0.0126000367796333,-0.00402425655879502,0.462452712371616,-0.256371464676351
48.68975,-122.50434,"Chuckanut, Clark's Point","25","74","7",4394757,2.552,0.985,34.49,0.667,0.055,18.501,6.167,12.334,60.74,26.1,22.56,"in","in","in","in","in","in","in","in","in","in","in","in",0.939926062398153,-2.30292177954422,0.700210882381886,0.0590891612670282,0.0956696447100453,-0.0842728371527078,0.0446032813799711,-0.0773762557830068,-0.0641303374197156,0.195622501546448,0.367181003623279,0.116932752745328
48.68975,-122.50434,"Chuckanut, Clark's Point","26","74","7",2351039,8.472,0.8,36.98,0.708,0.067,14.773,4.312,10.461,53.85,25.85,20.32,"in","in","in","in","in","in","in","in","in","in","in","in",0.0374411371982155,-0.57184751931675,0.400087157812873,-0.114611402468862,-0.0551970209165822,-0.0981583634076577,0.145170377323313,0.0086863431154054,0.220599139513397,-0.129017922087987,-0.149030664602233,-0.120687228734829
48.68975,-122.50434,"Chuckanut, Clark's Point","27","74","7",3154062,13.731,0.475,31.61,0.729,0.042,12.073,3.276,8.797,59.39,25.18,18.61,"in","in","in","in","in","in","in","in","in","in","in","in",0.461353685730755,0.124814684012731,-0.351985328743542,0.026662285388118,-0.182019367629597,-0.136044360890938,-0.0811938121763843,0.0508557973593453,-0.453172628165615,-0.42019653703406,-0.54545248571373,-0.370624481528867
48.68975,-122.50434,"Chuckanut, Clark's Point","28","74","7",1063513,20.089,0.65,32.12,0.657,0.056,12.94,4.44,8.5,53.3,25.54,19.44,"in","in","in","in","in","in","in","in","in","in","in","in",-1.10701966561765,0.673783736924416,0.100526875953965,-0.129422214253894,-0.119069204082967,-0.115564118907231,-0.0581029545635683,-0.0991696466452622,-0.0381351288867709,-0.320143133272856,-0.10682816611727,-0.420173252320263
47.29,-122.41,"Commencement Bay Skookum","37","45","11",6405636,7.884,0.695,32.12,0.661,0.055,13.552,4.595,8.957,54.74,26.67,19.1,"in","in","in","in","in","in","in","in","in","in","in","in",1.48348448534718,-0.6756223322656,0.197100135649017,-0.0909623125354753,-0.144524784765637,-0.0531048190590285,-0.0581029545635683,-0.0904127454599001,-0.0641303374197156,-0.253474970820528,-0.0573229811783421,-0.344620487387306
47.29,-122.41,"Commencement Bay Skookum","38","45","11",6222160,4.124,0.8,33.09,0.658,0.054,12.781,4.368,8.413,53.86,24.6,19.19,"in","in","in","in","in","in","in","in","in","in","in","in",1.44155815958399,-1.61050577594098,0.400087157812873,-0.11434351739876,-0.137742711493368,-0.169664328383352,-0.0151795557683438,-0.0969754332323504,-0.0906025487809066,-0.337980031798779,-0.130414986434886,-0.435015749290795
47.29,-122.41,"Commencement Bay Skookum","39","45","11",6256813,17.324,0.66,33.07,0.686,0.05,12.189,3.829,8.36,55.26,24.65,18.56,"in","in","in","in","in","in","in","in","in","in","in","in",1.44957065223974,0.460150063758482,0.122553182283964,-0.07732218508794,-0.185900712561176,-0.166734997344681,-0.0160518018897678,-0.0368544407947794,-0.20163386116965,-0.406400980200482,-0.320420182504578,-0.444133151264444
47.29,-122.41,"Commencement Bay Skookum","40","45","11",4652774,6.966,0.865,32.34,0.664,0.053,11.259,3.779,7.48,52.2,23.54,18.82,"in","in","in","in","in","in","in","in","in","in","in","in",1.02223377851134,-0.854219635722364,0.512787290562235,-0.159507940443185,-0.165830794960211,-0.233208323571511,-0.0482551686072208,-0.0838797756206671,-0.117569596381176,-0.520902054544594,-0.339383324094777,-0.60459782345769
47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch","114","48","11",3585899,31.015,0.635,36.54,0.748,0.049,13.872,3.49,10.383,59.74,25.48,18.67,"in","out","in","in","in","in","in","in","in","in","in","in",0.646477519994746,1.30034411115003,0.0668437496976759,0.0351394904103587,-0.177375495462546,-0.118957366353654,0.127901786546606,0.0879752529200449,-0.230780206829167,-0.219804946930891,-0.454160806257724,-0.131484651346086
47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch","115","48","11",4636577,11.286,0.93,34.93,0.703,0.054,17.884,5.307,12.578,61.58,27.21,21.49,"in","in","in","in","in","in","in","in","in","in","in","in",1.01720278005783,-0.158087759064735,0.617317874033541,0.0789041201443854,0.0255680597390352,-0.0241856873602761,0.0628917953139821,-0.00153832789505672,-0.0906025487809066,0.146688700389916,0.150508706056876,0.145194542018114
47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch","116","48","11",4040140,4.915,0.87,30.62,0.672,0.05,13.112,4.301,8.811,56.19,26.09,19.63,"in","in","in","in","in","in","in","in","in","in","in","in",0.818547952484694,-1.35735869208114,0.521102558774238,-0.0532443469362302,-0.105037250222577,-0.0848256997925026,-0.127100564581095,-0.0666017841888315,-0.20163386116965,-0.301092991053267,-0.152715711410089,-0.368330327186682
47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch","117","48","11",2353038,8.819,0.895,35.9,0.71,0.056,18.298,5.298,12.999,61.41,27.4,21.52,"in","in","in","in","in","in","in","in","in","in","in","in",0.0386672853077532,-0.513935033003943,0.561974840189767,0.0749158558441351,0.0275806548678759,-0.0141467507620657,0.102408996629531,0.0127560074244525,-0.0381351288867709,0.179705217700311,0.148060001014884,0.192692643760336
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway","157","49","11",4263664,5.02,0.82,37.12,0.69,0.054,16.349,5.062,11.287,59.4,26.4,19.39,"in","in","in","in","in","in","in","in","in","in","in","in",0.896236416322489,-1.32686274447095,0.435711067543594,0.0269051837876963,-0.122784619581956,-0.0677847143641389,0.150621863046689,-0.0284666553020606,-0.0906025487809066,0.0172216441927538,0.0823196647559455,-0.0110459191496517
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway","158","49","11",13167667,16.268,0.955,34.57,0.683,0.055,13.435,4.254,9.181,55.09,25.49,18.91,"out","in","in","in","in","in","in","in","in","in","in","in",2.52307051758285,0.369414882153047,0.655587890961259,-0.0817672843353412,-0.158948059738987,-0.118391270587753,0.047945756181516,-0.0431774386775013,-0.0641303374197156,-0.265984429252198,-0.168567809394067,-0.308984792168073
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway","159","49","11",3461399,5.768,0.75,37.21,0.678,0.056,11.949,3.843,8.106,52.65,23.78,17.4,"in","in","in","in","in","in","in","in","in","in","in","in",0.595497918428699,-1.12647894406826,0.306977753421391,-0.147124215987353,-0.279010116952658,-0.218573928864299,0.15411554304489,-0.0537777438312479,-0.0381351288867709,-0.435090865067384,-0.315154866291936,-0.488645918185849
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway","160","49","11",8190625,13.784,0.75,34.82,0.695,0.053,11.705,3.572,8.133,53.44,24.95,17.52,"in","in","in","in","in","in","in","in","in","in","in","in",1.83811620943229,0.130372592915862,0.306977753421391,-0.12563773942638,-0.269094648087575,-0.149282828385332,0.0583413555702184,-0.0180500393567223,-0.117569596381176,-0.464855816153351,-0.420655762233516,-0.483848479673821
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway","161","49","11",7886778,0.0025,0.83,34.49,0.622,0.049,12.038,4.552,7.486,53.44,23.25,17.47,"in","in","in","in","in","in","in","in","in","in","in","in",1.78357869971607,-12.2984062984217,0.453198494272435,-0.12563773942638,-0.273217814771989,-0.251091927727199,0.0446032813799711,-0.178148436836989,-0.230780206829167,-0.424385028751398,-0.070887285048157,-0.603441045332728
