"site_name","latitude","longitude","BDE100","BDE153","BDE154","BDE155","BDE183","BDE028","BDE047","BDE049","BDE066","BDE085","BDE099","Br6DE01","Br7DE01","Br5DE04","Br5DE05","z_BDE100","z_BDE153","z_BDE154","z_BDE155","z_BDE183","z_BDE028","z_BDE047","z_BDE049","z_BDE066","z_BDE085","z_BDE099","ai_z_BDE100","ai_z_BDE153","ai_z_BDE154","ai_z_BDE155","ai_z_BDE183","ai_z_BDE028","ai_z_BDE047","ai_z_BDE049","ai_z_BDE066","ai_z_BDE085","ai_z_BDE099"
"Chimacum Creek delta",48.04887,-122.7711,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Chuckanut, Clark's Point",48.691084,-122.504012,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Commencement Bay Skookum",47.28915,-122.4096,0,0,0,0,0,0,1,0,0,0,0.82,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,2.02128258876429,NA,NA,NA,2.58358309668216,0,NA,NA,NA,NA,NA,2.79131272615213,NA,NA,NA,3.18928864805204
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0.18,0,0,0,0,0,0.86,0,0,0,0.67,NA,NA,NA,NA,3.12703288252845,NA,NA,NA,NA,NA,1.630498807103,NA,NA,NA,2.00017663667264,3.35571891209333,NA,NA,NA,NA,NA,2.40052894449083,NA,NA,NA,2.60588218804252
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0,0,0,0,0,0,0.89,0,0,0,0.61,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,1.71423818888756,NA,NA,NA,1.76681405266883,0,NA,NA,NA,NA,NA,2.48426832627539,NA,NA,NA,2.37251960403872
"Des Moines Marina",47.402778,-122.331667,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Discovery Bay",48.064974,-122.857218,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Donkey Creek Delta",47.337909,-122.59023,0,0,0,0,0,0,0.23,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.128028210372844,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.642001927014989,NA,NA,NA,0
"Eagle Harbor Dr",47.618875,-122.527234,0,0,0,0,0,0,0.31,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.0952768077193261,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.865306945107159,NA,NA,NA,0
"Eastsound, Fishing Bay",48.69395,-122.909933,0,0,0,0,0,0,0.25,0,0,0,0.29,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.0722019558498015,NA,NA,NA,0.522213604648522,0,NA,NA,NA,NA,NA,0.697828181538032,NA,NA,NA,1.12791915601841
"Edmonds Ferry",47.8142069,-122.3822018,0,0,0,0,0,0,0.51,0,0,0,0.39,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.653539352949752,NA,NA,NA,0.911151244654868,0,NA,NA,NA,NA,NA,1.42356949033758,NA,NA,NA,1.51685679602475
"Edmonds Marina",47.81094,-122.387955,0.17,0,0,0,0,0,0.73,0,0,0,0.63,NA,NA,NA,NA,2.94060405407882,NA,NA,NA,NA,NA,1.26762815270322,NA,NA,NA,1.8446015806701,3.1692900836437,NA,NA,NA,NA,NA,2.03765829009105,NA,NA,NA,2.45030713203998
"Eld Inlet",47.0769,-123.0034725,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,0,0,0,0,0,0,0.55,0,0,0,0.36,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.765191861995837,NA,NA,NA,0.794469952652964,0,NA,NA,NA,NA,NA,1.53522199938367,NA,NA,NA,1.40017550402285
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,0,0,0,0,0,0,0.47,0,0,0,0.3,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.541886843903666,NA,NA,NA,0.561107368649156,0,NA,NA,NA,NA,NA,1.3119169812915,NA,NA,NA,1.16681292001904
"Everett Harbor",47.97252,-122.22982,0,0,0,0,0,0,0.28,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.0115374259347624,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.781567563322596,NA,NA,NA,0
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Filucy Bay",47.19483,-122.748665,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Friday Harbor",48.5069444,-123.0194444,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Gig Harbor Boat Launch",47.3372,-122.58284,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Hood Canal Holly",47.570193,-122.971775,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Jamestown",48.027069,-122.999191,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Kingston Marina",47.7947,-122.5003,0,0,0,0,0,0,0.26,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.0442888285882802,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.725741308799553,NA,NA,NA,0
"Kitsap St Boat Launch",47.541533,-122.640383,0,0,0,0,0,0,0.91,0,0,0,0.52,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,1.7700644434106,NA,NA,NA,1.41677017666312,0,NA,NA,NA,NA,NA,2.54009458079844,NA,NA,NA,2.022475728033
"Kopachuck State Park",47.3115,-122.68725,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Lions Park",47.583016,-122.64217,0,0,0,0,0,0,0.54,0,0,0,0.46,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.737278734734315,NA,NA,NA,1.18340759265931,0,NA,NA,NA,NA,NA,1.50730887212215,NA,NA,NA,1.7891131440292
"Locust Beach",48.76652,-122.5395,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Madrona Pont",47.579985,-122.67853,0,0,0,0,0,0,0.27,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.0163757013267589,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.753654436061074,NA,NA,NA,0
"Manchester, Stormwater Outfall",47.556111,-122.542778,0,0,0,0,0,0,0.29,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.0394505531962835,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.809480690584117,NA,NA,NA,0
"Maple Hollow Park",47.29954,-122.74554,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Maristone Island",48.018181,-122.699838,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Miller Creek",47.443611,-122.361944,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Minter Bay",47.35399,-122.69176,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Mukilteo",47.949831,-122.301703,0,0,0,0,0,0,0.27,0,0,0,0.2,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.0163757013267589,NA,NA,NA,0.17216972864281,0,NA,NA,NA,NA,NA,0.753654436061074,NA,NA,NA,0.777875280012694
"N Avenue Park",48.52108,-122.61531,0,0,0,0,0,0,0.34,0,0,0,0.27,NA,NA,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,0.17901618950389,NA,NA,NA,0.444426076647252,0,NA,NA,NA,NA,NA,0.949046326891723,NA,NA,NA,1.05013162801714
"North Camano",48.25523,-122.50817,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Oak Bay County Park",48.022466,-122.728123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Penn Cove Reference",48.214071,-122.719097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Penrose Point State Park",47.2609094,-122.7447771,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.155941337634365,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.614088799753468,NA,NA,NA,0
"Point Defiance Ferry",47.3061098,-122.514771,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.290668698549975,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,1.06069883593781,NA,NA,NA,0
"Port Angeles Yacht Club",48.128267,-123.457133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Purdy, Dexters",47.385334,-122.628902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Purdy, Burley Lagoon",47.387021,-122.6367,0,0,0,0,0,0,0.26,0,0,0,0.18,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.0442888285882802,NA,NA,NA,0.0943822006415401,0,NA,NA,NA,NA,NA,0.725741308799553,NA,NA,NA,0.700087752011424
"Raft Island Park",47.32622,-122.66715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Reach Island",47.346817,-122.822363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Rich Passage",47.578117,-122.524833,0,0,0,0,0,0,0.35,0,0,0,0.19,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.206929316765411,NA,NA,NA,0.133275964642175,0,NA,NA,NA,NA,NA,0.976959454153244,NA,NA,NA,0.738981516012059
"Rocky Point",47.60253,-122.66991,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.0952768077193261,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.865306945107159,NA,NA,NA,0
"South of Skunk Island",48.02655,-122.75089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Salmon Bay, Commodore Park",47.666244,-122.401894,0,0,0,0,0,0,0.58,0,0,0,0.44,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.8489312437804,NA,NA,NA,1.10562006465804,0,NA,NA,NA,NA,NA,1.61896138116823,NA,NA,NA,1.71132561602793
"Salmon Beach",47.294692,-122.530504,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.0673636804578048,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.837393817845638,NA,NA,NA,0
"Seattle Aquarium, Pier 59",47.607334,-122.344055,0,0,0,0,0,0,0.49,0,0,0,0.32,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.597713098426709,NA,NA,NA,0.638894896650426,0,NA,NA,NA,NA,NA,1.36774323581454,NA,NA,NA,1.24460044802031
"Shilshole Bay",47.6707,-122.40605,0,0,0,0,0,0,0.58,0,0,0,0.45,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.8489312437804,NA,NA,NA,1.14451382865868,0,NA,NA,NA,NA,NA,1.61896138116823,NA,NA,NA,1.75021938002856
"Silverdale, Dyes Inlet",47.6428,-122.6967,0,0,0,0,0,0,0.36,0,0,0,0.24,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.234842444026932,NA,NA,NA,0.327744784645348,0,NA,NA,NA,NA,NA,1.00487258141477,NA,NA,NA,0.933450336015232
"Skiff Point",47.6614139,-122.498892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Smith Cove, Terminal 91",47.6325,-122.3786,0.27,0,0,0,0,0,1.7,0,0,0,1,0,0,0,0,4.80489233857512,NA,NA,NA,NA,NA,3.97520149707078,NA,NA,NA,3.28367084869358,5.03357836814,NA,NA,NA,NA,NA,4.74523163445861,NA,NA,NA,3.88937640006347
"Squaxin Island",47.176735,-122.905337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"Suquamish Stormwater Outfall",47.729875,-122.550882,0,0,0,0,0,0,0.32,0,0,0,0.17,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.123189934980847,NA,NA,NA,0.0554884366409055,0,NA,NA,NA,NA,NA,0.893220072368681,NA,NA,NA,0.66119398801079
"Thea Foss Waterway",47.25934,-122.43479,0,0,0,0,0,0,0.61,0,0,0,0.41,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.932670625564964,NA,NA,NA,0.988938772656138,0,NA,NA,NA,NA,NA,1.7027007629528,NA,NA,NA,1.59464432402602
"Three Tree Point",47.4485721,-122.3723967,0,0,0,0,0,0,0.48,0,0,0,0.26,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,0.569799971165188,NA,NA,NA,0.405532312646618,0,NA,NA,NA,NA,NA,1.33983010855302,NA,NA,NA,1.0112378640165
"Tulalip Bay",48.0616613,-122.293939,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.0163757013267589,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.753654436061074,NA,NA,NA,0
"Tulalip Reservation",48.069978,-122.300216,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.26759384668045,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.502436290707383,NA,NA,NA,0
"West Bay Park",47.052373,-122.9101963,0,0,0,0,0,0,0.74,0,0,0,0.44,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,1.29554127996474,NA,NA,NA,1.10562006465804,0,NA,NA,NA,NA,NA,2.06557141735257,NA,NA,NA,1.71132561602793
"Williams Olson Park",47.6609,-122.5668,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.100115083111323,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0.66991505427651,NA,NA,NA,0
"Penn Cove Baseline",48.218047,-122.712359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228686029564879,NA,NA,NA,NA,NA,-0.770030137387833,NA,NA,NA,-0.605705551369884,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
