"site_name","latitude","longitude","acenaphthene","acenaphthylene","C1-dibenzothiophenes","C1-fluorenes","C1-naphthalenes","C1-phenanthrenes_anthracenes","C2-dibenzothiophenes","C2-fluorenes","C2-naphthalenes","C2-phenanthrenes_anthracenes","C3-dibenzothiophenes","C3-fluorenes","C3-naphthalenes","C3-phenanthrenes_anthracenes","C4-dibenzothiophenes","C4-naphthalenes","C4-phenanthrenes_anthracenes","dibenzothiophene","fluorene","naphthalene","phenanthrene"
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,1.3,0,0,0.83,1,6.6,1.2,1.5,3.2,8.2,1.7,2.5,4.5,8.1,1.2,3,6,0,1.3,0,9.2
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0.91,0,0,0.69,0.81,5.1,1,1.2,3.1,6.9,1.3,2.4,4.3,7.4,1.3,3.2,6.2,0,0.89,0,5.8
"Des Moines Marina",47.402778,-122.331667,42,0.83,14,17,10,150,15,16,0,110,11,18,55,59,5.6,32,23,23,60,0,290
"Discovery Bay",48.064974,-122.857218,0,0,0,0,0,3.7,0,0.43,1.2,5.1,0,0.51,0,3.5,0,0.93,2.8,0,0.47,0.58,7.2
"Donkey Creek Delta",47.337909,-122.59023,0.65,0,0,0,0.62,3.6,0,0.74,0,4.7,0.72,1.4,0,4.2,0.65,1.1,3.3,0,0.62,0,5.4
"Eagle Harbor Dr",47.618875,-122.527234,0.93,0,0,0,0.65,5.9,1.2,1.2,0,7,1.6,2.1,0,7,1,1.3,4,0,0.99,0,8.4
"Eastsound, Fishing Bay",48.69395,-122.909933,0,0,0,0,0,5.4,0,0,1.7,0,0.73,0.93,0,5.5,0.85,1.4,3.9,0,0.69,0,11
"Edmonds Ferry",47.8142069,-122.3822018,0,0,0,0,0,5.2,0,0.82,1.9,6.7,0,0.93,0,4.5,0,2.1,5.5,0,0.88,0,7.4
"Edmonds Marina",47.81094,-122.387955,0.73,0,0,0.71,0,6.5,0.63,1,1.9,7.2,0.66,1,0,6,0,1.7,4.2,0,1.1,0,11
"Eld Inlet",47.0769,-123.0034725,0,0,0,0,0,2.3,0,0.46,1.3,3.4,0,0.52,0,2,0,1.1,2,0,0,0.69,2.4
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,8.1,0,6.5,5.3,3.1,93,8.9,8,5.9,85,7.7,12,12,51,4.6,9.9,23,5.5,9.9,0,98
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,4.3,0,1.8,2.3,1.1,27,2.9,3.3,3.26,0,3.4,5.5,0,26,2.9,4.7,16,2,5.2,0,35
"Everett Harbor",47.97252,-122.22982,0,0,0,0,0,3.8,0,0,1.3,4.8,0,0,0,3.9,0,1.2,3.2,0,0,0,6.3
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0,0,0,0,0,5.3,2.1,1.3,2.1,10,4.6,2.7,3.4,12,3.4,2.9,8.6,0,0,0,5.8
"Filucy Bay",47.19483,-122.748665,0,0,0,0,0,2,0,0,0,2.6,0,0,1.3,1.6,0,0,1.6,0,0,0,2.9
"Friday Harbor",48.5069444,-123.0194444,0.56,0,0,0,0,5.2,0,0.51,1.5,5.6,0,0.6,0,3.6,0,1.1,2.2,0,0.56,0.59,8.4
"Gig Harbor Boat Launch",47.3372,-122.58284,0,0,0,0,0,3.7,0,0.66,0,4.5,0,1.2,2.2,3.7,0,0.72,2.6,0,0.63,0,5.3
"Hood Canal Holly",47.570193,-122.971775,0,0,0,0,0,0.95,0,0,2.1,0.67,0,0,0,0,0,0.73,0.68,0,0,0,1.9
"Jamestown",48.027069,-122.999191,0,0,0,0,0,1.4,0,0,1.3,2.2,0,0,1.4,0.96,0,1.1,0.82,0,0,0,2.4
"Kingston Marina",47.7947,-122.5003,0,0,0,0,0.52,2.6,0,0.54,0,3.3,0,0.63,0,2.5,0,0.78,1.8,0,0,0,3.9
"Kitsap St Boat Launch",47.541533,-122.640383,0.8,0,0.55,1,0,7.9,1.1,2.4,2.1,0,1.3,4.7,0,15,1.1,4.2,9.9,0,1.1,0,7.5
"Kopachuck State Park",47.3115,-122.68725,0,0,0,0,0,1.7,0,0,0,2.4,0,0,1.1,1.3,0,0,1.3,0,0,0,2.1
"Lions Park",47.583016,-122.64217,0,0,0,0,0,2.9,0,0,1.4,4.2,0,0,0,3.9,0,0.86,2.8,0,0,0,3.4
"Locust Beach",48.76652,-122.5395,0,0,0,0,0,2,0,0,1.6,2.7,0,0,0,1.4,0,0.85,2.8,0,0,0,2.9
"Madrona Pont",47.579985,-122.67853,0,0,0,0,0,2.8,0,0,1.3,4,0,0,0,3.6,0,0.81,2.5,0,0,0,3.2
"Manchester, Stormwater Outfall",47.556111,-122.542778,0,0,0,0,0.6,3.4,0,0.62,0,4.3,0,0.75,0,3.3,0,0.97,2.2,0,0,0,4.7
"Maple Hollow Park",47.29954,-122.74554,0,0,0,0,0.55,2,0,0,0,2.7,0,0,1.3,1.5,0,0.52,1.9,0,0,0,2.6
"Maristone Island",48.018181,-122.699838,0,0,0,0,0,1.5,0,0,1.4,1.9,0,0,1.5,1.1,0,1,0.84,0,0,0,2.5
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0,0,0,0,2.1,0,0,1.6,2.6,0,0,1.7,1.4,0,1,1.2,0,0,0,2.6
"Miller Creek",47.443611,-122.361944,0,0,0,0,0.58,3,0,0.6,0,4.3,0,0.76,1.8,3.2,0,0.62,3,0,0,0,4.4
"Minter Bay",47.35399,-122.69176,0,0,0,0,0,1.9,0,0,0,2.4,0,0,1.2,1.3,0,0,1.5,0,0,0,2.8
"Mukilteo",47.949831,-122.301703,0,0,0,0.68,0,4.7,0,0.73,1.7,5.2,0,0.71,0,4.1,0,1.6,3.3,0,0.76,0,6.6
"N Avenue Park",48.52108,-122.61531,1.6,0,1.3,2.7,0,24,2.6,8.5,3,42,4.2,15,0,36,4.3,18,18,1.1,2.2,1,21
"North Camano",48.25523,-122.50817,0,0,0,0,0,2.3,0,0,1.2,3.3,0,0,0,1.8,0,0.92,2.6,0,0,0.57,3
"Oak Bay County Park",48.022466,-122.728123,0,0,0,0,0,1.7,0,0,1.3,2.2,0,0,1.4,1.5,0,0.83,1,0,0,0,2.8
"Penn Cove Baseline",48.218047,-122.712359,0,0,0,0,0.92,1.4,0,0,0,1.7,0,0,0,0.82,0,0.61,0.86,0,0,0,2.5
"Penn Cove Reference",48.214071,-122.719097,0,0,0,0,0,1.9,0,0,1.2,1.5,0,0,0,1.2,0,0,1.8,0,0,0,3.3
"Penrose Point State Park",47.2609094,-122.7447771,0,0,0,0,0.58,2.2,0,0,0,3,0,0,1.5,2.2,0,1,1.6,0,0,0,3
"Point Defiance Ferry",47.3061098,-122.514771,0.92,0,0.6,0.88,0.73,7.6,0.82,1.3,0,8.7,1.3,2.5,0,6.6,0.82,2.3,4.5,0,1.2,0,11
"Port Angeles Yacht Club",48.128267,-123.457133,1.8,0,0.89,1.1,0,17,1.8,1.5,1.99,19,2.8,3.3,0,20,2.7,2.3,16,0.97,2.2,1.2,24
"Purdy, Dexters",47.385334,-122.628902,0,0,0,0,0,2,0,0,0,2.8,0,0,1.2,1.6,0,0,1.7,0,0,0,2.8
"Purdy, Burley Lagoon",47.387021,-122.6367,0,0,0,0,0,2.4,0,0,1.2,3.1,0,0.67,1.6,1.9,0,1.1,2,0,0,0,3
"Raft Island Park",47.32622,-122.66715,0,0,0,0,0,1.6,0,0,0,2.2,0,0,1.1,1.1,0,0,0.93,0,0,0,2.2
"Reach Island",47.346817,-122.822363,0,0,0,0,0,2.6,0,0,1.4,4,0,0,0,2.1,0,1.1,2.8,0,0,0.61,2.6
"Rich Passage",47.578117,-122.524833,0,0,0,0,0.74,3.8,0,0.62,1.9,4.3,0,0.91,2.3,3.3,0,1.3,2.3,0,0.64,0,5.6
"Rocky Point",47.60253,-122.66991,0,0,0,0,0,3.4,0,0.74,1.2,5.6,0.54,1,0,4.9,0.5,1.3,3.3,0,0,0.79,3.6
"South of Skunk Island",48.02655,-122.75089,0,0,0,0,0,3.4,0,0.61,1.6,0,0,0.6,0,3.1,0,1.4,2.4,0,0.61,0,5.1
"Salmon Bay, Commodore Park",47.666244,-122.401894,0,0,0,0,0,5,1.1,1.3,1.9,9.4,1.7,2.1,0,14,0.91,2.6,10,0,0.88,0,5.2
"Salmon Beach",47.294692,-122.530504,0,0,0,0,0,4.4,0,0,1.9,0,0,0,0,4.9,0,1.7,3.2,0,0,0,6
"Seattle Aquarium, Pier 59",47.607334,-122.344055,2.3,0,1.6,2.1,0.7,25,2.7,3.4,2.44,28,3.3,3.8,0,24,2.1,4.3,14,1.5,3.6,0,29
"Shilshole Bay",47.6707,-122.40605,1.6,0,0.72,1,0.86,10,1.5,1.8,2.6,13,1.8,3.8,3.5,14,2,2.9,10,0.8,1.8,0,14
"Silverdale, Dyes Inlet",47.6428,-122.6967,0,0,0,0,0.59,3,0,0.71,0,4.5,0.79,1.1,0,4.6,0.79,0.97,3.2,0,0,0,3.8
"Skiff Point",47.6614139,-122.498892,0,0,0,0,0,5.3,0,1,1.9,0,0,1.2,0,5.5,0,1.6,4.1,0,0,0,7.5
"Smith Cove, Terminal 91",47.6325,-122.3786,11,0.54,3.4,4.6,2.6,50,5.2,6.5,0,50,5.9,10,0,40,5.5,9.2,21,3.4,8.9,0,60
"Squaxin Island",47.176735,-122.905337,0,0,0,0,0,2,0,0,1.1,3.3,0,0,0,1.9,0,0.69,1.9,0,0,0.68,2.1
"Suquamish Stormwater Outfall",47.729875,-122.550882,0.44,0,0,0,1.2,3.9,0.43,0.74,0,4.4,0.73,0.85,0,3.5,0.49,1.2,2.3,0,0.62,0,6.6
"Thea Foss Waterway",47.25934,-122.43479,2,0,0,1.1,0,8.2,1.4,1.9,3.2,13,2.3,2.6,0,16,1.5,3.5,11,0,1.8,0,9.4
"Three Tree Point",47.4485721,-122.3723967,0,0,0,0,0,3.6,0,0,1.5,5.1,0,0.98,0,4.4,0,1.1,3.4,0,0,0,4.9
"Tulalip Bay",48.0616613,-122.293939,0,0,0,0,0,4.1,0,0,1.6,4.9,0,0,0,3.3,0,1.4,0,0,0.75,0,6.3
"Tulalip Reservation",48.069978,-122.300216,0,0,0,0,0,3.2,0,0,1.4,3.6,0,0,0,2.5,0,0.98,2,0,0,0,4.7
"West Bay Park",47.052373,-122.9101963,0.9,0,0,0,0,3,0,0,1.3,4,0,0,0,3.5,0,0.8,4.7,0,0,0,4.1
"Williams Olson Park",47.6609,-122.5668,0,0,0,0,0,3.2,0,0.6,1.2,4.8,0,0.71,0,3.4,0,1.3,2.1,0,0,0.8,4.3
