"site_name","latitude","longitude","aldrin","dieldrin","Endosulfan_1","hexachlorobenzene","mirex","z_aldrin","z_dieldrin","z_Endosulfan_1","z_hexachlorobenzene","z_mirex","ai_z_aldrin","ai_z_dieldrin","ai_z_Endosulfan_1","ai_z_hexachlorobenzene","ai_z_mirex","pesticide_index"
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Filucy Bay",47.19483,-122.748665,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Friday Harbor",48.5069444,-123.0194444,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Gig Harbor Boat Launch",47.3372,-122.58284,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Hood Canal Holly",47.570193,-122.971775,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Jamestown",48.027069,-122.999191,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Kingston Marina",47.7947,-122.5003,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Kitsap St Boat Launch",47.541533,-122.640383,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Kopachuck State Park",47.3115,-122.68725,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Lions Park",47.583016,-122.64217,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Locust Beach",48.76652,-122.5395,0,0.22,0,0,0,NA,1.34854861610385,NA,NA,-0.115470053837925,NA,1.85890160114565,NA,NA,0,1.85890160114565
"Madrona Pont",47.579985,-122.67853,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Manchester, Stormwater Outfall",47.556111,-122.542778,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Maple Hollow Park",47.29954,-122.74554,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Maristone Island",48.018181,-122.699838,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Miller Creek",47.443611,-122.361944,0,0.17,0,0,0,NA,0.926070979479835,NA,NA,-0.115470053837925,NA,1.43642396452164,NA,NA,0,1.43642396452164
"Minter Bay",47.35399,-122.69176,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Mukilteo",47.949831,-122.301703,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"N Avenue Park",48.52108,-122.61531,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"North Camano",48.25523,-122.50817,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Oak Bay County Park",48.022466,-122.728123,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Penn Cove Reference",48.214071,-122.719097,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Penrose Point State Park",47.2609094,-122.7447771,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Point Defiance Ferry",47.3061098,-122.514771,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Port Angeles Yacht Club",48.128267,-123.457133,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Purdy, Dexters",47.385334,-122.628902,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Purdy, Burley Lagoon",47.387021,-122.6367,0,0.19,0,0,0,NA,1.09506203412944,NA,NA,-0.115470053837925,NA,1.60541501917125,NA,NA,0,1.60541501917125
"Raft Island Park",47.32622,-122.66715,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Reach Island",47.346817,-122.822363,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Rich Passage",47.578117,-122.524833,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Rocky Point",47.60253,-122.66991,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"South of Skunk Island",48.02655,-122.75089,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Salmon Bay, Commodore Park",47.666244,-122.401894,0,0.35,0,0,0,NA,2.44699047132628,NA,NA,-0.115470053837925,NA,2.95734345636808,NA,NA,0,2.95734345636808
"Salmon Beach",47.294692,-122.530504,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Seattle Aquarium, Pier 59",47.607334,-122.344055,0,0.15,0,0,0,NA,0.75707992483023,NA,NA,-0.115470053837925,NA,1.26743290987204,NA,NA,0,1.26743290987204
"Shilshole Bay",47.6707,-122.40605,0,0.33,0,0,0,NA,2.27799941667667,NA,NA,-0.115470053837925,NA,2.78835240171848,NA,NA,0,2.78835240171848
"Silverdale, Dyes Inlet",47.6428,-122.6967,0,0.19,0,0,0,NA,1.09506203412944,NA,NA,-0.115470053837925,NA,1.60541501917125,NA,NA,0,1.60541501917125
"Skiff Point",47.6614139,-122.498892,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Smith Cove, Terminal 91",47.6325,-122.3786,0,0.6,0,0,0.23,NA,4.55937865444634,NA,NA,8.54478398400646,NA,5.06973163948815,NA,NA,8.66025403784439,13.7299856773325
"Squaxin Island",47.176735,-122.905337,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Suquamish Stormwater Outfall",47.729875,-122.550882,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Thea Foss Waterway",47.25934,-122.43479,0,0.19,0,0,0,NA,1.09506203412944,NA,NA,-0.115470053837925,NA,1.60541501917125,NA,NA,0,1.60541501917125
"Three Tree Point",47.4485721,-122.3723967,0,0.19,0,0,0,NA,1.09506203412944,NA,NA,-0.115470053837925,NA,1.60541501917125,NA,NA,0,1.60541501917125
"Tulalip Bay",48.0616613,-122.293939,0,0.21,0,0,0,NA,1.26405308877904,NA,NA,-0.115470053837925,NA,1.77440607382085,NA,NA,0,1.77440607382085
"Tulalip Reservation",48.069978,-122.300216,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"West Bay Park",47.052373,-122.9101963,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Williams Olson Park",47.6609,-122.5668,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
"Penn Cove Baseline",48.218047,-122.712359,0,0,0,0,0,NA,-0.510352985041807,NA,NA,-0.115470053837925,NA,0,NA,NA,0,0
