"site_name","latitude","longitude","1-methylnaphthalene","1-methylphenanthrene","1_7-dimethylphenanthrene","2-methylnaphthalene","235-trimethylnaphthalene","26-dimethylnaphthalene","3-methylphenanthrene","9-methylphenanthrene","Retene"
"Kopachuck State Park",47.3115,-122.68725,0,0,0.5,0,0,0,0.51,0,2.1
"Lions Park",47.583016,-122.64217,0,0,0.84,0,0,0,0.82,0,2.6
"Locust Beach",48.76652,-122.5395,0,0,0,0,0,0,0,0,5.5
"Madrona Pont",47.579985,-122.67853,0,0,0.83,0,0,0,0.82,0,2.6
"Manchester, Stormwater Outfall",47.556111,-122.542778,0,0.65,0.81,0.6,0,0,0.99,0,2.9
"Maple Hollow Park",47.29954,-122.74554,0,0,0.61,0.55,0,0,0.56,0,3.3
"Maristone Island",48.018181,-122.699838,0,0,0,0,0,0,0,0,1.4
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0,0,0,0,0,0,0,2.1
"Miller Creek",47.443611,-122.361944,0,0.62,1,0.58,0,0,0.84,0,4.4
"Minter Bay",47.35399,-122.69176,0,0,0,0,0,0,0.59,0,2.5
"Mukilteo",47.949831,-122.301703,0,0.77,0.96,0,0,0,1.2,0,5.3
"N Avenue Park",48.52108,-122.61531,0,3.9,5.7,0,1.1,1.1,7.9,5.4,5
"North Camano",48.25523,-122.50817,0,0,0.69,0,0,0,0.7,0,5.7
"Oak Bay County Park",48.022466,-122.728123,0,0,0,0,0,0,0,0,1.6
"Penn Cove Baseline",48.218047,-122.712359,0.53,0,0,0.77,0,0,0.44,0,1.6
"Penn Cove Reference",48.214071,-122.719097,0,0,0.56,0,0,0,0.61,0,3.3
"Penrose Point State Park",47.2609094,-122.7447771,0,0,0.69,0.58,0,0,0.64,0,2.8
"Point Defiance Ferry",47.3061098,-122.514771,0,1.4,1.4,0.73,0,0,2.3,1.6,3.9
"Port Angeles Yacht Club",48.128267,-123.457133,0,2.7,3.4,0,0,0.61,4.7,3.1,15
"Purdy, Dexters",47.385334,-122.628902,0,0,0,0,0,0,0.59,0,2.8
"Purdy, Burley Lagoon",47.387021,-122.6367,0,0,0,0,0,0,0.72,0,3.1
"Raft Island Park",47.32622,-122.66715,0,0,0,0,0,0,0,0,1.5
"Reach Island",47.346817,-122.822363,0,0.58,1.1,0,0,0,0.69,0,5.8
"Rich Passage",47.578117,-122.524833,0,0.65,0.87,0.74,0,0,0.97,0,2.9
"Rocky Point",47.60253,-122.66991,0,0.69,1.3,0,0,0,0.99,0.51,4.2
"South of Skunk Island",48.02655,-122.75089,0,0.67,0.91,0,0,0,0.98,0,3.3
"Salmon Bay, Commodore Park",47.666244,-122.401894,0,0.76,1.3,0,0,0,1.3,0.89,5.5
"Salmon Beach",47.294692,-122.530504,0,0,1.3,0,0,0,1.2,0,4.6
"Seattle Aquarium, Pier 59",47.607334,-122.344055,0,3.9,4.1,0.7,0,0.86,6.1,5.1,6.7
"Shilshole Bay",47.6707,-122.40605,0,1.6,2,0.86,0,0,3,1.8,6.5
"Silverdale, Dyes Inlet",47.6428,-122.6967,0,0.61,0.83,0.59,0,0,0.99,0,2.9
"Skiff Point",47.6614139,-122.498892,0,0.96,1.6,0,0,0,1.4,0,5.3
"Smith Cove, Terminal 91",47.6325,-122.3786,1.2,7.8,8,1.4,0.79,1.5,12,11,9
"Squaxin Island",47.176735,-122.905337,0,0.43,0.75,0,0,0,0.61,0,3.5
"Suquamish Stormwater Outfall",47.729875,-122.550882,0.5,0.75,0.95,0.67,0,0,1.2,0.59,2.8
"Thea Foss Waterway",47.25934,-122.43479,0,1.6,2.3,0,0,0,2.1,1.5,6.8
"Three Tree Point",47.4485721,-122.3723967,0,0,1.1,0,0,0,0.96,0,4.1
"Tulalip Bay",48.0616613,-122.293939,0,0.79,0.89,0,0,0,1.2,0,4.9
"Tulalip Reservation",48.069978,-122.300216,0,0,0.73,0,0,0,1,0,3.1
"West Bay Park",47.052373,-122.9101963,0,0,0.7,0,0,0,0.9,0,7.6
"Williams Olson Park",47.6609,-122.5668,0,0.66,0.97,0,0,0,0.99,0,2.7
