"site_name","latitude","longitude","opDDD","opDDE","opDDT","ppDDD","ppDDT","ppDDE","z_opDDD","z_opDDE","z_opDDT","z_ppDDD","z_ppDDT","z_ppDDE","ai_z_opDDD","ai_z_opDDE","ai_z_opDDT","ai_z_ppDDD","ai_z_ppDDT","ai_z_ppDDE","ddt_index"
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0.38,0,0,0.91,0,0.6,1.35175278699764,NA,-0.229593899303759,1.50073111461329,-0.383102157688864,0.525541095756138,1.79939067862834,NA,0,2.04155667873943,0,1.82761586623077,5.66856322359854
"Thea Foss Waterway",47.25934,-122.43479,0.34,0,0,0.6,0,0.48,1.16234324187887,NA,-0.229593899303759,0.805255762515243,-0.383102157688864,0.160017922509983,1.60998113350956,NA,0,1.34608132664138,0,1.46209269298462,4.41815515313556
"Commencement Bay Skookum",47.28915,-122.4096,0.32,0,0.41,0.69,1.3,1.5,1.06763846931948,NA,4.60603103466239,1.00716796151145,5.63178679153243,3.2669648951023,1.51527636095018,NA,4.83562493396615,1.54799352563759,6.01488894922129,4.56903966557693,18.4828234353521
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0.32,0,0.37,0.92,0.98,1.2,1.06763846931948,NA,4.13426274842179,1.52316580339065,4.15119874249334,2.35315696198691,1.51527636095018,NA,4.36385664772555,2.06399136751678,4.5343009001822,3.65523173246155,16.1326570088363
"Kitsap St Boat Launch",47.541533,-122.640383,0.29,0,0,0.47,0,0.59,0.9255813104804,NA,-0.229593899303759,0.513604808409611,-0.383102157688864,0.495080831318958,1.3732192021111,NA,0,1.05443037253575,0,1.79715560179359,4.22480517644044
"Blair Waterway",47.2758,-122.4174,0.27,0,0,0.44,0.39,0.72,0.830876537921014,NA,-0.229593899303759,0.446300742077542,1.42136452707752,0.891064269002292,1.27851442955171,NA,0,0.987126306203678,1.80446668476639,2.19313903947693,6.26324645999871
"Chambers Bay Park",47.2009,-122.58342,0,0,0,0,0,0.28,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.449187366233608,0,NA,0,0,0,0.852887404241028,0.852887404241028
"Suquamish Stormwater Outfall",47.729875,-122.550882,0,0,0,0.14,0,0.36,-0.447637891630698,NA,-0.229593899303759,-0.226739921243148,-0.383102157688864,-0.205505250736172,0,NA,0,0.314085642882989,0,1.09656951973846,1.41065516262145
"Rich Passage",47.578117,-122.524833,0,0,0,0.17,0,0.35,-0.447637891630698,NA,-0.229593899303759,-0.159435854911079,-0.383102157688864,-0.235965515173351,0,NA,0,0.381389709215058,0,1.06610925530128,1.44749896451634
"Donkey Creek Delta",47.337909,-122.59023,0,0,0,0,0,0.39,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.114124457424633,0,NA,0,0,0,1.18795031305,1.18795031305
"Kopachuck State Park",47.3115,-122.68725,0,0,0,0,0,0.22,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.631948952856686,0,NA,0,0,0,0.67012581761795,0.67012581761795
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0,0,0,0,0,0.33,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.29688604404771,0,NA,0,0,0,1.00518872642693,1.00518872642693
"Edmonds Marina",47.81094,-122.387955,0,0,0,0.19,0,0.42,-0.447637891630698,NA,-0.229593899303759,-0.114566477356366,-0.383102157688864,-0.0227436641130944,0,NA,0,0.42625908676977,0,1.27933110636154,1.70559019313131
"Penrose Point State Park",47.2609094,-122.7447771,0,0,0,0,0,0.21,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.662409217293865,0,NA,0,0,0,0.639665553180771,0.639665553180771
"Purdy, Burley Lagoon",47.387021,-122.6367,0,0,0,0,0,0.33,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.29688604404771,0,NA,0,0,0,1.00518872642693,1.00518872642693
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,0.3,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.388266837359249,0,NA,0,0,0,0.913807933115387,0.913807933115387
"Maple Hollow Park",47.29954,-122.74554,0,0,0,0,0,0.23,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.601488688419506,0,NA,0,0,0,0.70058608205513,0.70058608205513
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0,0,0,0,0.19,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.723329746168224,0,NA,0,0,0,0.578745024306412,0.578745024306412
"Seattle Aquarium, Pier 59",47.607334,-122.344055,0,0,0,0.73,0.16,0.67,-0.447637891630698,NA,-0.229593899303759,1.09690671662088,0.35719186683068,0.738762946816395,0,NA,0,1.63773228074701,0.740294024519544,2.04083771729103,4.41886402255759
"Silverdale, Dyes Inlet",47.6428,-122.6967,0,0,0,0.24,0,0.5,-0.447637891630698,NA,-0.229593899303759,-0.00239303346958466,-0.383102157688864,0.220938451384342,0,NA,0,0.538432530656552,0,1.52301322185898,2.06144575251553
"Tulalip Reservation",48.069978,-122.300216,0,0,0,0,0,0.22,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.631948952856686,0,NA,0,0,0,0.67012581761795,0.67012581761795
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,0,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-1.30207477047464,0,NA,0,0,0,0,0
"Browns Point Lighthouse",47.304906,-122.44427,0,0,0,0.48,0.35,0.6,-0.447637891630698,NA,-0.229593899303759,0.536039497186967,1.23629102094764,0.525541095756138,0,NA,0,1.0768650613131,1.6193931786365,1.82761586623077,4.52387410618038
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0,0,0,0.45,0.27,0.47,-0.447637891630698,NA,-0.229593899303759,0.468735430854898,0.866144008687866,0.129557658072803,0,NA,0,1.00956099498103,1.24924616637673,1.43163242854744,3.6904395899052
"Discovery Bay",48.064974,-122.857218,0,0,0,0,0,0.22,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.631948952856686,0,NA,0,0,0,0.67012581761795,0.67012581761795
"Filucy Bay",47.19483,-122.748665,0,0,0,0,0,0.27,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.479647630670788,0,NA,0,0,0,0.822427139803848,0.822427139803848
"Kingston Marina",47.7947,-122.5003,0,0,0,0,0,0.29,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.418727101796429,0,NA,0,0,0,0.883347668678207,0.883347668678207
"Miller Creek",47.443611,-122.361944,0,0,0,0.21,0,0.38,-0.447637891630698,NA,-0.229593899303759,-0.0696970998016536,-0.383102157688864,-0.144584721861813,0,NA,0,0.471128464324483,0,1.15749004861282,1.62861851293731
"Minter Bay",47.35399,-122.69176,0,0,0,0,0,0.26,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.510107895107967,0,NA,0,0,0,0.791966875366669,0.791966875366669
"Penn Cove Reference",48.214071,-122.719097,0,0,0,0,0.2,0.39,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,0.542265372960566,-0.114124457424633,0,NA,0,0,0.925367530649429,1.18795031305,2.11331784369943
"Purdy, Dexters",47.385334,-122.628902,0,0,0,0,0,0.29,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.418727101796429,0,NA,0,0,0,0.883347668678207,0.883347668678207
"Raft Island Park",47.32622,-122.66715,0,0,0,0,0,0.2,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.692869481731045,0,NA,0,0,0,0.609205288743591,0.609205288743591
"Gig Harbor Boat Launch",47.3372,-122.58284,0,0,0,0,0,0.34,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.266425779610531,0,NA,0,0,0,1.03564899086411,1.03564899086411
"Maristone Island",48.018181,-122.699838,0,0,0,0,0,0.19,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.723329746168224,0,NA,0,0,0,0.578745024306412,0.578745024306412
"Mukilteo",47.949831,-122.301703,0,0,0,0,0,0.3,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.388266837359249,0,NA,0,0,0,0.913807933115387,0.913807933115387
"Point Defiance Ferry",47.3061098,-122.514771,0,0,0,0.21,0,0.39,-0.447637891630698,NA,-0.229593899303759,-0.0696970998016536,-0.383102157688864,-0.114124457424633,0,NA,0,0.471128464324483,0,1.18795031305,1.65907877737449
"Tulalip Bay",48.0616613,-122.293939,0,0,0,0,0,0.33,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.29688604404771,0,NA,0,0,0,1.00518872642693,1.00518872642693
"Edmonds Ferry",47.8142069,-122.3822018,0,0,0,0,0,0.39,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.114124457424633,0,NA,0,0,0,1.18795031305,1.18795031305
"Jamestown",48.027069,-122.999191,0,0,0,0,0,0,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-1.30207477047464,0,NA,0,0,0,0,0
"Madrona Pont",47.579985,-122.67853,0,0,0,0,0,0.43,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,0.00771660032408515,0,NA,0,0,0,1.30979137079872,1.30979137079872
"Manchester, Stormwater Outfall",47.556111,-122.542778,0,0,0,0,0,0.35,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.235965515173351,0,NA,0,0,0,1.06610925530128,1.06610925530128
"Oak Bay County Park",48.022466,-122.728123,0,0,0,0,0,0.18,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.753790010605404,0,NA,0,0,0,0.548284759869232,0.548284759869232
"Rocky Point",47.60253,-122.66991,0,0,0,0,0,0.41,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.053203928550274,0,NA,0,0,0,1.24887084192436,1.24887084192436
"Squaxin Island",47.176735,-122.905337,0,0,0,0,0,0.2,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.692869481731045,0,NA,0,0,0,0.609205288743591,0.609205288743591
"Cap Sante",48.52093,-122.600725,0,0,0,0.33,0.2,0.44,-0.447637891630698,NA,-0.229593899303759,0.199519165526622,0.542265372960566,0.0381768647612647,0,NA,0,0.740344729652759,0.925367530649429,1.3402516352359,3.00596389553809
"Eagle Harbor Dr",47.618875,-122.527234,0,0,0,0.23,0,0.44,-0.447637891630698,NA,-0.229593899303759,-0.0248277222469409,-0.383102157688864,0.0381768647612647,0,NA,0,0.515997841879196,0,1.3402516352359,1.8562494771151
"Everett Harbor",47.97252,-122.22982,0,0,0,0,0,0.28,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.449187366233608,0,NA,0,0,0,0.852887404241028,0.852887404241028
"Friday Harbor",48.5069444,-123.0194444,0,0,0,0,0,0.21,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.662409217293865,0,NA,0,0,0,0.639665553180771,0.639665553180771
"Arroyo Beach",47.50159,-122.38577,0,0,0,0,0,0.4,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.0836641929874535,0,NA,0,0,0,1.21841057748718,1.21841057748718
"Chuckanut, Clark's Point",48.691084,-122.504012,0,0,0,0,0.23,0.54,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,0.68107050255798,0.34277950913306,0,NA,0,0,1.06417266024684,1.6448542796077,2.70902693985454
"Eld Inlet",47.0769,-123.0034725,0,0,0,0,0,0.27,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.479647630670788,0,NA,0,0,0,0.822427139803848,0.822427139803848
"Hood Canal Holly",47.570193,-122.971775,0,0,0,0,0,0,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-1.30207477047464,0,NA,0,0,0,0,0
"Locust Beach",48.76652,-122.5395,0,0,0,0,0.24,0.44,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,0.727338879090452,0.0381768647612647,0,NA,0,0,1.11044103677932,1.3402516352359,2.45069267201522
"Three Tree Point",47.4485721,-122.3723967,0,0,0,0,0,0.48,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,0.160017922509983,0,NA,0,0,0,1.46209269298462,1.46209269298462
"Williams Olson Park",47.6609,-122.5668,0,0,0,0,0,0.36,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.205505250736172,0,NA,0,0,0,1.09656951973846,1.09656951973846
"Lions Park",47.583016,-122.64217,0,0,0,0,0,0.46,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,0.0990973936356239,0,NA,0,0,0,1.40117216411026,1.40117216411026
"North Camano",48.25523,-122.50817,0,0,0,0,0.22,0.46,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,0.634802126025509,0.0990973936356239,0,NA,0,0,1.01790428371437,1.40117216411026,2.41907644782463
"West Bay Park",47.052373,-122.9101963,0,0,0,0,0,0.44,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,0.0381768647612647,0,NA,0,0,0,1.3402516352359,1.3402516352359
"Chimacum Creek delta",48.04887,-122.7711,0,0,0,0,0,0,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-1.30207477047464,0,NA,0,0,0,0,0
"Eastsound, Fishing Bay",48.69395,-122.909933,0,0,0,0,0,0.25,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.540568159545147,0,NA,0,0,0,0.761506610929489,0.761506610929489
"Reach Island",47.346817,-122.822363,0,0,0,0,0,0.25,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.540568159545147,0,NA,0,0,0,0.761506610929489,0.761506610929489
"South of Skunk Island",48.02655,-122.75089,0,0,0,0,0,0,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-1.30207477047464,0,NA,0,0,0,0,0
"Salmon Beach",47.294692,-122.530504,0,0,0,0,0,0.26,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.510107895107967,0,NA,0,0,0,0.791966875366669,0.791966875366669
"Brackenwood Ln",47.68203,-122.50668,0,0,0,0,0,0.37,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.175044986298992,0,NA,0,0,0,1.12702978417564,1.12702978417564
"Skiff Point",47.6614139,-122.498892,0,0,0,0,0,0.35,-0.447637891630698,NA,-0.229593899303759,-0.540825564126136,-0.383102157688864,-0.235965515173351,0,NA,0,0,0,1.06610925530128,1.06610925530128
