Site_ID,Site_Name,County,City,Lat,Long,Number
PSS13175-000021,Point Defiance Ferry,Pierce,Tacoma,47.3062,-122.5145,4
PSS13175-000039,"Smith Cove, Terminal 91",King,Seattle,47.63237,-122.37869,4
PSS13175-000049,Donkey Creek Delta,Pierce,Gig Harbor,47.33775,-122.59014,4
CB_CBSW,Comm Bay Skookum,Pierce,Tacoma,47.29,-122.41,4
CB_CBTF,Thea Foss Waterway,Pierce,Tacoma,47.259189,-122.434689,5
CPS_SB,"Salmon Bay, Commodore Park",King,Seattle,47.6663,-122.4018,4
EB_P59,"Seattle Aquarium, Pier 59",King,Seattle,47.607,-122.342,4
NPS_CPAR4,"Cherry Point Aquatic Reserve, Conoco Phillips",Whatcom,Bellingham,48.8208,-122.7101,4
PSMF,Mukilteo,Snohomish,Mukilteo,47.94968,-122.30158,4
PSEH,Everett Harbor,Snohomish,Everett,47.9726,-122.22977,4
PSTB,Tulalip Bay,Snohomish,Marysville,48.0617,-122.2939,6
PSEM,Edmonds Marina,Snohomish,Edmonds,47.8111,-122.388,4
PSEF,Edmonds Ferry,Snohomish,Edmonds,47.81407,-122.3825,4
CPS_RP,Rich Passage,Kitsap,Bainbridge Island,47.578117,-122.524833,4
SPS_HIMP,Meyer's Point - Henderson Inlet,Thurston,Olympia,47.11795,-122.83359,4
SPS_PBL,"Purdy, Burley Lagoon",Pierce,Purdy,47.386977,-122.6367089,4
CB_DGL,"Comm Bay, Dick Gilmur Launch",Pierce,Tacoma,47.292549,-122.412175,4
CB_MW,"Comm Bay, Milwaukee Waterway",Pierce,Tacoma,47.2694,-122.4243,5
NPS_FBAR,"Fidalgo Bay Aq Reserve, Weaverling Spit",Skagit,Anacortes,48.482448,-122.583879,4
CPS_SHLB,Shilshole Bay,King,Seattle,47.671678,-122.406663,4
EB_ME,Elliot Bay Myrtle Edwards,King,Seattle,47.61862,-122.36108,5
CPS_MASO,"Manchester, Stormwater Outfall",Kitsap,Manchester,47.55622,-122.54281,4
CPS_SQSO,"Suquamish, Stormwater Outfall",Kitsap,Suquamish,47.7296079,-122.5506191,4
WPS_SVD,"Silverdale, Dyes Inlet",Kitsap,Silverdale,47.6427936,-122.6967068,4
CPS_KM,Kingston Marina,Kitsap,Kingston,47.794695,-122.499858,0
SJD_JSK,Jamestown,Clallam,Sequim,48.024789,-122.998135,6
AI_OB,Oak Bay County Park,Jefferson,Port Hadlock,48.02218,-122.728709,4
AI_MI,Maristone Island,Jefferson,Marrowstone,48.018127,-122.699524,6
SPS_PP,Penrose Point State Park,Pierce,Lakebay,47.2619,-122.7376,4
SPS_MHP,Maple Hollow Park,Pierce,Lakebay,47.30008,-122.74566,4
SPS_KSP,Kopachuck State Park,Pierce,Gig Harbor,47.30973,-122.68868,4
SPS_RIP,Raft Island Park,Pierce,Gig Harbor,47.32598,-122.66724,4
CPS_MC,Miller Creek,King,Burien,47.4436,-122.360316,4
CPS_DM,Des Moines Marina,King,Des Moines,47.40301418,-122.3305538,4
PSS13175-000185,Browns Point Lighthouse,Pierce,Tacoma,47.30515,-122.44441,4
SPS_MB,Minter Bay,Pierce,Gig Harbor,47.3539722,-122.69175,4
SPS_CBP,Chambers Bay Park,Pierce,Tacoma,47.1905742,-122.5834897,4
PSS13175-000161,Purdy - Dexters,Pierce,Purdy,47.38566,-122.627255,4
PSS13175-000481,Gig Harbor Boat Launch,Pierce,Gig Harbor,47.33785,-122.58277,4
SPS_FB,Filucy Bay,Pierce,Longbranch,47.19483,-122.748665,4
WB_PCB1,Penn Cove Baseline 1,Island,Whidbey,48.218047,-122.712359,0
WB_PCB2,Penn Cove Baseline 2,Island,Whidbey,48.218047,-122.712359,0
WB_PCB3,Penn Cove Baseline 3,Island,Whidbey,48.218047,-122.712359,0
