"latitude","longitude","site_name","qualifier","site","flagged","opDDD","opDDE","opDDT","ppDDD","ppDDT","ppDDE"
48.76652,-122.5395,"Locust Beach","U","Locust Beach",TRUE,0,0,0,0,NA,NA
47.4485721,-122.3723967,"Three Tree Point","U","Three Tree Point",TRUE,0,0,0,0,0,NA
47.6609,-122.5668,"Williams Olson Park","U","Williams Olson Park",TRUE,0,0,0,0,0,NA
47.583016,-122.64217,"Lions Park","U","Lions Park",TRUE,0,0,0,0,0,NA
48.25523,-122.50817,"North Camano","U","North Camano",TRUE,0,0,0,0,NA,NA
47.052373,-122.9101963,"West Bay Park","U","West Bay Park",TRUE,0,0,0,0,0,NA
48.04887,-122.7711,"Chimacum Creek delta","U","Chimacum Creek delta",TRUE,0,0,0,0,0,0
48.69395,-122.909933,"Eastsound, Fishing Bay","U","Eastsound, Fishing Bay",TRUE,0,0,0,0,0,NA
47.346817,-122.822363,"Reach Island","U","Reach Island",TRUE,0,0,0,0,0,NA
48.02655,-122.75089,"S of Skunk Island","U","South of Skunk Island",TRUE,0,0,0,0,0,0
47.294692,-122.530504,"Salmon Beach","U","Salmon Beach",TRUE,0,0,0,0,0,NA
47.68203,-122.50668,"Brackenwood Ln","U","Brackenwood Ln",TRUE,0,0,0,0,0,NA
47.6614139,-122.498892,"Skiff Point","U","Skiff Point",TRUE,0,0,0,0,0,NA
47.6325,-122.3786,"Smith Cove, Terminal 91","U","Smith Cove, Terminal 91",TRUE,NA,0,NA,NA,NA,NA
47.2925,-122.4122,"Comm Bay, Dick Gilmur Launch","U","Commencement Bay, Dick Gilmur Launch",TRUE,NA,0,NA,NA,NA,NA
47.402778,-122.331667,"Des Moines Marina","U","Des Moines Marina",TRUE,NA,0,NA,NA,0,NA
47.62052,-122.36373,"Elliot Bay Myrtle Edwards","U","Elliot Bay Myrtle Edwards",TRUE,NA,0,0,NA,0,NA
47.666244,-122.401894,"Salmon Bay, Commodore Park","U","Salmon Bay, Commodore Park",TRUE,NA,0,0,NA,NA,NA
47.6707,-122.40605,"Shilshole Bay","U","Shilshole Bay",TRUE,NA,0,0,NA,NA,NA
47.25934,-122.43479,"Thea Foss Waterway","U","Thea Foss Waterway",TRUE,NA,0,0,NA,0,NA
47.541533,-122.640383,"Kitsap St Boat Launch","U","Kitsap St Boat Launch",TRUE,NA,0,0,NA,0,NA
48.52108,-122.61531,"N Avenue Park","U","N Avenue Park",TRUE,NA,0,0,NA,0,NA
48.128267,-123.457133,"Port Angeles Yacht Club","U","Port Angeles Yacht Club",TRUE,NA,0,0,NA,0,NA
47.2758,-122.4174,"Blair Waterway","U","Blair Waterway",TRUE,NA,0,0,NA,NA,NA
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17","U","Elliott Bay, Harbor Island, Pier 17",TRUE,NA,0,0,NA,0,NA
47.28915,-122.4096,"Comm Bay Skookum","U","Commencement Bay Skookum",TRUE,NA,0,NA,NA,NA,NA
47.2632,-122.3856,"Blair Waterway #2","U","Blair Waterway Two",TRUE,NA,0,0,NA,NA,NA
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit","U","Fidalgo Bay Aq Reserve, Weaverling Spit",TRUE,NA,0,0,NA,0,NA
47.607334,-122.344055,"Seattle Aquarium, Pier 59","D","Seattle Aquarium, Pier 59",FALSE,NA,NA,NA,0.73,NA,0.67
47.304906,-122.44427,"Browns Point Lighthouse","D","Browns Point Lighthouse",FALSE,NA,NA,NA,0.48,0.35,0.6
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway","D","Commencement Bay, Milwaukee Waterway",FALSE,NA,NA,NA,0.45,0.27,0.47
48.52093,-122.600725,"Cap Sante","D","Cap Sante",FALSE,NA,NA,NA,0.33,0.2,0.44
47.6428,-122.6967,"Silverdale, Dyes Inlet","D","Silverdale, Dyes Inlet",FALSE,NA,NA,NA,0.24,NA,0.5
47.618875,-122.527234,"Eagle Harbor Dr","D","Eagle Harbor Dr",FALSE,NA,NA,NA,0.23,NA,0.44
47.443611,-122.361944,"Miller Creek","D,LOQ","Miller Creek",FALSE,NA,NA,NA,0.21,NA,NA
47.3061098,-122.514771,"Point Defiance Ferry","D,LOQ","Point Defiance Ferry",FALSE,NA,NA,NA,0.21,NA,NA
47.81094,-122.387955,"Edmonds Marina","D,LOQ","Edmonds Marina",FALSE,NA,NA,NA,0.19,NA,NA
47.578117,-122.524833,"Rich Passage","D,LOQ","Rich Passage",FALSE,NA,NA,NA,0.17,NA,NA
47.729875,-122.550882,"Suquamish, Stormwater Outfall","D,LOQ","Suquamish Stormwater Outfall",FALSE,NA,NA,NA,0.14,NA,NA
48.691084,-122.504012,"Chuckanut, Clark's Point","D","Chuckanut, Clark's Point",FALSE,NA,NA,NA,NA,0.23,0.54
47.4485721,-122.3723967,"Three Tree Point","D","Three Tree Point",FALSE,NA,NA,NA,NA,NA,0.48
47.583016,-122.64217,"Lions Park","D","Lions Park",FALSE,NA,NA,NA,NA,NA,0.46
48.25523,-122.50817,"North Camano","D","North Camano",FALSE,NA,NA,NA,NA,0.22,0.46
48.76652,-122.5395,"Locust Beach","D","Locust Beach",FALSE,NA,NA,NA,NA,0.24,0.44
47.052373,-122.9101963,"West Bay Park","D","West Bay Park",FALSE,NA,NA,NA,NA,NA,0.44
47.579985,-122.67853,"Madrona Pont","D","Madrona Pont",FALSE,NA,NA,NA,NA,NA,0.43
47.81094,-122.387955,"Edmonds Marina","D","Edmonds Marina",FALSE,NA,NA,NA,NA,NA,0.42
47.60253,-122.66991,"Rocky Point","D","Rocky Point",FALSE,NA,NA,NA,NA,NA,0.41
47.50159,-122.38577,"Arroyo Beach","D","Arroyo Beach",FALSE,NA,NA,NA,NA,NA,0.4
47.337909,-122.59023,"Donkey Creek Delta","D","Donkey Creek Delta",FALSE,NA,NA,NA,NA,NA,0.39
47.8142069,-122.3822018,"Edmonds Ferry","D","Edmonds Ferry",FALSE,NA,NA,NA,NA,NA,0.39
48.214071,-122.719097,"Penn Cove Reference","D","Penn Cove Reference",FALSE,NA,NA,NA,NA,0.2,0.39
47.3061098,-122.514771,"Point Defiance Ferry","D","Point Defiance Ferry",FALSE,NA,NA,NA,NA,NA,0.39
47.443611,-122.361944,"Miller Creek","D","Miller Creek",FALSE,NA,NA,NA,NA,NA,0.38
47.68203,-122.50668,"Brackenwood Ln","D","Brackenwood Ln",FALSE,NA,NA,NA,NA,NA,0.37
47.729875,-122.550882,"Suquamish, Stormwater Outfall","D","Suquamish Stormwater Outfall",FALSE,NA,NA,NA,NA,NA,0.36
47.6609,-122.5668,"Williams Olson Park","D","Williams Olson Park",FALSE,NA,NA,NA,NA,NA,0.36
47.556111,-122.542778,"Manchester, Stormwater Outfall","D","Manchester, Stormwater Outfall",FALSE,NA,NA,NA,NA,NA,0.35
47.578117,-122.524833,"Rich Passage","D","Rich Passage",FALSE,NA,NA,NA,NA,NA,0.35
47.6614139,-122.498892,"Skiff Point","D","Skiff Point",FALSE,NA,NA,NA,NA,NA,0.35
47.3372,-122.58284,"Gig Harbor Boat Launch","D","Gig Harbor Boat Launch",FALSE,NA,NA,NA,NA,NA,0.34
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","D","Cherry Point Aquatic Reserve, Conoco Phillips",FALSE,NA,NA,NA,NA,NA,0.33
47.387021,-122.6367,"Purdy, Burley Lagoon","D","Purdy, Burley Lagoon",FALSE,NA,NA,NA,NA,NA,0.33
48.0616613,-122.293939,"Tulalip Bay","D","Tulalip Bay",FALSE,NA,NA,NA,NA,NA,0.33
48.6793778,-122.6300583,"Aiston Preserve","D","Aiston Preserve",FALSE,NA,NA,NA,NA,NA,0.3
47.949831,-122.301703,"Mukilteo","D","Mukilteo",FALSE,NA,NA,NA,NA,NA,0.3
47.7947,-122.5003,"Kingston Marina","D","Kingston Marina",FALSE,NA,NA,NA,NA,NA,0.29
47.385334,-122.628902,"Purdy - Dexters","D","Purdy, Dexters",FALSE,NA,NA,NA,NA,NA,0.29
47.2009,-122.58342,"Chambers Bay Park","D","Chambers Bay Park",FALSE,NA,NA,NA,NA,NA,0.28
47.97252,-122.22982,"Everett Harbor","D","Everett Harbor",FALSE,NA,NA,NA,NA,NA,0.28
47.0769,-123.0034725,"Eld Inlet","D","Eld Inlet",FALSE,NA,NA,NA,NA,NA,0.27
47.19483,-122.748665,"Filucy Bay","D","Filucy Bay",FALSE,NA,NA,NA,NA,NA,0.27
47.35399,-122.69176,"Minter Bay","D","Minter Bay",FALSE,NA,NA,NA,NA,NA,0.26
47.294692,-122.530504,"Salmon Beach","D","Salmon Beach",FALSE,NA,NA,NA,NA,NA,0.26
48.69395,-122.909933,"Eastsound, Fishing Bay","D","Eastsound, Fishing Bay",FALSE,NA,NA,NA,NA,NA,0.25
47.346817,-122.822363,"Reach Island","D","Reach Island",FALSE,NA,NA,NA,NA,NA,0.25
47.29954,-122.74554,"Maple Hollow Park","D","Maple Hollow Park",FALSE,NA,NA,NA,NA,NA,0.23
48.064974,-122.857218,"Discovery Bay","D","Discovery Bay",FALSE,NA,NA,NA,NA,NA,0.22
47.3115,-122.68725,"Kopachuck State Park","D","Kopachuck State Park",FALSE,NA,NA,NA,NA,NA,0.22
48.069978,-122.300216,"Tulalip Reservation","D","Tulalip Reservation",FALSE,NA,NA,NA,NA,NA,0.22
48.5069444,-123.0194444,"Friday Harbor","D","Friday Harbor",FALSE,NA,NA,NA,NA,NA,0.21
47.2609094,-122.7447771,"Penrose Point State Park","D","Penrose Point State Park",FALSE,NA,NA,NA,NA,NA,0.21
47.32622,-122.66715,"Raft Island Park","D,LOQ","Raft Island Park",FALSE,NA,NA,NA,NA,NA,0.2
47.176735,-122.905337,"Squaxin Island","D,LOQ","Squaxin Island",FALSE,NA,NA,NA,NA,NA,0.2
48.018181,-122.699838,"Maristone Island","D,LOQ","Maristone Island",FALSE,NA,NA,NA,NA,NA,0.19
47.117944,-122.833528,"Meyer's Point - Henderson Inlet","D,LOQ","Meyer's Point, Henderson Inlet",FALSE,NA,NA,NA,NA,NA,0.19
48.022466,-122.728123,"Oak Bay County Park","D,LOQ","Oak Bay County Park",FALSE,NA,NA,NA,NA,NA,0.18
47.607334,-122.344055,"Seattle Aquarium, Pier 59","D,LOQ","Seattle Aquarium, Pier 59",FALSE,NA,NA,NA,NA,0.16,NA
