sample_id,site_name,site_number,reporting_area,pcb_group,geo_groupA,pah_group,latitude,longitude,p450,sod,ci_wet_volume,ci_wet_shell_weight,ci_pollution,shell_thickness
275,Reach Island,39,5,1,2,5,47.346537,-122.82236,1945061,0.028,0.342,2.03,0.528822741,0.765
169,Kingston Marina,36,4,3,2,4,47.794695,-122.499858,7944848,0.048,0.303,1.52,0.52567128,0.71
210,N Avenue Park,62,8,2,3,8,48.52108,-122.61531,4764132,0.064,0.358,2.41,0.327317019,0.79
136,Tulalip Bay,67,3,2,3,3,48.0617,-122.2939,3670556,0.135,0.334,2.36,0.469191938,0.945
97,Brackenwood Ln,23,5,2,2,5,47.68234,-122.5064,2162299,0.144,0.331,1.77,0.349745822,0.755
266,Donkey Creek Delta,44,7,6,2,7,47.33775,-122.59014,4311572,0.189,0.321,2.4,0.326764975,0.755
177,Filucy Bay,59,2,3,4,2,47.19483,-122.748665,8044535,0.232,0.335,1.84,0.568180382,0.76
122,Thea Foss Waterway,46,5,5,1,5,47.259189,-122.434689,8793166,0.255,0.07,0.48,0.051517883,0.85
19,Mukilteo,65,6,2,2,6,47.94968,-122.30158,3877914,0.271,0.318,2.08,0.372070601,0.855
274,Reach Island,39,4,1,1,4,47.346537,-122.82236,7550982,0.367,0.336,2.34,0.211982583,0.85
6,Suquamish Stormwater Outfall,34,5,4,2,5,47.7296079,-122.5506191,5346329,0.512,0.352,1.89,0.356900044,1.015
305,North Camano,7,1,1,3,1,48.255358,-122.507014,31917668,0.564,0.324,2.24,0.247053536,0.725
281,Arroyo Beach,13,7,3,2,7,47.50161,-122.38593,6485447,0.635,0.355,2.35,0.378540592,0.965
152,Blair Waterway,41,3,3,2,3,47.27568,-122.4173,4422422,0.672,0.338,2.79,0.294392051,0.89
253,Kopachuck State Park,52,6,2,2,6,47.30973,-122.68868,8338308,0.775,0.139,2.1,0.014133108,0.79
138,Tulalip Bay,67,3,2,3,3,48.0617,-122.2939,5606185,0.787,0.35,2.53,0.316358702,0.835
229,Edmonds Ferry,69,4,3,1,4,47.81407,-122.3825,6928220,0.818,0.409,2.38,0.436325709,0.885
172,Rich Passage,32,2,4,4,2,47.578117,-122.524833,3101248,0.844,0.336,2.6,0.408804937,0.745
291,Shilshole Bay,18,4,6,2,4,47.671678,-122.406663,4026125,0.854,0.37,2.99,0.748701014,0.56
269,Broad Spit (Fisherman's Point),30,3,1,4,3,47.78184,-122.83474,1266317,0.897,0.322,2.53,0.686300371,0.645
32,"Elliott Bay, Harbor Island, Pier 17",14,4,7,3,4,47.58766,-122.35065,9119663,0.975,0.328,1.91,0.263377472,0.94
15,S of Skunk Island,9,4,1,3,4,48.02667,-122.75076,4168799,0.978,0.337,2.43,0.323273269,0.78
35,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,2,1,7,48.8208,-122.7101,3977493,1.005,0.352,2.09,0.320090436,0.935
140,Tulalip Bay,67,7,2,1,7,48.0617,-122.2939,5640873,1.035,0.343,2.44,0.262124905,1
232,Miller Creek,20,1,3,3,1,47.4436,-122.360316,4130787,1.041,0.346,2.41,0.333927823,0.745
190,Tulalip Reservation,70,3,1,3,3,48.0697859,-122.2997764,4215635,1.126,0.307,2.06,0.301084566,0.845
218,Raft Island Park,53,2,2,4,2,47.32598,-122.66724,1581168,1.226,0.373,3.06,0.483777572,0.635
142,Blair Waterway #2,42,7,3,1,7,47.2632444,-122.385731,4998033,1.269,0.315,1.6,0.494384113,0.815
289,"Salmon Bay, Commodore Park",16,4,7,2,4,47.6663,-122.4018,2016415,1.33,0.352,2.22,0.364679778,0.725
36,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,2,1,7,48.8208,-122.7101,3836553,1.463,0.344,1.68,0.561156568,0.975
162,Discovery Bay,12,3,1,5,3,48.064957,-122.857524,5775686,1.485,0.34,2.08,0.420452176,0.805
29,"Elliott Bay, Harbor Island, Pier 17",14,8,7,2,8,47.58766,-122.35065,6892889,1.487,0.342,1.91,0.562866727,0.785
208,Everett Harbor,66,8,2,3,8,47.9726,-122.22977,6149521,1.496,0.354,2.02,0.678558753,0.675
195,Browns Point Lighthouse,54,2,3,4,2,47.30515,-122.44441,9793068,1.51,0.374,2.58,0.569565062,0.8
197,Browns Point Lighthouse,54,2,3,4,2,47.30515,-122.44441,9992165,1.531,0.377,2.35,0.363284787,0.935
292,Shilshole Bay,18,4,6,2,4,47.671678,-122.406663,2842961,1.541,0.314,2.14,0.742155996,0.575
191,Tulalip Reservation,70,6,1,1,6,48.0697859,-122.2997764,3759846,1.593,0.342,2.27,0.298376486,0.82
78,"Seattle Aquarium, Pier 59",17,8,7,2,8,47.607,-122.342,4956424,1.736,0.348,2.36,0.684752864,0.905
260,Skiff Point,24,6,1,1,6,47.66142,-122.49884,5002813,1.755,0.349,2.08,0.655543795,0.59
244,Port Angeles Yacht Club,1,8,4,5,8,48.12823,-123.45715,2563791,1.758,0.283,3,0.239785615,0.82
258,Skiff Point,24,5,1,2,5,47.66142,-122.49884,12721347,1.895,0.33,2.43,0.291240104,0.49
181,Minter Bay,55,5,2,4,5,47.3539722,-122.69175,7066217,1.97,0.433,1.98,0.960456905,0.8
173,Rich Passage,32,2,4,4,2,47.578117,-122.524833,4147207,1.999,0.35,2.51,0.632036661,0.765
174,Filucy Bay,59,2,3,4,2,47.19483,-122.748665,6728961,2.006,0.268,1.49,0.550374559,0.815
54,Kitsap St Boat Launch,25,7,7,2,7,47.54167,-122.64034,3524590,2.056,0.439,2.84,0.524012501,0.805
153,Madrona Pont,28,3,4,2,3,47.57995505,-122.6786,6651025,2.069,0.339,2,0.384578004,0.785
59,Eagle Harbor Dr,31,7,6,3,7,47.61889,-122.5275,939029,2.07,0.526,3.04,0.634852679,0.91
237,Locust Beach,76,1,1,3,1,48.77636877,-122.5378679,3303872,2.108,0.329,2.4,0.281602662,0.745
262,"Manchester, Stormwater Outfall",33,6,3,1,6,47.55622,-122.54281,12583522,2.13,0.321,2.9,0.245109935,0.61
100,Chimacum Creek delta,8,2,1,3,2,48.04906,-122.7724,3089178,2.177,0.366,2.25,0.323955907,1.045
238,Locust Beach,76,1,1,3,1,48.77636877,-122.5378679,2252655,2.218,0.349,2.65,0.275351688,0.74
222,Friday Harbor,61,6,1,5,6,48.5069444,-123.0194444,3660262,2.297,0.335,2.15,0.383454925,0.735
8,Suquamish Stormwater Outfall,34,5,4,2,5,47.7296079,-122.5506191,5633230,2.326,0.245,1.93,0.155478144,1.02
155,Madrona Pont,28,6,4,1,6,47.57995505,-122.6786,3417364,2.369,0.321,1.96,0.685567359,0.72
311,Maristone Island,11,2,2,2,2,48.018127,-122.699524,2318505,2.408,0.368,3.3,0.275681375,0.675
306,North Camano,7,1,1,3,1,48.255358,-122.507014,5141401,2.438,0.315,2.25,0.470918091,0.855
196,Browns Point Lighthouse,54,2,3,4,2,47.30515,-122.44441,7655768,2.472,0.358,2.47,0.333576465,0.82
180,Minter Bay,55,5,2,4,5,47.3539722,-122.69175,6536182,2.525,0.33,1.97,0.230622035,1.095
295,Rocky Point,27,4,5,2,4,47.60255,-122.66992,3139278,2.605,0.336,2.39,0.472425034,0.72
182,West Bay Park,73,5,4,4,5,47.052362,-122.910912,7223931,2.621,0.324,2.05,0.391372931,0.78
171,Rich Passage,32,2,4,4,2,47.578117,-122.524833,4087247,2.631,0.348,2.27,0.676787693,0.83
144,Blair Waterway #2,42,2,3,1,2,47.2632444,-122.385731,3506452,2.637,0.309,1.86,0.488584072,0.9
156,Madrona Pont,28,6,4,1,6,47.57995505,-122.6786,6776918,2.733,0.321,2.04,0.196545155,1.005
11,Pennrose Point State Park,50,3,3,4,3,47.2619,-122.7376,7518449,2.815,0.218,2.27,0.103421927,0.955
102,Chimacum Creek delta,8,1,1,4,1,48.04906,-122.7724,1783000,2.837,0.335,1.89,0.444009971,0.75
220,Raft Island Park,53,6,2,5,6,47.32598,-122.66724,6767449,2.855,0.341,2.72,0.366592612,0.595
10,Pennrose Point State Park,50,3,3,4,3,47.2619,-122.7376,2656342,2.9,0.209,1.8,0.176818564,0.81
26,"Chuckanut, Clark's Point",74,3,1,3,3,48.68975,-122.50434,4424850,2.988,0.37,2.43,0.462191345,0.985
112,Point Defiance Ferry,43,7,4,1,7,47.3062,-122.5145,2845932,3.17,0.383,2.33,0.721670076,0.87
245,Port Angeles Yacht Club,1,1,4,4,1,48.12823,-123.45715,6806288,3.323,0.328,1.82,0.326899901,0.64
179,Minter Bay,55,5,2,4,5,47.3539722,-122.69175,4961205,3.468,0.291,1.8,0.29406153,0.95
254,Williams Olson Park,26,6,3,2,6,47.66586,-122.56698,1705387,3.468,0.341,2.48,0.328256022,0.615
91,Oak Bay County Park,10,8,2,2,8,48.02218,-122.728709,1614645,3.484,0.272,1.78,0.392481054,0.735
170,Rich Passage,32,4,4,2,4,47.578117,-122.524833,1476511,3.506,0.353,2.54,0.348025006,0.9
183,West Bay Park,73,2,4,4,2,47.052362,-122.910912,4047412,3.572,0.335,2.56,0.237103208,0.66
268,Donkey Creek Delta,44,3,6,4,3,47.33775,-122.59014,4080904,3.605,0.367,2.2,0.423085253,0.85
263,"Manchester, Stormwater Outfall",33,7,3,2,7,47.55622,-122.54281,4548390,3.682,0.345,2.98,0.417368755,0.57
202,Maple Hollow Park,51,2,3,4,2,47.30008,-122.74566,4528128,3.694,0.386,2.52,0.377699349,0.665
280,Three Tree Point,22,5,3,2,5,47.44896,-122.372267,6864899,3.697,0.347,2.63,0.263687549,0.8
103,Chimacum Creek delta,8,1,1,4,1,48.04906,-122.7724,2951937,3.757,0.297,1.45,0.289821301,0.825
259,Skiff Point,24,6,1,1,6,47.66142,-122.49884,2967756,3.933,0.344,2.52,0.438476905,0.62
166,Kingston Marina,36,3,3,2,3,47.794695,-122.499858,4667834,3.94,0.346,2.05,0.320771293,0.875
2,Des Moines Marina,21,8,3,1,8,47.40301418,-122.3305538,5679312,4.027,0.339,1.97,0.377316766,0.88
251,Kopachuck State Park,52,4,2,2,4,47.30973,-122.68868,9888442,4.096,0.342,2.27,0.671795198,0.77
38,Comm Bay Skookum,45,7,5,1,7,47.29,-122.41,6222187,4.194,0.331,1.93,0.511642607,0.8
3,Des Moines Marina,21,8,3,1,8,47.40301418,-122.3305538,6097784,4.41,0.293,1.75,0.326484644,1.145
167,Kingston Marina,36,4,3,2,4,47.794695,-122.499858,2529572,4.546,0.327,1.91,0.33088934,0.815
288,"Salmon Bay, Commodore Park",16,8,7,2,8,47.6663,-122.4018,2506610,4.592,0.343,2.39,0.362761326,0.795
110,Point Defiance Ferry,43,6,4,1,6,47.3062,-122.5145,2209441,4.647,0.355,2.55,0.406690081,0.79
249,Kopachuck State Park,52,1,2,4,1,47.30973,-122.68868,8355096,4.823,0.373,2.14,0.437189021,0.86
12,Pennrose Point State Park,50,3,3,4,3,47.2619,-122.7376,2993202,4.845,0.204,2.44,0.091552935,0.81
241,Aiston Preserve,77,8,1,5,8,48.6793778,-122.6300583,1508156,4.877,0.328,2.11,0.353476887,0.79
216,Cap Sante,64,2,1,4,2,48.520971,-122.600717,4083185,4.895,0.353,2.62,0.647091654,0.725
264,"Manchester, Stormwater Outfall",33,7,3,2,7,47.55622,-122.54281,4658604,4.915,0.345,2.21,0.365431162,0.6
160,"Comm Bay, Milwaukee Waterway",49,3,3,5,3,47.2694,-122.4243,8193639,4.93,0.348,2.28,0.637789319,0.75
307,Maristone Island,11,2,2,2,2,48.018127,-122.699524,11966241,4.949,0.362,3.48,0.397289557,0.695
158,"Comm Bay, Milwaukee Waterway",49,6,3,1,6,47.2694,-122.4243,4517486,5.02,0.346,2.16,0.49027559,0.82
1,Des Moines Marina,21,8,3,1,8,47.40301418,-122.3305538,3868923,5.064,0.318,2,0.372595207,0.945
255,Williams Olson Park,26,6,3,2,6,47.66586,-122.56698,1267023,5.287,0.317,1.88,0.561451951,0.785
312,Maristone Island,11,2,2,2,2,48.018127,-122.699524,5028627,5.332,0.341,3.16,0.181958842,0.705
131,Gig Harbor Boat Launch,58,5,4,1,5,47.33785,-122.58277,5823222,5.435,0.307,1.87,0.346401535,0.89
77,"Purdy, Burley Lagoon",47,8,3,2,8,47.386977,-122.6367089,6878714,5.591,0.363,2.27,0.297099012,0.93
33,"Cherry Point Aquatic Reserve, Conoco Phillips",75,4,2,3,4,48.8208,-122.7101,4058856,5.642,0.34,1.91,0.659579095,0.705
212,N Avenue Park,62,5,2,3,5,48.52108,-122.61531,4827148,5.692,0.423,2.08,0.85843156,0.89
159,"Comm Bay, Milwaukee Waterway",49,3,3,5,3,47.2694,-122.4243,3705987,5.768,0.372,2.11,0.784408754,0.75
184,West Bay Park,73,2,4,4,2,47.052362,-122.910912,7647788,5.789,0.35,2.29,0.307589206,0.845
61,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,1,3,7,48.482448,-122.583879,NA,5.992,0.518,5.18,0.411102012,0.73
7,Suquamish Stormwater Outfall,34,5,4,2,5,47.7296079,-122.5506191,2044561,6.049,0.177,1.93,0.051585334,1.065
300,Lions Park,37,1,5,3,1,47.5833538,-122.6414587,8920913,6.1,0.224,1.8,0.189746149,0.66
267,Donkey Creek Delta,44,3,6,4,3,47.33775,-122.59014,2003071,6.206,0.325,2.64,0.317778112,0.695
18,Mukilteo,65,6,2,2,6,47.94968,-122.30158,5159851,6.4,0.329,2.44,0.466961617,0.83
150,Blair Waterway,41,7,3,1,7,47.27568,-122.4173,5411649,6.432,0.343,2.71,0.432783392,0.68
139,Tulalip Bay,67,7,2,1,7,48.0617,-122.2939,4974611,6.443,0.293,2.09,0.743004374,0.735
30,"Elliott Bay, Harbor Island, Pier 17",14,8,7,2,8,47.58766,-122.35065,12192291,6.551,0.342,2.01,0.604818246,0.66
46,"Silverdale, Dyes Inlet",35,5,5,2,5,47.6427936,-122.6967068,2088081,6.569,0.34,2.26,0.307159329,0.65
201,Squaxin Island,38,2,2,4,2,47.17650485,-122.9046464,3512019,6.788,0.38,2.56,0.736694292,0.695
40,Comm Bay Skookum,45,2,5,3,2,47.29,-122.41,4654335,6.966,0.323,1.98,0.604800102,0.865
68,Meyer's Point - Henderson Inlet,71,8,3,2,8,47.11795,-122.83359,1153344,6.983,0.708,4.37,1.206454706,0.535
22,Edmonds Marina,68,7,3,2,7,47.8111,-122.388,3150477,7.034,0.353,2.37,0.394570876,0.665
148,Purdy - Dexters,57,7,2,1,7,47.38566,-122.627255,3471329,7.036,0.351,2.31,0.293787823,0.73
235,Locust Beach,76,1,1,3,1,48.77636877,-122.5378679,2139153,7.076,0.296,2.73,0.567800677,0.6
284,Arroyo Beach,13,7,3,2,7,47.50161,-122.38593,3448794,7.084,0.344,2.07,0.28697023,0.92
39,Comm Bay Skookum,45,2,5,3,2,47.29,-122.41,6882929,7.19,0.331,2.18,0.517355356,0.695
234,Miller Creek,20,1,3,3,1,47.4436,-122.360316,7321595,7.314,0.348,2.54,0.453065925,0.685
13,S of Skunk Island,9,4,1,3,4,48.02667,-122.75076,5059896,7.334,0.323,2.52,0.539677475,0.855
297,Rocky Point,27,2,5,3,2,47.60255,-122.66992,1980727,7.396,0.326,2.4,0.294569867,0.595
272,Broad Spit (Fisherman's Point),30,4,1,1,4,47.78184,-122.83474,4813963,7.416,0.339,2.67,0.280012969,0.79
9,Pennrose Point State Park,50,3,3,4,3,47.2619,-122.7376,3607485,7.438,0.422,1.94,0.519902462,0.855
17,Mukilteo,65,6,2,2,6,47.94968,-122.30158,7725177,7.613,0.317,2.18,0.61838327,0.805
273,Reach Island,39,4,1,1,4,47.346537,-122.82236,7178794,7.636,0.301,1.8,0.515919645,0.655
233,Miller Creek,20,1,3,3,1,47.4436,-122.360316,5542261,7.704,0.317,2.31,0.239702928,0.895
168,Kingston Marina,36,4,3,2,4,47.794695,-122.499858,5982158,7.722,0.274,1.59,0.207653196,0.845
302,Lions Park,37,1,5,3,1,47.5833538,-122.6414587,2556710,7.869,0.308,2.25,0.584041691,0.805
67,Meyer's Point - Henderson Inlet,71,8,3,2,8,47.11795,-122.83359,2281563,8.189,0.146,1.71,0.089233323,0.965
154,Madrona Pont,28,3,4,2,3,47.57995505,-122.6786,6373497,8.315,0.299,1.8,0.605982872,0.71
310,Maristone Island,11,2,2,2,2,48.018127,-122.699524,2059689,8.389,0.307,2,0.60084725,0.61
27,"Chuckanut, Clark's Point",74,3,1,3,3,48.68975,-122.50434,3385205,8.472,0.316,2.69,0.408259594,0.8
45,"Silverdale, Dyes Inlet",35,5,5,2,5,47.6427936,-122.6967068,958833,8.638,0.334,2.22,0.243663887,0.805
130,Chambers Bay Park,56,5,2,1,5,47.1905742,-122.5834897,4797197,8.659,0.311,1.88,0.259512023,1.08
52,"Eastsound, Fishing Bay",60,7,1,2,7,48.69368,-122.90985,1134272,8.685,0.34,2.07,0.60166896,0.52
117,"Comm Bay, Dick Gilmur Launch",48,7,5,1,7,47.292549,-122.412175,2353073,8.819,0.359,2.45,0.273808906,0.895
240,Aiston Preserve,77,8,1,5,8,48.6793778,-122.6300583,4674882,8.871,0.313,2.11,0.566980325,0.825
42,Penn Cove Reference,3,2,1,3,2,48.21423,-122.718972,3373010,8.875,0.33,2.18,0.322056194,0.635
125,Salmon Beach,40,3,3,1,3,47.29464,-122.53053,2963755,8.918,0.342,2.19,0.696884152,0.8
14,S of Skunk Island,9,4,1,3,4,48.02667,-122.75076,3719291,8.989,0.357,2.16,0.452001642,0.815
278,Three Tree Point,22,5,3,2,5,47.44896,-122.372267,9703015,8.998,0.359,2.6,0.254250016,0.765
137,Tulalip Bay,67,3,2,3,3,48.0617,-122.2939,7831524,9.075,0.359,2.66,0.354492325,0.855
250,Kopachuck State Park,52,4,2,2,4,47.30973,-122.68868,2558683,9.21,0.349,2.01,0.540991019,0.69
271,Broad Spit (Fisherman's Point),30,4,1,1,4,47.78184,-122.83474,1386547,9.277,0.382,2.35,0.447709981,0.66
257,Skiff Point,24,5,1,2,5,47.66142,-122.49884,1964479,9.362,0.32,2.7,0.235024272,0.535
149,Blair Waterway,41,7,3,1,7,47.27568,-122.4173,3631858,9.377,0.358,2.55,0.350173911,0.71
80,"Seattle Aquarium, Pier 59",17,1,7,5,1,47.607,-122.342,2381238,9.393,0.366,2.24,0.38940817,0.905
76,"Purdy, Burley Lagoon",47,8,3,2,8,47.386977,-122.6367089,1243643,9.53,0.318,2.46,0.261011748,0.83
151,Blair Waterway,41,3,3,2,3,47.27568,-122.4173,6052641,9.59,0.327,1.99,0.301288261,1.075
34,"Cherry Point Aquatic Reserve, Conoco Phillips",75,4,2,3,4,48.8208,-122.7101,2991933,9.761,0.347,2.01,1.067596113,0.86
104,Hood Canal Holly,29,1,1,4,1,47.5706,-122.9717,NA,9.83,0.318,2.05,0.308281402,0.69
133,Gig Harbor Boat Launch,58,3,4,3,3,47.33785,-122.58277,2932222,9.944,0.294,1.38,0.457821083,0.845
94,"Smith Cove, Terminal 91",15,5,8,2,5,47.63237,-122.37869,1617973,10.002,0.347,2.4,0.65528734,0.605
193,Tulalip Reservation,70,6,1,1,6,48.0697859,-122.2997764,2521368,10.007,0.335,2.32,0.419030991,0.64
236,Locust Beach,76,1,1,3,1,48.77636877,-122.5378679,1911632,10.204,0.332,3.17,0.331017414,0.665
276,Reach Island,39,5,1,2,5,47.346537,-122.82236,6947155,10.304,0.313,1.88,0.414023015,0.81
186,Eld Inlet,72,2,2,4,2,47.074603,-123.003527,5090553,10.464,0.336,2.75,0.330809465,0.63
270,Broad Spit (Fisherman's Point),30,3,1,4,3,47.78184,-122.83474,1780096,10.875,0.326,2.27,0.334678056,0.56
221,Raft Island Park,53,6,2,5,6,47.32598,-122.66724,3322946,11.029,0.375,2.76,0.431083655,0.805
113,Point Defiance Ferry,43,7,4,1,7,47.3062,-122.5145,1928074,11.043,0.363,2.51,0.434701494,0.905
23,Edmonds Marina,68,7,3,2,7,47.8111,-122.388,6702376,11.402,0.327,1.96,0.435547319,0.885
89,Oak Bay County Park,10,1,2,3,1,48.02218,-122.728709,3074754,11.485,0.383,2.39,0.358756378,0.8
282,Arroyo Beach,13,7,3,2,7,47.50161,-122.38593,3563340,11.884,0.319,1.94,0.231122215,0.86
217,Cap Sante,64,2,1,4,2,48.520971,-122.600717,6057021,11.947,0.357,1.94,0.937904771,0.88
224,Friday Harbor,61,5,1,2,5,48.5069444,-123.0194444,2977245,12.311,0.218,1.26,0.408289006,0.625
56,Kitsap St Boat Launch,25,7,7,2,7,47.54167,-122.64034,1166004,12.507,0.144,1.74,0.062789349,0.855
88,Oak Bay County Park,10,1,2,3,1,48.02218,-122.728709,2226326,12.533,0.374,2.05,0.512391171,0.81
60,Eagle Harbor Dr,31,7,6,3,7,47.61889,-122.5275,2018358,12.545,0.269,4.04,0.081831513,1.02
293,Shilshole Bay,18,4,6,2,4,47.671678,-122.406663,2013492,12.831,0.289,2.66,0.354033746,0.515
143,Blair Waterway #2,42,2,3,1,2,47.2632444,-122.385731,2469960,12.854,0.335,1.99,0.478173967,0.97
124,Salmon Beach,40,5,3,1,5,47.29464,-122.53053,2352491,12.933,0.344,2.09,0.786480202,0.685
308,Maristone Island,11,2,2,2,2,48.018127,-122.699524,2150285,12.992,0.314,2.53,0.324173398,0.61
31,"Elliott Bay, Harbor Island, Pier 17",14,4,7,3,4,47.58766,-122.35065,8571444,13.24,0.356,1.71,0.434161205,1.04
