latitude,longitude,site_name,site_number,reporting_area,a1,a2,a4,a16,a63,a67,a68,a69,a71,a75
47.54167,-122.64034,Kitsap St Boat Launch,25,10,-1.011570912,-1.011570912,-1.163306549,1.315042186,-1.163306549,-1.011570912,-1.062149458,-0.960992366,-1.163306549,-1.163306549
47.30973,-122.68868,Kopachuck State Park,52,13,-0.944632984,-0.877159199,-1.079580553,-0.587021926,-1.079580553,-0.944632984,-0.944632984,-0.877159199,-1.079580553,-1.079580553
47.5833538,-122.6414587,Lions Park,37,10,-1.316330859,-1.316330859,-1.579597031,-0.855615058,-1.579597031,-1.382147402,-1.447963945,-1.316330859,-1.513780488,-1.579597031
48.77636877,-122.5378679,Locust Beach,76,7,-1.28004374,-1.216041553,-1.408048114,-0.768026244,-1.472050301,-1.28004374,-1.344045927,-1.216041553,-1.408048114,-1.472050301
47.57995505,-122.6786,Madrona Pont,28,10,-1.084770642,-1.024505607,-1.205300714,-0.662915392,-1.265565749,-1.084770642,-1.145035678,-1.024505607,-1.205300714,-1.265565749
47.55622,-122.54281,"Manchester, Stormwater Outfall",33,10,-1.231404524,-1.162993161,-1.368227249,-0.752524987,-1.368227249,-1.231404524,-1.299815886,-1.162993161,-1.368227249,-1.368227249
47.30008,-122.74566,Maple Hollow Park,51,13,-0.981481481,-0.981481481,-1.177777778,-0.628148148,-1.177777778,-0.981481481,-1.04691358,-0.981481481,-1.112345679,-1.177777778
48.018127,-122.699524,Maristone Island,11,9,-1.269994391,-1.199439148,-1.411104879,-0.776107684,-1.411104879,-1.269994391,-1.269994391,-1.199439148,-1.411104879,-1.411104879
47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,-1.115205224,-1.115205224,-1.338246269,-0.721166045,-1.338246269,-1.115205224,-1.189552239,-1.115205224,-1.338246269,-1.338246269
47.4436,-122.360316,Miller Creek,20,11,1.270942746,-1.016754197,-1.207395609,-0.635471373,-1.207395609,-1.016754197,-1.080301334,-1.016754197,-1.207395609,-1.207395609
47.3539722,-122.69175,Minter Bay,55,13,-1.052653061,-1.052653061,-1.25002551,-0.657908163,-1.25002551,-1.052653061,-1.118443878,-1.052653061,-1.25002551,-1.25002551
47.94968,-122.30158,Mukilteo,65,8.2,-1.100494081,-1.035759135,-1.229963973,-0.712084406,-1.229963973,-1.100494081,-1.165229027,-1.035759135,-1.229963973,-1.229963973
48.52108,-122.61531,N Avenue Park,62,7,-1.085359801,-1.085359801,-1.248163772,1.031091811,-1.248163772,-1.085359801,-1.139627792,-1.031091811,-1.248163772,-1.248163772
48.255358,-122.507014,North Camano,7,8.1,-1.333065693,-1.269586375,-1.52350365,-0.825231144,-1.52350365,-1.333065693,-1.396545012,-1.269586375,-1.52350365,-1.52350365
48.02218,-122.728709,Oak Bay County Park,10,9,-1.154208925,-1.090086207,-1.346577079,-0.705349899,-1.346577079,-1.154208925,-1.218331643,-1.090086207,-1.282454361,-1.346577079
48.21423,-122.718972,Penn Cove Reference,3,8.1,-1.170406714,-1.097256294,-1.316707553,-0.731504196,-1.389857973,-1.170406714,-1.243557134,-1.097256294,-1.316707553,-1.316707553
47.2619,-122.7376,Pennrose Point State Park,50,13,-0.990190802,-0.924178082,-1.122216243,-0.607317025,-1.122216243,-0.990190802,-0.990190802,-0.924178082,-1.122216243,-1.122216243
47.3062,-122.5145,Point Defiance Ferry,43,11,-0.984333968,-0.984333968,-1.158039962,-0.636921979,-1.158039962,-1.042235966,-1.042235966,-0.984333968,-1.158039962,-1.158039962
48.12823,-123.45715,Port Angeles Yacht Club,1,6,-1.202061856,-1.202061856,-1.382371134,-0.781340206,-1.382371134,-1.202061856,-1.262164948,-1.141958763,-1.382371134,-1.382371134
47.38566,-122.627255,Purdy - Dexters,57,13,-0.975255833,-0.917887843,-1.089991813,-0.631047892,-1.089991813,-0.975255833,-1.032623823,-0.917887843,-1.089991813,-1.089991813
47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,-0.923234291,-0.861685339,-1.046332197,-0.578560156,-1.046332197,-0.923234291,-0.984783244,-0.861685339,-1.046332197,-1.046332197
47.32598,-122.66724,Raft Island Park,53,13,-1.1257041,-1.1257041,-1.266417112,-0.703565062,-1.336773619,-1.1257041,-1.196060606,-1.055347594,-1.266417112,-1.336773619
47.346537,-122.82236,Reach Island,39,13,-1.284385246,-1.226004098,-1.459528689,-0.817336066,-1.459528689,-1.284385246,-1.342766393,-1.226004098,-1.459528689,-1.459528689
47.578117,-122.524833,Rich Passage,32,10,-0.773063806,-0.773063806,-0.8919967,-0.493571507,-0.8919967,-0.773063806,-0.832530253,-0.773063806,-0.8919967,-0.8919967
47.60255,-122.66992,Rocky Point,27,10,-1.095953545,-1.035067237,-1.217726161,0.730635697,-1.217726161,-1.095953545,-1.156839853,-1.035067237,-1.217726161,-1.217726161
48.02667,-122.75076,S of Skunk Island,9,9,-1.321275698,-1.321275698,-1.561507644,-0.840811808,-1.561507644,-1.381333685,-1.441391671,-1.321275698,-1.561507644,-1.561507644
47.6663,-122.4018,"Salmon Bay, Commodore Park",16,10,2.455588235,-1.339411765,1.711470588,2.157941176,-1.562647059,-1.339411765,-1.413823529,1.934705882,-1.562647059,-1.562647059
47.29464,-122.53053,Salmon Beach,40,11,-1.309787234,-1.309787234,-1.547930368,-0.833500967,-1.547930368,-1.309787234,-1.428858801,-1.250251451,-1.547930368,-1.547930368
47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,-1.036850394,0.972047244,-1.166456693,1.555275591,-1.166456693,-1.036850394,-1.101653543,-0.972047244,-1.166456693,-1.166456693
47.671678,-122.406663,Shilshole Bay,18,10,1.87928465,-1.353084948,-1.578599106,-0.902056632,-1.653770492,-1.428256334,-1.50342772,-1.353084948,-1.578599106,-1.653770492
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,-1.096651584,-1.02811086,-1.233733032,0.822488688,-1.233733032,-1.096651584,-1.096651584,-1.02811086,-1.233733032,-1.233733032
47.66142,-122.49884,Skiff Point,24,10,-1.894231023,-1.835036304,-2.19020462,-1.183894389,-2.19020462,-1.894231023,-2.012620462,-1.835036304,-2.19020462,-2.19020462
47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,1.950893744,2.536161867,1.690774578,2.145983118,-1.105506455,-0.975446872,-1.040476663,-0.91041708,-1.105506455,-1.105506455
47.17650485,-122.9046464,Squaxin Island,38,13,-1.165247191,-1.100511236,-1.294719101,-0.712095506,-1.359455056,-1.165247191,-1.229983146,-1.100511236,-1.294719101,-1.359455056
47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,-0.773294931,-0.708853687,-0.902177419,-0.483309332,-0.902177419,-0.773294931,-0.837736175,-0.708853687,-0.902177419,-0.902177419
47.259189,-122.434689,Thea Foss Waterway,46,11,1.557733598,-1.168300199,1.427922465,1.233205765,-1.427922465,-1.233205765,-1.298111332,-1.168300199,-1.363016899,-1.427922465
47.44896,-122.372267,Three Tree Point,22,11,-1.178230616,-1.119319085,-1.354965209,-0.70693837,-1.354965209,-1.178230616,-1.237142147,-1.119319085,-1.354965209,-1.354965209
48.0617,-122.2939,Tulalip Bay,67,8.2,-1.10312,-1.10312,-1.297788235,-0.713783529,-1.297788235,-1.10312,-1.168009412,-1.10312,-1.297788235,-1.297788235
48.0697859,-122.2997764,Tulalip Reservation,70,8.2,-0.884269068,-0.884269068,-1.00217161,-0.560037076,-1.00217161,-0.884269068,-0.943220339,-0.825317797,-1.00217161,-1.00217161
47.052362,-122.910912,West Bay Park,73,13,-1.349721237,-1.349721237,-1.552179422,-0.877318804,-1.619665484,-1.417207299,-1.48469336,-1.349721237,-1.552179422,-1.619665484
47.66586,-122.56698,Williams Olson Park,26,10,-1.205012225,-1.144761614,-1.385764059,-0.723007335,-1.385764059,-1.205012225,-1.265262836,-1.144761614,-1.325513447,-1.385764059
