"latitude","longitude","site_name","qualifier","site","flagged","aldrin","dieldrin","Endosulfan_1","hexachlorobenzene","mirex"
47.402778,-122.331667,"Des Moines Marina","D","Des Moines Marina",FALSE,NA,0.18,NA,NA,NA
48.064974,-122.857218,"Discovery Bay","U","Discovery Bay",TRUE,0,0,0,0,0
47.337909,-122.59023,"Donkey Creek Delta","U","Donkey Creek Delta",TRUE,0,0,0,0,0
47.618875,-122.527234,"Eagle Harbor Dr","U","Eagle Harbor Dr",TRUE,0,0,0,0,0
48.69395,-122.909933,"Eastsound, Fishing Bay","U","Eastsound, Fishing Bay",TRUE,0,0,0,0,0
47.8142069,-122.3822018,"Edmonds Ferry","U","Edmonds Ferry",TRUE,0,0,0,0,0
47.81094,-122.387955,"Edmonds Marina","U","Edmonds Marina",TRUE,0,0,0,0,0
47.0769,-123.0034725,"Eld Inlet","U","Eld Inlet",TRUE,0,0,0,0,0
47.62052,-122.36373,"Elliot Bay Myrtle Edwards","U","Elliot Bay Myrtle Edwards",TRUE,0,NA,0,0,0
47.62052,-122.36373,"Elliot Bay Myrtle Edwards","D","Elliot Bay Myrtle Edwards",FALSE,NA,0.19,NA,NA,NA
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17","U","Elliott Bay, Harbor Island, Pier 17",TRUE,0,NA,0,0,0
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17","D","Elliott Bay, Harbor Island, Pier 17",FALSE,NA,0.22,NA,NA,NA
47.97252,-122.22982,"Everett Harbor","U","Everett Harbor",TRUE,0,0,0,0,0
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit","U","Fidalgo Bay Aq Reserve, Weaverling Spit",TRUE,0,0,0,0,0
47.19483,-122.748665,"Filucy Bay","U","Filucy Bay",TRUE,0,0,0,0,0
48.5069444,-123.0194444,"Friday Harbor","U","Friday Harbor",TRUE,0,0,0,0,0
47.3372,-122.58284,"Gig Harbor Boat Launch","U","Gig Harbor Boat Launch",TRUE,0,0,0,0,0
47.570193,-122.971775,"Hood Canal Holly","U","Hood Canal Holly",TRUE,0,0,0,0,0
48.027069,-122.999191,"Jamestown","U","Jamestown",TRUE,0,0,0,0,0
47.7947,-122.5003,"Kingston Marina","U","Kingston Marina",TRUE,0,0,0,0,0
47.541533,-122.640383,"Kitsap St Boat Launch","U","Kitsap St Boat Launch",TRUE,0,0,0,0,0
47.3115,-122.68725,"Kopachuck State Park","U","Kopachuck State Park",TRUE,0,0,0,0,0
47.583016,-122.64217,"Lions Park","U","Lions Park",TRUE,0,0,0,0,0
48.76652,-122.5395,"Locust Beach","U","Locust Beach",TRUE,0,NA,0,0,0
48.76652,-122.5395,"Locust Beach","D","Locust Beach",FALSE,NA,0.22,NA,NA,NA
47.579985,-122.67853,"Madrona Pont","U","Madrona Pont",TRUE,0,0,0,0,0
47.556111,-122.542778,"Manchester, Stormwater Outfall","U","Manchester, Stormwater Outfall",TRUE,0,0,0,0,0
47.29954,-122.74554,"Maple Hollow Park","U","Maple Hollow Park",TRUE,0,0,0,0,0
48.018181,-122.699838,"Maristone Island","U","Maristone Island",TRUE,0,0,0,0,0
47.117944,-122.833528,"Meyer's Point - Henderson Inlet","U","Meyer's Point, Henderson Inlet",TRUE,0,0,0,0,0
47.443611,-122.361944,"Miller Creek","U","Miller Creek",TRUE,0,NA,0,0,0
47.443611,-122.361944,"Miller Creek","D,LOQ","Miller Creek",FALSE,NA,0.17,NA,NA,NA
47.35399,-122.69176,"Minter Bay","U","Minter Bay",TRUE,0,0,0,0,0
47.949831,-122.301703,"Mukilteo","U","Mukilteo",TRUE,0,0,0,0,0
48.52108,-122.61531,"N Avenue Park","U","N Avenue Park",TRUE,0,0,0,0,0
48.25523,-122.50817,"North Camano","U","North Camano",TRUE,0,0,0,0,0
48.022466,-122.728123,"Oak Bay County Park","U","Oak Bay County Park",TRUE,0,0,0,0,0
48.214071,-122.719097,"Penn Cove Reference","U","Penn Cove Reference",TRUE,0,0,0,0,0
47.2609094,-122.7447771,"Penrose Point State Park","U","Penrose Point State Park",TRUE,0,0,0,0,0
47.3061098,-122.514771,"Point Defiance Ferry","U","Point Defiance Ferry",TRUE,0,0,0,0,0
48.128267,-123.457133,"Port Angeles Yacht Club","U","Port Angeles Yacht Club",TRUE,0,0,0,0,0
47.385334,-122.628902,"Purdy - Dexters","U","Purdy, Dexters",TRUE,0,0,0,0,0
47.387021,-122.6367,"Purdy, Burley Lagoon","U","Purdy, Burley Lagoon",TRUE,0,NA,0,0,0
47.387021,-122.6367,"Purdy, Burley Lagoon","D","Purdy, Burley Lagoon",FALSE,NA,0.19,NA,NA,NA
47.32622,-122.66715,"Raft Island Park","U","Raft Island Park",TRUE,0,0,0,0,0
47.346817,-122.822363,"Reach Island","U","Reach Island",TRUE,0,0,0,0,0
47.578117,-122.524833,"Rich Passage","U","Rich Passage",TRUE,0,0,0,0,0
47.60253,-122.66991,"Rocky Point","U","Rocky Point",TRUE,0,0,0,0,0
48.02655,-122.75089,"S of Skunk Island","U","South of Skunk Island",TRUE,0,0,0,0,0
47.666244,-122.401894,"Salmon Bay, Commodore Park","U","Salmon Bay, Commodore Park",TRUE,0,NA,0,0,0
47.666244,-122.401894,"Salmon Bay, Commodore Park","D","Salmon Bay, Commodore Park",FALSE,NA,0.35,NA,NA,NA
47.294692,-122.530504,"Salmon Beach","U","Salmon Beach",TRUE,0,0,0,0,0
47.607334,-122.344055,"Seattle Aquarium, Pier 59","U","Seattle Aquarium, Pier 59",TRUE,0,NA,0,0,0
47.607334,-122.344055,"Seattle Aquarium, Pier 59","D,LOQ","Seattle Aquarium, Pier 59",FALSE,NA,0.15,NA,NA,NA
47.6707,-122.40605,"Shilshole Bay","U","Shilshole Bay",TRUE,0,NA,0,0,0
47.6707,-122.40605,"Shilshole Bay","D","Shilshole Bay",FALSE,NA,0.33,NA,NA,NA
47.6428,-122.6967,"Silverdale, Dyes Inlet","U","Silverdale, Dyes Inlet",TRUE,0,NA,0,0,0
47.6428,-122.6967,"Silverdale, Dyes Inlet","D","Silverdale, Dyes Inlet",FALSE,NA,0.19,NA,NA,NA
47.6614139,-122.498892,"Skiff Point","U","Skiff Point",TRUE,0,0,0,0,0
47.6325,-122.3786,"Smith Cove, Terminal 91","U","Smith Cove, Terminal 91",TRUE,0,NA,0,0,NA
47.6325,-122.3786,"Smith Cove, Terminal 91","D","Smith Cove, Terminal 91",FALSE,NA,0.6,NA,NA,0.23
47.176735,-122.905337,"Squaxin Island","U","Squaxin Island",TRUE,0,0,0,0,0
47.729875,-122.550882,"Suquamish, Stormwater Outfall","U","Suquamish Stormwater Outfall",TRUE,0,0,0,0,0
47.25934,-122.43479,"Thea Foss Waterway","U","Thea Foss Waterway",TRUE,0,NA,0,0,0
47.25934,-122.43479,"Thea Foss Waterway","D","Thea Foss Waterway",FALSE,NA,0.19,NA,NA,NA
47.4485721,-122.3723967,"Three Tree Point","U","Three Tree Point",TRUE,0,NA,0,0,0
47.4485721,-122.3723967,"Three Tree Point","D","Three Tree Point",FALSE,NA,0.19,NA,NA,NA
48.0616613,-122.293939,"Tulalip Bay","U","Tulalip Bay",TRUE,0,NA,0,0,0
48.0616613,-122.293939,"Tulalip Bay","D","Tulalip Bay",FALSE,NA,0.21,NA,NA,NA
48.069978,-122.300216,"Tulalip Reservation","U","Tulalip Reservation",TRUE,0,0,0,0,0
47.052373,-122.9101963,"West Bay Park","U","West Bay Park",TRUE,0,0,0,0,0
47.6609,-122.5668,"Williams Olson Park","U","Williams Olson Park",TRUE,0,0,0,0,0
48.218047,-122.712359,"Penn Cove Baseline 1","U","Penn Cove Baseline 1",TRUE,0,0,0,0,0
48.218047,-122.712359,"Penn Cove Baseline 2","U","Penn Cove Baseline 2",TRUE,0,0,0,0,0
48.218047,-122.712359,"Penn Cove Baseline 3","U","Penn Cove Baseline 3",TRUE,0,0,0,0,0
