"site_number","latitude","longitude","site_name","p450","sod","shell","ci1","ci2","ci3","iweight","fweight","cweight","length","width","height"
63,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",3181280,11.87725,0.7625,37.1425,0.712,0.05525,13.663,3.93075,9.7325,56.08,24.1325,19.3575
64,48.520971,-122.600717,"Cap Sante",4611059.25,18.5045,0.79,33.09,0.68525,0.0485,11.15275,3.50075,7.6525,54.2325,24.36,17.645
65,47.94968,-122.30158,"Mukilteo",8713508,7.6065,0.79125,32.595,0.699,0.05075,12.06025,3.63775,8.4225,54.9,25.16,18.66
66,47.9726,-122.22977,"Everett Harbor",5813892.75,2.31775,0.77625,34.2575,0.65825,0.04925,12.00475,4.09325,7.91175,54.335,23.895,17.755
67,48.0617,-122.2939,"Tulalip Bay",5438866.5,6.25383333333333,0.874166666666667,34.0366666666667,0.709333333333333,0.0546666666666667,14.074,4.054,10.02,56.5133333333333,25.5716666666667,19.9916666666667
68,47.8111,-122.388,"Edmonds Marina",16840952.75,13.85375,0.765,34.205,0.69675,0.0515,13.11825,3.99,9.12825,56.1175,25.7325,18.49
69,47.81407,-122.3825,"Edmonds Ferry",8264243.75,0.206375,0.69,38.3775,0.703,0.057,14.47725,4.3,10.1775,56.1975,23.985,19.5675
70,48.0697859,-122.2997764,"Tulalip Reservation",5097254.75,3.952125,0.78375,32.4325,0.68925,0.049,14.307,4.44725,9.8595,58.56,26.48,19.5675
71,47.11795,-122.83359,"Meyer's Point, Henderson Inlet",2252669.75,15.21175,0.78875,35.8875,0.7025,0.05625,14.16075,4.23825,9.92275,56.0125,25.25,19.55
72,47.074603,-123.003527,"Eld Inlet",9802343.25,9.86125,0.7075,33.765,0.7155,0.06225,17.22025,4.86625,12.35375,58.03,28.88,21.505
73,47.052362,-122.910912,"West Bay Park",8508351.5,4.628,0.7725,32.975,0.68675,0.05625,15.0645,4.66675,10.3975,56.8575,26.215,20.935
74,48.68975,-122.50434,"Chuckanut, Clark's Point",2740842.75,11.211,0.7275,33.8,0.69025,0.055,14.57175,4.54875,10.023,56.82,25.6675,20.2325
75,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",3716200,3.864,0.86875,34.5775,0.6565,0.0505,12.99975,4.45675,8.543,55.025,23.535,18.755
76,48.77636877,-122.5378679,"Locust Beach",2368800.25,6.15025,0.6875,32.66,0.731,0.047,14.03325,3.793,10.24025,59.9525,26.625,19.2975
77,48.6793778,-122.6300583,"Aiston Preserve",4712860.25,3.440125,0.81125,33.0675,0.69325,0.0525,12.95925,3.98375,8.97575,55.4825,25.705,19.0175
