"sample_id","latitude","longitude","site_name","site_number","reporting_area","p450","sod","shell","ci1","ci2","ci3","geo_group","lat_range","long_range","label"
45,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,958833,8.638,0.805,33.371,0.6896,0.0575,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
46,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,2088081,6.569,0.65,33.996,0.6994,0.068,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
47,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,1877700,15.572,0.635,33.746,0.6984,0.0484,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
48,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,1683751,73.345,0.66,36.626,0.7047,0.0622,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
49,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,3011817,0,0.355,31.95,0.6887,0.0465,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
50,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,582761,13.708,0.405,33.174,0.7032,0.0479,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
51,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,5287826,25.449,0.58,30.28,0.6727,0.051,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
52,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,1134272,8.685,0.52,34.049,0.6747,0.0517,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
53,47.54167,-122.64034,"Kitsap St Boat Launch",25,10,3524590,2.056,0.805,6.995,0.5949,0.031,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
54,47.54167,-122.64034,"Kitsap St Boat Launch",25,10,990580,72.981,0.8,43.904,0.7394,0.0712,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
55,47.54167,-122.64034,"Kitsap St Boat Launch",25,10,1166004,12.507,0.855,32.334,0.6938,0.0613,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
56,47.54167,-122.64034,"Kitsap St Boat Launch",25,10,5858996,35.436,0.87,14.432,0.6354,0.0467,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
57,47.61889,-122.5275,"Eagle Harbor Dr",31,10,2870476,27.272,0.815,47.979,0.8344,0.109,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
58,47.61889,-122.5275,"Eagle Harbor Dr",31,10,939029,2.07,0.91,29.37,0.6285,0.0258,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
59,47.61889,-122.5275,"Eagle Harbor Dr",31,10,2018358,12.545,1.02,52.574,0.7524,0.0687,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
60,47.61889,-122.5275,"Eagle Harbor Dr",31,10,1556940,58.783,0.825,26.875,0.8017,0.0563,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
61,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,0,5.992,0.73,51.846,0.8383,0.0906,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
62,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,1669995,22.316,0.755,54.084,0.8237,0.0685,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
63,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,4332608,26.721,0.74,28.989,0.7495,0.0841,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
64,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,4034245,17.031,0.825,73.81,0.7991,0.1094,"4","48.48 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5"
65,47.11795,-122.83359,"Meyer's Point - Henderson Inlet",71,13,3404367,17.331,0.8,52.81,0.7703,0.0735,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
66,47.11795,-122.83359,"Meyer's Point - Henderson Inlet",71,13,2281563,8.189,0.965,55.68,0.7605,0.1009,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
67,47.11795,-122.83359,"Meyer's Point - Henderson Inlet",71,13,1153344,6.983,0.535,14.576,0.6306,0.0269,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
68,47.11795,-122.83359,"Meyer's Point - Henderson Inlet",71,13,3237832,63.547,0.855,70.792,0.8135,0.1397,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
69,47.61862,-122.36108,"Elliot Bay Myrtle Edwards",19,10,1975307,39.159,0.89,33.09,0.6745,0.0609,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
70,47.61862,-122.36108,"Elliot Bay Myrtle Edwards",19,10,2362670,41.449,0.74,34.719,0.7119,0.0529,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
71,47.61862,-122.36108,"Elliot Bay Myrtle Edwards",19,10,3125326,28.087,0.615,34.005,0.6789,0.0556,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
72,47.61862,-122.36108,"Elliot Bay Myrtle Edwards",19,10,2002597,20.437,0.935,37.472,0.702,0.0554,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
73,47.61862,-122.36108,"Elliot Bay Myrtle Edwards",19,10,2881838,44.994,0.94,35.922,0.7059,0.0661,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
74,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,3562058,13.938,1.195,32.299,0.6665,0.0559,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
75,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,4066301,15.797,0.705,31.147,0.6997,0.0434,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
76,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,1243643,9.53,0.83,31.801,0.7111,0.0519,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
77,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,6878714,5.591,0.93,36.341,0.6946,0.0606,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
78,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,2711200,84.419,0.755,34.755,0.7022,0.05,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
79,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,2381238,9.393,0.905,35.871,0.6975,0.0505,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
80,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,4956424,1.736,0.905,36.599,0.6913,0.0489,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
81,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,2492074,0,0.805,38.12,0.7242,0.0535,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
82,48.024789,-122.998135,"Jamestown",2,6,2974772,27.353,0.58,36.761,0.723,0.0543,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
83,48.024789,-122.998135,"Jamestown",2,6,5366142,39.581,0.615,35.309,0.6895,0.0618,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
84,48.024789,-122.998135,"Jamestown",2,6,2235746,25.844,0.545,32.829,0.6942,0.0543,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
85,48.024789,-122.998135,"Jamestown",2,6,3343459,20.453,0.45,33.93,0.7171,0.0585,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
86,48.024789,-122.998135,"Jamestown",2,6,2786163,15.582,0.61,26.113,0.663,0.0398,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
87,48.024789,-122.998135,"Jamestown",2,6,2874808,18.111,0.64,38.248,0.735,0.0599,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
88,48.02218,-122.728709,"Oak Bay County Park",10,9,2226326,12.533,0.81,37.414,0.6723,0.0638,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
89,48.02218,-122.728709,"Oak Bay County Park",10,9,3074754,11.485,0.8,38.271,0.7051,0.0545,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
90,48.02218,-122.728709,"Oak Bay County Park",10,9,2424855,51.729,0.75,36.245,0.7208,0.0604,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
91,48.02218,-122.728709,"Oak Bay County Park",10,9,1614645,3.484,0.735,27.173,0.6407,0.0449,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
92,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,2166819,15.212,0.81,41.041,0.7247,0.0649,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
93,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,7732418,17.148,0.845,33.993,0.6901,0.0749,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
94,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,1617973,10.002,0.605,34.656,0.7061,0.0526,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
95,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,4318486,36.283,0.7,33.231,0.6824,0.0579,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
96,47.68234,-122.5064,"Brackenwood Ln",23,10,1269238,0,0.555,36.953,0.7229,0.0525,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
97,47.68234,-122.5064,"Brackenwood Ln",23,10,2212557,15.989,0.625,33.051,0.6393,0.0502,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
98,47.68234,-122.5064,"Brackenwood Ln",23,10,1783953,23.205,0.75,34.215,0.6722,0.0526,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
99,47.68234,-122.5064,"Brackenwood Ln",23,10,2162299,0.144,0.755,34.283,0.7376,0.0557,"3","47.5 - 47.79","-122.7 - -122.34","Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34"
100,48.04906,-122.7724,"Chimacum Creek delta",8,9,2951937,3.757,0.825,36.556,0.6925,0.0541,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
101,48.04906,-122.7724,"Chimacum Creek delta",8,9,1783000,2.837,0.75,28.647,0.6029,0.0452,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
102,48.04906,-122.7724,"Chimacum Creek delta",8,9,2742180,0,0.995,33.471,0.654,0.0523,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
103,48.04906,-122.7724,"Chimacum Creek delta",8,9,3089178,2.177,1.045,29.726,0.5909,0.0566,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7"
104,47.5706,-122.9717,"Hood Canal Holly",29,12,-756478,0,0.725,31.835,0.6719,0.0483,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
105,47.5706,-122.9717,"Hood Canal Holly",29,12,-444157,9.83,0.69,34.177,0.6927,0.0576,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
106,47.5706,-122.9717,"Hood Canal Holly",29,12,291641,0,0.755,34.533,0.7053,0.0595,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
107,47.5706,-122.9717,"Hood Canal Holly",29,12,1693665,0,0.575,33.699,0.7143,0.0529,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
108,47.5706,-122.9717,"Hood Canal Holly",29,12,0,0,0.63,35.312,0.6669,0.0547,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
109,47.5706,-122.9717,"Hood Canal Holly",29,12,380110,0,0.685,36.29,0.6879,0.0548,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67"
110,47.3062,-122.5145,"Point Defiance Ferry",43,11,2209441,4.647,0.79,35.526,0.718,0.0496,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
111,47.3062,-122.5145,"Point Defiance Ferry",43,11,1743980,24.677,0.79,37.144,0.7242,0.0569,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
112,47.3062,-122.5145,"Point Defiance Ferry",43,11,2845932,3.17,0.87,38.291,0.7001,0.0533,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
113,47.3062,-122.5145,"Point Defiance Ferry",43,11,1928074,11.043,0.905,36.324,0.7152,0.0588,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
114,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,0,118.683,0.635,36.525,0.7483,0.0488,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
115,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,4982158,22.927,0.93,34.936,0.7034,0.0538,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
116,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,4040973,14.762,0.87,30.614,0.6719,0.0496,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
117,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,2353073,8.819,0.895,35.901,0.7105,0.0562,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
118,47.259189,-122.434689,"Thea Foss Waterway",46,11,1010594,17.182,0.87,33.305,0.69,0.0468,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
119,47.259189,-122.434689,"Thea Foss Waterway",46,11,1453659,13.402,0.89,36.253,0.6964,0.054,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
120,47.259189,-122.434689,"Thea Foss Waterway",46,11,2434731,13.817,0.925,35.847,0.6802,0.051,"5","47.19 - 47.45","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33"
