latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb,a3,a64,a65,a66,a70,a72,a73,a74,a76,a77,a78
47.57995505,-122.6786,Madrona Pont,7017559.75,4.52025,0.032,0.66025,0.0455,0.805,28,10,4,1,2,2,2,2,2,3,4,-1.084770642,-0.964240571,-1.084770642,-1.205300714,-1.205300714,-1.265565749,-1.205300714,-1.205300714,-1.205300714,2.591396534,-1.084770642
47.55622,-122.54281,"Manchester, Stormwater Outfall",7715455.75,3.407625,0.03425,0.73075,0.062,0.60625,33,10,4,1,2,2,3,3,3,4,3,-1.231404524,-1.094581799,-1.231404524,-1.368227249,-1.368227249,-1.436638611,-1.368227249,-1.368227249,-1.368227249,2.394397685,-1.231404524
47.30008,-122.74566,Maple Hollow Park,13508380.33,4.6215,0.0365,0.71025,0.05425,0.775,51,13,1,3,1,1,2,2,2,2,3,-0.981481481,-0.916049383,-0.981481481,-1.112345679,-1.177777778,-1.177777778,-1.177777778,-1.177777778,-1.112345679,1.504938272,-1.04691358
48.018127,-122.699524,Maristone Island,4711148.333,5.722,0.033666667,0.7255,0.055666667,0.699166667,11,9,3,5,3,3,1,1,2,1,2,-1.269994391,-1.128883904,-1.269994391,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,1.340549635,-1.269994391
47.11795,-122.83359,Meyer's Point - Henderson Inlet,2252669.75,15.21175,0.036,0.7025,0.05625,0.78875,71,13,1,3,1,1,1,2,2,1,4,-1.115205224,-1.040858209,-1.115205224,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,1.412593284,-1.189552239
47.4436,-122.360316,Miller Creek,15899206.5,4.015375,0.0345,0.6955,0.05575,0.82125,20,11,4,2,1,1,2,2,3,3,4,-1.016754197,1.080301334,-1.016754197,-1.207395609,-1.207395609,-1.207395609,-1.207395609,-1.207395609,1.334489884,2.414791218,-1.080301334
47.3539722,-122.69175,Minter Bay,8029787,5.00975,0.03675,0.6505,0.051,0.9175,55,13,1,3,1,1,2,1,1,2,2,-1.052653061,-0.986862245,-1.052653061,-1.25002551,-1.25002551,-1.25002551,-1.25002551,-1.25002551,-1.25002551,1.710561224,-1.118443878
47.94968,-122.30158,Mukilteo,8713508,7.6065,0.03275,0.699,0.05075,0.79125,65,8.2,4,1,2,2,4,4,4,4,2,-1.100494081,-0.971024189,-1.100494081,-1.229963973,-1.229963973,-1.294698919,-1.229963973,-1.229963973,-1.229963973,1.942048379,-1.100494081
48.52108,-122.61531,N Avenue Park,6764939.25,1.446375,0.03675,0.6935,0.057,0.8225,62,7,2,4,4,4,5,5,5,6,2,-1.085359801,-0.976823821,-1.085359801,-1.248163772,-1.248163772,2.550595533,-1.248163772,-1.248163772,4.178635236,3.473151365,-1.139627792
48.255358,-122.507014,North Camano,12423809,0.75175,0.03225,0.70175,0.05225,0.7675,7,8.1,2,4,4,4,1,1,1,1,1,-1.333065693,-1.206107056,-1.333065693,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,2.920048662,1.396545012
48.02218,-122.728709,Oak Bay County Park,2335225.75,11.8395,0.0345,0.6845,0.056,0.77375,10,9,3,5,3,3,1,1,1,1,2,-1.154208925,-1.025963489,-1.154208925,-1.282454361,-1.282454361,-1.346577079,-1.282454361,-1.282454361,-1.282454361,1.154208925,-1.154208925
48.21423,-122.718972,Penn Cove Reference,2290809.25,12.593,0.0335,0.70375,0.0575,0.60625,3,8.1,3,5,3,3,1,1,2,1,2,-1.170406714,-1.024105875,-1.170406714,-1.316707553,-1.316707553,-1.389857973,-1.316707553,-1.316707553,-1.316707553,2.852866365,1.463008393
47.2619,-122.7376,Pennrose Point State Park,7562838.75,4.423,0.02625,0.6765,0.06475,0.8575,50,13,1,3,1,1,2,2,2,2,4,-0.990190802,-0.858165362,-0.990190802,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-1.122216243,1.386267123,-0.990190802
47.3062,-122.5145,Point Defiance Ferry,2116286.75,6.454,0.03675,0.71425,0.05475,0.83875,43,11,1,2,1,1,5,4,4,5,4,-0.984333968,-0.92643197,-1.042235966,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,1.21594196,2.258177926,-1.042235966
48.12823,-123.45715,Port Angeles Yacht Club,5668182.167,7.99825,1.824166667,0.734333333,2.625333333,0.800833333,1,6,3,5,3,5,5,5,5,6,5,-1.202061856,-1.08185567,-1.202061856,-1.382371134,-1.382371134,2.344020619,-1.382371134,-1.382371134,3.546082474,1.923298969,-1.262164948
47.38566,-122.627255,Purdy - Dexters,4578794.25,1.760875,0.034,0.679,0.049,0.84375,57,13,1,2,1,1,2,1,1,1,2,-0.975255833,-0.860519853,-0.975255833,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,1.663671715,-0.975255833
47.386977,-122.6367089,"Purdy, Burley Lagoon",3937235,10.05025,0.03275,0.69325,0.053,0.915,47,13,1,2,1,1,2,2,2,2,4,-0.923234291,1.169430102,-0.923234291,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,2.031115441,-0.923234291
47.32598,-122.66724,Raft Island Park,4185580.75,3.778125,0.0355,0.7245,0.0525,0.65375,53,13,1,3,1,1,2,1,1,2,2,-1.1257041,-0.984991087,-1.1257041,-1.266417112,-1.266417112,-1.336773619,-1.266417112,-1.266417112,-1.266417112,1.407130125,-1.1257041
47.346537,-122.82236,Reach Island,5721095,4.58375,0.03225,0.6665,0.054,0.77,39,13,1,3,1,1,2,2,2,2,1,-1.284385246,-1.109241803,-1.284385246,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.459528689,1.459528689,-1.284385246
47.578117,-122.524833,Rich Passage,5061124.75,2.31975,0.03475,0.71225,0.0535,0.81,32,10,4,1,2,2,3,3,3,3,4,-0.773063806,-0.71359736,-0.773063806,-0.8919967,-0.8919967,-0.8919967,-0.8919967,-0.8919967,1.010929593,2.081325633,-0.832530253
47.60255,-122.66992,Rocky Point,9469801.25,9.8955,0.034,0.71425,0.0615,0.68875,27,10,4,1,2,2,3,3,3,3,5,-1.095953545,-0.974180929,-1.095953545,-1.217726161,-1.217726161,-1.278612469,-1.217726161,-1.217726161,-1.217726161,2.496338631,-1.095953545
48.02667,-122.75076,S of Skunk Island,4092598.333,10.11125,0.034,0.71075,0.0585,0.78625,9,9,3,5,3,3,3,2,2,3,1,-1.381333685,-1.201159726,-1.381333685,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.321275698,-1.381333685
47.6663,-122.4018,"Salmon Bay, Commodore Park",4444677.5,3.79425,0.03425,0.71825,0.05725,0.7075,16,10,4,1,2,2,5,5,5,6,5,-1.339411765,2.604411765,-1.339411765,-1.562647059,-1.562647059,3.199705882,-1.562647059,-1.562647059,6.845882353,10.41764706,2.678823529
47.29464,-122.53053,Salmon Beach,1550935.333,7.299625,0.03325,0.684,0.054,0.86375,40,11,1,2,1,1,4,4,3,5,3,-1.309787234,-1.190715667,-1.309787234,-1.488394584,-1.547930368,-1.547930368,-1.547930368,-1.547930368,-1.547930368,1.547930368,-1.369323017
47.607,-122.342,"Seattle Aquarium, Pier 59",3037049.5,15.6175,0.0365,0.704,0.05075,0.8425,17,10,4,1,2,2,5,5,5,6,5,-1.036850394,0.972047244,-1.036850394,-1.166456693,-1.166456693,-1.166456693,-1.166456693,-1.166456693,4.730629921,4.341811024,1.036850394
47.671678,-122.406663,Shilshole Bay,2710238.75,9.90675,0.03225,0.7285,0.053,0.55625,18,10,4,1,2,2,5,5,5,6,5,-1.428256334,2.480655738,-1.428256334,-1.578599106,-1.578599106,4.585454545,-1.578599106,-1.578599106,11.2757079,9.020566319,2.781341282
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",1419996,28.254,0.0345,0.698,0.05875,0.6875,35,10,4,1,2,2,3,3,3,4,5,-1.096651584,1.302273756,-1.096651584,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032,1.644977376,3.427036199,-1.096651584
47.66142,-122.49884,Skiff Point,5612257.75,4.779,0.0335,0.70725,0.053,0.55875,24,10,4,1,2,2,4,4,4,4,1,-1.894231023,-1.716646865,-1.894231023,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,2.071815182,-1.953425743
47.63237,-122.37869,"Smith Cove, Terminal 91",3958466.25,7.5955,0.03575,0.701,0.06275,0.74,15,10,4,1,2,2,5,5,5,6,5,-0.975446872,3.901787488,-0.975446872,-1.105506455,1.495685204,7.153277061,-1.105506455,1.495685204,10.40476663,11.70536246,2.991370407
47.17650485,-122.9046464,Squaxin Island,6185908.75,6.574125,0.03475,0.68175,0.055,0.85625,38,13,1,3,1,1,2,2,1,2,2,-1.165247191,-1.035775281,-1.165247191,-1.294719101,-1.294719101,-1.359455056,-1.294719101,-1.294719101,-1.294719101,1.294719101,-1.165247191
47.7296079,-122.5506191,Suquamish Stormwater Outfall,3575218.5,5.81925,0.02825,0.665,0.0595,1.02125,34,10,4,1,2,2,4,4,4,4,4,-0.773294931,-0.708853687,-0.773294931,-0.902177419,-0.902177419,-0.902177419,-0.902177419,-0.902177419,0.902177419,2.319884793,-0.773294931
47.259189,-122.434689,Thea Foss Waterway,3660950,11.7874,0.0292,0.6148,0.0448,0.897,46,11,1,2,1,1,5,5,5,6,5,-1.233205765,1.233205765,-1.233205765,-1.363016899,-1.427922465,2.206789264,-1.427922465,-1.427922465,3.894333996,3.115467197,-1.233205765
47.44896,-122.372267,Three Tree Point,7868514.75,7.91575,0.03475,0.7265,0.0605,0.8125,22,11,4,2,1,1,3,3,3,3,3,-1.178230616,1.119319085,-1.178230616,-1.296053678,-1.354965209,-1.354965209,-1.354965209,-1.354965209,-1.354965209,2.827753479,-1.178230616
48.0617,-122.2939,Tulalip Bay,5438866.5,6.253833333,0.033833333,0.709333333,0.054666667,0.874166667,67,8.2,4,1,2,2,4,3,3,4,2,-1.10312,1.362677647,-1.10312,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-1.297788235,2.141350588,-1.168009412
48.0697859,-122.2997764,Tulalip Reservation,5097254.75,3.952125,0.03225,0.68925,0.049,0.78375,70,8.2,4,1,2,2,3,2,2,3,1,-0.884269068,-0.825317797,-0.884269068,-1.00217161,-1.00217161,-1.061122881,-1.00217161,-1.00217161,-1.00217161,1.296927966,-0.884269068
47.052362,-122.910912,West Bay Park,8508351.5,4.628,0.03275,0.68675,0.05625,0.7725,73,13,1,3,1,1,3,3,3,4,4,-1.417207299,-1.214749113,-1.417207299,-1.552179422,-1.552179422,-1.619665484,-1.552179422,-1.552179422,-1.552179422,2.969386721,-1.417207299
47.66586,-122.56698,Williams Olson Park,3067078.5,6.457625,0.034,0.6875,0.05125,0.67125,26,10,4,1,2,2,3,2,2,4,3,-1.205012225,-1.084511002,-1.205012225,-1.325513447,-1.385764059,-1.385764059,-1.385764059,-1.385764059,-1.325513447,2.169022005,-1.205012225
