latitude,longitude,site_name,site_number,reporting_area,a3,a64,a65,a66,a70,a72,a73,a74,a76,a77,a78
48.04906,-122.7724,Chimacum Creek delta,8,9,-1.372631579,-1.24784689,-1.372631579,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.310239234,-1.372631579
48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,-1.147630923,-1.03286783,-1.147630923,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,3.098603491,1.319775561
47.29,-122.41,Comm Bay Skookum,45,11,-1.450848905,1.648691938,-1.450848905,-1.582744261,-1.648691938,2.110325681,-1.648691938,2.703854778,4.550389749,9.892151628,8.573198078
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,-1.041698113,1.237016509,-1.041698113,-1.171910377,-1.171910377,2.083396226,-1.171910377,2.408926887,5.989764151,7.812735849,6.380400943
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,11,-1.076873315,-1.009568733,-1.144177898,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,3.028706199,3.163315364,1.81722372
47.40301418,-122.3305538,Des Moines Marina,21,11,-1.102551819,1.102551819,-1.102551819,-1.286310456,-1.286310456,2.633873791,-1.286310456,2.756379549,10.41298941,4.28770152,-1.163804698
48.064957,-122.857524,Discovery Bay,12,6,-0.800202962,-0.706061437,-0.800202962,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,1.035556775,-0.800202962
47.33775,-122.59014,Donkey Creek Delta,44,11,-0.925695444,-0.793453237,-0.925695444,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,2.578723022,-0.925695444
47.61889,-122.5275,Eagle Harbor Dr,31,10,-1.306177724,-1.168685332,-1.306177724,-1.443670116,-1.443670116,-1.512416312,-1.443670116,-1.443670116,1.581162508,3.024832623,-1.306177724
48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,-1.157248764,-1.047034596,-1.157248764,-1.322570016,-1.322570016,-1.3776771,-1.322570016,-1.322570016,-1.322570016,1.3776771,-1.212355848
47.81407,-122.3825,Edmonds Ferry,69,9,-1.052327103,-0.935401869,-1.052327103,-1.169252336,-1.227714953,-1.227714953,-1.227714953,-1.227714953,-1.169252336,2.280042056,-1.052327103
47.8111,-122.388,Edmonds Marina,68,9,-0.81998892,-0.761418283,-0.81998892,-0.937130194,-0.937130194,-0.995700831,-0.937130194,-0.937130194,1.112842105,2.459966759,-0.878559557
47.074603,-123.003527,Eld Inlet,72,13,-1.072488263,-0.965239437,-1.072488263,-1.179737089,-1.233361502,-1.233361502,-1.233361502,-1.233361502,-1.179737089,1.447859155,-1.072488263
47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,-1.20784217,1.274944513,-1.20784217,-1.409149199,-1.409149199,4.495856967,-1.409149199,-1.409149199,13.42046856,5.032675709,-1.274944513
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,-1.198187809,1.255244371,-1.198187809,-1.369357496,-1.369357496,2.852828116,-1.369357496,-1.369357496,3.879846238,3.594563427,-1.198187809
47.9726,-122.22977,Everett Harbor,66,8.2,-1.2649094,-1.131761042,-1.2649094,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,1.86407701,-1.331483579
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,-1.78070327,-1.589913634,-1.78070327,-2.035089451,-2.035089451,2.416668723,-2.035089451,-2.035089451,5.787285626,3.815792721,-1.78070327
47.19483,-122.748665,Filucy Bay,59,13,-0.948947928,-0.889638682,-0.948947928,-1.126875664,-1.126875664,-1.126875664,-1.126875664,-1.126875664,-1.126875664,1.601349628,-1.008257173
48.5069444,-123.0194444,Friday Harbor,61,7,-1.190727056,-1.065387366,-1.190727056,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,1.316066746,-1.253396901
47.33785,-122.58277,Gig Harbor Boat Launch,58,11,-1.108182752,-0.985051335,-1.108182752,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,2.093234086,-1.108182752
47.5706,-122.9717,Hood Canal Holly,29,12,-1.365898618,-1.229308756,-1.365898618,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.297603687,-1.365898618
48.024789,-122.998135,Jamestown,2,6,-1.193191046,-1.060614263,-1.193191046,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.126902655,-1.193191046
47.794695,-122.499858,Kingston Marina,36,10,-1.105044386,-0.975039164,-1.105044386,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,1.885075718,-1.105044386
47.54167,-122.64034,Kitsap St Boat Launch,25,10,-1.011570912,-0.910413821,-1.011570912,-1.163306549,-1.163306549,1.466777822,-1.163306549,-1.163306549,2.377191643,2.98413419,-1.062149458
47.30973,-122.68868,Kopachuck State Park,52,13,-0.944632984,-0.809685415,-0.944632984,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,1.48442326,-0.944632984
47.5833538,-122.6414587,Lions Park,37,10,-1.382147402,-1.184697773,-1.382147402,-1.513780488,-1.513780488,-1.579597031,-1.513780488,-1.513780488,-1.513780488,3.027560976,-1.382147402
48.77636877,-122.5378679,Locust Beach,76,7,-1.28004374,1.408048114,-1.28004374,-1.408048114,-1.408048114,-1.472050301,-1.408048114,-1.408048114,-1.408048114,2.816096227,1.536052488
47.57995505,-122.6786,Madrona Pont,28,10,-1.084770642,-0.964240571,-1.084770642,-1.205300714,-1.205300714,-1.265565749,-1.205300714,-1.205300714,-1.205300714,2.591396534,-1.084770642
47.55622,-122.54281,"Manchester, Stormwater Outfall",33,10,-1.231404524,-1.094581799,-1.231404524,-1.368227249,-1.368227249,-1.436638611,-1.368227249,-1.368227249,-1.368227249,2.394397685,-1.231404524
47.30008,-122.74566,Maple Hollow Park,51,13,-0.981481481,-0.916049383,-0.981481481,-1.112345679,-1.177777778,-1.177777778,-1.177777778,-1.177777778,-1.112345679,1.504938272,-1.04691358
48.018127,-122.699524,Maristone Island,11,9,-1.269994391,-1.128883904,-1.269994391,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,1.340549635,-1.269994391
47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,-1.115205224,-1.040858209,-1.115205224,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,1.412593284,-1.189552239
47.4436,-122.360316,Miller Creek,20,11,-1.016754197,1.080301334,-1.016754197,-1.207395609,-1.207395609,-1.207395609,-1.207395609,-1.207395609,1.334489884,2.414791218,-1.080301334
47.3539722,-122.69175,Minter Bay,55,13,-1.052653061,-0.986862245,-1.052653061,-1.25002551,-1.25002551,-1.25002551,-1.25002551,-1.25002551,-1.25002551,1.710561224,-1.118443878
47.94968,-122.30158,Mukilteo,65,8.2,-1.100494081,-0.971024189,-1.100494081,-1.229963973,-1.229963973,-1.294698919,-1.229963973,-1.229963973,-1.229963973,1.942048379,-1.100494081
48.52108,-122.61531,N Avenue Park,62,7,-1.085359801,-0.976823821,-1.085359801,-1.248163772,-1.248163772,2.550595533,-1.248163772,-1.248163772,4.178635236,3.473151365,-1.139627792
48.255358,-122.507014,North Camano,7,8.1,-1.333065693,-1.206107056,-1.333065693,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,2.920048662,1.396545012
48.02218,-122.728709,Oak Bay County Park,10,9,-1.154208925,-1.025963489,-1.154208925,-1.282454361,-1.282454361,-1.346577079,-1.282454361,-1.282454361,-1.282454361,1.154208925,-1.154208925
48.21423,-122.718972,Penn Cove Reference,3,8.1,-1.170406714,-1.024105875,-1.170406714,-1.316707553,-1.316707553,-1.389857973,-1.316707553,-1.316707553,-1.316707553,2.852866365,1.463008393
47.2619,-122.7376,Pennrose Point State Park,50,13,-0.990190802,-0.858165362,-0.990190802,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-1.122216243,1.386267123,-0.990190802
47.3062,-122.5145,Point Defiance Ferry,43,11,-0.984333968,-0.92643197,-1.042235966,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,1.21594196,2.258177926,-1.042235966
48.12823,-123.45715,Port Angeles Yacht Club,1,6,-1.202061856,-1.08185567,-1.202061856,-1.382371134,-1.382371134,2.344020619,-1.382371134,-1.382371134,3.546082474,1.923298969,-1.262164948
47.38566,-122.627255,Purdy - Dexters,57,13,-0.975255833,-0.860519853,-0.975255833,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,1.663671715,-0.975255833
47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,-0.923234291,1.169430102,-0.923234291,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,2.031115441,-0.923234291
47.32598,-122.66724,Raft Island Park,53,13,-1.1257041,-0.984991087,-1.1257041,-1.266417112,-1.266417112,-1.336773619,-1.266417112,-1.266417112,-1.266417112,1.407130125,-1.1257041
47.346537,-122.82236,Reach Island,39,13,-1.284385246,-1.109241803,-1.284385246,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.459528689,1.459528689,-1.284385246
47.578117,-122.524833,Rich Passage,32,10,-0.773063806,-0.71359736,-0.773063806,-0.8919967,-0.8919967,-0.8919967,-0.8919967,-0.8919967,1.010929593,2.081325633,-0.832530253
47.60255,-122.66992,Rocky Point,27,10,-1.095953545,-0.974180929,-1.095953545,-1.217726161,-1.217726161,-1.278612469,-1.217726161,-1.217726161,-1.217726161,2.496338631,-1.095953545
48.02667,-122.75076,S of Skunk Island,9,9,-1.381333685,-1.201159726,-1.381333685,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.321275698,-1.381333685
47.6663,-122.4018,"Salmon Bay, Commodore Park",16,10,-1.339411765,2.604411765,-1.339411765,-1.562647059,-1.562647059,3.199705882,-1.562647059,-1.562647059,6.845882353,10.41764706,2.678823529
47.29464,-122.53053,Salmon Beach,40,11,-1.309787234,-1.190715667,-1.309787234,-1.488394584,-1.547930368,-1.547930368,-1.547930368,-1.547930368,-1.547930368,1.547930368,-1.369323017
47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,-1.036850394,0.972047244,-1.036850394,-1.166456693,-1.166456693,-1.166456693,-1.166456693,-1.166456693,4.730629921,4.341811024,1.036850394
47.671678,-122.406663,Shilshole Bay,18,10,-1.428256334,2.480655738,-1.428256334,-1.578599106,-1.578599106,4.585454545,-1.578599106,-1.578599106,11.2757079,9.020566319,2.781341282
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,-1.096651584,1.302273756,-1.096651584,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032,1.644977376,3.427036199,-1.096651584
47.66142,-122.49884,Skiff Point,24,10,-1.894231023,-1.716646865,-1.894231023,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,2.071815182,-1.953425743
47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,-0.975446872,3.901787488,-0.975446872,-1.105506455,1.495685204,7.153277061,-1.105506455,1.495685204,10.40476663,11.70536246,2.991370407
47.17650485,-122.9046464,Squaxin Island,38,13,-1.165247191,-1.035775281,-1.165247191,-1.294719101,-1.294719101,-1.359455056,-1.294719101,-1.294719101,-1.294719101,1.294719101,-1.165247191
47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,10,-0.773294931,-0.708853687,-0.773294931,-0.902177419,-0.902177419,-0.902177419,-0.902177419,-0.902177419,0.902177419,2.319884793,-0.773294931
47.259189,-122.434689,Thea Foss Waterway,46,11,-1.233205765,1.233205765,-1.233205765,-1.363016899,-1.427922465,2.206789264,-1.427922465,-1.427922465,3.894333996,3.115467197,-1.233205765
47.44896,-122.372267,Three Tree Point,22,11,-1.178230616,1.119319085,-1.178230616,-1.296053678,-1.354965209,-1.354965209,-1.354965209,-1.354965209,-1.354965209,2.827753479,-1.178230616
48.0617,-122.2939,Tulalip Bay,67,8.2,-1.10312,1.362677647,-1.10312,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-1.297788235,2.141350588,-1.168009412
48.0697859,-122.2997764,Tulalip Reservation,70,8.2,-0.884269068,-0.825317797,-0.884269068,-1.00217161,-1.00217161,-1.061122881,-1.00217161,-1.00217161,-1.00217161,1.296927966,-0.884269068
47.052362,-122.910912,West Bay Park,73,13,-1.417207299,-1.214749113,-1.417207299,-1.552179422,-1.552179422,-1.619665484,-1.552179422,-1.552179422,-1.552179422,2.969386721,-1.417207299
47.66586,-122.56698,Williams Olson Park,26,10,-1.205012225,-1.084511002,-1.205012225,-1.325513447,-1.385764059,-1.385764059,-1.385764059,-1.385764059,-1.325513447,2.169022005,-1.205012225
