"site_name","reporting_area","geo_group","pcb_group","latitude","longitude","lat_range","long_range","PAHgroup8","p450","sod","condition_factor","avg_thickness"
"Eld Inlet",13,4,1,47.074603,-123.003527,"47.05 - 47.57",-0.33,2,4644880.75,20.791,0.21035,0.7075
"Elliot Bay Myrtle Edwards",10,2,5,47.61862,-122.36108,"47.5 - 47.97",-0.6,8,2469547.6,34.8252,0.18824,0.824
"Elliott Bay, Harbor Island, Pier 17",10,2,5,47.58766,-122.35065,"47.5 - 47.97",-0.6,8,9194071.75,5.56325,0.16225,0.85625
"Everett Harbor",8.2,2,2,47.9726,-122.22977,"47.5 - 47.97",-0.6,5,5271456.5,0.375875,0.14555,0.77625
"Fidalgo Bay Aq Reserve, Weaverling Spit",7,3,1,48.482448,-122.583879,"48.02 - 48.82",-0.48,7,3477566.5,18.015,0.1738,0.7625
"Filucy Bay",13,4,2,47.19483,-122.748665,"47.05 - 47.57",-0.33,2,6265039.75,5.313125,0.159275,0.85625
"Friday Harbor",7,5,1,48.5069444,-123.0194444,"48.02 - 48.69",-0.6,2,3660262,2.297,0.0909,0.735
"Friday Harbor",7,5,1,48.5069444,-123.0194444,"48.02 - 48.69",-0.6,6,4027738.5,7.81275,0.159075,0.75375
"Gig Harbor Boat Launch",11,1,3,47.33785,-122.58277,"47.19 - 47.45",-0.31,5,4097009.75,7.509375,0.15425,0.965
"Hood Canal Holly",12,4,1,47.5706,-122.9717,"47.05 - 47.57",-0.33,1,2330945,1.64041666666667,0.1902,0.676666666666667
"Jamestown",6,5,2,48.024789,-122.998135,"48.02 - 48.69",-0.6,1,3263515,24.4873333333333,0.173883333333333,0.573333333333333
"Kingston Marina",10,2,2,47.794695,-122.499858,"47.5 - 47.97",-0.6,3,5281103,4.064,0.165525,0.81125
"Kitsap St Boat Launch",10,2,5,47.54167,-122.64034,"47.5 - 47.97",-0.6,7,2885042.5,30.745,0.1738,0.8325
"Kopachuck State Park",13,4,1,47.30973,-122.68868,"47.05 - 47.57",-0.33,1,7285132.25,4.726,0.52565,0.7775
"Lions Park",10,2,3,47.5833538,-122.6414587,"47.5 - 47.97",-0.6,4,6543253.75,14.79325,0.14805,0.75
"Locust Beach",7,3,1,48.77636877,-122.5378679,"48.02 - 48.82",-0.48,1,2401828,5.4015,0.169575,0.6875
"Madrona Pont",10,2,3,47.57995505,-122.6786,"47.5 - 47.97",-0.6,3,5804701,3.8715,0.155625,0.805
"Manchester, Stormwater Outfall",10,2,2,47.55622,-122.54281,"47.5 - 47.97",-0.6,5,6122829.75,2.682375,0.198825,0.60625
"Maple Hollow Park",13,4,2,47.30008,-122.74566,"47.05 - 47.57",-0.33,2,3698032,4.6215,0.184125,0.775
"Maristone Island",9,3,1,48.018127,-122.699524,"48.02 - 48.82",-0.48,1,4772560.83333333,5.67875,0.1881,0.699166666666667
"Meyer's Point - Henderson Inlet",13,4,3,47.11795,-122.83359,"47.05 - 47.57",-0.33,3,2519276.5,24.0125,0.1738,0.78875
"Miller Creek",11,1,2,47.4436,-122.360316,"47.19 - 47.45",-0.31,4,5747266.5,4.015375,0.1893,0.82125
"Minter Bay",13,4,1,47.3539722,-122.69175,"47.05 - 47.57",-0.33,2,6206748.75,1.991375,0.17415,0.9175
"Mukilteo",8.2,2,1,47.94968,-122.30158,"47.5 - 47.97",-0.6,6,5076322.75,7.6065,0.1532,0.79125
"N Avenue Park",7,3,1,48.52108,-122.61531,"48.02 - 48.82",-0.48,8,4183302,1.443625,0.18215,0.8225
"North Camano",8.1,3,1,48.255358,-122.507014,"48.02 - 48.82",-0.48,2,12290521,0.75175,0.179575,0.7675
"Oak Bay County Park",9,3,1,48.02218,-122.728709,"48.02 - 48.82",-0.48,1,2335145,19.80775,0.17445,0.77375
"Penn Cove Reference",8.1,3,1,48.21423,-122.718972,"48.02 - 48.82",-0.48,2,2427656.25,23.86,0.195125,0.60625
"Pennrose Point State Park",13,4,2,47.2619,-122.7376,"47.05 - 47.57",-0.33,3,4193869.5,4.4995,0.180575,0.8575
"Point Defiance Ferry",11,1,3,47.3062,-122.5145,"47.19 - 47.45",-0.31,6,2181856.75,10.88425,0.1761,0.83875
"Port Angeles Yacht Club",6,5,3,48.12823,-123.45715,"48.02 - 48.69",-0.6,8,5751355,7.3855,1.62076666666667,0.800833333333333
"Purdy - Dexters",13,1,2,47.38566,-122.627255,"47.19 - 47.45",-0.31,2,4743078.25,1.760875,0.168025,0.84375
"Purdy, Burley Lagoon",13,1,2,47.386977,-122.6367089,"47.19 - 47.45",-0.31,3,4062886,10.306,0.1752,0.821666666666667
"Raft Island Park",13,4,2,47.32598,-122.66724,"47.05 - 47.57",-0.33,2,4523051.5,3.778125,0.170975,0.65375
"Reach Island",13,4,1,47.346537,-122.82236,"47.05 - 47.57",-0.33,3,5905498,4.58375,0.16865,0.77
"Rich Passage",10,2,3,47.578117,-122.524833,"47.5 - 47.97",-0.6,4,3203053.25,2.245,0.16595,0.81
"Rocky Point",10,2,3,47.60255,-122.66992,"47.5 - 47.97",-0.6,4,4508401,9.8955,0.178175,0.68875
"S of Skunk Island",9,3,1,48.02667,-122.75076,"48.02 - 48.82",-0.48,4,3556922.75,11.307,0.172025,0.78625
"Salmon Bay, Commodore Park",10,2,5,47.6663,-122.4018,"47.5 - 47.97",-0.6,7,3756618.5,1.48175,0.19215,0.7075
"Salmon Beach",11,1,2,47.29464,-122.53053,"47.19 - 47.45",-0.31,5,1904018.75,18.330875,0.16055,0.86375
"Seattle Aquarium, Pier 59",10,2,5,47.607,-122.342,"47.5 - 47.97",-0.6,8,3135234,23.887625,0.176275,0.8425
"Shilshole Bay",10,2,4,47.671678,-122.406663,"47.5 - 47.97",-0.6,8,2862823.75,9.90675,0.15135,0.55625
"Silverdale, Dyes Inlet",10,2,4,47.6427936,-122.6967068,"47.5 - 47.97",-0.6,5,1652091.25,26.031,0.18485,0.6875
"Skiff Point",10,2,1,47.66142,-122.49884,"47.5 - 47.97",-0.6,6,5664098.75,4.23625,0.175775,0.55875
"Smith Cove, Terminal 91",10,2,6,47.63237,-122.37869,"47.5 - 47.97",-0.6,8,3958924,19.66125,0.1822,0.74
"Squaxin Island",13,4,1,47.17650485,-122.9046464,"47.05 - 47.57",-0.33,2,6368736.25,5.85875,0.17425,0.85625
"Suquamish Stormwater Outfall",10,2,3,47.7296079,-122.5506191,"47.5 - 47.97",-0.6,5,4338555.5,5.81925,0.180425,1.02125
"Thea Foss Waterway",11,1,3,47.259189,-122.434689,"47.19 - 47.45",-0.31,7,3513113.6,18.6908,0.14776,0.897
"Three Tree Point",11,1,2,47.44896,-122.372267,"47.19 - 47.45",-0.31,4,7417010.25,8.125125,0.208425,0.8125
"Tulalip Bay",8.2,3,2,48.0617,-122.2939,"48.02 - 48.82",-0.48,3,5544824.5,6.25383333333333,0.176166666666667,0.874166666666667
"Tulalip Reservation",8.2,3,1,48.0697859,-122.2997764,"48.02 - 48.82",-0.48,3,3773556.5,3.182125,0.16805,0.78375
"West Bay Park",13,4,2,47.052362,-122.910912,"47.05 - 47.57",-0.33,5,5731487.25,2.996125,0.182525,0.7725
"Williams Olson Park",10,2,2,47.66586,-122.56698,"47.5 - 47.97",-0.6,4,2970859,6.457625,0.161975,0.67125
