"latitude","longitude","site_name","qualifier","X","X.1","site","flagged","alpha_hexachlorocyclohexane","beta_hexachlorocyclohexane","gamma_hexachlorocyclohexane"
47.4485721,-122.3723967,"Three Tree Point","U",NA,NA,"Three Tree Point",TRUE,0,0,0
47.6609,-122.5668,"Williams Olson Park","U",NA,NA,"Williams Olson Park",TRUE,0,0,0
47.2758,-122.4174,"Blair Waterway","U",NA,NA,"Blair Waterway",TRUE,0,NA,0
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17","U",NA,NA,"Elliott Bay, Harbor Island, Pier 17",TRUE,0,NA,0
47.541533,-122.640383,"Kitsap St Boat Launch","U",NA,NA,"Kitsap St Boat Launch",TRUE,0,NA,0
47.583016,-122.64217,"Lions Park","U",NA,NA,"Lions Park",TRUE,0,0,0
48.52108,-122.61531,"N Avenue Park","U",NA,NA,"N Avenue Park",TRUE,0,NA,0
48.25523,-122.50817,"North Camano","U",NA,NA,"North Camano",TRUE,0,0,0
48.128267,-123.457133,"Port Angeles Yacht Club","U",NA,NA,"Port Angeles Yacht Club",TRUE,0,0,0
47.052373,-122.9101963,"West Bay Park","U",NA,NA,"West Bay Park",TRUE,0,0,0
48.04887,-122.7711,"Chimacum Creek delta","U",NA,NA,"Chimacum Creek delta",TRUE,0,0,0
47.28915,-122.4096,"Comm Bay Skookum","U",NA,NA,"Commencement Bay Skookum",TRUE,0,0,0
48.69395,-122.909933,"Eastsound, Fishing Bay","U",NA,NA,"Eastsound, Fishing Bay",TRUE,0,0,0
47.346817,-122.822363,"Reach Island","U",NA,NA,"Reach Island",TRUE,0,0,0
47.68203,-122.50668,"Brackenwood Ln","U",NA,NA,"Brackenwood Ln",TRUE,0,0,0
48.02655,-122.75089,"S of Skunk Island","U",NA,NA,"South of Skunk Island",TRUE,0,0,0
47.294692,-122.530504,"Salmon Beach","U",NA,NA,"Salmon Beach",TRUE,0,0,0
47.2632,-122.3856,"Blair Waterway #2","U",NA,NA,"Blair Waterway Two",TRUE,0,NA,0
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit","U",NA,NA,"Fidalgo Bay Aq Reserve, Weaverling Spit",TRUE,0,0,0
47.6614139,-122.498892,"Skiff Point","U",NA,NA,"Skiff Point",TRUE,0,0,0
47.666244,-122.401894,"Salmon Bay, Commodore Park","D",NA,NA,"Salmon Bay, Commodore Park",FALSE,NA,0.29,0.26
47.541533,-122.640383,"Kitsap St Boat Launch","D",NA,NA,"Kitsap St Boat Launch",FALSE,NA,0.26,NA
48.52108,-122.61531,"N Avenue Park","D",NA,NA,"N Avenue Park",FALSE,NA,0.19,NA
47.25934,-122.43479,"Thea Foss Waterway","D",NA,NA,"Thea Foss Waterway",FALSE,NA,0.19,NA
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17","D",NA,NA,"Elliott Bay, Harbor Island, Pier 17",FALSE,NA,0.18,NA
48.52093,-122.600725,"Cap Sante","D",NA,NA,"Cap Sante",FALSE,NA,0.17,NA
47.2758,-122.4174,"Blair Waterway","D",NA,NA,"Blair Waterway",FALSE,NA,0.16,NA
47.2632,-122.3856,"Blair Waterway #2","D",NA,NA,"Blair Waterway Two",FALSE,NA,0.16,NA
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","D",NA,NA,"Cherry Point Aquatic Reserve, Conoco Phillips",FALSE,NA,0.14,NA
47.60253,-122.66991,"Rocky Point","D",NA,NA,"Rocky Point",FALSE,NA,0.12,NA
47.6428,-122.6967,"Silverdale, Dyes Inlet","D",NA,NA,"Silverdale, Dyes Inlet",FALSE,NA,0.12,NA
47.81094,-122.387955,"Edmonds Marina","D",NA,NA,"Edmonds Marina",FALSE,NA,0.1,NA
47.6325,-122.3786,"Smith Cove, Terminal 91","U",NA,NA,"Smith Cove, Terminal 91",TRUE,NA,NA,0
47.607334,-122.344055,"Seattle Aquarium, Pier 59","U",NA,NA,"Seattle Aquarium, Pier 59",TRUE,NA,NA,0
