"latitude","longitude","site_name","qualifier","units","X","site","flagged","mercury","arsenic","cadmium","copper","lead","zinc"
47.8142069,-122.3822018,"Edmonds Ferry","D","mg/Kg",NA,"Edmonds Ferry",FALSE,0.00645,1.47,0.305,1.23,0.0575,15.7
47.81094,-122.387955,"Edmonds Marina","D","mg/Kg",NA,"Edmonds Marina",FALSE,0.00904,1.44,0.304,1.49,0.0576,14.2
47.0769,-123.0034725,"Eld Inlet","D","mg/Kg",NA,"Eld Inlet",FALSE,0.00497,1.54,0.298,1.08,0.0436,16
47.62052,-122.36373,"Elliot Bay Myrtle Edwards","D","mg/Kg",NA,"Elliot Bay Myrtle Edwards",FALSE,0.00645,1.34,0.295,1.05,0.0467,14.6
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17","D","mg/Kg",NA,"Elliott Bay, Harbor Island, Pier 17",FALSE,0.00581,1.39,0.316,1.58,0.0486,16.5
47.97252,-122.22982,"Everett Harbor","D","mg/Kg",NA,"Everett Harbor",FALSE,0.00653,1.32,0.269,1.02,0.0577,11.5
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit","D","mg/Kg",NA,"Fidalgo Bay Aq Reserve, Weaverling Spit",FALSE,0.0066,1.41,0.29,1.54,0.0397,13.6
47.19483,-122.748665,"Filucy Bay","D","mg/Kg",NA,"Filucy Bay",FALSE,0.0072,1.38,0.296,0.977,0.0389,13.2
48.5069444,-123.0194444,"Friday Harbor","D","mg/Kg",NA,"Friday Harbor",FALSE,0.006,1.69,0.32,1.26,0.0331,16.8
47.3372,-122.58284,"Gig Harbor Boat Launch","D","mg/Kg",NA,"Gig Harbor Boat Launch",FALSE,0.00599,1.36,0.31,1.08,0.0755,13.8
47.570193,-122.971775,"Hood Canal Holly","D","mg/Kg",NA,"Hood Canal Holly",FALSE,0.00444,1.43,0.356,1.04,0.0131,12.7
48.027069,-122.999191,"Jamestown","D","mg/Kg",NA,"Jamestown",FALSE,0.005,1.38,0.294,1.16,0.0275,12.4
47.7947,-122.5003,"Kingston Marina","D","mg/Kg",NA,"Kingston Marina",FALSE,0.00727,1.23,0.292,0.853,0.0331,12.5
47.541533,-122.640383,"Kitsap St Boat Launch","D","mg/Kg",NA,"Kitsap St Boat Launch",FALSE,0.00616,1.59,0.302,1.62,0.0994,17
47.3115,-122.68725,"Kopachuck State Park","D","mg/Kg",NA,"Kopachuck State Park",FALSE,0.00613,1.28,0.318,0.837,0.0266,12.9
47.583016,-122.64217,"Lions Park","D","mg/Kg",NA,"Lions Park",FALSE,0.00584,1.37,0.308,0.987,0.0558,15.1
48.76652,-122.5395,"Locust Beach","D","mg/Kg",NA,"Locust Beach",FALSE,0.00513,1.47,0.291,1.12,0.041,13.6
47.579985,-122.67853,"Madrona Pont","D","mg/Kg",NA,"Madrona Pont",FALSE,0.00538,1.54,0.303,0.998,0.09,15
47.556111,-122.542778,"Manchester, Stormwater Outfall","D","mg/Kg",NA,"Manchester, Stormwater Outfall",FALSE,0.00471,1.29,0.305,0.808,0.0427,13.2
47.29954,-122.74554,"Maple Hollow Park","D","mg/Kg",NA,"Maple Hollow Park",FALSE,0.00619,1.51,0.349,0.889,0.0249,14
48.018181,-122.699838,"Maristone Island Bridge","D","mg/Kg",NA,"Maristone Island Bridge",FALSE,0.00464,1.3,0.309,0.869,0.0249,12
47.117944,-122.833528,"Meyer's Point - Henderson Inlet","D","mg/Kg",NA,"Meyer's Point, Henderson Inlet",FALSE,0.00527,1.17,0.298,0.866,0.0307,11.3
47.443611,-122.361944,"Miller Creek","D","mg/Kg",NA,"Miller Creek",FALSE,0.00678,1.42,0.321,0.873,0.0384,14.3
47.35399,-122.69176,"Minter Bay","D","mg/Kg",NA,"Minter Bay",FALSE,0.00578,1.48,0.352,1.31,0.0412,15.6
47.949831,-122.301703,"Mukilteo","D","mg/Kg",NA,"Mukilteo",FALSE,0.00785,1.26,0.288,1.12,0.0412,11
48.52108,-122.61531,"N Avenue Park","D","mg/Kg",NA,"N Avenue Park",FALSE,0.00641,1.81,0.339,1.02,0.0787,16.7
48.25523,-122.50817,"North Camano","D","mg/Kg",NA,"North Camano",FALSE,0.00784,1.56,0.304,1.15,0.0457,12.9
48.022466,-122.728123,"Oak Bay County Park","D","mg/Kg",NA,"Oak Bay County Park",FALSE,0.00594,1.34,0.312,0.912,0.0302,12.2
48.214071,-122.719097,"Penn Cove Reference","D","mg/Kg",NA,"Penn Cove Reference",FALSE,0.00667,1.44,0.325,0.972,0.0336,12.7
47.2609094,-122.7447771,"Penrose Point State Park","D","mg/Kg",NA,"Penrose Point State Park",FALSE,0.00588,1.39,0.311,0.956,0.0254,14
47.3061098,-122.514771,"Point Defiance Ferry","D","mg/Kg",NA,"Point Defiance Ferry",FALSE,0.00501,1.48,0.283,1.27,0.0727,17
48.128267,-123.457133,"Port Angeles Yacht Club","D","mg/Kg",NA,"Port Angeles Yacht Club",FALSE,0.00481,1.47,0.305,1.22,0.044,15.7
47.385334,-122.628902,"Purdy - Dexters","D","mg/Kg",NA,"Purdy, Dexters",FALSE,0.00669,1.57,0.331,1.01,0.0339,15
47.387021,-122.6367,"Purdy, Burley Lagoon","D","mg/Kg",NA,"Purdy, Burley Lagoon",FALSE,0.00614,1.54,0.315,1.12,0.0422,15.5
47.32622,-122.66715,"Raft Island Park","D","mg/Kg",NA,"Raft Island Park",FALSE,0.00525,1.19,0.311,1.14,0.0321,11.9
47.346817,-122.822363,"Reach Island","D","mg/Kg",NA,"Reach Island",FALSE,0.00417,1.56,0.341,1.51,0.0265,17.7
47.578117,-122.524833,"Rich Passage","D","mg/Kg",NA,"Rich Passage",FALSE,0.00581,1.49,0.301,1.25,0.0534,15.7
47.60253,-122.66991,"Rocky Point","D","mg/Kg",NA,"Rocky Point",FALSE,0.00575,1.46,0.336,1.03,0.0692,17
48.02655,-122.75089,"S of Skunk Island","D","mg/Kg",NA,"South of Skunk Island",FALSE,0.00502,1.4,0.306,0.998,0.0809,13.3
47.666244,-122.401894,"Salmon Bay, Commodore Park","D","mg/Kg",NA,"Salmon Bay, Commodore Park",FALSE,0.00533,1.04,0.264,1.02,0.0751,10.9
47.294692,-122.530504,"Salmon Beach","D","mg/Kg",NA,"Salmon Beach",FALSE,0.00426,1.41,0.328,0.854,0.0335,14.2
47.607334,-122.344055,"Seattle Aquarium, Pier 59","D","mg/Kg",NA,"Seattle Aquarium, Pier 59",FALSE,0.00632,1.42,0.319,1.25,0.0673,13.7
47.6707,-122.40605,"Shilshole Bay","D","mg/Kg",NA,"Shilshole Bay",FALSE,0.00618,1.18,0.226,1.17,0.0608,11.3
47.6428,-122.6967,"Silverdale, Dyes Inlet","D","mg/Kg",NA,"Silverdale, Dyes Inlet",FALSE,0.00624,1.51,0.296,1.25,0.0745,13.1
47.6614139,-122.498892,"Skiff Point","D","mg/Kg",NA,"Skiff Point",FALSE,0.007,1.57,0.337,1.11,0.0396,16.5
47.6325,-122.3786,"Smith Cove, Terminal 91","D","mg/Kg",NA,"Smith Cove, Terminal 91",FALSE,0.00548,1.43,0.296,1.29,0.0931,18.5
47.176735,-122.905337,"Squaxin Island","D","mg/Kg",NA,"Squaxin Island",FALSE,0.00508,1.29,0.359,1,0.0285,14
47.729875,-122.550882,"Suquamish, Stormwater Outfall","D","mg/Kg",NA,"Suquamish Stormwater Outfall",FALSE,0.00543,1.44,0.314,1.06,0.0346,13.7
47.25934,-122.43479,"Thea Foss Waterway","D","mg/Kg",NA,"Thea Foss Waterway",FALSE,0.0041,1.21,0.31,1.47,0.0743,14
47.4485721,-122.3723967,"Three Tree Point","D","mg/Kg",NA,"Three Tree Point",FALSE,0.0051,1.47,0.303,1.05,0.0325,15
48.0616613,-122.293939,"Tulalip Bay","D","mg/Kg",NA,"Tulalip Bay",FALSE,0.00661,1.41,0.315,1.2,0.0421,11.1
48.069978,-122.300216,"Tulalip Reservation","D","mg/Kg",NA,"Tulalip Reservation",FALSE,0.0051,1.27,0.301,0.96,0.033,11.2
47.052373,-122.9101963,"West Bay Park","D","mg/Kg",NA,"West Bay Park",FALSE,0.00494,1.28,0.289,1.03,0.0316,12.2
47.6609,-122.5668,"Williams Olson Park","D","mg/Kg",NA,"Williams Olson Park",FALSE,0.00539,1.5,0.291,1.78,0.0611,15.2
48.218626,-122.707972,"Penn Cove Baseline 1","U","mg/Kg",NA,"Penn Cove Baseline 1",TRUE,0,NA,NA,NA,NA,NA
48.218626,-122.707972,"Penn Cove Baseline 1","D","mg/Kg",NA,"Penn Cove Baseline 1",FALSE,NA,1.51,0.35,1.01,0.0262,14.5
48.218626,-122.707972,"Penn Cove Baseline 2","U","mg/Kg",NA,"Penn Cove Baseline 2",TRUE,0,NA,NA,NA,NA,NA
48.218626,-122.707972,"Penn Cove Baseline 2","D","mg/Kg",NA,"Penn Cove Baseline 2",FALSE,NA,1.6,0.416,0.921,0.0295,15.5
48.218626,-122.707972,"Penn Cove Baseline 3","U","mg/Kg",NA,"Penn Cove Baseline 3",TRUE,0,NA,NA,NA,NA,NA
48.218626,-122.707972,"Penn Cove Baseline 3","D","mg/Kg",NA,"Penn Cove Baseline 3",FALSE,NA,1.47,0.333,1.25,0.0319,13.4
47.2632,-122.3856,"Blair Waterway #2","U","mg/Kg",NA,"Blair Waterway Two",TRUE,0,NA,NA,NA,NA,NA
47.80934,-122.81556,"Broad Spit","U","mg/Kg",NA,"Broad Spit",TRUE,0,NA,NA,NA,NA,NA
