"site_name","reporting_area","latitude.x","longitude.x","p450","sod","shell","ci1","ci2","ci3","ibr1bio","ibr1morph","ibr1overall","n_samples","latitude.y","longitude.y","mercury ","arsenic","cadmium","copper","lead","zinc"
"Eastsound, Fishing Bay","7",48.69368,-122.90985,0.655722253,-0.65197964975,-3.12764698925,-0.664498202,-1.02403930575,-1.378763975,0.00187130149999998,-2.88365413675,-1.4408914175,4,48.69395,-122.909933,0.03,9.027027027,1.72972973,6,0.206486486,90.81081081
"Edmonds Ferry","9",47.81407,-122.3825,5.3820674125,-1.66130832475,1.85444556,3.03090981275,-0.0404226045,-0.08617274875,1.86037954475,-1.04223649025,0.409071527,4,47.8142069,-122.3822018,0.036647727,8.352272727,1.732954545,6.988636364,0.326704545,89.20454545
"Edmonds Marina","9",47.8111,-122.388,13.109686428,0.16909323325,3.5151430765,0.4695991915,-0.37727763875,-1.03407298125,6.6393898315,-1.3761676105,2.631611111,4,47.81094,-122.387955,0.051954023,8.275862069,1.747126437,8.563218391,0.331034483,81.6091954
"Eld Inlet","13",47.074603,-123.003527,6.76789581925,-0.36638543725,2.241941647,0.19950292425,0.6332874655,0.81864111025,3.20075519025,0.7770622115,1.98890870075,4,47.0769,-123.0034725,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299
"Elliot Bay Myrtle Edwards","10",47.61862,-122.36108,0.1303840962,-0.1162830324,4.821558456,0.982168243,-0.4823764098,0.120641848,0.00705053220000001,0.1355528692,0.0713017008,5,47.62052,-122.36373,0.039329268,8.170731707,1.798780488,6.402439024,0.284756098,89.02439024
"Elliott Bay, Harbor Island, Pier 17","10",47.58766,-122.35065,6.218839183,-0.95132127975,5.53565838775,0.47573774275,-2.721788681,-1.89580046575,2.63375895175,-0.0877966277500001,1.272981162,4,47.5876989,-122.3505105,0.033390805,7.988505747,1.816091954,9.08045977,0.279310345,94.82758621
"Everett Harbor","8.2",47.9726,-122.22977,3.1742999615,-1.37812829275,3.764247704,0.50182658675,-2.452304653,-1.42185034925,0.89808583425,-2.0330467585,-0.56748046225,4,47.97252,-122.22982,0.041329114,8.35443038,1.702531646,6.455696203,0.365189873,72.78481013
"Fidalgo Bay Aq Reserve, Weaverling Spit","7",48.482448,-122.583879,0.8023145825,-0.09599720975,3.45978649275,2.27279870025,0.444648646,-0.38777736775,0.3531586865,-1.17105934125,-0.40895032725,4,48.48425,-122.58392,0.039759036,8.493975904,1.746987952,9.277108434,0.239156627,81.92771084
"Filucy Bay","13",47.19483,-122.748665,7.73685765,-1.017174762,5.53565838825,2.07329577575,-2.762211285,-2.0250595885,3.35984144325,-0.452550364,1.4536455395,4,47.19483,-122.748665,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882
"Friday Harbor","7",48.5069444,-123.0194444,2.8411494886,-0.789088343,3.1830035732,-0.505816645,-1.678885493,-2.0164423136,1.0260305728,-1.8101921914,-0.3920808092,5,48.5069444,-123.0194444,0.033333333,9.388888889,1.777777778,7,0.183888889,93.33333333
"Gig Harbor Boat Launch","11",47.33785,-122.58277,1.39869198775,0.31907420375,7.94366978775,-1.94438619375,-4.1500540285,-0.9048138585,0.8588830955,-0.32740351325,0.265739791,4,47.3372,-122.58284,0.036748466,8.343558282,1.901840491,6.625766871,0.463190184,84.66257669
"Hood Canal Holly","12",47.5706,-122.9717,-0.625266484333333,-1.46897301466667,1.55921044583333,0.5309847065,-0.7500638775,-0.459587991666667,-1.0471197495,0.227171319166667,-0.409974215333333,6,47.570193,-122.971775,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247
"Jamestown","6",48.024789,-122.998135,0.7967274785,-0.649191047833333,-0.728861687833333,0.258842255666667,-0.0134742013333334,-0.459587991833333,0.0737682155,-1.4260551945,-0.676143489666667,6,48.027069,-122.999191,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172
"Kingston Marina","10",47.794695,-122.499858,2.85616750025,-1.10274405225,4.53923987825,-1.34434278275,-3.61108597275,-1.59419584625,0.87671172375,0.358751353,0.61773153875,4,47.7947,-122.5003,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695
"Kitsap St Boat Launch","10",47.54167,-122.64034,0.5065199505,-0.24745351225,5.00977084125,-0.34068960925,0.37727763875,-0.99098660725,0.12953321925,0.389543244,0.2595382315,4,47.541533,-122.640383,0.031589744,8.153846154,1.548717949,8.307692308,0.50974359,87.17948718
"Kopachuck State Park","13",47.30973,-122.68868,4.2553581915,-1.05516457625,3.79192599575,-2.08403824075,-1.29352333325,-0.56012286475,1.60009680775,0.776778327,1.1884375675,4,47.3115,-122.68725,0.040065359,8.366013072,2.078431373,5.470588235,0.173856209,84.31372549
"Lions Park","10",47.5833538,-122.6414587,3.678205884,-0.290908763,3.183003573,-3.55729060575,-1.38784274325,-0.6462956135,1.69364856075,-1.55379843425,0.0699250635,4,47.583016,-122.64217,0.0365,8.5625,1.925,6.16875,0.34875,94.375
"Locust Beach","7",48.77636877,-122.5378679,0.0702699295,-0.8641090055,1.799088976,-0.4788070185,1.46868795175,-1.80962771725,-0.39691953825,-0.89874485225,-0.647832195,4,48.76652,-122.5395,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927
"Madrona Pont","10",47.57995505,-122.6786,4.25880451825,-1.08272647125,4.4008484185,-0.86860504025,-2.344511042,-2.0681459625,1.5880390235,-0.60293491125,0.49255205625,4,47.579985,-122.67853,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273
"Manchester, Stormwater Outfall","10",47.55622,-122.54281,4.8876091565,-1.23195301,0,0.448114261,1.45521375025,0.775554736,1.82782807325,-0.44986949375,0.68897928975,4,47.556111,-122.542778,0.029810127,8.164556962,1.930379747,5.113924051,0.270253165,83.5443038
"Maple Hollow Park","13",47.30008,-122.74566,9.56509531425,-1.06914670525,3.736569412,1.8200805255,0.35032923625,-0.56012286475,4.247974304,-0.335951297,1.95601150325,4,47.29954,-122.74554,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974
"Maristone Island","9",48.018127,-122.699524,2.180726701,-0.921546385666667,2.057419701,0.130955765833333,1.17225552116667,-0.315966744166667,0.629590157833333,-0.400601314333333,0.1144944215,6,NA,NA,NA,NA,NA,NA,NA,NA
"Meyer's Point, Henderson Inlet","13",47.11795,-122.83359,-0.03436370825,0.351229748,4.04103062325,1.50241048425,-0.067371007,-0.21543187125,0.15843301975,-0.7671063555,-0.30433666775,4,47.117944,-122.833528,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333
"Miller Creek","11",47.4436,-122.360316,12.26117259525,-1.15044088425,4.7606662135,0.474203105,-0.44464864575,-0.3016046195,5.5553658555,0.549283796,3.05232482575,4,47.443611,-122.361944,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135
"Minter Bay","13",47.3539722,-122.69175,5.170821767,-1.017074171,6.89189469375,2.159235497,-2.8700048965,-1.12024572975,2.076873798,0.65399369275,1.3654337455,4,47.35399,-122.69176,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100
"Mukilteo","8.2",47.94968,-122.30158,5.786854723,-0.66879508825,4.09638720725,-0.51870760325,-0.2560098265,-1.163332104,2.5590298175,-1.76330959675,0.3978601105,4,47.949831,-122.301703,0.050645161,8.129032258,1.858064516,7.225806452,0.265806452,70.96774194
"N Avenue Park","7",48.52108,-122.61531,4.03119332375,-1.49499810525,4.7883445055,1.96894039975,-0.55244225725,-0.0861727485,1.26809760925,-0.159855435,0.554121087,4,48.52108,-122.61531,0.036420455,10.28409091,1.926136364,5.795454545,0.447159091,94.88636364
"North Camano","8.1",48.255358,-122.507014,9.1298377435,-1.58816200525,3.57049966,-0.61232051425,-0.107793611,-0.904813859,3.77083787025,-0.03836375025,1.86623705925,4,48.25523,-122.50817,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75
"Oak Bay County Park","9",48.02218,-122.728709,0.04001928825,-0.10106028275,3.70889112,0.816427352,-1.03751350725,-0.25851824525,-0.03052049725,-0.74435303775,-0.38743676725,4,48.022466,-122.728123,0.036,8.121212121,1.890909091,5.527272727,0.183030303,73.93939394
"Penn Cove Reference","8.1",48.21423,-122.718972,-2.50000020685093e-10,5.55111512312578e-17,5.55111512312578e-17,-2.08166817117217e-17,0,-2.50000020685093e-10,0,2.49999992929517e-10,-2.77555756156289e-17,4,48.214071,-122.719097,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444
"Penrose Point State Park","13",47.2619,-122.7376,4.750101165,-1.09576975275,5.56333667975,-4.369114044,-1.4686879515,1.24950485125,1.827165706,0.6207175805,1.22394164325,4,47.2609094,-122.7447771,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452
"Point Defiance Ferry","11",47.3062,-122.5145,-0.157244858,-0.8233697075,5.14816230075,2.07329577575,0.5659164585,-0.4739501165,-0.490307283,-0.80479643375,-0.64755185825,4,47.3061098,-122.514771,0.027377049,8.087431694,1.546448087,6.93989071,0.39726776,92.89617486
"Port Angeles Yacht Club","6",48.12823,-123.45715,3.04301465433333,-0.616253129833333,4.30858744533333,0.483922478,-0.812943484,0.287242494666667,1.21338076216667,-0.131571146666667,0.540904807666667,6,48.128267,-123.457133,0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655
"Purdy, Burley Lagoon","13",47.386977,-122.6367089,1.483430408,-0.341036541,6.83653810825,-0.331481782,-0.5659164585,-0.775554736,0.57119693375,1.19998840275,0.88559266825,4,47.387021,-122.6367,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485
"Purdy, Dexters","13",47.38566,-122.627255,2.06147560725,-1.452817005,5.25887546875,0.20410683775,-1.33394593775,-1.4649367235,0.304329301,-0.27015939325,0.017084954,4,47.385334,-122.628902,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825
"Raft Island Park","13",47.32598,-122.66724,1.707190051,-1.18226112575,1.051775094,1.29063045725,1.1183587155,-0.86172748425,0.26246446225,-1.62292908625,-0.68023231175,4,47.32622,-122.66715,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095
"Reach Island","13",47.346537,-122.82236,3.090689143,-1.07420977875,3.625856244,-0.70286414875,-2.00765600725,-0.603209239,1.008239682,-0.5797586875,0.2142404975,4,47.346817,-122.822363,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024
"Rich Passage","10",47.578117,-122.524833,2.49605562425,-1.37786005025,4.511561586,0.74429937175,0.4581228475,-0.68938198775,0.5590977865,-1.321253522,-0.3810778675,4,47.578117,-122.524833,0.033011364,8.465909091,1.710227273,7.102272727,0.303409091,89.20454545
"Rocky Point","10",47.60255,-122.66992,6.46827531225,-0.361791788,1.82676726825,0.25321525,0.5659164585,0.6893819875,3.05324176275,-1.31680207375,0.86821984425,4,47.60253,-122.66991,0.03422619,8.69047619,2,6.130952381,0.411904762,101.1904762
"Salmon Bay, Commodore Park","10",47.6663,-122.4018,1.9406363495,-1.1800984225,2.241941647,0.589300946,0.78150368075,-0.04308637425,0.38026896375,-0.130838377,0.1247152935,4,47.666244,-122.401894,0.039481481,7.703703704,1.955555556,7.555555556,0.556296296,80.74074074
"Salmon Beach","11",47.29464,-122.53053,-0.1934626,-0.70995351475,5.70172813975,0.0429698605,-1.06446191,-0.603209239,-0.4517080575,-1.10241646275,-0.77706226025,4,47.294692,-122.530504,0.023798883,7.877094972,1.832402235,4.770949721,0.187150838,79.32960894
"Seattle Aquarium, Pier 59","10",47.607,-122.342,0.672362831,0.40564940225,5.231197177,1.78478385425,0.0134742015,-1.16333210425,0.53900611675,-0.314979419,0.112013349,4,47.607334,-122.344055,0.039254658,8.819875776,1.98136646,7.763975155,0.418012422,85.0931677
"Shilshole Bay","10",47.671678,-122.406663,0.377906185,-0.36028292525,-1.107131678,-0.704398787,1.3339459375,-0.77555473625,0.00881163000000001,-3.01634282475,-1.503765597,4,47.6707,-122.40605,0.042040816,8.027210884,1.537414966,7.959183673,0.413605442,76.8707483
"Silverdale, Dyes Inlet","10",47.6427936,-122.6967068,-0.78460316525,2.100471248,1.79908897625,0.6077166005,-0.30990663175,0.21543187125,0.65793404125,-0.6420507935,0.00794162374999999,4,47.6428,-122.6967,0.039245283,9.496855346,1.86163522,7.86163522,0.468553459,82.38993711
"Skiff Point","10",47.66142,-122.49884,2.99262672725,-1.04802262525,-1.05177509375,0.09668218625,0.1886388195,-0.775554736,0.97230205125,-1.147711279,-0.087704614,4,47.6614139,-122.498892,0.039325843,8.820224719,1.893258427,6.235955056,0.22247191,92.69662921
"Smith Cove, Terminal 91","10",47.63237,-122.37869,1.50255977475,-0.670270421,2.96157723775,1.40879757375,-0.148216215,0.90481385875,0.416144677,-1.059905469,-0.32188039625,4,47.6325,-122.3786,0.032814371,8.562874251,1.77245509,7.724550898,0.55748503,110.7784431
"South of Skunk Island","9",48.02667,-122.75076,1.934554371,-0.332855151,3.9856740395,0.294650473,0.377277639,0.17234549675,0.80084961,-1.18777143575,-0.19346091325,4,48.02655,-122.75089,0.028685714,8,1.748571429,5.702857143,0.462285714,76
"Squaxin Island","13",47.17650485,-122.9046464,3.5094865595,-0.807258405,5.535658388,0.831773731,-1.1857297225,-0.43086374225,1.35111407725,-0.24774666,0.55168370875,4,47.176735,-122.905337,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452
"Suquamish, Stormwater Outfall","10",47.7296079,-122.5506191,1.157253364,-0.90850310425,9.18919292375,-3.1736311355,-2.08850121575,0.34469099375,0.12437513,1.4198608855,0.77211800775,4,47.729875,-122.550882,0.032710843,8.674698795,1.891566265,6.385542169,0.208433735,82.53012048
"Thea Foss Waterway","11",47.259189,-122.434689,6.9185172856,-0.1080479942,6.4379707052,-2.5217169644,-4.794120854,-2.1887878104,3.405234646,-0.3035900544,1.5508222956,5,47.25934,-122.43479,0.025465839,7.51552795,1.925465839,9.130434783,0.461490683,86.95652174
"Three Tree Point","11",47.44896,-122.372267,5.0255153905,-0.62731812425,4.56691817,0.8501893855,1.22615232675,0.5170364905,2.19909863325,0.97519098575,1.5871448095,4,47.4485721,-122.3723967,0.029310345,8.448275862,1.74137931,6.034482759,0.186781609,86.20689655
"Tulalip Bay","8.2",48.0617,-122.2939,2.83640112583333,-0.85021629,5.9323805725,0.366266907333333,0.300923831,-0.488312241166667,0.993092418,-0.413099262333333,0.289996577833333,6,48.0616613,-122.293939,0.041572327,8.867924528,1.981132075,7.547169811,0.264779874,69.81132075
"Tulalip Reservation","8.2",48.0697859,-122.2997764,2.52860877175,-1.15892404675,3.9303174555,-0.6184590655,-0.7815036805,-1.4649367235,0.6848423625,-0.4166560335,0.1340931645,4,48.069978,-122.300216,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293
"West Bay Park","13",47.052362,-122.910912,5.6020086165,-1.068274918,3.68121282825,-0.2854426455,-0.9162456945,-0.21543187125,2.26686684925,-0.04428070525,1.111293072,4,47.052373,-122.9101963,0.031666667,8.205128205,1.852564103,6.602564103,0.202564103,78.20512821
"Williams Olson Park","10",47.66586,-122.56698,0.69941897525,-0.8228835185,1.43927118075,0.320739317,-0.8758230905,-1.0771593555,-0.061732272,-1.6266570065,-0.844194639,4,47.6609,-122.5668,0.0308,8.571428571,1.662857143,10.17142857,0.349142857,86.85714286
