latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb,a1,a2,a4,a16,a63,a67,a68,a69,a71,a75
47.074603,-123.003527,Eld Inlet,9802343.25,9.86125,0.034,0.7155,0.06225,0.7075,72,13,1,3,1,1,1,2,1,2,2,-1.072488263,-1.01886385,-1.233361502,-0.643492958,-1.233361502,-1.072488263,-1.126112676,-1.01886385,-1.179737089,-1.233361502
47.61862,-122.36108,Elliot Bay Myrtle Edwards,2435519.6,11.726,0.035,0.6948,0.0582,0.824,19,10,4,1,2,2,5,5,5,6,5,-1.20784217,-1.20784217,-1.409149199,-0.738125771,-1.409149199,-1.20784217,-1.274944513,-1.140739827,-1.409149199,-1.409149199
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",9192957.75,5.5,0.03425,0.65325,0.0465,0.85625,14,10,4,1,2,2,5,5,5,6,5,-1.198187809,-1.141131247,-1.369357496,1.027018122,-1.369357496,-1.198187809,-1.255244371,-1.141131247,-1.369357496,-1.369357496
47.9726,-122.22977,Everett Harbor,5813892.75,2.31775,0.0345,0.65825,0.04925,0.77625,66,8.2,4,1,2,2,3,3,3,4,3,-1.2649094,-1.2649094,-1.464631937,-0.798890147,-1.464631937,-1.2649094,-1.331483579,-1.198335221,-1.464631937,-1.464631937
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999,11.87725,0.03725,0.712,0.05525,0.7625,63,7,2,4,4,4,3,4,5,5,1,-1.78070327,-1.717106724,-2.035089451,-1.081141271,-2.035089451,-1.78070327,-1.844299815,-1.717106724,-2.035089451,-2.035089451
47.19483,-122.748665,Filucy Bay,10877772,5.009,0.037,0.6525,0.04575,0.85625,59,13,1,3,1,1,1,1,1,1,4,-0.948947928,-0.948947928,-1.126875664,-0.593092455,-1.126875664,-0.948947928,-1.008257173,-0.948947928,-1.126875664,-1.126875664
48.5069444,-123.0194444,Friday Harbor,5444136.6,6.7096,0.0328,0.6726,0.0458,0.75,61,7,2,4,4,4,5,4,3,5,1,-1.190727056,-1.190727056,-1.378736591,-0.752038141,-1.378736591,-1.190727056,-1.253396901,-1.128057211,-1.378736591,-1.378736591
47.33785,-122.58277,Gig Harbor Boat Launch,3843185.75,14.972,0.03025,0.62675,0.05225,0.965,58,11,1,2,1,1,4,4,3,5,4,-1.108182752,-1.046617043,-1.231314168,-0.677222793,-1.231314168,-1.108182752,-1.16974846,-1.046617043,-1.231314168,-1.231314168
47.5706,-122.9717,Hood Canal Holly,788015,1.640416667,0.034333333,0.689833333,0.054833333,0.676666667,29,12,3,3,1,1,1,1,2,1,1,-1.365898618,-1.297603687,-1.57078341,-0.887834101,-1.57078341,-1.365898618,-1.434193548,-1.297603687,-1.57078341,-1.57078341
48.024789,-122.998135,Jamestown,3175079,7.752666667,0.033833333,0.7035,0.054833333,0.573333333,2,6,3,5,3,3,1,1,1,1,2,-1.193191046,-1.126902655,-1.392056221,-0.729172306,-1.392056221,-1.193191046,-1.259479438,-1.126902655,-1.392056221,-1.392056221
47.794695,-122.499858,Kingston Marina,5460804.75,4.371,0.03125,0.63675,0.04825,0.81125,36,10,4,1,2,2,3,2,2,3,3,-1.040041775,-1.040041775,-1.235049608,-0.65002611,-1.235049608,-1.105044386,-1.105044386,-1.040041775,-1.235049608,-1.235049608
47.54167,-122.64034,Kitsap St Boat Launch,2852984.25,10.748,0.033,0.71075,0.05175,0.8325,25,10,4,1,2,2,4,4,5,5,5,-1.011570912,-1.011570912,-1.163306549,1.315042186,-1.163306549,-1.011570912,-1.062149458,-0.960992366,-1.163306549,-1.163306549
47.30973,-122.68868,Kopachuck State Park,7013734.75,4.72575,0.4115,0.6895,0.63125,0.7775,52,13,1,3,1,1,1,1,1,1,2,-0.944632984,-0.877159199,-1.079580553,-0.587021926,-1.079580553,-0.944632984,-0.944632984,-0.877159199,-1.079580553,-1.079580553
47.5833538,-122.6414587,Lions Park,6373166.5,10.424,0.0275,0.678,0.05375,0.75,37,10,4,1,2,2,2,2,2,3,5,-1.316330859,-1.316330859,-1.579597031,-0.855615058,-1.579597031,-1.382147402,-1.447963945,-1.316330859,-1.513780488,-1.579597031
48.77636877,-122.5378679,Locust Beach,2368800.25,6.15025,0.03275,0.731,0.047,0.6875,76,7,2,4,4,4,1,1,2,1,1,-1.28004374,-1.216041553,-1.408048114,-0.768026244,-1.472050301,-1.28004374,-1.344045927,-1.216041553,-1.408048114,-1.472050301
47.57995505,-122.6786,Madrona Pont,7017559.75,4.52025,0.032,0.66025,0.0455,0.805,28,10,4,1,2,2,2,2,2,3,4,-1.084770642,-1.024505607,-1.205300714,-0.662915392,-1.265565749,-1.084770642,-1.145035678,-1.024505607,-1.205300714,-1.265565749
47.55622,-122.54281,"Manchester, Stormwater Outfall",7715455.75,3.407625,0.03425,0.73075,0.062,0.60625,33,10,4,1,2,2,3,3,3,4,3,-1.231404524,-1.162993161,-1.368227249,-0.752524987,-1.368227249,-1.231404524,-1.299815886,-1.162993161,-1.368227249,-1.368227249
47.30008,-122.74566,Maple Hollow Park,13508380.33,4.6215,0.0365,0.71025,0.05425,0.775,51,13,1,3,1,1,2,2,2,2,3,-0.981481481,-0.981481481,-1.177777778,-0.628148148,-1.177777778,-0.981481481,-1.04691358,-0.981481481,-1.112345679,-1.177777778
48.018127,-122.699524,Maristone Island,4711148.333,5.722,0.033666667,0.7255,0.055666667,0.699166667,11,9,3,5,3,3,1,1,2,1,2,-1.269994391,-1.199439148,-1.411104879,-0.776107684,-1.411104879,-1.269994391,-1.269994391,-1.199439148,-1.411104879,-1.411104879
47.11795,-122.83359,Meyer's Point - Henderson Inlet,2252669.75,15.21175,0.036,0.7025,0.05625,0.78875,71,13,1,3,1,1,1,2,2,1,4,-1.115205224,-1.115205224,-1.338246269,-0.721166045,-1.338246269,-1.115205224,-1.189552239,-1.115205224,-1.338246269,-1.338246269
47.4436,-122.360316,Miller Creek,15899206.5,4.015375,0.0345,0.6955,0.05575,0.82125,20,11,4,2,1,1,2,2,3,3,4,1.270942746,-1.016754197,-1.207395609,-0.635471373,-1.207395609,-1.016754197,-1.080301334,-1.016754197,-1.207395609,-1.207395609
47.3539722,-122.69175,Minter Bay,8029787,5.00975,0.03675,0.6505,0.051,0.9175,55,13,1,3,1,1,2,1,1,2,2,-1.052653061,-1.052653061,-1.25002551,-0.657908163,-1.25002551,-1.052653061,-1.118443878,-1.052653061,-1.25002551,-1.25002551
47.94968,-122.30158,Mukilteo,8713508,7.6065,0.03275,0.699,0.05075,0.79125,65,8.2,4,1,2,2,4,4,4,4,2,-1.100494081,-1.035759135,-1.229963973,-0.712084406,-1.229963973,-1.100494081,-1.165229027,-1.035759135,-1.229963973,-1.229963973
48.52108,-122.61531,N Avenue Park,6764939.25,1.446375,0.03675,0.6935,0.057,0.8225,62,7,2,4,4,4,5,5,5,6,2,-1.085359801,-1.085359801,-1.248163772,1.031091811,-1.248163772,-1.085359801,-1.139627792,-1.031091811,-1.248163772,-1.248163772
48.255358,-122.507014,North Camano,12423809,0.75175,0.03225,0.70175,0.05225,0.7675,7,8.1,2,4,4,4,1,1,1,1,1,-1.333065693,-1.269586375,-1.52350365,-0.825231144,-1.52350365,-1.333065693,-1.396545012,-1.269586375,-1.52350365,-1.52350365
48.02218,-122.728709,Oak Bay County Park,2335225.75,11.8395,0.0345,0.6845,0.056,0.77375,10,9,3,5,3,3,1,1,1,1,2,-1.154208925,-1.090086207,-1.346577079,-0.705349899,-1.346577079,-1.154208925,-1.218331643,-1.090086207,-1.282454361,-1.346577079
48.21423,-122.718972,Penn Cove Reference,2290809.25,12.593,0.0335,0.70375,0.0575,0.60625,3,8.1,3,5,3,3,1,1,2,1,2,-1.170406714,-1.097256294,-1.316707553,-0.731504196,-1.389857973,-1.170406714,-1.243557134,-1.097256294,-1.316707553,-1.316707553
47.2619,-122.7376,Pennrose Point State Park,7562838.75,4.423,0.02625,0.6765,0.06475,0.8575,50,13,1,3,1,1,2,2,2,2,4,-0.990190802,-0.924178082,-1.122216243,-0.607317025,-1.122216243,-0.990190802,-0.990190802,-0.924178082,-1.122216243,-1.122216243
47.3062,-122.5145,Point Defiance Ferry,2116286.75,6.454,0.03675,0.71425,0.05475,0.83875,43,11,1,2,1,1,5,4,4,5,4,-0.984333968,-0.984333968,-1.158039962,-0.636921979,-1.158039962,-1.042235966,-1.042235966,-0.984333968,-1.158039962,-1.158039962
48.12823,-123.45715,Port Angeles Yacht Club,5668182.167,7.99825,1.824166667,0.734333333,2.625333333,0.800833333,1,6,3,5,3,5,5,5,5,6,5,-1.202061856,-1.202061856,-1.382371134,-0.781340206,-1.382371134,-1.202061856,-1.262164948,-1.141958763,-1.382371134,-1.382371134
47.38566,-122.627255,Purdy - Dexters,4578794.25,1.760875,0.034,0.679,0.049,0.84375,57,13,1,2,1,1,2,1,1,1,2,-0.975255833,-0.917887843,-1.089991813,-0.631047892,-1.089991813,-0.975255833,-1.032623823,-0.917887843,-1.089991813,-1.089991813
47.386977,-122.6367089,"Purdy, Burley Lagoon",3937235,10.05025,0.03275,0.69325,0.053,0.915,47,13,1,2,1,1,2,2,2,2,4,-0.923234291,-0.861685339,-1.046332197,-0.578560156,-1.046332197,-0.923234291,-0.984783244,-0.861685339,-1.046332197,-1.046332197
47.32598,-122.66724,Raft Island Park,4185580.75,3.778125,0.0355,0.7245,0.0525,0.65375,53,13,1,3,1,1,2,1,1,2,2,-1.1257041,-1.1257041,-1.266417112,-0.703565062,-1.336773619,-1.1257041,-1.196060606,-1.055347594,-1.266417112,-1.336773619
47.346537,-122.82236,Reach Island,5721095,4.58375,0.03225,0.6665,0.054,0.77,39,13,1,3,1,1,2,2,2,2,1,-1.284385246,-1.226004098,-1.459528689,-0.817336066,-1.459528689,-1.284385246,-1.342766393,-1.226004098,-1.459528689,-1.459528689
47.578117,-122.524833,Rich Passage,5061124.75,2.31975,0.03475,0.71225,0.0535,0.81,32,10,4,1,2,2,3,3,3,3,4,-0.773063806,-0.773063806,-0.8919967,-0.493571507,-0.8919967,-0.773063806,-0.832530253,-0.773063806,-0.8919967,-0.8919967
47.60255,-122.66992,Rocky Point,9469801.25,9.8955,0.034,0.71425,0.0615,0.68875,27,10,4,1,2,2,3,3,3,3,5,-1.095953545,-1.035067237,-1.217726161,0.730635697,-1.217726161,-1.095953545,-1.156839853,-1.035067237,-1.217726161,-1.217726161
48.02667,-122.75076,S of Skunk Island,4092598.333,10.11125,0.034,0.71075,0.0585,0.78625,9,9,3,5,3,3,3,2,2,3,1,-1.321275698,-1.321275698,-1.561507644,-0.840811808,-1.561507644,-1.381333685,-1.441391671,-1.321275698,-1.561507644,-1.561507644
47.6663,-122.4018,"Salmon Bay, Commodore Park",4444677.5,3.79425,0.03425,0.71825,0.05725,0.7075,16,10,4,1,2,2,5,5,5,6,5,2.455588235,-1.339411765,1.711470588,2.157941176,-1.562647059,-1.339411765,-1.413823529,1.934705882,-1.562647059,-1.562647059
47.29464,-122.53053,Salmon Beach,1550935.333,7.299625,0.03325,0.684,0.054,0.86375,40,11,1,2,1,1,4,4,3,5,3,-1.309787234,-1.309787234,-1.547930368,-0.833500967,-1.547930368,-1.309787234,-1.428858801,-1.250251451,-1.547930368,-1.547930368
47.607,-122.342,"Seattle Aquarium, Pier 59",3037049.5,15.6175,0.0365,0.704,0.05075,0.8425,17,10,4,1,2,2,5,5,5,6,5,-1.036850394,0.972047244,-1.166456693,1.555275591,-1.166456693,-1.036850394,-1.101653543,-0.972047244,-1.166456693,-1.166456693
47.671678,-122.406663,Shilshole Bay,2710238.75,9.90675,0.03225,0.7285,0.053,0.55625,18,10,4,1,2,2,5,5,5,6,5,1.87928465,-1.353084948,-1.578599106,-0.902056632,-1.653770492,-1.428256334,-1.50342772,-1.353084948,-1.578599106,-1.653770492
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",1419996,28.254,0.0345,0.698,0.05875,0.6875,35,10,4,1,2,2,3,3,3,4,5,-1.096651584,-1.02811086,-1.233733032,0.822488688,-1.233733032,-1.096651584,-1.096651584,-1.02811086,-1.233733032,-1.233733032
47.66142,-122.49884,Skiff Point,5612257.75,4.779,0.0335,0.70725,0.053,0.55875,24,10,4,1,2,2,4,4,4,4,1,-1.894231023,-1.835036304,-2.19020462,-1.183894389,-2.19020462,-1.894231023,-2.012620462,-1.835036304,-2.19020462,-2.19020462
47.63237,-122.37869,"Smith Cove, Terminal 91",3958466.25,7.5955,0.03575,0.701,0.06275,0.74,15,10,4,1,2,2,5,5,5,6,5,1.950893744,2.536161867,1.690774578,2.145983118,-1.105506455,-0.975446872,-1.040476663,-0.91041708,-1.105506455,-1.105506455
47.17650485,-122.9046464,Squaxin Island,6185908.75,6.574125,0.03475,0.68175,0.055,0.85625,38,13,1,3,1,1,2,2,1,2,2,-1.165247191,-1.100511236,-1.294719101,-0.712095506,-1.359455056,-1.165247191,-1.229983146,-1.100511236,-1.294719101,-1.359455056
47.7296079,-122.5506191,Suquamish Stormwater Outfall,3575218.5,5.81925,0.02825,0.665,0.0595,1.02125,34,10,4,1,2,2,4,4,4,4,4,-0.773294931,-0.708853687,-0.902177419,-0.483309332,-0.902177419,-0.773294931,-0.837736175,-0.708853687,-0.902177419,-0.902177419
47.259189,-122.434689,Thea Foss Waterway,3660950,11.7874,0.0292,0.6148,0.0448,0.897,46,11,1,2,1,1,5,5,5,6,5,1.557733598,-1.168300199,1.427922465,1.233205765,-1.427922465,-1.233205765,-1.298111332,-1.168300199,-1.363016899,-1.427922465
47.44896,-122.372267,Three Tree Point,7868514.75,7.91575,0.03475,0.7265,0.0605,0.8125,22,11,4,2,1,1,3,3,3,3,3,-1.178230616,-1.119319085,-1.354965209,-0.70693837,-1.354965209,-1.178230616,-1.237142147,-1.119319085,-1.354965209,-1.354965209
48.0617,-122.2939,Tulalip Bay,5438866.5,6.253833333,0.033833333,0.709333333,0.054666667,0.874166667,67,8.2,4,1,2,2,4,3,3,4,2,-1.10312,-1.10312,-1.297788235,-0.713783529,-1.297788235,-1.10312,-1.168009412,-1.10312,-1.297788235,-1.297788235
48.0697859,-122.2997764,Tulalip Reservation,5097254.75,3.952125,0.03225,0.68925,0.049,0.78375,70,8.2,4,1,2,2,3,2,2,3,1,-0.884269068,-0.884269068,-1.00217161,-0.560037076,-1.00217161,-0.884269068,-0.943220339,-0.825317797,-1.00217161,-1.00217161
47.052362,-122.910912,West Bay Park,8508351.5,4.628,0.03275,0.68675,0.05625,0.7725,73,13,1,3,1,1,3,3,3,4,4,-1.349721237,-1.349721237,-1.552179422,-0.877318804,-1.619665484,-1.417207299,-1.48469336,-1.349721237,-1.552179422,-1.619665484
47.66586,-122.56698,Williams Olson Park,3067078.5,6.457625,0.034,0.6875,0.05125,0.67125,26,10,4,1,2,2,3,2,2,4,3,-1.205012225,-1.144761614,-1.385764059,-0.723007335,-1.385764059,-1.205012225,-1.265262836,-1.144761614,-1.325513447,-1.385764059
