site_name,latitude,longitude,PCB101,PCB105,PCB011,PCB110,PCB118,PCB128,PCB138,PCB149,PCB151,PCB153,PCB156,PCB158,PCB017,PCB170,PCB171,PCB177,PCB018,PCB180,PCB183,PCB187,PCB191,PCB194,PCB195,PCB198,PCB199,PCB205,PCB206,PCB208,PCB209,PCB028,PCB031,PCB033,PCB044,PCB049,PCB052,PCB066,PCB070,PCB074,PCB082,PCB087,PCB095,PCB099
Donkey Creek Delta,47.337909,-122.59023,1,0.37,0,0,0,0.24,0,0.88,0.24,0,0,0,0,0,0,0.16,0,0.29,0.21,0.5,0,0,0,0,0,0,0,0,0,0,0,0.22,0.19,0.17,0.42,0.29,0.34,0,0,0.24,0.48,0.55
Eagle Harbor Dr,47.618875,-122.527234,0.93,0.41,0,0,0,0.28,0,0.69,0,0,0,0,0,0,0,0,0,0.24,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0.43,0.29,0.35,0,0,0.26,0.43,0.52
"Eastsound, Fishing Bay",48.69395,-122.909933,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.3,0,0,0,0,0,0,0,0,0,0,0
Edmonds Ferry,47.8142069,-122.3822018,0.48,0.29,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.38,0.25,0,0,0.28,0,0.28,0,0,0,0.29,0.22
Edmonds Marina,47.81094,-122.387955,0.47,0.29,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0.31,0,0,0.19,0,0,0,0,0,0,0,0,0,0.34,0.36,0.23,0.18,0,0.27,0.2,0.29,0,0,0.2,0.3,0.24
Eld Inlet,47.0769,-123.0034725,0.51,0.27,0,0.44,0,0,0,0.39,0,0.79,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.22,0,0,0.25,0,0.24,0,0,0,0.24,0.28
Elliot Bay Myrtle Edwards,47.62052,-122.36373,1.2,0.52,0,1.1,1.1,0.29,2,1.2,0.34,1.9,0,0,0,0,0,0.22,0.45,0.47,0.24,0.52,0,0,0,0,0,0,0,0,0,0.48,0.6,0.38,0.35,0.28,0.61,0.46,0,0.25,0,0.41,0.75,0.57
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,1.3,0.48,0,0,0,0.33,0,1.8,0.45,0,0,0,0,0,0,0.32,0.33,0.69,0.38,0.79,0,0,0,0,0,0,0,0,0,0.41,0.4,0.26,0.31,0.28,0.63,0.39,0.45,0,0,0.32,0.89,0.63
Everett Harbor,47.97252,-122.22982,0.38,0.27,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.38,0.24,0,0,0.26,0,0.27,0,0,0,0.23,0
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0.34,0,0,0.39,0.46,0,0.5,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.51,0,0,0,0,0,0,0,0,0,0,0
Filucy Bay,47.19483,-122.748665,0.61,0.27,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0.26,0,0,0.21,0,0,0,0,0,0,0,0,0,0.28,0.35,0.21,0,0,0.33,0.19,0.25,0,0,0,0.29,0.4
Friday Harbor,48.5069444,-123.0194444,0.28,0,0,0.31,0,0,0,0,0,0.43,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.26,0,0,0,0,0,0,0,0,0,0,0
Gig Harbor Boat Launch,47.3372,-122.58284,0.79,0.3,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.23,0.26,0,0.41,0,0,0,0,0,0,0,0,0,0.28,0.32,0.22,0,0,0.34,0.24,0.27,0,0,0,0.41,0.47
Hood Canal Holly,47.570193,-122.971775,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
Jamestown,48.027069,-122.999191,0.29,0.24,0,0.36,0.4,0,0.47,0.22,0,0.4,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.5,0.32,0,0,0.25,0,0,0,0,0,0,0
Kingston Marina,47.7947,-122.5003,0.42,0.27,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0.2,0,0.25,0,0,0,0.22,0.2
Kitsap St Boat Launch,47.541533,-122.640383,1.9,0.7,0,0,0,0.46,0,1.6,0.48,0,0,0,0,0,0,0.3,0.32,0.58,0.35,0.94,0,0,0,0,0,0,0,0,0,0.41,0.39,0.28,0.33,0.32,0.71,0.5,0.62,0.25,0,0.45,0.96,1
Kopachuck State Park,47.3115,-122.68725,0.37,0.21,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.25,0,0,0.16,0,0,0,0,0,0,0,0,0,0.24,0.28,0.18,0,0,0.21,0,0.19,0,0,0,0.19,0.2
Lions Park,47.583016,-122.64217,0.77,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0.24,0,0.42,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.32,0,0,0,0,0,0.4,0.43
Locust Beach,48.76652,-122.5395,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
Madrona Pont,47.579985,-122.67853,0.79,0,0,0,0,0.24,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0.35,0.22,0,0,0,0,0.39,0.46
"Manchester, Stormwater Outfall",47.556111,-122.542778,0.43,0.28,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0.25,0,0.24,0,0,0,0.24,0.24
Maple Hollow Park,47.29954,-122.74554,0.42,0.25,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.31,0,0,0.18,0,0,0,0,0,0,0,0,0,0.32,0.37,0.24,0,0,0.24,0,0.21,0,0,0,0.22,0.23
Maristone Island,48.018181,-122.699838,0.29,0.2,0,0.36,0.38,0,0.46,0.22,0,0.42,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.4,0.29,0,0,0.23,0,0,0,0,0,0,0
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0.41,0.23,0,0.41,0.48,0,0.63,0.3,0,0.57,0,0,0.19,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.45,0.28,0.21,0,0.27,0.2,0,0,0,0.18,0.22,0.24
Miller Creek,47.443611,-122.361944,0.5,0.29,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.46,0.31,0,0,0.29,0.21,0.29,0,0,0.2,0.25,0.25
Minter Bay,47.35399,-122.69176,0.4,0.21,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.28,0.2,0,0,0.21,0,0.2,0,0,0,0.21,0.25
Mukilteo,47.949831,-122.301703,0.35,0.23,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.35,0.24,0,0,0.23,0,0.24,0,0,0,0.22,0
N Avenue Park,48.52108,-122.61531,0.4,0.27,0,0.44,0,0,0,0.3,0,0.59,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.35,0.23,0,0,0.24,0,0.24,0,0,0,0,0
North Camano,48.25523,-122.50817,0.31,0,0,0.35,0,0,0,0.25,0,0.46,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.25,0,0,0,0,0,0,0,0,0,0,0
Oak Bay County Park,48.022466,-122.728123,0.32,0.21,0,0.36,0.4,0,0.48,0.25,0,0.47,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.41,0.3,0,0,0.25,0,0,0,0,0,0,0
Penn Cove Reference,48.214071,-122.719097,0.27,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.27,0,0,0,0.19,0,0,0,0,0,0,0
Penrose Point State Park,47.2609094,-122.7447771,0.4,0.24,0,0.37,0.45,0,0.62,0.31,0,0.59,0,0,0.17,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.47,0.31,0.18,0,0.25,0.2,0,0,0,0,0.24,0.24
Point Defiance Ferry,47.3061098,-122.514771,0.63,0.37,0,0,0,0.22,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.25,0.21,0,0.33,0.22,0.31,0,0,0.23,0.38,0.34
Port Angeles Yacht Club,48.128267,-123.457133,0.8,0.45,0,0.78,0,0,0,0.5,0,0.94,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.36,0.26,0.3,0,0.49,0.38,0.52,0,0,0.29,0.43,0.39
"Purdy, Dexters",47.385334,-122.628902,0.42,0.25,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0.24,0.3,0.19,0,0,0.24,0,0.22,0,0,0,0.23,0.26
"Purdy, Burley Lagoon",47.387021,-122.6367,0.5,0.25,0,0.43,0.51,0,0.87,0.46,0,0.93,0,0,0,0,0,0,0.38,0.21,0,0.31,0,0,0,0,0,0,0,0,0,0.33,0.38,0.26,0,0,0.26,0.2,0,0,0,0,0.25,0.27
Raft Island Park,47.32622,-122.66715,0.38,0.22,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.3,0.19,0,0,0.21,0,0.23,0,0,0,0.21,0.24
Reach Island,47.346817,-122.822363,0.43,0,0,0.39,0,0,0,0.34,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.27,0,0,0,0,0,0,0,0,0,0,0
Rich Passage,47.578117,-122.524833,0.62,0.32,0,0.54,0.62,0.16,0.92,0.49,0,0.9,0,0,0.19,0,0,0,0.5,0.16,0,0.28,0,0,0,0,0,0,0,0,0,0.46,0.5,0.35,0.23,0.18,0.36,0.23,0,0,0,0.19,0.32,0.33
Rocky Point,47.60253,-122.66991,0.83,0.39,0,0.66,0,0.26,0,0.72,0,1.4,0,0,0,0,0,0,0.25,0.21,0,0.47,0,0,0,0,0,0,0,0,0,0.29,0.25,0.2,0,0,0.33,0.23,0.29,0,0,0.21,0.42,0.5
South of Skunk Island,48.02655,-122.75089,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.31,0,0,0,0,0,0,0,0,0,0,0
"Salmon Bay, Commodore Park",47.666244,-122.401894,0.92,0.51,0,0,0,0.24,0,0.74,0.21,0,0,0,0,0,0,0,0.38,0.29,0,0.36,0,0,0,0,0,0,0,0,0,0.45,0.47,0.29,0.28,0.23,0.45,0.36,0.47,0,0,0.35,0.52,0.46
Salmon Beach,47.294692,-122.530504,0.45,0.28,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.36,0.27,0,0,0.27,0,0.28,0,0,0,0.27,0
"Seattle Aquarium, Pier 59",47.607334,-122.344055,1.1,0.55,0,0,0,0.29,0,1.3,0.34,0,0,0.18,0.18,0,0,0.24,0.4,0.52,0.27,0.58,0,0,0,0,0,0,0,0,0,0.45,0.48,0.3,0.3,0.25,0.5,0.36,0.46,0.19,0,0.35,0.63,0.5
Shilshole Bay,47.6707,-122.40605,0.89,0.41,0,0.9,0.87,0.25,1.2,0.68,0,1.1,0,0,0,0,0,0,0.32,0.26,0,0.33,0,0,0,0,0,0,0,0,0,0.39,0.49,0.31,0.29,0.22,0.44,0.35,0,0,0,0.28,0.46,0.47
"Silverdale, Dyes Inlet",47.6428,-122.6967,0.82,0.37,0,0,0,0.26,0,0.69,0.19,0,0,0,0,0,0,0,0,0.2,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0.34,0.24,0.31,0,0,0.23,0.39,0.46
Skiff Point,47.6614139,-122.498892,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith Cove, Terminal 91",47.6325,-122.3786,1.6,0.66,0,0,0,0.41,0,1.5,0.43,0,0.21,0.24,0.21,0.17,0,0.27,0,0.59,0.31,0.67,0,0,0,0,0,0,0,0,0,0,0,0.29,0.36,0.3,0.71,0.49,0.62,0.27,0,0.48,0.93,0.71
Squaxin Island,47.176735,-122.905337,0.37,0.22,0,0.35,0,0,0,0.32,0,0.66,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.23,0,0,0,0,0,0,0,0,0,0,0.2
Suquamish Stormwater Outfall,47.729875,-122.550882,0.48,0.31,0,0,0,0.18,0,0.42,0,0,0,0,0,0,0,0,0,0.14,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0.26,0.18,0.14,0.28,0.18,0.25,0,0,0.18,0.25,0.25
Thea Foss Waterway,47.25934,-122.43479,0.65,0.38,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0.34,0.26,0,0.31,0,0,0,0,0,0,0,0,0,0.4,0.43,0.25,0.24,0,0.36,0.27,0.4,0,0,0.27,0.4,0.3
Three Tree Point,47.4485721,-122.3723967,0.5,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.27,0,0,0.29,0,0,0,0,0,0.27,0.25
Tulalip Bay,48.0616613,-122.293939,0.38,0.26,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.39,0.26,0,0,0.25,0,0.29,0,0,0,0.22,0
Tulalip Reservation,48.069978,-122.300216,0.3,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.21,0,0,0.2,0,0,0,0,0,0,0
West Bay Park,47.052373,-122.9101963,0.62,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0.32,0.37
Williams Olson Park,47.6609,-122.5668,0.58,0.29,0,0.5,0,0,0,0.48,0,0.97,0,0,0,0,0,0,0.26,0,0,0.28,0,0,0,0,0,0,0,0,0,0.3,0.27,0,0,0,0.28,0,0.26,0,0,0,0.3,0.33
