"site_name","latitude","longitude","opDDD","opDDE","opDDT","ppDDD","ppDDT","ppDDE"
"Tulalip Reservation",48.069978,-122.300216,0,0,0,0,0,0.22
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,0
"Browns Point Lighthouse",47.304906,-122.44427,0,0,0,0.48,0.35,0.6
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0,0,0,0.45,0.27,0.47
"Discovery Bay",48.064974,-122.857218,0,0,0,0,0,0.22
"Filucy Bay",47.19483,-122.748665,0,0,0,0,0,0.27
"Kingston Marina",47.7947,-122.5003,0,0,0,0,0,0.29
"Miller Creek",47.443611,-122.361944,0,0,0,0.21,0,0.38
"Minter Bay",47.35399,-122.69176,0,0,0,0,0,0.26
"Penn Cove Reference",48.214071,-122.719097,0,0,0,0,0.2,0.39
"Purdy, Dexters",47.385334,-122.628902,0,0,0,0,0,0.29
"Raft Island Park",47.32622,-122.66715,0,0,0,0,0,0.2
"Gig Harbor Boat Launch",47.3372,-122.58284,0,0,0,0,0,0.34
"Maristone Island",48.018181,-122.699838,0,0,0,0,0,0.19
"Mukilteo",47.949831,-122.301703,0,0,0,0,0,0.3
"Point Defiance Ferry",47.3061098,-122.514771,0,0,0,0.21,0,0.39
"Tulalip Bay",48.0616613,-122.293939,0,0,0,0,0,0.33
"Edmonds Ferry",47.8142069,-122.3822018,0,0,0,0,0,0.39
"Jamestown",48.027069,-122.999191,0,0,0,0,0,0
"Madrona Pont",47.579985,-122.67853,0,0,0,0,0,0.43
"Manchester, Stormwater Outfall",47.556111,-122.542778,0,0,0,0,0,0.35
"Oak Bay County Park",48.022466,-122.728123,0,0,0,0,0,0.18
"Rocky Point",47.60253,-122.66991,0,0,0,0,0,0.41
"Squaxin Island",47.176735,-122.905337,0,0,0,0,0,0.2
"Cap Sante",48.52093,-122.600725,0,0,0,0.33,0.2,0.44
"Eagle Harbor Dr",47.618875,-122.527234,0,0,0,0.23,0,0.44
"Everett Harbor",47.97252,-122.22982,0,0,0,0,0,0.28
"Friday Harbor",48.5069444,-123.0194444,0,0,0,0,0,0.21
"Arroyo Beach",47.50159,-122.38577,0,0,0,0,0,0.4
"Chuckanut, Clark's Point",48.691084,-122.504012,0,0,0,0,0.23,0.54
"Eld Inlet",47.0769,-123.0034725,0,0,0,0,0,0.27
"Hood Canal Holly",47.570193,-122.971775,0,0,0,0,0,0
"Locust Beach",48.76652,-122.5395,0,0,0,0,0.24,0.44
"Three Tree Point",47.4485721,-122.3723967,0,0,0,0,0,0.48
"Williams Olson Park",47.6609,-122.5668,0,0,0,0,0,0.36
"Lions Park",47.583016,-122.64217,0,0,0,0,0,0.46
"North Camano",48.25523,-122.50817,0,0,0,0,0.22,0.46
"West Bay Park",47.052373,-122.9101963,0,0,0,0,0,0.44
"Chimacum Creek delta",48.04887,-122.7711,0,0,0,0,0,0
"Eastsound, Fishing Bay",48.69395,-122.909933,0,0,0,0,0,0.25
"Reach Island",47.346817,-122.822363,0,0,0,0,0,0.25
"South of Skunk Island",48.02655,-122.75089,0,0,0,0,0,0
"Salmon Beach",47.294692,-122.530504,0,0,0,0,0,0.26
"Brackenwood Ln",47.68203,-122.50668,0,0,0,0,0,0.37
"Skiff Point",47.6614139,-122.498892,0,0,0,0,0,0.35
