site_name,reporting_area,latitude,longitude,site_number,p450,sod,shell,weight_initial,weight_change,weight_final,length,height,width,ci1,ci2,ci3
Rocky Point,10,47.60255,-122.66992,27,9469801.25,9.8955,0.68875,13.43925,9.5945,3.8445,53.75,20.4975,25.705,33.8525,0.71425,0.0615
"Salmon Bay, Commodore Park",10,47.6663,-122.4018,16,4444677.5,3.79425,0.7075,15.517,11.148,4.369,58.0075,20.5325,27.2175,34.4,0.71825,0.05725
Salmon Beach,11,47.29464,-122.53053,40,2076089.5,7.299625,0.86375,12.862,8.8005,4.06175,54.6075,19.4375,24.61,33.51,0.684,0.054
"Seattle Aquarium, Pier 59",10,47.607,-122.342,17,3037049.5,15.6175,0.8425,14.80475,10.42525,4.3795,58.83,18.6975,25.86,36.3475,0.704,0.05075
Shilshole Bay,10,47.671678,-122.406663,18,2710238.75,9.90675,0.55625,11.07575,8.0975,2.97825,53.335,18.945,24.8375,32.2925,0.7285,0.053
"Silverdale, Dyes Inlet",10,47.6427936,-122.6967068,35,1419996,28.254,0.6875,14.88375,10.3795,4.50425,56.0325,19.865,26.975,34.43,0.698,0.05875
Skiff Point,10,47.66142,-122.49884,24,5612257.75,4.779,0.55875,14.322,10.1585,4.1635,57.525,20.3975,25.6625,33.5975,0.70725,0.053
"Smith Cove, Terminal 91",10,47.63237,-122.37869,15,3958466.25,7.5955,0.74,14.108,9.9185,4.1895,54,19.505,25.99,35.735,0.701,0.06275
South of Skunk Island,9,48.02667,-122.75076,9,4437927.25,10.11125,0.78625,13.1975,9.35625,3.84125,54.215,19.88,25.4675,33.92,0.71075,0.0585
Squaxin Island,13,47.17650485,-122.9046464,38,6185908.75,6.574125,0.85625,14.472,9.8375,4.6345,56.3825,20.0175,25.2,34.795,0.68175,0.055
Suquamish Stormwater Outfall,10,47.7296079,-122.5506191,34,3575218.5,5.81925,1.02125,15.04725,9.98825,5.059,55.36,23.285,29.27,28.27,0.665,0.0595
Thea Foss Waterway,11,47.259189,-122.434689,46,9969514.6,11.7874,0.897,13.194,8.497,4.6976,57.874,19.884,26.258,29.332,0.6148,0.0448
Three Tree Point,11,47.44896,-122.372267,22,7868514.75,7.91575,0.8125,16.89325,12.26075,4.6325,58.755,21.7175,27.555,34.825,0.7265,0.0605
Tulalip Bay,8.2,48.0617,-122.2939,67,5438866.5,6.253833333,0.874166667,14.074,10.02,4.054,56.51333333,19.99166667,25.57166667,34.03666667,0.709333333,0.054666667
Tulalip Reservation,8.2,48.0697859,-122.2997764,70,5097254.75,3.952125,0.78375,14.307,9.8595,4.44725,58.56,19.5675,26.48,32.4325,0.68925,0.049
West Bay Park,13,47.052362,-122.910912,73,8508351.5,4.628,0.7725,15.0645,10.3975,4.66675,56.8575,20.935,26.215,32.975,0.68675,0.05625
Williams Olson Park,10,47.66586,-122.56698,26,3067078.5,6.457625,0.67125,13.20775,9.1555,4.05225,55.9775,18.695,25.3225,33.9625,0.6875,0.05125
