"site_name","latitude","longitude","mercury","arsenic","cadmium","copper","lead","zinc"
"Friday Harbor",48.5069444,-123.0194444,0.006,1.69,0.32,1.26,0.0331,16.8
"Gig Harbor Boat Launch",47.3372,-122.58284,0.00599,1.36,0.31,1.08,0.0755,13.8
"Hood Canal Holly",47.570193,-122.971775,0.00444,1.43,0.356,1.04,0.0131,12.7
"Jamestown",48.027069,-122.999191,0.005,1.38,0.294,1.16,0.0275,12.4
"Kingston Marina",47.7947,-122.5003,0.00727,1.23,0.292,0.853,0.0331,12.5
"Kitsap St Boat Launch",47.541533,-122.640383,0.00616,1.59,0.302,1.62,0.0994,17
"Kopachuck State Park",47.3115,-122.68725,0.00613,1.28,0.318,0.837,0.0266,12.9
"Lions Park",47.583016,-122.64217,0.00584,1.37,0.308,0.987,0.0558,15.1
"Locust Beach",48.76652,-122.5395,0.00513,1.47,0.291,1.12,0.041,13.6
"Madrona Pont",47.579985,-122.67853,0.00538,1.54,0.303,0.998,0.09,15
"Manchester, Stormwater Outfall",47.556111,-122.542778,0.00471,1.29,0.305,0.808,0.0427,13.2
"Maple Hollow Park",47.29954,-122.74554,0.00619,1.51,0.349,0.889,0.0249,14
"Maristone Island Bridge",48.018181,-122.699838,0.00464,1.3,0.309,0.869,0.0249,12
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0.00527,1.17,0.298,0.866,0.0307,11.3
"Miller Creek",47.443611,-122.361944,0.00678,1.42,0.321,0.873,0.0384,14.3
"Minter Bay",47.35399,-122.69176,0.00578,1.48,0.352,1.31,0.0412,15.6
"Mukilteo",47.949831,-122.301703,0.00785,1.26,0.288,1.12,0.0412,11
"N Avenue Park",48.52108,-122.61531,0.00641,1.81,0.339,1.02,0.0787,16.7
"North Camano",48.25523,-122.50817,0.00784,1.56,0.304,1.15,0.0457,12.9
"Oak Bay County Park",48.022466,-122.728123,0.00594,1.34,0.312,0.912,0.0302,12.2
"Penn Cove Reference",48.214071,-122.719097,0.00667,1.44,0.325,0.972,0.0336,12.7
"Penrose Point State Park",47.2609094,-122.7447771,0.00588,1.39,0.311,0.956,0.0254,14
"Point Defiance Ferry",47.3061098,-122.514771,0.00501,1.48,0.283,1.27,0.0727,17
"Port Angeles Yacht Club",48.128267,-123.457133,0.00481,1.47,0.305,1.22,0.044,15.7
"Purdy, Dexters",47.385334,-122.628902,0.00669,1.57,0.331,1.01,0.0339,15
"Purdy, Burley Lagoon",47.387021,-122.6367,0.00614,1.54,0.315,1.12,0.0422,15.5
"Raft Island Park",47.32622,-122.66715,0.00525,1.19,0.311,1.14,0.0321,11.9
"Reach Island",47.346817,-122.822363,0.00417,1.56,0.341,1.51,0.0265,17.7
"Rich Passage",47.578117,-122.524833,0.00581,1.49,0.301,1.25,0.0534,15.7
"Rocky Point",47.60253,-122.66991,0.00575,1.46,0.336,1.03,0.0692,17
"South of Skunk Island",48.02655,-122.75089,0.00502,1.4,0.306,0.998,0.0809,13.3
"Salmon Bay, Commodore Park",47.666244,-122.401894,0.00533,1.04,0.264,1.02,0.0751,10.9
"Salmon Beach",47.294692,-122.530504,0.00426,1.41,0.328,0.854,0.0335,14.2
"Seattle Aquarium, Pier 59",47.607334,-122.344055,0.00632,1.42,0.319,1.25,0.0673,13.7
"Shilshole Bay",47.6707,-122.40605,0.00618,1.18,0.226,1.17,0.0608,11.3
"Silverdale, Dyes Inlet",47.6428,-122.6967,0.00624,1.51,0.296,1.25,0.0745,13.1
"Skiff Point",47.6614139,-122.498892,0.007,1.57,0.337,1.11,0.0396,16.5
"Smith Cove, Terminal 91",47.6325,-122.3786,0.00548,1.43,0.296,1.29,0.0931,18.5
"Squaxin Island",47.176735,-122.905337,0.00508,1.29,0.359,1,0.0285,14
"Suquamish Stormwater Outfall",47.729875,-122.550882,0.00543,1.44,0.314,1.06,0.0346,13.7
"Thea Foss Waterway",47.25934,-122.43479,0.0041,1.21,0.31,1.47,0.0743,14
"Three Tree Point",47.4485721,-122.3723967,0.0051,1.47,0.303,1.05,0.0325,15
"Tulalip Bay",48.0616613,-122.293939,0.00661,1.41,0.315,1.2,0.0421,11.1
"Tulalip Reservation",48.069978,-122.300216,0.0051,1.27,0.301,0.96,0.033,11.2
"West Bay Park",47.052373,-122.9101963,0.00494,1.28,0.289,1.03,0.0316,12.2
"Williams Olson Park",47.6609,-122.5668,0.00539,1.5,0.291,1.78,0.0611,15.2
"Penn Cove Baseline 1",48.218626,-122.707972,0,1.51,0.35,1.01,0.0262,14.5
"Penn Cove Baseline 2",48.218626,-122.707972,0,1.6,0.416,0.921,0.0295,15.5
"Penn Cove Baseline 3",48.218626,-122.707972,0,1.47,0.333,1.25,0.0319,13.4
