"Group1","Group2","Z","P.unadj","P.adj","Significant"
"Commencement Bay, Milwaukee Waterway","Eagle Harbor Dr",2.76706940349348,0.0057,0.1467,"No"
"Eastsound, Fishing Bay","Filucy Bay",-2.7434320235124,0.0061,0.1467,"No"
"Mukilteo","Point Defiance Ferry",2.78262390956257,0.0054,0.1467,"No"
"Edmonds Marina","Silverdale, Dyes Inlet",2.83749255003282,0.0045,0.1467,"No"
"Hood Canal Holly","Tulalip Bay",-2.87680368231107,0.004,0.1467,"No"
"Filucy Bay","Shilshole Bay",2.88060362468802,0.004,0.1469,"No"
"Broad Spit","Browns Point Lighthouse",-2.78424105780601,0.0054,0.1474,"No"
"Friday Harbor","Hood Canal Holly",2.77160487908274,0.0056,0.1474,"No"
"Filucy Bay","Meyer's Point, Henderson Inlet",3.2098154675095,0.0013,0.1474,"No"
"Kitsap St Boat Launch","Miller Creek",-2.81789660700773,0.0048,0.1474,"No"
"Filucy Bay","Jamestown",2.77773663987451,0.0055,0.1475,"No"
"Chuckanut, Clark's Point","Miller Creek",-2.79046228677261,0.0053,0.1475,"No"
"Filucy Bay","Williams Olson Park",2.74735121211741,0.006,0.1475,"No"
"Brackenwood Lane","Des Moines Marina",-2.81397741840272,0.0049,0.1476,"No"
"Hood Canal Holly","Manchester, Stormwater Outfall",-2.82066919999622,0.0048,0.1478,"No"
"Broad Spit","North Camano",-2.82415415724458,0.0047,0.1478,"No"
"Brackenwood Lane","Commencement Bay, Milwaukee Waterway",-2.8579555290188,0.0043,0.1479,"No"
"Broad Spit","Madrona Pont",-2.77335566705003,0.0055,0.148,"No"
"Miller Creek","Shilshole Bay",2.80613904119268,0.005,0.148,"No"
"Edmonds Marina","Hood Canal Holly",2.79920291993537,0.0051,0.1481,"No"
"Silverdale, Dyes Inlet","Tulalip Bay",-2.882205869504,0.0039,0.1481,"No"
"Silverdale, Dyes Inlet","Squaxin Island",-2.75127040072243,0.0059,0.1484,"No"
"Elliott Bay, Harbor Island, Pier 17","Point Defiance Ferry",3.15494682703926,0.0016,0.1485,"No"
"Hood Canal Holly","Lions Park",-2.74768384778932,0.006,0.1487,"No"
"Mukilteo","Salmon Beach",2.79438147537763,0.0052,0.1488,"No"
"Brackenwood Lane","North Camano",-2.75910877793247,0.0058,0.1489,"No"
"Lions Park","Silverdale, Dyes Inlet",2.79046228677261,0.0053,0.149,"No"
"Eagle Harbor Dr","Three Tree Point",-2.75518958932745,0.0059,0.1493,"No"
"Broad Spit","N Avenue Park",-2.75158488553808,0.0059,0.1496,"No"
"Friday Harbor","Silverdale, Dyes Inlet",2.79929266617973,0.0051,0.1496,"No"
"Des Moines Marina","Eagle Harbor Dr",2.72775526909233,0.0064,0.15,"No"
"Commencement Bay, Milwaukee Waterway","Silverdale, Dyes Inlet",3.15953221826189,0.0016,0.1512,"No"
"Everett Harbor","Silverdale, Dyes Inlet",2.72775526909233,0.0064,0.1512,"No"
"Broad Spit","Kopachuck State Park",-2.72981410402613,0.0063,0.1516,"No"
"Elliott Bay, Harbor Island, Pier 17","Salmon Beach",3.16670439285431,0.0015,0.1528,"No"
"Chuckanut, Clark's Point","Elliott Bay, Harbor Island, Pier 17",-2.65720987420201,0.0079,0.1529,"No"
"Eagle Harbor Dr","Edmonds Ferry",-2.70424013746222,0.0068,0.1532,"No"
"Eagle Harbor Dr","North Camano",-2.67288662862208,0.0075,0.1534,"No"
"Brackenwood Lane","Kopachuck State Park",-2.65720987420201,0.0079,0.154,"No"
"Brackenwood Lane","Browns Point Lighthouse",-2.71599770327727,0.0066,0.1541,"No"
"Eastsound, Fishing Bay","Miller Creek",-2.66896744001706,0.0076,0.1541,"No"
"Chimacum Creek delta","Elliott Bay, Harbor Island, Pier 17",-2.70424013746222,0.0068,0.1545,"No"
"Jamestown","Miller Creek",-2.69616477564327,0.007,0.1545,"No"
"Elliott Bay, Harbor Island, Pier 17","Shilshole Bay",2.67288662862208,0.0075,0.1546,"No"
"Filucy Bay","Seattle Aquarium, Pier 59",2.66504825141204,0.0077,0.1548,"No"
"Meyer's Point, Henderson Inlet","Minter Bay",-2.69248257164717,0.0071,0.155,"No"
"Broad Spit","Manchester, Stormwater Outfall",-2.64998790514898,0.008,0.1551,"No"
"Elliot Bay Myrtle Edwards","Minter Bay",-2.68444565301592,0.0073,0.1551,"No"
"Minter Bay","Penn Cove Reference",2.65720987420201,0.0079,0.1551,"No"
"Everett Harbor","Hood Canal Holly",2.67899175159459,0.0074,0.1552,"No"
"Broad Spit","Commencement Bay Skookum",-2.69715793175821,0.007,0.1553,"No"
"Eagle Harbor Dr","West Bay Park",-2.66112906280703,0.0078,0.1555,"No"
"Brackenwood Lane","N Avenue Park",-2.68072500583211,0.0073,0.1556,"No"
"Brackenwood Lane","Madrona Pont",-2.70424013746222,0.0068,0.1557,"No"
"Maple Hollow Park","Silverdale, Dyes Inlet",2.67288662862208,0.0075,0.1557,"No"
"Eld Inlet","Hood Canal Holly",2.65752547153373,0.0079,0.156,"No"
"Elliott Bay, Harbor Island, Pier 17","Kitsap St Boat Launch",2.68464419443713,0.0073,0.1562,"No"
"Commencement Bay, Milwaukee Waterway","Hood Canal Holly",3.17068669126242,0.0015,0.1563,"No"
"Eld Inlet","Silverdale, Dyes Inlet",2.70815932606724,0.0068,0.1565,"No"
"Hood Canal Holly","Squaxin Island",-2.70475128766761,0.0068,0.1568,"No"
"Miller Creek","Williams Olson Park",2.67288662862208,0.0075,0.1569,"No"
"Eagle Harbor Dr","Penrose Point State Park",-2.68464419443713,0.0073,0.1574,"No"
"Browns Point Lighthouse","Eagle Harbor Dr",2.62977555396688,0.0085,0.1591,"No"
"Broad Spit","Tulalip Bay",-2.63630753497525,0.0084,0.1593,"No"
"Minter Bay","Oak Bay County Park",2.63761393117692,0.0083,0.1598,"No"
"Meyer's Point, Henderson Inlet","Mukilteo",-2.62977555396688,0.0085,0.1602,"No"
"Filucy Bay","Penn Cove Reference",3.17454277006435,0.0015,0.1602,"No"
"Broad Spit","Edmonds Marina",-2.63184558722236,0.0085,0.1603,"No"
"Eagle Harbor Dr","Madrona Pont",-2.61801798815183,0.0088,0.1604,"No"
"Elliot Bay Myrtle Edwards","Mukilteo",-2.61834665263387,0.0088,0.1613,"No"
"Brackenwood Lane","Commencement Bay Skookum",-2.62193717675685,0.0087,0.1617,"No"
"Hood Canal Holly","Maple Hollow Park",-2.61888616742419,0.0088,0.1621,"No"
"Locust Beach","Minter Bay",-2.6101796109418,0.009,0.1631,"No"
"Eagle Harbor Dr","N Avenue Park",-2.59450285652172,0.0095,0.1664,"No"
"Des Moines Marina","Salmon Beach",2.5670685362866,0.0103,0.1664,"No"
"Eagle Harbor Dr","Kopachuck State Park",-2.57098772489162,0.0101,0.1665,"No"
"Mukilteo","Oak Bay County Park",2.57490691349664,0.01,0.1666,"No"
"Brackenwood Lane","Tulalip Bay",-2.56879818061553,0.0102,0.1666,"No"
"Commencement Bay, Milwaukee Waterway","Point Defiance Ferry",2.58529715244285,0.0097,0.1667,"No"
"Port Angeles Yacht Club","Silverdale, Dyes Inlet",2.58740229000161,0.0097,0.1667,"No"
"Point Defiance Ferry","Three Tree Point",-2.58274529070667,0.0098,0.1669,"No"
"Miller Creek","Seattle Aquarium, Pier 59",2.59058366791671,0.0096,0.1672,"No"
"Broad Spit","Lions Park",-2.58830402419846,0.0096,0.1673,"No"
"Mukilteo","Penn Cove Reference",2.59450285652172,0.0095,0.1674,"No"
"Brackenwood Lane","Manchester, Stormwater Outfall",-2.57098772489162,0.0101,0.1675,"No"
"Chambers Bay Park","Silverdale, Dyes Inlet",2.57490691349664,0.01,0.1676,"No"
"Reach Island","Silverdale, Dyes Inlet",2.57882610210165,0.0099,0.1677,"No"
"Broad Spit","Friday Harbor",-2.57637415305341,0.01,0.1679,"No"
"Commencement Bay, Milwaukee Waterway","Salmon Beach",2.59769071501448,0.0094,0.168,"No"
"Salmon Beach","Three Tree Point",-2.59450285652172,0.0095,0.1685,"No"
"Hood Canal Holly","Port Angeles Yacht Club",-2.54720326042226,0.0109,0.1702,"No"
"Elliott Bay, Harbor Island, Pier 17","Jamestown",2.55019407122946,0.0108,0.1707,"No"
"Commencement Bay Skookum","Eagle Harbor Dr",2.53571502744646,0.0112,0.1711,"No"
"Brackenwood Lane","Edmonds Marina",-2.55139178186653,0.0107,0.1711,"No"
"Locust Beach","Mukilteo",-2.54747259326151,0.0109,0.1711,"No"
"Edmonds Ferry","Salmon Beach",2.54355340465649,0.011,0.1711,"No"
"Des Moines Marina","Point Defiance Ferry",2.55531097047155,0.0106,0.1712,"No"
"Broad Spit","Squaxin Island",-2.55201938834521,0.0107,0.1718,"No"
"Broad Spit","Everett Harbor",-2.53024860683326,0.0114,0.1719,"No"
"Eastsound, Fishing Bay","Elliott Bay, Harbor Island, Pier 17",-2.53571502744646,0.0112,0.172,"No"
"Elliott Bay, Harbor Island, Pier 17","Williams Olson Park",2.53963421605148,0.0111,0.172,"No"
"Edmonds Ferry","Point Defiance Ferry",2.53179583884144,0.0113,0.1721,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Filucy Bay",-2.53571502744646,0.0112,0.173,"No"
"Penrose Point State Park","Salmon Beach",2.52395746163141,0.0116,0.1741,"No"
"Chambers Bay Park","Hood Canal Holly",2.51155476711992,0.012,0.1756,"No"
"Broad Spit","Eld Inlet",-2.51210628890664,0.012,0.1762,"No"
"Penrose Point State Park","Point Defiance Ferry",2.51219989581635,0.012,0.1771,"No"
"Hood Canal Holly","Reach Island",-2.51584802313209,0.0119,0.1772,"No"
"North Camano","Salmon Beach",2.51219989581635,0.012,0.178,"No"
"Brackenwood Lane","Lions Park",-2.50436151860632,0.0123,0.1782,"No"
"North Camano","Point Defiance Ferry",2.5004423300013,0.0124,0.1783,"No"
"Brackenwood Lane","Friday Harbor",-2.49771597693663,0.0125,0.1788,"No"
"Salmon Beach","West Bay Park",-2.5004423300013,0.0124,0.1793,"No"
"Point Defiance Ferry","West Bay Park",-2.48868476418625,0.0128,0.1825,"No"
"Eagle Harbor Dr","Manchester, Stormwater Outfall",-2.48476557558123,0.013,0.1835,"No"
"Broad Spit","Maple Hollow Park",-2.47945011663871,0.0132,0.1854,"No"
"Kingston Marina","Silverdale, Dyes Inlet",2.47692719837119,0.0133,0.1857,"No"
"Eagle Harbor Dr","Tulalip Bay",-2.47434654834778,0.0133,0.1861,"No"
"Browns Point Lighthouse","Salmon Beach",2.46908882116116,0.0135,0.1879,"No"
"Eagle Harbor Dr","Edmonds Marina",-2.46516963255614,0.0137,0.1881,"No"
"Browns Point Lighthouse","Point Defiance Ferry",2.4573312553461,0.014,0.1886,"No"
"Brackenwood Lane","Squaxin Island",-2.46516963255614,0.0137,0.1891,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Miller Creek",-2.46125044395112,0.0138,0.1893,"No"
"Madrona Pont","Salmon Beach",2.4573312553461,0.014,0.1895,"No"
"Elliott Bay, Harbor Island, Pier 17","Seattle Aquarium, Pier 59",2.4573312553461,0.014,0.1904,"No"
"Madrona Pont","Point Defiance Ferry",2.44557368953105,0.0145,0.1939,"No"
"Brackenwood Lane","Everett Harbor",-2.44165450092603,0.0146,0.1951,"No"
"N Avenue Park","Salmon Beach",2.433816123716,0.0149,0.1974,"No"
"Filucy Bay","Hood Canal Holly",3.971261811258,1e-04,0.1984,"No"
"Filucy Bay","Suquamish, Stormwater Outfall",2.433816123716,0.0149,0.1984,"No"
"Meyer's Point, Henderson Inlet","Three Tree Point",-2.42989693511098,0.0151,0.1986,"No"
"Brackenwood Lane","Eld Inlet",-2.42205855790094,0.0154,0.2001,"No"
"Commencement Bay, Milwaukee Waterway","Meyer's Point, Henderson Inlet",2.42418083901161,0.0153,0.2008,"No"
"N Avenue Park","Point Defiance Ferry",2.42205855790094,0.0154,0.2011,"No"
"Eagle Harbor Dr","Lions Park",-2.41813936929593,0.0156,0.2014,"No"
"Eagle Harbor Dr","Friday Harbor",-2.40682985141132,0.0161,0.203,"No"
"Elliot Bay Myrtle Edwards","Three Tree Point",-2.40765608891609,0.0161,0.2034,"No"
"Hood Canal Holly","Kingston Marina",-2.40422336681565,0.0162,0.2035,"No"
"Des Moines Marina","Meyer's Point, Henderson Inlet",2.40246261487586,0.0163,0.2036,"No"
"Cap Sante","Filucy Bay",-2.41030099208589,0.0159,0.2038,"No"
"Commencement Bay, Milwaukee Waterway","Elliot Bay Myrtle Edwards",2.4082296233746,0.016,0.2041,"No"
"Kopachuck State Park","Point Defiance Ferry",2.39854342627084,0.0165,0.2048,"No"
"Kopachuck State Park","Salmon Beach",2.41030099208589,0.0159,0.2048,"No"
"Chimacum Creek delta","Minter Bay",-2.39462423766582,0.0166,0.2052,"No"
"Broad Spit","Reach Island",-2.39236699059091,0.0167,0.2055,"No"
"Brackenwood Lane","Maple Hollow Park",-2.38678586045579,0.017,0.206,"No"
"Penn Cove Reference","Three Tree Point",-2.39462423766582,0.0166,0.2061,"No"
"Kitsap St Boat Launch","Minter Bay",-2.37502829464073,0.0175,0.2063,"No"
"Broad Spit","Chambers Bay Park",-2.38873852700559,0.0169,0.2067,"No"
"Commencement Bay, Milwaukee Waterway","Penn Cove Reference",2.3870001512967,0.017,0.2067,"No"
"Des Moines Marina","Elliot Bay Myrtle Edwards",2.37873777624895,0.0174,0.2069,"No"
"Commencement Bay Skookum","Salmon Beach",2.37502829464073,0.0175,0.2072,"No"
"Edmonds Ferry","Meyer's Point, Henderson Inlet",2.37894748324575,0.0174,0.2077,"No"
"Oak Bay County Park","Three Tree Point",-2.37502829464073,0.0175,0.2081,"No"
"Commencement Bay, Milwaukee Waterway","Oak Bay County Park",2.36634421367731,0.018,0.2086,"No"
"Commencement Bay Skookum","Point Defiance Ferry",2.36327072882568,0.0181,0.2086,"No"
"Rocky Point","Silverdale, Dyes Inlet",2.37894748324575,0.0174,0.2086,"No"
"Des Moines Marina","Penn Cove Reference",2.3671899174307,0.0179,0.209,"No"
"Meyer's Point, Henderson Inlet","Penrose Point State Park",-2.35935154022066,0.0183,0.2091,"No"
"Minter Bay","Shilshole Bay",2.36327072882568,0.0181,0.2094,"No"
"Eagle Harbor Dr","Squaxin Island",-2.37894748324575,0.0174,0.2095,"No"
"Broad Spit","Port Angeles Yacht Club",-2.3671899174307,0.0179,0.2099,"No"
"Miller Creek","Suquamish, Stormwater Outfall",2.35935154022066,0.0183,0.2099,"No"
"Edmonds Ferry","Elliot Bay Myrtle Edwards",2.35395065110568,0.0186,0.2104,"No"
"Eagle Harbor Dr","Everett Harbor",-2.35543235161564,0.0185,0.2104,"No"
"Chuckanut, Clark's Point","Minter Bay",-2.34759397440561,0.0189,0.2106,"No"
"Meyer's Point, Henderson Inlet","North Camano",-2.34759397440561,0.0189,0.2114,"No"
"Edmonds Ferry","Penn Cove Reference",2.34367478580059,0.0191,0.212,"No"
"Eagle Harbor Dr","Eld Inlet",-2.33583640859056,0.0195,0.2122,"No"
"Des Moines Marina","Oak Bay County Park",2.34759397440561,0.0189,0.2123,"No"
"Chimacum Creek delta","Mukilteo",-2.33191721998554,0.0197,0.2128,"No"
"Elliot Bay Myrtle Edwards","Penrose Point State Park",-2.33329471348629,0.0196,0.2128,"No"
"Cap Sante","Miller Creek",-2.33583640859056,0.0195,0.213,"No"
"Locust Beach","Three Tree Point",-2.34759397440561,0.0189,0.2131,"No"
"Edmonds Ferry","Oak Bay County Park",2.3240788427755,0.0201,0.2139,"No"
"Meyer's Point, Henderson Inlet","West Bay Park",-2.33583640859056,0.0195,0.2139,"No"
"Filucy Bay","Maristone Island",2.33696235595831,0.0194,0.2141,"No"
"Elliott Bay, Harbor Island, Pier 17","Fidalgo Bay Aq Reserve, Weaverling Spit",2.32799803138052,0.0199,0.2142,"No"
"Des Moines Marina","Locust Beach",2.32015965417048,0.0203,0.2145,"No"
"Commencement Bay, Milwaukee Waterway","Locust Beach",2.33742590101017,0.0194,0.2147,"No"
"Penn Cove Reference","Penrose Point State Park",-2.3240788427755,0.0201,0.2148,"No"
"Elliot Bay Myrtle Edwards","North Camano",-2.32090115091466,0.0203,0.2149,"No"
"Madrona Pont","Meyer's Point, Henderson Inlet",2.29272533393536,0.0219,0.2151,"No"
"Manchester, Stormwater Outfall","Salmon Beach",2.3240788427755,0.0201,0.2156,"No"
"Kitsap St Boat Launch","Mukilteo",-2.31232127696045,0.0208,0.2158,"No"
"North Camano","Oak Bay County Park",2.29272533393536,0.0219,0.2159,"No"
"Edmonds Ferry","Locust Beach",2.29664452254038,0.0216,0.216,"No"
"Filucy Bay","Smith Cove, Terminal 91",2.31624046556547,0.0205,0.216,"No"
"Brackenwood Lane","Chambers Bay Park",-2.28880614533034,0.0221,0.2166,"No"
"North Camano","Penn Cove Reference",2.31232127696045,0.0208,0.2166,"No"
"Hood Canal Holly","Rocky Point",-2.29689196651138,0.0216,0.2166,"No"
"Edmonds Marina","Point Defiance Ferry",2.29272533393536,0.0219,0.2167,"No"
"Broad Spit","Kingston Marina",-2.29802693737246,0.0216,0.2168,"No"
"Eagle Harbor Dr","Maple Hollow Park",-2.3005637111454,0.0214,0.2169,"No"
"Browns Point Lighthouse","Meyer's Point, Henderson Inlet",2.30448289975041,0.0212,0.217,"No"
"Elliot Bay Myrtle Edwards","West Bay Park",-2.30850758834302,0.021,0.2171,"No"
"Chuckanut, Clark's Point","Mukilteo",-2.28488695672532,0.0223,0.2173,"No"
"Manchester, Stormwater Outfall","Point Defiance Ferry",2.31232127696045,0.0208,0.2174,"No"
"Salmon Beach","Tulalip Bay",-2.29832305184877,0.0215,0.2174,"No"
"Brackenwood Lane","Reach Island",-2.29272533393536,0.0219,0.2175,"No"
"Mukilteo","Shilshole Bay",2.3005637111454,0.0214,0.2177,"No"
"Oak Bay County Park","Penrose Point State Park",-2.30448289975041,0.0212,0.2178,"No"
"Point Defiance Ferry","Tulalip Bay",-2.28544328381226,0.0223,0.2178,"No"
"Penn Cove Reference","West Bay Park",-2.3005637111454,0.0214,0.2185,"No"
"Edmonds Marina","Salmon Beach",2.30448289975041,0.0212,0.2187,"No"
"Oak Bay County Park","West Bay Park",-2.28096776812031,0.0226,0.2188,"No"
"Donkey Creek Delta","Filucy Bay",-2.27704857951529,0.0228,0.2195,"No"
"Browns Point Lighthouse","Elliot Bay Myrtle Edwards",2.275458088152,0.0229,0.2197,"No"
"Brackenwood Lane","Port Angeles Yacht Club",-2.27399460111314,0.023,0.2198,"No"
"Locust Beach","Penrose Point State Park",-2.27704857951529,0.0228,0.2203,"No"
"Meyer's Point, Henderson Inlet","N Avenue Park",-2.26921020230525,0.0233,0.221,"No"
"Browns Point Lighthouse","Penn Cove Reference",2.26921020230525,0.0233,0.2218,"No"
"Locust Beach","North Camano",-2.26529101370024,0.0235,0.2225,"No"
"Elliot Bay Myrtle Edwards","Madrona Pont",-2.26306452558036,0.0236,0.2231,"No"
"Madrona Pont","Penn Cove Reference",2.2574526364902,0.024,0.2248,"No"
"Maristone Island","Miller Creek",-2.25539049172707,0.0241,0.2253,"No"
"Lions Park","Salmon Beach",2.2574526364902,0.024,0.2256,"No"
"Locust Beach","West Bay Park",-2.25353344788518,0.0242,0.2256,"No"
"Browns Point Lighthouse","Oak Bay County Park",2.24961425928017,0.0245,0.2271,"No"
"Kopachuck State Park","Meyer's Point, Henderson Inlet",2.24569507067515,0.0247,0.2279,"No"
"Lions Park","Point Defiance Ferry",2.24569507067515,0.0247,0.2287,"No"
"Miller Creek","Smith Cove, Terminal 91",2.24177588207013,0.025,0.2295,"No"
"Friday Harbor","Salmon Beach",2.23745116293232,0.0253,0.2298,"No"
"Madrona Pont","Oak Bay County Park",2.23785669346511,0.0252,0.2303,"No"
"Filucy Bay","Gig Harbor Boat Launch",2.23393750486009,0.0255,0.2304,"No"
"Friday Harbor","Point Defiance Ferry",2.22505760036069,0.0261,0.2305,"No"
"Eastsound, Fishing Bay","Minter Bay",-2.22609912765006,0.026,0.2306,"No"
"Arroyo Beach","Silverdale, Dyes Inlet",2.22963095565404,0.0258,0.2307,"No"
"Elliot Bay Myrtle Edwards","N Avenue Park",-2.2382774004371,0.0252,0.2308,"No"
"N Avenue Park","Penn Cove Reference",2.23393750486009,0.0255,0.2311,"No"
"Commencement Bay, Dick Gilmur Launch","Filucy Bay",-2.23001831625508,0.0257,0.2312,"No"
"Purdy, Dexters","Silverdale, Dyes Inlet",2.22609912765006,0.026,0.2313,"No"
"Browns Point Lighthouse","Locust Beach",2.22217993904504,0.0263,0.2314,"No"
"Locust Beach","Madrona Pont",-2.21042237322999,0.0271,0.2319,"No"
"Minter Bay","Williams Olson Park",2.23001831625508,0.0257,0.232,"No"
