latitude,longitude,reporting_area,site_name,avg_p450,avg_sod,avg_at,avg_cf,arsenic,cadmium,copper,lead,mercury,zinc
47.19483,-122.748665,13,Filucy Bay,10877772.12,5.009127417,0.85625,0.159275,8.117647059,1.741176471,5.747058824,0.228823529,0.042352941,77.64705882
48.5069444,-123.0194444,7,Friday Harbor,5444136.674,5.14738837,0.75,0.14544,9.388888889,1.777777778,7,0.183888889,0.033333333,93.33333333
47.33785,-122.58277,11,Gig Harbor Boat Launch,3843185.751,14.97195681,0.965,0.15425,8.343558282,1.901840491,6.625766871,0.463190184,0.036748466,84.66257669
47.5706,-122.9717,12,Hood Canal Holly,788014.8961,1.640458193,0.676666667,0.1902,9.285714286,2.311688312,6.753246753,0.085064935,0.028831169,82.46753247
48.024789,-122.998135,6,Jamestown,3175079.08,7.752782309,0.573333333,0.173883333,8.789808917,1.872611465,7.388535032,0.175159236,0.031847134,78.98089172
47.794695,-122.499858,10,Kingston Marina,5460804.691,4.370895609,0.81125,0.165525,8.145695364,1.933774834,5.649006623,0.219205298,0.048145695,82.78145695
47.54167,-122.64034,10,Kitsap St Boat Launch,2852984.356,10.7481244,0.8325,0.17555,8.153846154,1.548717949,8.307692308,0.50974359,0.031589744,87.17948718
47.30973,-122.68868,13,Kopachuck State Park,7013734.566,4.725888249,0.7775,0.15353,8.366013072,2.078431373,5.470588235,0.173856209,0.040065359,84.31372549
47.5833538,-122.6414587,10,Lions Park,6373166.26,10.42413956,0.75,0.14805,8.5625,1.925,6.16875,0.34875,0.0365,94.375
48.77636877,-122.5378679,7,Locust Beach,2368800.337,6.150276481,0.6875,0.169575,8.963414634,1.774390244,6.829268293,0.25,0.031280488,82.92682927
47.57995505,-122.6786,10,Madrona Pont,7017559.738,4.520043667,0.805,0.155625,8.75,1.721590909,5.670454545,0.511363636,0.030568182,85.22727273
47.55622,-122.54281,10,"Manchester, Stormwater Outfall",7715455.876,2.792783701,0.60625,0.198825,8.164556962,1.930379747,5.113924051,0.270253165,0.029810127,83.5443038
47.30008,-122.74566,13,Maple Hollow Park,13508380.28,2.576942008,0.775,0.184125,9.679487179,2.237179487,5.698717949,0.159615385,0.039679487,89.74358974
48.018127,-122.699524,9,Maristone Island,4711148.229,5.722065262,0.699166667,0.1881,8.783783784,2.087837838,5.871621622,0.168243243,0.031351351,81.08108108
47.11795,-122.83359,13,Meyer's Point - Henderson Inlet,2252669.398,15.21190078,0.78875,0.178525,7.8,1.986666667,5.773333333,0.204666667,0.035133333,75.33333333
47.4436,-122.360316,11,Miller Creek,15899206.45,3.631343581,0.82125,0.1893,8.711656442,1.969325153,5.355828221,0.235582822,0.041595092,87.73006135
47.3539722,-122.69175,13,Minter Bay,8029786.948,5.009746273,0.9175,0.17415,9.487179487,2.256410256,8.397435897,0.264102564,0.037051282,100
47.94968,-122.30158,8.2,Mukilteo,8713508.039,7.606435702,0.79125,0.1532,8.129032258,1.858064516,7.225806452,0.265806452,0.050645161,70.96774194
48.52108,-122.61531,7,N Avenue Park,6764939.012,0.692149127,0.8225,0.18215,10.28409091,1.926136364,5.795454545,0.447159091,0.036420455,94.88636364
48.255358,-122.507014,8.1,North Camano,12423809.12,3.101924016,0.7675,0.179575,9.069767442,1.76744186,6.686046512,0.265697674,0.045581395,75
48.02218,-122.728709,9,Oak Bay County Park,2335225.716,11.83915658,0.77375,0.17445,8.121212121,1.890909091,5.527272727,0.183030303,0.036,73.93939394
48.21423,-122.718972,8.1,Penn Cove Reference,2290809.301,12.59276789,0.60625,0.195125,10,2.256944444,6.75,0.233333333,0.046319444,88.19444444
47.2619,-122.7376,13,Penrose Point State Park,7562838.824,4.423060585,0.8575,0.180575,8.853503185,1.98089172,6.089171975,0.161783439,0.037452229,89.17197452
47.3062,-122.5145,11,Point Defiance Ferry,2116286.931,6.454028929,0.83875,0.1761,8.087431694,1.546448087,6.93989071,0.39726776,0.027377049,92.89617486
48.12823,-123.45715,6,Port Angeles Yacht Club,5668182.301,7.9878217,0.855,0.159385,8.596491228,1.783625731,7.134502924,0.257309942,0.028128655,91.8128655
47.38566,-122.627255,13,Purdy - Dexters,4578794.023,0.734050309,0.84375,0.168025,9.18128655,1.935672515,5.906432749,0.198245614,0.039122807,87.71929825
47.386977,-122.6367089,13,"Purdy, Burley Lagoon",3937234.94,10.05044241,0.915,0.189675,9.005847953,1.842105263,6.549707602,0.246783626,0.035906433,90.64327485
47.32598,-122.66724,13,Raft Island Park,4185580.798,3.042678154,0.65375,0.170975,8.095238095,2.115646259,7.755102041,0.218367347,0.035714286,80.95238095
47.346537,-122.82236,13,Reach Island,5721094.954,4.58367038,0.77,0.16865,9.341317365,2.041916168,9.041916168,0.158682635,0.02497006,105.988024
47.578117,-122.524833,10,Rich Passage,5061124.659,2.319743024,0.81,0.16595,8.465909091,1.710227273,7.102272727,0.303409091,0.033011364,89.20454545
47.60255,-122.66992,10,Rocky Point,9469801.367,9.895474753,0.68875,0.178175,8.69047619,2,6.130952381,0.411904762,0.03422619,101.1904762
48.02667,-122.75076,9,S of Skunk Island,4092598.466,10.11133775,0.78625,0.172025,8,1.748571429,5.702857143,0.462285714,0.028685714,76
47.6663,-122.4018,10,"Salmon Bay, Commodore Park",4444677.291,3.794299859,0.7075,0.19215,7.703703704,1.955555556,7.555555556,0.556296296,0.039481481,80.74074074
47.29464,-122.53053,11,Salmon Beach,1550935.053,7.299085618,0.86375,0.16055,7.877094972,1.832402235,4.770949721,0.187150838,0.023798883,79.32960894
47.607,-122.342,10,"Seattle Aquarium, Pier 59",3037049.482,15.6176361,0.8425,0.176275,8.819875776,1.98136646,7.763975155,0.418012422,0.039254658,85.0931677
47.671678,-122.406663,10,Shilshole Bay,2710238.957,9.906528332,0.55625,0.15135,8.027210884,1.537414966,7.959183673,0.413605442,0.042040816,76.8707483
47.6427936,-122.6967068,10,"Silverdale, Dyes Inlet",1419996.096,28.25379124,0.6875,0.18485,9.496855346,1.86163522,7.86163522,0.468553459,0.039245283,82.38993711
47.66142,-122.49884,10,Skiff Point,5612257.852,4.778817931,0.55875,0.175775,8.820224719,1.893258427,6.235955056,0.22247191,0.039325843,92.69662921
47.63237,-122.37869,10,"Smith Cove, Terminal 91",3958466.348,7.5954936,0.74,0.1822,8.562874251,1.77245509,7.724550898,0.55748503,0.032814371,110.7784431
47.17650485,-122.9046464,13,Squaxin Island,6185908.673,5.883833595,0.85625,0.17425,8.21656051,2.286624204,6.369426752,0.181528662,0.032356688,89.17197452
47.7296079,-122.5506191,10,"Suquamish, Stormwater Outfall",3575218.321,5.819212897,1.02125,0.180425,8.674698795,1.891566265,6.385542169,0.208433735,0.032710843,82.53012048
47.259189,-122.434689,11,Thea Foss Waterway,3660949.966,11.78727617,0.897,0.14776,7.51552795,1.925465839,9.130434783,0.461490683,0.025465839,86.95652174
47.44896,-122.372267,11,Three Tree Point,7868514.826,7.915689936,0.8125,0.208425,8.448275862,1.74137931,6.034482759,0.186781609,0.029310345,86.20689655
48.0617,-122.2939,8.2,Tulalip Bay,5438866.58,6.253865979,0.874166667,0.176166667,8.867924528,1.981132075,7.547169811,0.264779874,0.041572327,69.81132075
48.0697859,-122.2997764,8.2,Tulalip Reservation,5097254.763,3.733327306,0.78375,0.16805,7.743902439,1.835365854,5.853658537,0.201219512,0.031097561,68.29268293
47.052362,-122.910912,13,West Bay Park,8508351.558,4.627812352,0.7725,0.182525,8.205128205,1.852564103,6.602564103,0.202564103,0.031666667,78.20512821
47.66586,-122.56698,10,Williams Olson Park,3067078.444,6.391730801,0.67125,0.161975,8.571428571,1.662857143,10.17142857,0.349142857,0.0308,86.85714286
