site_name,latitude,longitude,reporting_area,site_number,sample_id,sod,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,Sum40CBs,SumBDEs,SumCHLDs,SumDDTs,SumHCHs
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,270,10.87473912,1,1,0,0,23.4427694,-1.272607482,-1.272607482,-1.272607482,-1.071669458
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,271,7.415835244,1,1,0,0,23.4427694,-1.272607482,-1.272607482,-1.272607482,-1.071669458
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,272,9.276955011,1,1,0,0,23.4427694,-1.272607482,-1.272607482,-1.272607482,-1.071669458
Browns Point Lighthouse,47.30515,-122.44441,11,54,194,3.733258907,2,3,3,3,40.36969844,7.020817121,2.340272374,8.190953307,-0.936108949
Browns Point Lighthouse,47.30515,-122.44441,11,54,195,1.510299625,2,3,3,3,40.36969844,7.020817121,2.340272374,8.190953307,-0.936108949
Browns Point Lighthouse,47.30515,-122.44441,11,54,196,2.472247479,2,3,3,3,40.36969844,7.020817121,2.340272374,8.190953307,-0.936108949
Browns Point Lighthouse,47.30515,-122.44441,11,54,197,1.531263004,2,3,3,3,40.36969844,7.020817121,2.340272374,8.190953307,-0.936108949
Cap Sante,48.520971,-122.600717,7,64,214,14.37055745,2,3,2,3,22.28248175,-1.400613139,-1.336948905,6.175430657,1.082291971
Cap Sante,48.520971,-122.600717,7,64,215,4.895078561,2,3,2,3,22.28248175,-1.400613139,-1.336948905,6.175430657,1.082291971
Cap Sante,48.520971,-122.600717,7,64,216,42.80530844,2,3,2,3,22.28248175,-1.400613139,-1.336948905,6.175430657,1.082291971
Cap Sante,48.520971,-122.600717,7,64,217,11.94742289,2,3,2,3,22.28248175,-1.400613139,-1.336948905,6.175430657,1.082291971
Chambers Bay Park,47.1905742,-122.5834897,13,56,127,15.5983052,1,2,1,1,35.39182283,5.898637138,-0.825809199,1.651618399,-0.707836457
Chambers Bay Park,47.1905742,-122.5834897,13,56,128,14.49211121,1,2,1,1,35.39182283,5.898637138,-0.825809199,1.651618399,-0.707836457
Chambers Bay Park,47.1905742,-122.5834897,13,56,129,8.658705938,1,2,1,1,35.39182283,5.898637138,-0.825809199,1.651618399,-0.707836457
Chambers Bay Park,47.1905742,-122.5834897,13,56,130,7.718495123,1,2,1,1,35.39182283,5.898637138,-0.825809199,1.651618399,-0.707836457
"Cherry Point Aquatic Reserve, Conoco Phillips",48.8208,-122.7101,7,75,34,9.760878837,2,2,2,2,30.18340975,-1.026235932,-1.026235932,1.992105044,0.845135473
"Cherry Point Aquatic Reserve, Conoco Phillips",48.8208,-122.7101,7,75,33,3.411359594,2,2,2,2,30.18340975,-1.026235932,-1.026235932,1.992105044,0.845135473
"Cherry Point Aquatic Reserve, Conoco Phillips",48.8208,-122.7101,7,75,35,0.820666791,2,2,2,2,30.18340975,-1.026235932,-1.026235932,1.992105044,0.845135473
"Cherry Point Aquatic Reserve, Conoco Phillips",48.8208,-122.7101,7,75,36,1.462727928,2,2,2,2,30.18340975,-1.026235932,-1.026235932,1.992105044,0.845135473
Chimacum Creek delta,48.04906,-122.7724,9,8,100,2.599387649,1,1,1,1,22.46124402,-1.559808612,-1.559808612,-1.559808612,-1.310239234
Chimacum Creek delta,48.04906,-122.7724,9,8,101,2.836595091,1,1,1,1,22.46124402,-1.559808612,-1.559808612,-1.559808612,-1.310239234
Chimacum Creek delta,48.04906,-122.7724,9,8,102,-0.411084509,1,1,1,1,22.46124402,-1.559808612,-1.559808612,-1.559808612,-1.310239234
Chimacum Creek delta,48.04906,-122.7724,9,8,103,2.177169169,1,1,1,1,22.46124402,-1.559808612,-1.559808612,-1.559808612,-1.310239234
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,25,2.551723422,1,2,1,1,22.37880299,-1.319775561,-1.319775561,4.418379052,-1.090249377
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,26,8.472448187,1,2,1,1,22.37880299,-1.319775561,-1.319775561,4.418379052,-1.090249377
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,27,13.73110982,1,2,1,1,22.37880299,-1.319775561,-1.319775561,4.418379052,-1.090249377
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,28,20.08888619,1,2,1,1,22.37880299,-1.319775561,-1.319775561,4.418379052,-1.090249377
Comm Bay Skookum,47.29,-122.41,11,45,37,7.883607521,3,4,4,4,72.54244527,12.53005873,5.539604912,27.69802456,-1.384901228
Comm Bay Skookum,47.29,-122.41,11,45,38,4.123997627,3,4,4,4,72.54244527,12.53005873,5.539604912,27.69802456,-1.384901228
Comm Bay Skookum,47.29,-122.41,11,45,39,17.32381876,3,4,4,4,72.54244527,12.53005873,5.539604912,27.69802456,-1.384901228
Comm Bay Skookum,47.29,-122.41,11,45,40,6.96579733,3,4,4,4,72.54244527,12.53005873,5.539604912,27.69802456,-1.384901228
"Comm Bay, Dick Gilmur Launch",47.292549,-122.412175,11,48,114,31.01515171,3,4,4,4,71.61674528,11.06804245,4.817853774,24.74033019,-0.976591981
"Comm Bay, Dick Gilmur Launch",47.292549,-122.412175,11,48,115,11.28580119,3,4,4,4,71.61674528,11.06804245,4.817853774,24.74033019,-0.976591981
"Comm Bay, Dick Gilmur Launch",47.292549,-122.412175,11,48,116,4.914974598,3,4,4,4,71.61674528,11.06804245,4.817853774,24.74033019,-0.976591981
"Comm Bay, Dick Gilmur Launch",47.292549,-122.412175,11,48,117,8.819019813,3,4,4,4,71.61674528,11.06804245,4.817853774,24.74033019,-0.976591981
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,157,5.01981184,3,3,3,4,47.11320755,10.09568733,6.528544474,8.076549865,-1.076873315
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,158,16.26757387,3,3,3,4,47.11320755,10.09568733,6.528544474,8.076549865,-1.076873315
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,159,5.767563973,3,3,3,4,47.11320755,10.09568733,6.528544474,8.076549865,-1.076873315
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,160,13.78364475,3,3,3,4,47.11320755,10.09568733,6.528544474,8.076549865,-1.076873315
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,161,-0.635744873,3,3,3,4,47.11320755,10.09568733,6.528544474,8.076549865,-1.076873315
Des Moines Marina,47.40301418,-122.3305538,11,21,1,4.026529443,3,4,4,5,44.10207278,5.083988945,1.347563335,20.21345002,-1.102551819
Des Moines Marina,47.40301418,-122.3305538,11,21,4,21.67023174,3,4,4,5,44.10207278,5.083988945,1.347563335,20.21345002,-1.102551819
Des Moines Marina,47.40301418,-122.3305538,11,21,2,4.409540288,3,4,4,5,44.10207278,5.083988945,1.347563335,20.21345002,-1.102551819
Des Moines Marina,47.40301418,-122.3305538,11,21,3,5.06432411,3,4,4,5,44.10207278,5.083988945,1.347563335,20.21345002,-1.102551819
Discovery Bay,48.064957,-122.857524,6,12,162,17.51233423,1,2,1,2,11.76769062,-0.894344487,-0.894344487,1.035556775,-0.7531322
Discovery Bay,48.064957,-122.857524,6,12,163,1.485244682,1,2,1,2,11.76769062,-0.894344487,-0.894344487,1.035556775,-0.7531322
Discovery Bay,48.064957,-122.857524,6,12,164,15.95677737,1,2,1,2,11.76769062,-0.894344487,-0.894344487,1.035556775,-0.7531322
Discovery Bay,48.064957,-122.857524,6,12,165,2.375798532,1,2,1,2,11.76769062,-0.894344487,-0.894344487,1.035556775,-0.7531322
Donkey Creek Delta,47.33775,-122.59014,11,44,265,0.18944871,3,3,3,4,79.34532374,1.520785372,-1.05793765,2.578723022,-0.859574341
Donkey Creek Delta,47.33775,-122.59014,11,44,266,-0.369001698,3,3,3,4,79.34532374,1.520785372,-1.05793765,2.578723022,-0.859574341
Donkey Creek Delta,47.33775,-122.59014,11,44,267,6.20604472,3,3,3,4,79.34532374,1.520785372,-1.05793765,2.578723022,-0.859574341
Donkey Creek Delta,47.33775,-122.59014,11,44,268,3.604857383,3,3,3,4,79.34532374,1.520785372,-1.05793765,2.578723022,-0.859574341
Eagle Harbor Dr,47.61889,-122.5275,10,31,60,24.79034022,3,4,4,5,75.62081558,2.131132075,-1.512416312,4.605995131,-1.237431528
Eagle Harbor Dr,47.61889,-122.5275,10,31,57,11.30645621,3,4,4,5,75.62081558,2.131132075,-1.512416312,4.605995131,-1.237431528
Eagle Harbor Dr,47.61889,-122.5275,10,31,58,1.797720696,3,4,4,5,75.62081558,2.131132075,-1.512416312,4.605995131,-1.237431528
Eagle Harbor Dr,47.61889,-122.5275,10,31,59,12.54488929,3,4,4,5,75.62081558,2.131132075,-1.512416312,4.605995131,-1.237431528
"Eastsound, Fishing Bay",48.69368,-122.90985,7,60,49,-0.784855226,3,3,3,4,15.98105437,2.975782537,-1.3776771,1.3776771,-1.157248764
"Eastsound, Fishing Bay",48.69368,-122.90985,7,60,50,9.766978062,3,3,3,4,15.98105437,2.975782537,-1.3776771,1.3776771,-1.157248764
"Eastsound, Fishing Bay",48.69368,-122.90985,7,60,51,12.77306106,3,3,3,4,15.98105437,2.975782537,-1.3776771,1.3776771,-1.157248764
"Eastsound, Fishing Bay",48.69368,-122.90985,7,60,52,8.384624933,3,3,3,4,15.98105437,2.975782537,-1.3776771,1.3776771,-1.157248764
Edmonds Ferry,47.81407,-122.3825,9,69,227,0.817818586,3,3,3,4,35.66219626,5.261635514,-1.227714953,2.280042056,-0.993864486
Edmonds Ferry,47.81407,-122.3825,9,69,228,-4.249211843,3,3,3,4,35.66219626,5.261635514,-1.227714953,2.280042056,-0.993864486
Edmonds Ferry,47.81407,-122.3825,9,69,229,-2.434570168,3,3,3,4,35.66219626,5.261635514,-1.227714953,2.280042056,-0.993864486
Edmonds Ferry,47.81407,-122.3825,9,69,230,-4.326542516,3,3,3,4,35.66219626,5.261635514,-1.227714953,2.280042056,-0.993864486
Edmonds Marina,47.8111,-122.388,9,68,21,7.034310783,3,4,3,4,40.99944598,8.785595568,-0.937130194,3.572808864,0.585706371
Edmonds Marina,47.8111,-122.388,9,68,22,11.40220475,3,4,3,4,40.99944598,8.785595568,-0.937130194,3.572808864,0.585706371
Edmonds Marina,47.8111,-122.388,9,68,23,23.27140092,3,4,3,4,40.99944598,8.785595568,-0.937130194,3.572808864,0.585706371
Edmonds Marina,47.8111,-122.388,9,68,24,13.70809779,3,4,3,4,40.99944598,8.785595568,-0.937130194,3.572808864,0.585706371
Eld Inlet,47.074603,-123.003527,13,72,186,10.97488133,1,1,1,1,31.10215962,-1.233361502,-1.233361502,1.447859155,-1.01886385
Eld Inlet,47.074603,-123.003527,13,72,187,12.53975476,1,1,1,1,31.10215962,-1.233361502,-1.233361502,1.447859155,-1.01886385
Eld Inlet,47.074603,-123.003527,13,72,188,7.039960378,1,1,1,1,31.10215962,-1.233361502,-1.233361502,1.447859155,-1.01886385
Eld Inlet,47.074603,-123.003527,13,72,189,8.890455718,1,1,1,1,31.10215962,-1.233361502,-1.233361502,1.447859155,-1.01886385
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,73,16.48257209,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,72,3.619748565,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,69,13.39496205,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,70,16.32665765,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,71,8.805080554,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,32,0.975259467,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,29,1.234264383,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,30,6.55111557,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,31,13.24037661,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
Everett Harbor,47.9726,-122.22977,8.2,66,207,5.49281946,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
Everett Harbor,47.9726,-122.22977,8.2,66,206,-3.800346544,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
Everett Harbor,47.9726,-122.22977,8.2,66,208,3.772750103,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
Everett Harbor,47.9726,-122.22977,8.2,66,209,-0.305233341,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,61,5.992439618,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,62,13.52835798,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,63,10.95789834,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,64,17.03127292,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
Filucy Bay,47.19483,-122.748665,13,59,174,6.86633235,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Filucy Bay,47.19483,-122.748665,13,59,175,2.005993872,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Filucy Bay,47.19483,-122.748665,13,59,176,10.58470317,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Filucy Bay,47.19483,-122.748665,13,59,177,0.579480274,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Friday Harbor,48.5069444,-123.0194444,7,61,222,-2.927906308,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,223,12.3110815,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,224,2.296589287,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,225,-4.877970207,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,226,18.93514758,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,131,5.435308681,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,132,9.94353543,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,133,14.65607062,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,134,29.85291252,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Hood Canal Holly,47.5706,-122.9717,12,29,104,-2.252840645,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,105,9.830249155,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,106,-1.042776741,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,107,-1.627925903,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,108,-0.271091044,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,109,-6.291756545,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Jamestown,48.024789,-122.998135,6,2,82,7.943421681,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,87,7.040998451,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,83,12.47222522,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,84,8.018069641,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,85,5.416664521,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,86,5.625314342,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Kingston Marina,47.794695,-122.499858,10,36,167,7.72157521,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kingston Marina,47.794695,-122.499858,10,36,166,4.546235148,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kingston Marina,47.794695,-122.499858,10,36,168,3.93967446,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kingston Marina,47.794695,-122.499858,10,36,169,1.276097616,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kitsap St Boat Launch,47.54167,-122.64034,10,25,53,1.604310088,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kitsap St Boat Launch,47.54167,-122.64034,10,25,54,21.2090881,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kitsap St Boat Launch,47.54167,-122.64034,10,25,55,10.07215837,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kitsap St Boat Launch,47.54167,-122.64034,10,25,56,10.10694104,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kopachuck State Park,47.30973,-122.68868,13,52,249,4.823167904,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Kopachuck State Park,47.30973,-122.68868,13,52,250,4.09548162,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Kopachuck State Park,47.30973,-122.68868,13,52,251,9.209739195,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Kopachuck State Park,47.30973,-122.68868,13,52,253,0.775164275,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Lions Park,47.5833538,-122.6414587,10,37,299,6.100228734,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Lions Park,47.5833538,-122.6414587,10,37,300,13.89101567,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Lions Park,47.5833538,-122.6414587,10,37,301,7.869005582,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Lions Park,47.5833538,-122.6414587,10,37,302,13.83630825,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Locust Beach,48.77636877,-122.5378679,7,76,235,10.20436255,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Locust Beach,48.77636877,-122.5378679,7,76,236,7.075662067,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Locust Beach,48.77636877,-122.5378679,7,76,237,3.413700619,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Locust Beach,48.77636877,-122.5378679,7,76,238,3.907380687,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Madrona Pont,47.57995505,-122.6786,10,28,154,4.664119899,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
Madrona Pont,47.57995505,-122.6786,10,28,153,8.314830271,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
Madrona Pont,47.57995505,-122.6786,10,28,155,2.368626171,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
Madrona Pont,47.57995505,-122.6786,10,28,156,2.732598326,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,261,5.031035778,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,262,3.681849898,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,263,4.915176259,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,264,-2.45692713,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
Maple Hollow Park,47.30008,-122.74566,13,51,202,-4.054863729,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maple Hollow Park,47.30008,-122.74566,13,51,203,3.693735405,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maple Hollow Park,47.30008,-122.74566,13,51,204,-4.118362993,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maple Hollow Park,47.30008,-122.74566,13,51,205,14.78725935,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maristone Island,48.018127,-122.699524,9,11,307,12.99176142,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,308,5.332301682,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,309,0.262851136,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,310,4.94871819,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,311,8.388476306,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,312,2.408282836,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,65,17.33121699,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,66,8.102054819,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,67,6.983254366,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,68,28.43107695,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Miller Creek,47.4436,-122.360316,11,20,233,7.704130638,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Miller Creek,47.4436,-122.360316,11,20,234,7.313642106,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Miller Creek,47.4436,-122.360316,11,20,231,-1.53347398,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Miller Creek,47.4436,-122.360316,11,20,232,1.041075559,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Minter Bay,47.3539722,-122.69175,13,55,180,2.001667492,1,1,0,1,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061
