site_name,p450_median,SOD_median,condition_factor_median,avg_thickness_median,arsenic,cadmium,copper,lead,mercuryTotal,SumBDEs,SumCHLDs,SumDDTs,SumHCHs,SumPAHs16,SumPAHsHMW,SumPCBs2x17,Zinc,NA
"Elliott Bay, Harbor Island, Pier 17",8845553.5,4.019,0.158,0.8625,7.988505747,1.816091954,9.08045977,0.279310345,0.033390805,4.393355299,0.001,10.27018122,1.027018122,1882.866557,2054.036244,NA,94.82758621,NA
Everett Harbor,5734214,0.0025,0.14105,0.7725,8.35443038,1.702531646,6.455696203,0.365189873,0.041329114,1.86407701,0.001,1.86407701,NA,173.0928652,166.4354473,NA,72.78481013,NA
"Fidalgo Bay Aq Reserve, Weaverling Spit",4034245,19.6735,0.001,0.7475,8.493975904,1.746987952,9.277108434,0.239156627,0.039759036,0.001,0.001,12.08334362,NA,165.3510179,254.3861814,26.71054904,81.92771084,NA
Filucy Bay,6679786,1.119,0.1654,0.805,8.117647059,1.741176471,5.747058824,0.228823529,0.042352941,0.001,0.001,1.601349628,NA,65.24017003,59.30924548,NA,77.64705882,NA
Friday Harbor,3660262,2.297,0.1507,0.735,9.388888889,1.777777778,7,0.183888889,0.033333333,0.001,0.001,1.316066746,NA,338.4171633,319.6162098,NA,93.33333333,NA
Gig Harbor Boat Launch,4329289.5,7.6895,0.1544,0.9575,8.343558282,1.901840491,6.625766871,0.463190184,0.036748466,0.001,0.001,2.093234086,NA,233.949692,246.2628337,NA,84.66257669,NA
Hood Canal Holly,380110,0.0025,0.1912,0.6875,9.285714286,2.311688312,6.753246753,0.085064935,0.028831169,0.001,0.001,NA,NA,24.58617512,11.61013825,NA,82.46753247,NA
Jamestown,2924790,23.1485,0.1731,0.595,8.789808917,1.872611465,7.388535032,0.175159236,0.031847134,0.001,0.001,NA,NA,31.15554399,15.24633004,39.11015096,78.98089172,NA
Kingston Marina,5324996,4.243,0.1698,0.83,8.145695364,1.933774834,5.649006623,0.219205298,0.048145695,1.690067885,0.001,1.885075718,NA,123.5049608,123.5049608,NA,82.78145695,NA
Kitsap St Boat Launch,2345297,23.9715,0.001,0.83,8.153846154,1.548717949,8.307692308,0.50974359,0.031589744,7.080996384,0.001,7.080996384,1.315042186,303.4712736,354.0498192,NA,87.17948718,NA
Kopachuck State Park,8346702,4.4595,0.191,0.78,8.366013072,2.078431373,5.470588235,0.173856209,0.040065359,NA,0.001,1.48442326,NA,59.37693041,53.97902765,NA,84.31372549,NA
Lions Park,7347696,10.8525,0.14295,0.7675,8.5625,1.925,6.16875,0.34875,0.0365,6.515837752,0.001,3.027560976,NA,118.4697773,131.6330859,NA,94.375,NA
Locust Beach,2195904,4.647,0.17695,0.7025,8.963414634,1.774390244,6.829268293,0.25,0.031280488,NA,0.001,4.352148715,NA,46.08157463,27.5209404,NA,82.92682927,NA
Madrona Pont,6512261,2.551,0.1494,0.7525,8.75,1.721590909,5.670454545,0.511363636,0.030568182,1.627155963,0.001,2.591396534,NA,108.4770642,120.5300714,NA,85.22727273,NA
"Manchester, Stormwater Outfall",4603497,2.906,0.1942,0.605,8.164556962,1.930379747,5.113924051,0.270253165,0.029810127,1.983929511,0.001,2.394397685,NA,171.0284061,171.0284061,NA,83.5443038,NA
Maple Hollow Park,4528128,1.84825,0.19565,0.7675,9.679487179,2.237179487,5.698717949,0.159615385,0.039679487,0.001,0.001,1.504938272,NA,71.97530864,64.77777778,NA,89.74358974,NA
Maristone Island,3673566,5.1405,0.1831,0.685,8.783783784,2.087837838,5.871621622,0.168243243,0.031351351,0.001,0.001,1.340549635,NA,41.62759394,23.98878295,36.68872686,81.08108108,NA
Meyer's Point - Henderson Inlet,2759697.5,12.76,0.0001,0.8275,7.8,1.986666667,5.773333333,0.204666667,0.035133333,0.001,0.001,1.412593284,NA,66.16884328,52.7863806,56.50373134,75.33333333,NA
Miller Creek,5768342,4.1775,0.1925,0.82,8.711656442,1.969325153,5.355828221,0.235582822,0.041595092,0.001,1.270942746,3.685733965,NA,114.3848472,120.7395609,NA,87.73006135,NA
Minter Bay,6399786.5,2.2475,0.17075,0.8875,9.487179487,2.256410256,8.397435897,0.264102564,0.037051282,0.001,NA,1.710561224,NA,78.94897959,65.79081633,NA,100,NA
Mukilteo,4518882.5,7.0065,0.1582,0.8175,8.129032258,1.858064516,7.225806452,0.265806452,0.050645161,2.977807514,NA,1.942048379,NA,207.1518271,194.2048379,NA,70.96774194,NA
N Avenue Park,4222239.5,0.04,0.18605,0.84,10.28409091,1.926136364,5.795454545,0.447159091,0.036420455,3.364615385,NA,10.31091811,1.031091811,976.8238213,1085.359801,NA,94.88636364,NA
North Camano,6997718.5,0.28325,0.18915,0.745,9.069767442,1.76744186,6.686046512,0.265697674,0.045581395,0.001,NA,4.316593674,NA,63.47931873,54.59221411,NA,75,NA
Oak Bay County Park,2325590.5,12.009,0.18075,0.775,8.121212121,1.890909091,5.527272727,0.183030303,0.036,0.001,NA,NA,NA,47.45081136,33.98504057,36.54994929,73.93939394,NA
Penn Cove Reference,2690719.5,26.0365,0.19605,0.6175,10,2.256944444,6.75,0.233333333,0.046319444,0.001,NA,4.315874758,NA,64.37236927,46.81626856,NA,88.19444444,NA
Pennrose Point State Park,3300343.5,3.8725,0.16405,0.8325,8.853503185,1.98089172,6.089171975,0.161783439,0.037452229,1.452279843,NA,1.386267123,NA,85.8165362,85.8165362,50.16966732,89.17197452,NA
Point Defiance Ferry,2068757.5,7.845,0.17865,0.83,8.087431694,1.546448087,6.93989071,0.39726776,0.027377049,2.200275928,NA,3.416217888,NA,335.831589,335.831589,NA,92.89617486,NA
Port Angeles Yacht Club,4972077,2.5405,1.59385,0.855,8.596491228,1.783625731,7.134502924,0.257309942,0.028128655,0.001,NA,7.813402062,NA,1081.85567,1202.061856,NA,91.8128655,NA
Purdy - Dexters,4690562,0.0025,0.16525,0.8425,9.18128655,1.935672515,5.906432749,0.198245614,0.039122807,0.001,NA,1.663671715,NA,68.84158821,57.36799018,NA,87.71929825,NA
"Purdy, Burley Lagoon",3814179.5,11.734,0.1998,0.88,9.005847953,1.842105263,6.549707602,0.246783626,0.035906433,2.708153921,NA,2.031115441,NA,86.16853385,86.16853385,59.08699464,90.64327485,NA
Raft Island Park,4871794.5,2.0405,0.17945,0.615,8.095238095,2.115646259,7.755102041,0.218367347,0.035714286,0.001,NA,1.407130125,NA,70.35650624,61.91372549,NA,80.95238095,NA
Reach Island,7062974.5,4.0015,0.15815,0.7875,9.341317365,2.041916168,9.041916168,0.158682635,0.02497006,0.001,NA,1.459528689,NA,81.73360656,81.73360656,NA,105.988024,NA
Rich Passage,3594247.5,2.315,0.1624,0.7975,8.465909091,1.710227273,7.102272727,0.303409091,0.033011364,3.270654565,NA,3.092255226,NA,142.7194719,142.7194719,71.35973597,89.20454545,NA
Rocky Point,3718418,10.771,0.17695,0.7075,8.69047619,2,6.130952381,0.411904762,0.03422619,1.88747555,NA,2.496338631,0.730635697,133.9498778,133.9498778,NA,101.1904762,NA
S of Skunk Island,3944045,8.1615,0.1717,0.7975,8,1.748571429,5.702857143,0.462285714,0.028685714,0.001,NA,NA,NA,144.1391671,132.1275698,NA,76,NA
"Salmon Bay, Commodore Park",3577682,0.66625,0.1888,0.6975,7.703703704,1.955555556,7.555555556,0.556296296,0.039481481,7.441176471,6.845882353,23.06764706,4.167058824,409.2647059,535.7647059,NA,80.74074074,NA
Salmon Beach,1867754.5,10.9255,0.1473,0.8675,7.877094972,1.832402235,4.770949721,0.187150838,0.023798883,1.786073501,NA,1.547930368,NA,214.3288201,226.2359768,NA,79.32960894,NA
"Seattle Aquarium, Pier 59",2601637,5.5645,0.1827,0.855,8.819875776,1.98136646,7.763975155,0.418012422,0.039254658,5.313858268,NA,10.36850394,2.527322835,1879.291339,2203.307087,NA,85.0931677,NA
Shilshole Bay,2705839,7.186,0.15235,0.5675,8.027210884,1.537414966,7.959183673,0.413605442,0.042040816,7.517138599,4.13442623,27.06169896,NA,1052.399404,1277.913562,112.757079,76.8707483,NA
"Silverdale, Dyes Inlet",1780725.5,12.105,0.19045,0.655,9.496855346,1.86163522,7.86163522,0.468553459,0.039245283,4.112443439,NA,5.072013575,0.822488688,137.081448,150.7895928,NA,82.38993711,NA
Skiff Point,3985284.5,2.914,0.1804,0.5625,8.820224719,1.893258427,6.235955056,0.22247191,0.039325843,0.001,NA,2.071815182,NA,213.1009901,213.1009901,NA,92.69662921,NA
"Smith Cove, Terminal 91",3242652.5,16.18,0.17485,0.755,8.562874251,1.77245509,7.724550898,0.55748503,0.032814371,19.50893744,5.3324429,33.16519364,4.682144985,4161.906653,4682.144985,NA,110.7784431,NA
Squaxin Island,6478024,3.39525,0.17755,0.8875,8.21656051,2.286624204,6.369426752,0.181528662,0.032356688,0.001,NA,1.294719101,NA,71.20955056,77.68314607,NA,89.17197452,NA
Suquamish Stormwater Outfall,4838215.5,4.1875,0.1864,1.0175,8.674698795,1.891566265,6.385542169,0.208433735,0.032710843,3.222062212,NA,3.222062212,NA,206.2119816,193.3237327,NA,82.53012048,NA
Thea Foss Waterway,1944195,13.817,0.1605,0.89,7.51552795,1.925465839,9.130434783,0.461490683,0.025465839,6.49055666,4.478484095,9.086779324,1.233205765,454.3389662,545.2067594,NA,86.95652174,NA
Three Tree Point,7649884.5,6.3475,0.21305,0.7825,8.448275862,1.74137931,6.034482759,0.186781609,0.029310345,4.35945328,1.354965209,2.827753479,NA,129.6053678,141.387674,NA,86.20689655,NA
Tulalip Bay,5575691.5,3.739,0.1839,0.865,8.867924528,1.981132075,7.547169811,0.264779874,0.041572327,1.752014118,NA,2.141350588,NA,181.6903529,168.7124706,NA,69.81132075,NA
Tulalip Reservation,3987740.5,1.3595,0.16705,0.825,7.743902439,1.835365854,5.853658537,0.201219512,0.031097561,1.061122881,NA,1.296927966,NA,123.7976695,117.9025424,NA,68.29268293,NA
West Bay Park,5635671.5,3.0965,0.1859,0.7925,8.205128205,1.852564103,6.602564103,0.202564103,0.031666667,8.09832742,NA,2.969386721,NA,161.9665484,202.4581855,NA,78.20512821,NA
Williams Olson Park,2719080,4.3775,0.1632,0.6625,8.571428571,1.662857143,10.17142857,0.349142857,0.0308,1.44601467,NA,2.169022005,NA,150.6265281,156.6515892,NA,86.85714286,NA
