latitude,longitude,reporting_area,site_number,site_name,sample_id,at,cf,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,PAHgroup7,PAHgroup8
48.21423,-122.718972,8.1,3,Penn Cove Reference,42,0.645,0.1762,1,1,0,1,0,1
48.21423,-122.718972,8.1,3,Penn Cove Reference,43,0.6,0.2122,1,1,0,1,1,1
48.21423,-122.718972,8.1,3,Penn Cove Reference,44,0.635,0.1934,1,1,0,1,1,1
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",45,0.805,0.2061,2,3,2,3,1,1
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",46,0.65,0.2057,2,3,2,3,1,1
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",47,0.635,0.1524,2,3,2,3,1,1
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",48,0.66,0.1752,2,3,2,3,1,1
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",49,0.355,0.1583,3,3,3,4,1,1
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",50,0.405,0.1392,3,3,3,4,1,1
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",51,0.58,0.1427,3,3,3,4,1,1
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",52,0.52,0.1503,3,3,3,4,1,1
47.54167,-122.64034,10,25,Kitsap St Boat Launch,53,0.805,0.1889,3,4,4,4,1,1
47.54167,-122.64034,10,25,Kitsap St Boat Launch,54,0.8,0.1743,3,4,4,4,1,1
47.54167,-122.64034,10,25,Kitsap St Boat Launch,55,0.855,0.1557,3,4,4,4,1,1
47.54167,-122.64034,10,25,Kitsap St Boat Launch,56,0.87,0.1833,3,4,4,4,1,1
47.61889,-122.5275,10,31,Eagle Harbor Dr,57,0.815,0.1899,3,4,4,5,1,1
47.61889,-122.5275,10,31,Eagle Harbor Dr,58,0.91,0.1836,3,4,4,5,1,1
47.61889,-122.5275,10,31,Eagle Harbor Dr,59,1.02,0.1654,3,4,4,5,1,1
47.61889,-122.5275,10,31,Eagle Harbor Dr,60,0.825,0.1861,3,4,4,5,1,1
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",61,0.73,0.1907,3,4,3,4,1,1
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",62,0.755,0.1881,3,4,3,4,1,1
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,0.74,0.1812,3,4,3,4,1,1
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",64,0.825,0.176,3,4,3,4,1,1
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,65,0.8,0.1711,1,2,1,1,1,1
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,66,0.965,0.1665,1,2,1,1,1,1
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,67,0.535,0.1925,1,2,1,1,1,1
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,68,0.855,0.184,1,2,1,1,1,1
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,69,0.89,0.1925,3,4,4,5,1,1
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,70,0.74,0.1572,3,4,4,5,1,1
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,71,0.615,0.1533,3,4,4,5,1,1
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,72,0.935,0.2002,3,4,4,5,1,1
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,73,0.94,0.238,3,4,4,5,1,1
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",74,1.195,0.2331,1,2,1,1,1,1
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",75,0.705,0.126,1,2,1,1,1,1
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",76,0.83,0.1856,1,2,1,1,1,1
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",77,0.93,0.214,1,2,1,1,1,1
47.607,-122.342,10,17,"Seattle Aquarium, Pier 59",78,0.755,0.1453,3,4,4,5,1,1
47.607,-122.342,10,17,"Seattle Aquarium, Pier 59",79,0.905,0.182,3,4,4,5,1,2
47.607,-122.342,10,17,"Seattle Aquarium, Pier 59",80,0.905,0.1834,3,4,4,5,1,2
47.607,-122.342,10,17,"Seattle Aquarium, Pier 59",81,0.805,0.1944,3,4,4,5,1,2
48.024789,-122.998135,6,2,Jamestown,82,0.58,0.1693,1,1,0,0,1,2
48.024789,-122.998135,6,2,Jamestown,83,0.615,0.1877,1,1,0,0,1,2
48.024789,-122.998135,6,2,Jamestown,84,0.545,0.147,1,1,0,0,1,2
48.024789,-122.998135,6,2,Jamestown,85,0.45,0.1769,1,1,0,0,1,2
48.024789,-122.998135,6,2,Jamestown,86,0.61,0.1462,1,1,0,0,1,2
48.024789,-122.998135,6,2,Jamestown,87,0.64,0.2162,1,1,0,0,2,2
48.02218,-122.728709,9,10,Oak Bay County Park,88,0.81,0.1868,1,1,0,0,2,2
48.02218,-122.728709,9,10,Oak Bay County Park,89,0.8,0.2043,1,1,0,0,2,2
48.02218,-122.728709,9,10,Oak Bay County Park,90,0.75,0.1747,1,1,0,0,2,2
48.02218,-122.728709,9,10,Oak Bay County Park,91,0.735,0.132,1,1,0,0,2,2
47.63237,-122.37869,10,15,"Smith Cove, Terminal 91",92,0.81,0.2297,3,4,4,5,2,2
47.63237,-122.37869,10,15,"Smith Cove, Terminal 91",93,0.845,0.177,3,4,4,5,2,2
47.63237,-122.37869,10,15,"Smith Cove, Terminal 91",94,0.605,0.1494,3,4,4,5,2,2
47.63237,-122.37869,10,15,"Smith Cove, Terminal 91",95,0.7,0.1727,3,4,4,5,2,2
47.68234,-122.5064,10,23,Brackenwood Ln,96,0.555,0.1901,2,3,2,3,2,2
47.68234,-122.5064,10,23,Brackenwood Ln,97,0.625,0.1732,2,3,2,3,2,2
47.68234,-122.5064,10,23,Brackenwood Ln,98,0.75,0.2078,2,3,2,3,2,2
47.68234,-122.5064,10,23,Brackenwood Ln,99,0.755,0.21,2,3,2,3,2,2
48.04906,-122.7724,9,8,Chimacum Creek delta,100,0.825,0.2014,1,1,1,1,2,2
48.04906,-122.7724,9,8,Chimacum Creek delta,101,0.75,0.1266,1,1,1,1,2,2
48.04906,-122.7724,9,8,Chimacum Creek delta,102,0.995,0.1643,1,1,1,1,2,2
48.04906,-122.7724,9,8,Chimacum Creek delta,103,1.045,0.1726,1,1,1,1,2,2
47.5706,-122.9717,12,29,Hood Canal Holly,104,0.725,0.1717,1,1,0,0,2,2
47.5706,-122.9717,12,29,Hood Canal Holly,105,0.69,0.182,1,1,0,0,2,2
47.5706,-122.9717,12,29,Hood Canal Holly,106,0.755,0.2059,1,1,0,0,2,2
47.5706,-122.9717,12,29,Hood Canal Holly,107,0.575,0.1956,1,1,0,0,2,2
47.5706,-122.9717,12,29,Hood Canal Holly,108,0.63,0.1868,1,1,0,0,2,2
47.5706,-122.9717,12,29,Hood Canal Holly,109,0.685,0.1992,1,1,0,0,2,2
47.3062,-122.5145,11,43,Point Defiance Ferry,110,0.79,0.1763,3,3,3,4,2,2
47.3062,-122.5145,11,43,Point Defiance Ferry,111,0.79,0.181,3,3,3,4,2,2
47.3062,-122.5145,11,43,Point Defiance Ferry,112,0.87,0.1607,3,3,3,4,2,2
47.3062,-122.5145,11,43,Point Defiance Ferry,113,0.905,0.1864,3,3,3,4,2,2
47.292549,-122.412175,11,48,"Comm Bay, Dick Gilmur Launch",114,0.635,0.1738,3,4,4,4,2,2
47.292549,-122.412175,11,48,"Comm Bay, Dick Gilmur Launch",115,0.93,0.2043,3,4,4,4,2,2
47.292549,-122.412175,11,48,"Comm Bay, Dick Gilmur Launch",116,0.87,0.1568,3,4,4,4,2,2
47.292549,-122.412175,11,48,"Comm Bay, Dick Gilmur Launch",117,0.895,0.2117,3,4,4,4,2,2
47.259189,-122.434689,11,46,Thea Foss Waterway,118,0.87,0.1605,3,4,4,5,2,2
47.259189,-122.434689,11,46,Thea Foss Waterway,119,0.89,0.1773,3,4,4,5,2,3
47.259189,-122.434689,11,46,Thea Foss Waterway,120,0.925,0.1598,3,4,4,5,2,3
47.259189,-122.434689,11,46,Thea Foss Waterway,121,0.95,0.1982,3,4,4,5,2,3
47.259189,-122.434689,11,46,Thea Foss Waterway,122,0.85,0.043,3,4,4,5,2,3
47.29464,-122.53053,11,40,Salmon Beach,123,0.935,0.2061,2,3,3,3,2,3
47.29464,-122.53053,11,40,Salmon Beach,124,0.685,0.1415,2,3,3,3,2,3
47.29464,-122.53053,11,40,Salmon Beach,125,0.8,0.1457,2,3,3,3,2,3
47.29464,-122.53053,11,40,Salmon Beach,126,1.035,0.1489,2,3,3,3,2,3
47.1905742,-122.5834897,13,56,Chambers Bay Park,127,0.885,0.1616,1,2,1,1,2,3
47.1905742,-122.5834897,13,56,Chambers Bay Park,128,1,0.1084,1,2,1,1,2,3
47.1905742,-122.5834897,13,56,Chambers Bay Park,129,1.08,0.149,1,2,1,1,2,3
47.1905742,-122.5834897,13,56,Chambers Bay Park,130,1.26,0.1829,1,2,1,1,2,3
47.33785,-122.58277,11,58,Gig Harbor Boat Launch,131,0.89,0.1675,2,3,3,3,2,3
47.33785,-122.58277,11,58,Gig Harbor Boat Launch,132,0.845,0.1413,2,3,3,3,2,3
47.33785,-122.58277,11,58,Gig Harbor Boat Launch,133,1.025,0.1383,2,3,3,3,2,3
47.33785,-122.58277,11,58,Gig Harbor Boat Launch,134,1.1,0.1699,2,3,3,3,2,3
48.0617,-122.2939,8.2,67,Tulalip Bay,135,0.875,0.1732,2,2,2,3,2,3
48.0617,-122.2939,8.2,67,Tulalip Bay,136,0.945,0.1597,2,2,2,3,2,3
48.0617,-122.2939,8.2,67,Tulalip Bay,137,0.855,0.1946,2,2,2,3,3,3
48.0617,-122.2939,8.2,67,Tulalip Bay,138,0.835,0.2037,2,2,2,3,3,3
48.0617,-122.2939,8.2,67,Tulalip Bay,139,0.735,0.1114,2,2,2,3,3,3
48.0617,-122.2939,8.2,67,Tulalip Bay,140,1,0.2144,2,2,2,3,3,3
47.2632444,-122.385731,11,42,Blair Waterway #2,141,0.745,0.1293,3,4,4,5,3,3
47.2632444,-122.385731,11,42,Blair Waterway #2,142,0.97,0.1541,3,4,4,5,3,3
47.2632444,-122.385731,11,42,Blair Waterway #2,143,0.9,0.1604,3,4,4,5,3,3
47.2632444,-122.385731,11,42,Blair Waterway #2,144,0.815,0.1409,3,4,4,5,3,3
47.38566,-122.627255,13,57,Purdy - Dexters,145,0.805,0.1627,1,1,0,0,3,3
47.38566,-122.627255,13,57,Purdy - Dexters,146,0.88,0.143,1,1,0,0,3,3
47.38566,-122.627255,13,57,Purdy - Dexters,147,0.96,0.1678,1,1,0,0,3,3
47.38566,-122.627255,13,57,Purdy - Dexters,148,0.73,0.1986,1,1,0,0,3,3
47.27568,-122.4173,11,41,Blair Waterway,149,0.89,0.1921,3,4,3,4,3,3
47.27568,-122.4173,11,41,Blair Waterway,150,0.68,0.1731,3,4,3,4,3,3
47.27568,-122.4173,11,41,Blair Waterway,151,1.075,0.1902,3,4,3,4,3,3
47.27568,-122.4173,11,41,Blair Waterway,152,0.71,0.2066,3,4,3,4,3,3
47.57995505,-122.6786,10,28,Madrona Pont,153,0.71,0.1702,2,2,1,2,3,3
47.57995505,-122.6786,10,28,Madrona Pont,154,0.785,0.1249,2,2,1,2,3,3
47.57995505,-122.6786,10,28,Madrona Pont,155,0.72,0.1286,2,2,1,2,3,3
47.57995505,-122.6786,10,28,Madrona Pont,156,1.005,0.1988,2,2,1,2,3,3
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",157,0.82,0.1901,3,3,3,4,3,4
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",158,0.955,0.1666,3,3,3,4,3,4
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",159,0.75,0.154,3,3,3,4,3,4
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",160,0.75,0.1521,3,3,3,4,3,4
47.2694,-122.4243,11,49,"Comm Bay, Milwaukee Waterway",161,0.83,0.1402,3,3,3,4,3,4
48.064957,-122.857524,6,12,Discovery Bay,162,0.745,0.1633,1,2,1,2,3,4
48.064957,-122.857524,6,12,Discovery Bay,163,0.805,0.1874,1,2,1,2,3,4
48.064957,-122.857524,6,12,Discovery Bay,164,0.75,0.2133,1,2,1,2,3,4
48.064957,-122.857524,6,12,Discovery Bay,165,0.875,0.2095,1,2,1,2,3,4
47.794695,-122.499858,10,36,Kingston Marina,166,0.815,0.1922,2,2,1,2,3,4
47.794695,-122.499858,10,36,Kingston Marina,167,0.845,0.1684,2,2,1,2,3,4
47.794695,-122.499858,10,36,Kingston Marina,168,0.875,0.1712,2,2,1,2,3,4
47.794695,-122.499858,10,36,Kingston Marina,169,0.71,0.1303,2,2,1,2,3,4
47.578117,-122.524833,10,32,Rich Passage,170,0.9,0.1901,2,2,2,2,3,4
47.578117,-122.524833,10,32,Rich Passage,171,0.83,0.1489,2,2,2,2,3,4
47.578117,-122.524833,10,32,Rich Passage,172,0.745,0.1754,2,2,2,2,3,4
47.578117,-122.524833,10,32,Rich Passage,173,0.765,0.1494,2,2,2,2,3,4
47.19483,-122.748665,13,59,Filucy Bay,174,0.795,0.1058,1,1,0,0,3,4
47.19483,-122.748665,13,59,Filucy Bay,175,0.815,0.1855,1,1,0,0,3,4
47.19483,-122.748665,13,59,Filucy Bay,176,1.055,0.2005,1,1,0,0,3,4
47.19483,-122.748665,13,59,Filucy Bay,177,0.76,0.1453,1,1,0,0,3,4
47.3539722,-122.69175,13,55,Minter Bay,178,0.95,0.175,1,1,0,1,3,4
47.3539722,-122.69175,13,55,Minter Bay,179,1.095,0.1595,1,1,0,1,3,4
47.3539722,-122.69175,13,55,Minter Bay,180,0.825,0.1956,1,1,0,1,3,4
47.3539722,-122.69175,13,55,Minter Bay,181,0.8,0.1665,1,1,0,1,3,4
47.052362,-122.910912,13,73,West Bay Park,182,0.78,0.1708,2,3,2,3,3,4
47.052362,-122.910912,13,73,West Bay Park,183,0.66,0.2197,2,3,2,3,4,4
47.052362,-122.910912,13,73,West Bay Park,184,0.845,0.201,2,3,2,3,4,4
47.052362,-122.910912,13,73,West Bay Park,185,0.805,0.1386,2,3,2,3,4,4
47.074603,-123.003527,13,72,Eld Inlet,186,0.63,0.1966,1,1,1,1,4,4
47.074603,-123.003527,13,72,Eld Inlet,187,0.62,0.1662,1,1,1,1,4,4
47.074603,-123.003527,13,72,Eld Inlet,188,0.835,0.244,1,1,1,1,4,4
47.074603,-123.003527,13,72,Eld Inlet,189,0.745,0.2346,1,1,1,1,4,4
48.0697859,-122.2997764,8.2,70,Tulalip Reservation,190,0.845,0.1737,2,2,1,2,4,4
48.0697859,-122.2997764,8.2,70,Tulalip Reservation,191,0.82,0.1871,2,2,1,2,4,4
48.0697859,-122.2997764,8.2,70,Tulalip Reservation,192,0.83,0.151,2,2,1,2,4,4
48.0697859,-122.2997764,8.2,70,Tulalip Reservation,193,0.64,0.1604,2,2,1,2,4,4
47.30515,-122.44441,11,54,Browns Point Lighthouse,194,0.84,0.1794,2,3,3,3,4,4
47.30515,-122.44441,11,54,Browns Point Lighthouse,195,0.8,0.1766,2,3,3,3,4,4
47.30515,-122.44441,11,54,Browns Point Lighthouse,196,0.82,0.2028,2,3,3,3,4,4
47.30515,-122.44441,11,54,Browns Point Lighthouse,197,0.935,0.2024,2,3,3,3,4,4
47.17650485,-122.9046464,13,38,Squaxin Island,198,0.85,0.1824,1,1,1,1,4,4
47.17650485,-122.9046464,13,38,Squaxin Island,199,0.955,0.1731,1,1,1,1,4,4
47.17650485,-122.9046464,13,38,Squaxin Island,200,0.925,0.182,1,1,1,1,4,4
47.17650485,-122.9046464,13,38,Squaxin Island,201,0.695,0.1595,1,1,1,1,4,5
47.30008,-122.74566,13,51,Maple Hollow Park,202,0.8,0.1974,1,1,1,1,4,5
47.30008,-122.74566,13,51,Maple Hollow Park,203,0.665,0.1456,1,1,1,1,4,5
47.30008,-122.74566,13,51,Maple Hollow Park,204,0.735,0.1939,1,1,1,1,4,5
47.30008,-122.74566,13,51,Maple Hollow Park,205,0.9,0.1996,1,1,1,1,4,5
47.9726,-122.22977,8.2,66,Everett Harbor,206,0.885,0.1688,2,3,2,3,4,5
47.9726,-122.22977,8.2,66,Everett Harbor,207,0.865,0.1313,2,3,2,3,4,5
47.9726,-122.22977,8.2,66,Everett Harbor,208,0.675,0.1466,2,3,2,3,4,5
47.9726,-122.22977,8.2,66,Everett Harbor,209,0.68,0.1355,2,3,2,3,4,5
48.52108,-122.61531,7,62,N Avenue Park,210,0.9,0.2009,3,4,4,5,4,5
48.52108,-122.61531,7,62,N Avenue Park,211,0.79,0.1556,3,4,4,5,4,5
48.52108,-122.61531,7,62,N Avenue Park,212,0.89,0.1759,3,4,4,5,4,5
48.52108,-122.61531,7,62,N Avenue Park,213,0.71,0.1962,3,4,4,5,4,5
48.520971,-122.600717,7,64,Cap Sante,214,0.955,0.1248,2,3,2,3,4,5
48.520971,-122.600717,7,64,Cap Sante,215,0.725,0.1538,2,3,2,3,4,5
48.520971,-122.600717,7,64,Cap Sante,216,0.6,0.1538,2,3,2,3,4,5
48.520971,-122.600717,7,64,Cap Sante,217,0.88,0.1329,2,3,2,3,4,5
47.32598,-122.66724,13,53,Raft Island Park,218,0.58,0.1806,1,1,0,0,4,5
47.32598,-122.66724,13,53,Raft Island Park,219,0.595,0.1358,1,1,0,0,4,5
47.32598,-122.66724,13,53,Raft Island Park,220,0.805,0.1783,1,1,0,0,4,5
47.32598,-122.66724,13,53,Raft Island Park,221,0.635,0.1892,1,1,0,0,4,5
48.5069444,-123.0194444,7,61,Friday Harbor,222,0.895,0.1626,3,3,3,4,4,5
48.5069444,-123.0194444,7,61,Friday Harbor,223,0.625,0.1507,3,3,3,4,4,5
48.5069444,-123.0194444,7,61,Friday Harbor,224,0.735,0.0909,3,3,3,4,5,5
48.5069444,-123.0194444,7,61,Friday Harbor,225,0.845,0.18,3,3,3,4,5,5
48.5069444,-123.0194444,7,61,Friday Harbor,226,0.65,0.143,3,3,3,4,5,5
47.81407,-122.3825,9,69,Edmonds Ferry,227,0.885,0.1738,3,3,3,4,5,5
47.81407,-122.3825,9,69,Edmonds Ferry,228,0.665,0.1654,3,3,3,4,5,5
47.81407,-122.3825,9,69,Edmonds Ferry,229,0.82,0.2114,3,3,3,4,5,5
47.81407,-122.3825,9,69,Edmonds Ferry,230,0.39,0.1718,3,3,3,4,5,5
47.4436,-122.360316,11,20,Miller Creek,231,0.96,0.1936,2,2,2,2,5,5
47.4436,-122.360316,11,20,Miller Creek,232,0.745,0.1985,2,2,2,2,5,5
47.4436,-122.360316,11,20,Miller Creek,233,0.895,0.1914,2,2,2,2,5,5
47.4436,-122.360316,11,20,Miller Creek,234,0.685,0.1737,2,2,2,2,5,5
48.77636877,-122.5378679,7,76,Locust Beach,235,0.665,0.1222,1,1,0,0,5,5
48.77636877,-122.5378679,7,76,Locust Beach,236,0.6,0.1728,1,1,0,0,5,5
48.77636877,-122.5378679,7,76,Locust Beach,237,0.745,0.1811,1,1,0,0,5,5
48.77636877,-122.5378679,7,76,Locust Beach,238,0.74,0.2022,1,1,0,0,5,6
48.6793778,-122.6300583,7,77,Aiston Preserve,239,0.7,0.156,1,1,0,0,5,6
48.6793778,-122.6300583,7,77,Aiston Preserve,240,0.79,0.1374,1,1,0,0,5,6
48.6793778,-122.6300583,7,77,Aiston Preserve,241,0.825,0.1782,1,1,0,0,5,6
48.6793778,-122.6300583,7,77,Aiston Preserve,242,0.93,0.1737,1,1,0,0,5,6
47.30973,-122.68868,13,52,Kopachuck State Park,249,0.86,1.5799,1,1,0,0,5,6
47.30973,-122.68868,13,52,Kopachuck State Park,250,0.77,0.1619,1,1,0,0,5,6
47.30973,-122.68868,13,52,Kopachuck State Park,251,0.69,0.1407,1,1,0,0,5,6
47.66586,-122.56698,10,26,Williams Olson Park,252,0.575,0.1876,2,2,2,2,5,6
47.30973,-122.68868,13,52,Kopachuck State Park,253,0.79,0.2201,1,1,0,0,5,6
47.66586,-122.56698,10,26,Williams Olson Park,254,0.615,0.1901,2,2,2,2,5,6
47.66586,-122.56698,10,26,Williams Olson Park,255,0.785,0.1388,2,2,2,2,5,6
47.66586,-122.56698,10,26,Williams Olson Park,256,0.71,0.1314,2,2,2,2,5,6
47.66142,-122.49884,10,24,Skiff Point,257,0.49,0.1941,2,3,3,4,5,6
47.66142,-122.49884,10,24,Skiff Point,258,0.62,0.1876,2,3,3,4,5,6
47.66142,-122.49884,10,24,Skiff Point,259,0.59,0.1732,2,3,3,4,5,6
47.66142,-122.49884,10,24,Skiff Point,260,0.535,0.1482,2,3,3,4,5,6
47.55622,-122.54281,10,33,"Manchester, Stormwater Outfall",261,0.61,0.2221,2,3,2,3,5,6
47.55622,-122.54281,10,33,"Manchester, Stormwater Outfall",262,0.57,0.199,2,3,2,3,6,7
47.55622,-122.54281,10,33,"Manchester, Stormwater Outfall",263,0.6,0.1848,2,3,2,3,6,7
47.55622,-122.54281,10,33,"Manchester, Stormwater Outfall",264,0.645,0.1894,2,3,2,3,6,7
47.33775,-122.59014,11,44,Donkey Creek Delta,265,0.755,0.1865,3,3,3,4,6,7
47.33775,-122.59014,11,44,Donkey Creek Delta,266,0.635,0.1687,3,3,3,4,6,7
47.33775,-122.59014,11,44,Donkey Creek Delta,267,0.695,0.1815,3,3,3,4,6,7
47.33775,-122.59014,11,44,Donkey Creek Delta,268,0.85,0.1846,3,3,3,4,6,7
47.78184,-122.83474,12,30,Broad Spit (Fisherman's Point),269,0.645,0.1206,1,1,0,0,6,7
47.78184,-122.83474,12,30,Broad Spit (Fisherman's Point),270,0.56,0.1735,1,1,0,0,6,7
47.78184,-122.83474,12,30,Broad Spit (Fisherman's Point),271,0.79,0.194,1,1,0,0,6,7
47.78184,-122.83474,12,30,Broad Spit (Fisherman's Point),272,0.66,0.2064,1,1,0,0,6,7
47.346537,-122.82236,13,39,Reach Island,273,0.655,0.1414,1,2,1,1,6,7
47.346537,-122.82236,13,39,Reach Island,274,0.85,0.2169,1,2,1,1,6,7
47.346537,-122.82236,13,39,Reach Island,275,0.765,0.1631,1,2,1,1,6,7
47.346537,-122.82236,13,39,Reach Island,276,0.81,0.1532,1,2,1,1,6,7
47.44896,-122.372267,11,22,Three Tree Point,277,0.73,0.188,2,2,2,2,6,7
47.44896,-122.372267,11,22,Three Tree Point,278,0.765,0.2196,2,2,2,2,6,7
47.44896,-122.372267,11,22,Three Tree Point,279,0.955,0.2095,2,2,2,2,6,7
47.44896,-122.372267,11,22,Three Tree Point,280,0.8,0.2166,2,2,2,2,6,7
47.50161,-122.38593,11,13,Arroyo Beach,281,0.92,0.1866,2,3,2,3,6,7
47.50161,-122.38593,11,13,Arroyo Beach,282,0.965,0.1959,2,3,2,3,6,7
47.50161,-122.38593,11,13,Arroyo Beach,283,0.86,0.1937,2,3,2,3,6,7
47.50161,-122.38593,11,13,Arroyo Beach,284,0.955,0.2017,2,3,2,3,6,7
47.50161,-122.38593,11,13,Arroyo Beach,285,0.875,0.1136,2,3,2,3,6,7
