"site_name","Analyte","Units","plmw","Comments","DryValue_Group"
"Elliott Bay, Harbor Island, Pier 17","SumPAHsLMW","ng/g",1141.131247,"dNPH Surrogate recovery below minimum QA value (60%)","3"
"Everett Harbor","SumPAHsLMW","ng/g",206.3799547,NA,"1"
"Fidalgo Bay Aq Reserve, Weaverling Spit","SumPAHsLMW","ng/g",438.8161629,NA,"2"
"Filucy Bay","SumPAHsLMW","ng/g",88.96386823,NA,"1"
"Friday Harbor","SumPAHsLMW","ng/g",206.8104887,NA,"1"
"Gig Harbor Boat Launch","SumPAHsLMW","ng/g",172.3839836,NA,"1"
"Hood Canal Holly","SumPAHsLMW","ng/g",109.2718894,NA,"1"
"Jamestown","SumPAHsLMW","ng/g",106.0614263,NA,"1"
"Kingston Marina","SumPAHsLMW","ng/g",149.5060052,NA,"1"
"Kitsap St Boat Launch","SumPAHsLMW","ng/g",419.8019285,NA,"2"
"Kopachuck State Park","SumPAHsLMW","ng/g",87.71591992,NA,"1"
"Lions Park","SumPAHsLMW","ng/g",157.9597031,NA,"1"
"Locust Beach","SumPAHsLMW","ng/g",121.6041553,NA,"1"
"Madrona Pont","SumPAHsLMW","ng/g",138.6095821,NA,"1"
"Manchester, Stormwater Outfall","SumPAHsLMW","ng/g",198.3929511,NA,"1"
"Maple Hollow Park","SumPAHsLMW","ng/g",111.2345679,NA,"1"
"Maristone Island","SumPAHsLMW","ng/g",112.8883904,NA,"1"
"Meyer's Point - Henderson Inlet","SumPAHsLMW","ng/g",148.6940299,NA,"1"
"Miller Creek","SumPAHsLMW","ng/g",171.5772708,NA,"1"
"Minter Bay","SumPAHsLMW","ng/g",98.68622449,NA,"1"
"Mukilteo","SumPAHsLMW","ng/g",245.9927946,NA,"1"
"N Avenue Park","SumPAHsLMW","ng/g",1248.163772,"dNPH Surrogate recovery below minimum QA value (60%)","3"
"North Camano","SumPAHsLMW","ng/g",107.9148418,NA,"1"
"Oak Bay County Park","SumPAHsLMW","ng/g",102.5963489,NA,"1"
"Penn Cove Reference","SumPAHsLMW","ng/g",109.7256294,NA,"1"
"Penrose Point State Park","SumPAHsLMW","ng/g",125.4241683,NA,"1"
"Point Defiance Ferry","SumPAHsLMW","ng/g",370.5727878,NA,"2"
"Port Angeles Yacht Club","SumPAHsLMW","ng/g",781.3402062,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"Purdy - Dexters","SumPAHsLMW","ng/g",91.78878428,NA,"1"
"Purdy, Burley Lagoon","SumPAHsLMW","ng/g",129.2528008,NA,"1"
"Raft Island Park","SumPAHsLMW","ng/g",91.46345811,NA,"1"
"Reach Island","SumPAHsLMW","ng/g",110.9241803,NA,"1"
"Rich Passage","SumPAHsLMW","ng/g",190.2926293,NA,"1"
"Rocky Point","SumPAHsLMW","ng/g",176.5702934,"dNPH Surrogate recovery below minimum QA value (60%)","1"
"S of Skunk Island","SumPAHsLMW","ng/g",162.156563,"dNPH Surrogate recovery below minimum QA value (60%)","1"
"Salmon Bay, Commodore Park","SumPAHsLMW","ng/g",476.2352941,NA,"2"
"Salmon Beach","SumPAHsLMW","ng/g",202.4216634,"dNPH Surrogate recovery below minimum QA value (60%)","1"
"Seattle Aquarium, Pier 59","SumPAHsLMW","ng/g",1101.653543,NA,"3"
"Shilshole Bay","SumPAHsLMW","ng/g",714.1281669,NA,"2"
"Silverdale, Dyes Inlet","SumPAHsLMW","ng/g",212.4762443,NA,"1"
"Skiff Point","SumPAHsLMW","ng/g",236.7788779,"dNPH Surrogate recovery below minimum QA value (60%)","1"
"Smith Cove, Terminal 91","SumPAHsLMW","ng/g",2145.983118,NA,"4"
"Squaxin Island","SumPAHsLMW","ng/g",97.10393258,NA,"1"
"Suquamish, Stormwater Outfall","SumPAHsLMW","ng/g",231.9884793,NA,"1"
"Thea Foss Waterway","SumPAHsLMW","ng/g",584.1500994,NA,"2"
"Three Tree Point","SumPAHsLMW","ng/g",176.7345924,NA,"1"
"Tulalip Bay","SumPAHsLMW","ng/g",188.1792941,NA,"1"
"Tulalip Reservation","SumPAHsLMW","ng/g",135.5879237,NA,"1"
"West Bay Park","SumPAHsLMW","ng/g",182.212367,NA,"1"
"Williams Olson Park","SumPAHsLMW","ng/g",144.601467,NA,"1"
