site_name,latitude,longitude,chlordane_index,ddt_index,hch_index,heavy_metal_index,nutrient_metal_index,total_metal_index,pah_lmw_index,pah_hmw_index,pah_add_index,total_pah_index,pbde_index,pcb_index,pesticide_index
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,8.071134522,16.13265701,0,10.36687348,1.84167599,12.20854947,11.22040322,4.210887135,4.279995521,19.71128588,8.362130045,45.59350654,1.605415019
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,10.87012993,3.69043959,0,10.18437232,2.711684933,12.89605726,10.31302099,3.010031502,4.694796636,18.01784913,4.85678793,26.16235632,0
Des Moines Marina,47.402778,-122.331667,2.304188196,13.28966143,0,7.545278719,1.215321411,8.76060013,131.6057424,91.87726251,58.5246115,282.0076164,0,15.8201363,1.520919492
Discovery Bay,48.064974,-122.857218,0,0.670125818,0,5.037097613,1.731223884,6.768321497,5.512939392,1.083096793,4.451441862,11.04747805,0,19.11641045,0
Donkey Creek Delta,47.337909,-122.59023,0,1.187950313,0,5.880493251,6.008509269,11.88900252,3.317907384,4.882011285,2.540283678,10.74020235,0.642001927,30.25764743,0
Eagle Harbor Dr,47.618875,-122.527234,0,1.856249477,0,8.375062562,4.667536158,13.04259872,5.866159193,10.83733451,2.976947376,19.68044108,0.865306945,21.15314861,0
"Eastsound, Fishing Bay",48.69395,-122.909933,0,0.761506611,0,6.953698357,1.708637575,8.662335932,5.384855666,2.605629344,4.249163265,12.23964828,1.825747338,18.88337168,0
Edmonds Ferry,47.8142069,-122.3822018,0,1.187950313,0,7.609835758,2.220439367,9.830275125,5.360383189,2.739010908,6.342332139,14.44172624,2.940426286,16.41302245,0
Edmonds Marina,47.81094,-122.387955,0,1.705590193,1.257904445,9.656471984,2.223556528,11.88002851,6.600606766,4.587933111,4.765667523,15.9542074,7.657255506,14.50623998,0
Eld Inlet,47.0769,-123.0034725,0,0.82242714,0,6.51458531,1.473348363,7.987933672,5.416892734,1.358354989,3.366026298,10.14127402,0,18.0237737,0
Elliot Bay Myrtle Edwards,47.62052,-122.36373,0,9.944067469,0,8.991998361,0.861932291,9.853930652,61.59620522,101.0506419,26.01950621,188.6663533,2.935397503,78.90394768,1.605415019
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,0,5.81217481,2.264228001,7.300417372,2.914790739,10.21520811,24.2218838,36.69961383,11.33984342,72.26134105,2.478729901,60.32640779,1.858901601
Everett Harbor,47.97252,-122.22982,0,0.852887404,0,10.28572548,2.886513722,13.1722392,3.161237568,1.630645605,3.358995499,8.150878672,0.781567563,15.29874746,0
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0,5.668563224,0,8.786569989,1.839435431,10.62600542,14.28027157,8.216801955,3.024586721,25.52166025,0,24.96413001,0
Filucy Bay,47.19483,-122.748665,0,0.82242714,0,9.170008679,1.250617512,10.42062619,1.381658221,0.33148792,2.469810684,4.182956825,0,16.81732844,0
Friday Harbor,48.5069444,-123.0194444,0,0.639665553,0,7.411514015,1.770621602,9.182135617,6.073490924,2.379780714,3.697571174,12.15084281,0,20.34464668,0
Gig Harbor Boat Launch,47.3372,-122.58284,0,1.035648991,0,7.898132251,2.437937698,10.33606995,2.78210724,3.727344365,3.170756869,9.680208474,0,21.76587189,0
Hood Canal Holly,47.570193,-122.971775,0,0,0,4.383534424,1.673693635,6.057228059,2.845569566,0.045875216,5.735440409,8.626885191,0,15.30555999,0
Jamestown,48.027069,-122.999191,0,0,0,7.739782859,1.345817222,9.085600081,2.277632043,0.040423786,2.139119284,4.457175113,0,24.03857658,0
Kingston Marina,47.7947,-122.5003,0,0.883347669,0,10.49679076,1.59646523,12.09325599,1.302350026,0.778271513,2.826775496,4.907397035,0.725741309,9.083836439,0
Kitsap St Boat Launch,47.541533,-122.640383,0,4.224805176,3.270551557,7.536081506,5.501809983,13.03789149,12.56911698,8.099808123,6.540335619,27.20926072,4.562570309,73.72371161,0
Kopachuck State Park,47.3115,-122.68725,0,0.670125818,0,8.251370043,1.361164543,9.612534587,1.240546126,0.245672961,2.474785685,3.961004772,0,13.25082025,0
Lions Park,47.583016,-122.64217,0,1.401172164,0,7.804731057,1.646367368,9.451098424,2.935148797,1.294272453,2.885116225,7.114537475,3.296422016,22.19833782,0
Locust Beach,48.76652,-122.5395,0,2.450692672,0,7.288590387,1.091049831,8.379640218,2.73826912,0.030596212,3.58878615,6.357651482,0,15.52144023,1.858901601
Madrona Pont,47.579985,-122.67853,0,1.309791371,0,6.587038565,3.08772696,9.674765525,2.728050368,1.368938272,2.880201763,6.977190403,0.753654436,22.17701154,0
"Manchester, Stormwater Outfall",47.556111,-122.542778,0,1.066109255,0,7.745301558,1.743205567,9.488507126,1.621229448,1.407038279,2.417234596,5.445502323,0.809480691,9.804965173,0
Maple Hollow Park,47.29954,-122.74554,0,0.700586082,0,5.289114438,0.763476722,6.05259116,0.866298445,0.342854715,2.260062948,3.469216108,0,15.10222153,0
Maristone Island,48.018181,-122.699838,0,0.578745024,0,7.455291843,1.844016705,9.299308548,2.352534558,0.024910274,2.177268412,4.554713244,0,21.18755686,0
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0.578745024,0,9.312986437,2.090529538,11.40351597,2.722507703,0.086061389,2.291715796,5.100284888,0,20.57702262,0
Miller Creek,47.443611,-122.361944,2.140380845,1.628618513,0,7.536116186,0.854856355,8.390972541,1.942712138,1.167838825,3.074690966,6.185241929,0,17.19305273,1.436423965
Minter Bay,47.35399,-122.69176,0,0.791966875,0,5.103270364,1.599987627,6.703257991,1.300641075,0.346873843,2.395205758,4.042720676,0,12.39972258,0
Mukilteo,47.949831,-122.301703,0,0.913807933,0,10.84157916,2.454716389,13.29629555,4.674498328,1.72686789,4.281886277,10.6832525,1.531529716,14.22586784,0
N Avenue Park,48.52108,-122.61531,0,5.902490115,2.390018445,7.785405728,3.430916964,11.21632269,39.48561448,25.91782327,12.88456248,78.28800023,1.999177955,17.76149665,0
North Camano,48.25523,-122.50817,0,2.419076448,0,8.386260115,1.721518068,10.10777818,4.584046016,0.333855397,3.973702321,8.891603734,0,20.29261215,0
Oak Bay County Park,48.022466,-122.728123,0,0.54828476,0,7.927941805,1.511142629,9.439084434,2.303443384,0.05405697,2.100970156,4.45847051,0,22.32137448,0
Penn Cove Reference,48.214071,-122.719097,0,2.113317844,0,7.14452194,1.286037506,8.430559446,2.219137111,0.101918675,2.978995284,5.30005107,0,15.02537926,0
Penrose Point State Park,47.2609094,-122.7447771,0,0.639665553,0,7.558316458,0.612764434,8.171080892,0.987997442,0.483049579,2.082086653,3.553133674,0.6140888,21.36300766,0
Point Defiance Ferry,47.3061098,-122.514771,0,1.659078777,0,7.467503458,3.647746801,11.11525026,6.807867147,5.130767026,3.716617555,15.65525173,1.060698836,13.3146413,0
Port Angeles Yacht Club,48.128267,-123.457133,0,4.145118165,0,6.481131922,1.603390944,8.084522866,22.42258939,20.3991163,11.53068876,54.35239445,0,28.22343974,0
"Purdy, Burley Lagoon",47.387021,-122.6367,0,1.005188726,0,6.606761951,1.227565735,7.834327687,1.394046151,0.72873434,2.509653142,4.632433633,1.425829061,28.09858805,1.605415019
"Purdy, Dexters",47.385334,-122.628902,0,0.883347669,0,6.536343532,0.580263461,7.116606993,2.830861227,0.367244374,2.646113807,5.844219408,0,14.77604353,0
Raft Island Park,47.32622,-122.66715,0,0.609205289,0,8.605832388,1.621121594,10.22695398,1.1329325,0.233350879,2.139119284,3.505402663,0,12.63742924,0
Reach Island,47.346817,-122.822363,0,0.761506611,0,4.30849316,2.666187494,6.974680654,5.063277824,0.592981645,4.395009033,10.0512685,0,20.30843057,0
Rich Passage,47.578117,-122.524833,0,1.447498965,0,7.189033793,2.077246299,9.266280093,3.838967115,1.670903411,2.256234126,7.766104652,1.71594097,34.74117152,0
Rocky Point,47.60253,-122.66991,0,1.248870842,1.509485334,5.901846332,3.147336098,9.04918243,7.398534306,2.401121273,4.077737718,13.8773933,0.865306945,30.30853381,0
"Salmon Bay, Commodore Park",47.666244,-122.401894,10.04091987,10.03024255,12.30817693,11.74311206,3.969735822,15.71284788,3.643149467,9.91290398,3.425464716,16.98151816,3.330286997,36.68315434,2.957343456
Salmon Beach,47.294692,-122.530504,0,0.791966875,0,5.582209774,0.726423716,6.308633489,9.941712506,2.322251187,4.729701586,16.99366528,0.837393818,16.05636475,0
"Seattle Aquarium, Pier 59",47.607334,-122.344055,0,4.418864023,6.141993028,7.303417606,2.45312256,9.756540166,3.841817117,38.72168671,3.938510529,46.50201436,2.612343684,58.38632435,1.26743291
Shilshole Bay,47.6707,-122.40605,5.817550869,11.62086054,0,12.88523118,3.262342163,16.14757334,21.80245396,20.62844284,9.015358863,51.44625566,3.369180761,45.5391262,2.788352402
"Silverdale, Dyes Inlet",47.6428,-122.6967,0,2.061445753,1.509485334,7.546586799,3.084628996,10.63121579,14.58797324,2.216475572,5.294787621,22.09923643,1.938322917,20.26037771,1.605415019
Skiff Point,47.6614139,-122.498892,0,1.066109255,0,6.498028842,1.614313604,8.112342446,3.065371547,1.780836768,2.427782468,7.273990783,0,13.9877027,0
"Smith Cove, Terminal 91",47.6325,-122.3786,9.029739472,19.12217326,12.2709428,7.615970275,5.371177844,12.98714812,4.919072941,70.12523609,4.690343948,79.73465298,13.6681864,84.56391717,13.72998568
South of Skunk Island,48.02655,-122.75089,0,0,0,7.102102714,3.018217272,10.12031999,46.48325147,1.003929189,18.42985629,65.91703695,0,19.1104512,0
Squaxin Island,47.176735,-122.905337,0,0.609205289,0,5.734942956,0.391044689,6.125987645,4.71299683,0.766483077,3.28460613,8.764086037,0,19.188878,0
Suquamish Stormwater Outfall,47.729875,-122.550882,0,1.410655163,0,6.752501671,0.640375598,7.392877269,2.977896268,1.844797009,1.606945946,6.429639223,1.55441406,11.92734923,0
Thea Foss Waterway,47.25934,-122.43479,7.597104399,4.418155153,2.390018445,7.708197438,3.028967405,10.73716484,14.51681317,9.807046584,6.248778264,30.57263802,3.297345087,22.87715884,1.605415019
Three Tree Point,47.4485721,-122.3723967,2.408924023,1.462092693,0,6.764608877,0.441505443,7.20611432,3.668658516,1.444326295,3.608835755,8.721820566,2.351067973,14.5272613,1.605415019
Tulalip Bay,48.0616613,-122.293939,0,1.005188726,0,7.744838811,2.595981258,10.34082007,3.267227091,1.274629161,4.101211224,8.643067476,0.753654436,15.67748513,1.774406074
Tulalip Reservation,48.069978,-122.300216,0,0.670125818,0,8.329601337,2.064114147,10.39371548,2.700374086,1.03200982,3.052282717,6.784666623,0.502436291,12.09977211,0
West Bay Park,47.052373,-122.9101963,0,1.340251635,0,8.64876321,1.346707223,9.995470432,3.345995899,3.159380508,4.737316802,11.24269321,3.776897033,16.97944239,0
Williams Olson Park,47.6609,-122.5668,0,1.09656952,0,7.245365732,3.174748306,10.42011404,6.223350794,1.332190854,3.224588701,10.78013035,0.669915054,23.3693068,0
