site_name,avg_p450,mercuryTotal,arsenic,cadmium,copper,lead,Zinc
Rocky Point,9469801.367,0.03422619,8.69047619,2,6.130952381,0.411904762,101.1904762
S of Skunk Island,4092598.466,0.028685714,8,1.748571429,5.702857143,0.462285714,76
"Salmon Bay, Commodore Park",4444677.291,0.039481481,7.703703704,1.955555556,7.555555556,0.556296296,80.74074074
Salmon Beach,1550935.053,0.023798883,7.877094972,1.832402235,4.770949721,0.187150838,79.32960894
"Seattle Aquarium, Pier 59",3037049.482,0.039254658,8.819875776,1.98136646,7.763975155,0.418012422,85.0931677
Shilshole Bay,2710238.957,0.042040816,8.027210884,1.537414966,7.959183673,0.413605442,76.8707483
"Silverdale, Dyes Inlet",1419996.096,0.039245283,9.496855346,1.86163522,7.86163522,0.468553459,82.38993711
Skiff Point,5612257.852,0.039325843,8.820224719,1.893258427,6.235955056,0.22247191,92.69662921
"Smith Cove, Terminal 91",3958466.348,0.032814371,8.562874251,1.77245509,7.724550898,0.55748503,110.7784431
Squaxin Island,6185908.673,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452
"Suquamish, Stormwater Outfall",3575218.321,0.032710843,8.674698795,1.891566265,6.385542169,0.208433735,82.53012048
Thea Foss Waterway,3660949.966,0.025465839,7.51552795,1.925465839,9.130434783,0.461490683,86.95652174
Three Tree Point,7868514.826,0.029310345,8.448275862,1.74137931,6.034482759,0.186781609,86.20689655
Tulalip Bay,5438866.58,0.041572327,8.867924528,1.981132075,7.547169811,0.264779874,69.81132075
Tulalip Reservation,5097254.763,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293
West Bay Park,8508351.558,0.031666667,8.205128205,1.852564103,6.602564103,0.202564103,78.20512821
Williams Olson Park,3067078.444,0.0308,8.571428571,1.662857143,10.17142857,0.349142857,86.85714286
