"site_name","Sum40CBs","SumBDEs","SumCHLDs","SumDDTs","SumHCHs","SumPCBs2x17","SumPAHsHMW","SumPAHsLMW","SumPAHs","SumPAHs16","SumPAHs42_DMNcorrected"
"Comm Bay, Milwaukee Waterway",47.11320755,10.09568733,6.528544474,8.076549865,-1.076873315,56.53584906,215.3746631,390.3665768,599.0107817,195.1832884,599.0107817
"Des Moines Marina",44.10207278,5.083988945,1.347563335,20.21345002,-1.102551819,55.12759097,8575.40304,6125.287886,14700.69093,9800.460617,15313.21971
"Discovery Bay",11.76769062,-0.894344487,-0.894344487,1.035556775,-0.7531322,16.94547449,98.84860121,136.5052112,235.3538124,117.6769062,235.3538124
"Donkey Creek Delta",79.34532374,1.520785372,-1.05793765,2.578723022,-0.859574341,105.793765,284.3207434,238.0359712,522.3567146,257.8723022,522.3567146
"Drayton Harbor",22.00470852,NA,NA,NA,NA,25.88789238,20.7103139,98.37399103,119.0843049,36.24304933,119.0843049
"Eagle Harbor Dr",75.62081558,2.131132075,-1.512416312,4.605995131,-1.237431528,103.119294,653.0888618,364.3548387,1031.19294,577.4680463,1031.19294
"Eastsound, Fishing Bay",15.98105437,2.975782537,-1.3776771,1.3776771,-1.157248764,24.79818781,270.0247117,242.4711697,512.4958814,292.0675453,518.0065898
"Edmonds Ferry",35.66219626,5.261635514,-1.227714953,2.280042056,-0.993864486,47.93934579,268.9280374,257.235514,532.0098131,268.9280374,526.1635514
"Edmonds Marina",40.99944598,8.785595568,-0.937130194,3.572808864,0.585706371,52.71357341,374.8520776,304.567313,702.8476454,374.8520776,702.8476454
"Eld Inlet",31.10215962,-1.233361502,-1.233361502,1.447859155,-1.01886385,42.36328638,75.0741784,96.52394366,171.5981221,64.34929577,171.5981221
"Elliot Bay Myrtle Edwards",120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217,140.9149199,9394.32799,3220.912454,12078.4217,8052.281134,12078.4217
"Elliott Bay, Harbor Island, Pier 17",108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122,136.9357496,2054.036244,1141.131247,3195.16749,1882.866557,3195.16749
"Everett Harbor",34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094,46.60192525,166.4354473,206.3799547,372.815402,173.0928652,372.815402
"Fidalgo Bay Aq Reserve, Weaverling Spit",22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724,26.71054904,254.3861814,438.8161629,699.5619988,165.3510179,699.5619988
"Filucy Bay",41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928,54.56450584,59.30924548,88.96386823,148.2731137,65.24017003,148.2731137
"Friday Harbor",16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056,25.69463647,319.6162098,206.8104887,532.693683,338.4171633,532.693683
"Gig Harbor Boat Launch",55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043,73.8788501,246.2628337,172.3839836,418.6468172,233.949692,418.6468172
"Hood Canal Holly",18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687,25.26912442,11.61013825,109.2718894,116.1013825,24.58617512,88.78341014
"Jamestown",32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655,39.11015096,15.24633004,106.0614263,119.3191046,31.15554399,119.3191046
"Kingston Marina",36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775,49.40198433,123.5049608,149.5060052,273.0109661,123.5049608,273.0109661
"Kitsap St Boat Launch",116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186,146.6777822,354.0498192,419.8019285,758.678184,303.4712736,758.678184
"Kopachuck State Park",31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199,43.18322212,53.97902765,87.71591992,141.6949476,59.37693041,141.6949476
"Lions Park",58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859,85.56150583,131.6330859,157.9597031,289.592789,118.4697773,289.592789
"Locust Beach",20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553,28.80098414,27.5209404,121.6041553,147.2050301,46.08157463,147.2050301
"Madrona Pont",53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607,72.31804281,120.5300714,138.6095821,259.1396534,108.4770642,259.1396534
"Manchester, Stormwater Outfall",41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161,55.41320358,171.0284061,198.3929511,369.4213572,171.0284061,369.4213572
"Maple Hollow Park",35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481,49.07407407,64.77777778,111.2345679,176.6666667,71.97530864,176.6666667
"Maristone Island",31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148,36.68872686,23.98878295,112.8883904,134.0549635,41.62759394,134.0549635
"Meyer's Point - Henderson Inlet",49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224,56.50373134,52.7863806,148.6940299,200.7369403,66.16884328,200.7369403
"Miller Creek",43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197,54.01506672,120.7395609,171.5772708,292.3168317,114.3848472,285.962118
"Minter Bay",31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061,42.10612245,65.79081633,98.68622449,164.4770408,78.94897959,164.4770408
"Mukilteo",31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135,42.07771487,194.2048379,245.9927946,440.1976325,207.1518271,440.1976325
"N Avenue Park",26.59131514,3.364615385,-1.248163772,10.31091811,1.031091811,35.81687345,1085.359801,1248.163772,2333.523573,976.8238213,2333.523573
"North Camano",19.04379562,-1.52350365,-1.52350365,4.316593674,-1.269586375,26.66131387,54.59221411,107.9148418,165.0462287,63.47931873,165.0462287
"Oak Bay County Park",30.13767748,-1.346577079,-1.346577079,-1.346577079,-1.090086207,36.54994929,33.98504057,102.5963489,141.0699797,47.45081136,141.0699797
"Penn Cove Reference",24.87114267,-1.389857973,-1.389857973,4.315874758,-1.097256294,34.38069722,46.81626856,109.7256294,160.9309232,64.37236927,160.9309232
"Penrose Point State Park",42.2481409,1.452279843,-1.122216243,1.386267123,-0.924178082,50.16966732,85.8165362,125.4241683,204.6394325,85.8165362,204.6394325
"Point Defiance Ferry",48.05865842,2.200275928,-1.158039962,3.416217888,-0.984333968,63.69219791,335.831589,370.5727878,694.8239772,335.831589,694.8239772
"Port Angeles Yacht Club",57.69896907,-1.442474227,-1.382371134,7.813402062,-1.202061856,72.12371134,1202.061856,781.3402062,1983.402062,1081.85567,1983.402062
"Purdy - Dexters",32.6997544,1.434199754,-1.089991813,1.663671715,-0.917887843,44.74703234,57.36799018,91.78878428,149.1567745,68.84158821,149.1567745
"Purdy, Burley Lagoon",44.93073551,2.708153921,-1.046332197,2.031115441,-0.861685339,59.08699464,86.16853385,129.2528008,215.4213346,86.16853385,215.4213346
"Raft Island Park",33.06755793,-1.336773619,-1.336773619,1.407130125,-1.1257041,43.62103387,61.91372549,91.46345811,147.7486631,70.35650624,147.7486631
"Reach Island",21.01721311,-1.459528689,-1.459528689,1.459528689,-1.226004098,30.35819672,81.73360656,110.9241803,192.6577869,81.73360656,192.6577869
"Rich Passage",55.89845985,3.270654565,-0.8919967,3.092255226,-0.773063806,71.35973597,142.7194719,190.2926293,338.9587459,142.7194719,338.9587459
"Rocky Point",60.88630807,1.88747555,-1.217726161,2.496338631,0.730635697,85.2408313,133.9498778,176.5702934,310.5201711,133.9498778,310.5201711
"S of Skunk Island",18.01739589,-1.561507644,-1.561507644,-1.561507644,-1.321275698,28.22725356,132.1275698,162.156563,294.2841328,144.1391671,294.2841328
"Salmon Bay, Commodore Park",96.73529412,7.441176471,6.845882353,23.06764706,4.167058824,126.5,535.7647059,476.2352941,1041.764706,409.2647059,1041.764706
"Salmon Beach",34.53075435,1.786073501,-1.547930368,1.547930368,-1.309787234,47.62862669,226.2359768,202.4216634,428.6576402,214.3288201,428.6576402
"Seattle Aquarium, Pier 59",110.1653543,5.313858268,-1.166456693,10.36850394,2.527322835,136.0866142,2203.307087,1101.653543,3304.96063,1879.291339,3304.96063
"Shilshole Bay",90.20566319,7.517138599,4.13442623,27.06169896,-1.353084948,112.757079,1277.913562,714.1281669,2029.627422,1052.399404,1954.456036
"Silverdale, Dyes Inlet",68.54072398,4.112443439,-1.233733032,5.072013575,0.822488688,95.95701357,150.7895928,212.4762443,363.2658371,137.081448,370.1199095
"Skiff Point",21.31009901,-2.19020462,-2.19020462,2.071815182,-1.835036304,31.37320132,213.1009901,236.7788779,449.879868,213.1009901,449.879868
"Smith Cove, Terminal 91",143.0655412,19.50893744,5.3324429,33.16519364,4.682144985,175.5804369,4682.144985,2145.983118,7153.277061,4161.906653,7153.277061
"Squaxin Island",25.24702247,-1.359455056,-1.359455056,1.294719101,-1.100511236,35.60477528,77.68314607,97.10393258,174.7870787,71.20955056,174.7870787
"Suquamish, Stormwater Outfall",48.33093318,3.222062212,-0.902177419,3.222062212,-0.708853687,63.7968318,193.3237327,231.9884793,425.312212,206.2119816,425.312212
"Thea Foss Waterway",61.66028827,6.49055666,4.478484095,9.086779324,1.233205765,84.37723658,545.2067594,584.1500994,1103.394632,454.3389662,1103.394632
"Three Tree Point",37.11426441,4.35945328,1.354965209,2.827753479,-1.119319085,48.30745527,141.387674,176.7345924,312.2311133,129.6053678,312.2311133
"Tulalip Bay",33.74249412,1.752014118,-1.297788235,2.141350588,-1.10312,46.07148235,168.7124706,188.1792941,356.8917647,181.6903529,356.8917647
"Tulalip Reservation",22.99099576,1.061122881,-1.00217161,1.296927966,-0.884269068,29.47563559,117.9025424,135.5879237,253.4904661,123.7976695,253.4904661
"West Bay Park",46.56538267,8.09832742,-1.619665484,2.969386721,-1.349721237,64.78661936,202.4581855,182.212367,391.4191586,161.9665484,384.6705525
"Williams Olson Park",40.36790954,1.44601467,-1.385764059,2.169022005,-1.144761614,58.44309291,156.6515892,144.601467,301.2530562,150.6265281,301.2530562
"Penn Cove Baseline 1",NA,NA,NA,NA,NA,26.47515978,15.48547081,74.92969749,89.91563698,27.97375373,89.91563698
"Penn Cove Baseline 2",NA,NA,NA,NA,NA,22.36734694,12.30204082,83.87755102,100.6530612,26.28163265,100.6530612
"Penn Cove Baseline 3",NA,NA,NA,NA,NA,31.44149545,17.58592119,85.26507241,101.2522735,25.57952172,101.2522735
