sample_id,latitude,longitude,lat_range,long_range,label,site_name,site_number,reporting_area,geo_group,p450,sod,shell,ci1,ci2,ci3
149,47.27568,-122.4173,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway,41,11,5,3607485,7.438,0.855,21.773,0.6943,0.0458
150,47.27568,-122.4173,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway,41,11,5,2656342,2.9,0.81,20.443,0.7098,0.0456
151,47.27568,-122.4173,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway,41,11,5,3719291,8.989,0.815,32.295,0.7158,0.0565
152,47.27568,-122.4173,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway,41,11,5,5059896,7.334,0.855,35.693,0.6837,0.0587
141,47.2632444,-122.385731,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway #2,42,11,5,4168799,0.978,0.78,33.657,0.7084,0.0605
142,47.2632444,-122.385731,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway #2,42,11,5,1279705,27.927,0.695,34.016,0.7343,0.058
143,47.2632444,-122.385731,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway #2,42,11,5,7725177,7.613,0.805,31.737,0.6859,0.0475
144,47.2632444,-122.385731,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Blair Waterway #2,42,11,5,5159851,6.4,0.83,32.918,0.7091,0.0525
96,47.68234,-122.5064,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Brackenwood Ln,23,10,3,3877914,0.271,0.855,31.808,0.675,0.0487
97,47.68234,-122.5064,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Brackenwood Ln,23,10,3,3542349,16.142,0.675,33.924,0.7258,0.0543
98,47.68234,-122.5064,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Brackenwood Ln,23,10,3,3150477,7.034,0.665,37.354,0.719,0.0546
99,47.68234,-122.5064,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Brackenwood Ln,23,10,3,6702376,11.402,0.885,35.303,0.7032,0.053
269,47.78184,-122.83474,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Broad Spit (Fisherman's Point),30,12,2,52717198,34.355,0.865,32.749,0.6622,0.0503
270,47.78184,-122.83474,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Broad Spit (Fisherman's Point),30,12,2,2444905,13.708,0.645,31.442,0.7031,0.0485
271,47.78184,-122.83474,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Broad Spit (Fisherman's Point),30,12,2,4424850,2.988,0.985,34.475,0.6665,0.0551
272,47.78184,-122.83474,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Broad Spit (Fisherman's Point),30,12,2,3385205,8.472,0.8,36.98,0.708,0.0668
194,47.30515,-122.44441,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Browns Point Lighthouse,54,11,5,3153370,13.731,0.475,31.62,0.7289,0.042
195,47.30515,-122.44441,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Browns Point Lighthouse,54,11,5,1063470,25.619,0.65,32.12,0.6569,0.0561
196,47.30515,-122.44441,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Browns Point Lighthouse,54,11,5,6892889,1.487,0.785,34.227,0.657,0.0439
197,47.30515,-122.44441,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Browns Point Lighthouse,54,11,5,12192291,6.551,0.66,34.193,0.6678,0.0453
214,48.520971,-122.600717,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Cap Sante,64,7,4,8571444,13.24,1.04,35.637,0.6305,0.0468
215,48.520971,-122.600717,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Cap Sante,64,7,4,9119663,0.975,0.94,32.828,0.6568,0.0501
216,48.520971,-122.600717,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Cap Sante,64,7,4,4058856,5.642,0.705,33.972,0.6425,0.0487
217,48.520971,-122.600717,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Cap Sante,64,7,4,2991933,9.761,0.86,34.715,0.6677,0.0453
127,47.1905742,-122.5834897,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Chambers Bay Park,56,13,5,3977493,1.005,0.935,35.234,0.676,0.0566
128,47.1905742,-122.5834897,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Chambers Bay Park,56,13,5,3836553,1.463,0.975,34.381,0.6271,0.0506
129,47.1905742,-122.5834897,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Chambers Bay Park,56,13,5,6882929,7.19,0.695,32.133,0.6612,0.0547
130,47.1905742,-122.5834897,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Chambers Bay Park,56,13,5,6222187,4.194,0.8,33.077,0.658,0.0537
33,48.8208,-122.7101,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,NA,17.324,0.66,33.067,0.6859,0.0494
34,48.8208,-122.7101,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,4654335,6.966,0.865,32.345,0.6644,0.0526
35,48.8208,-122.7101,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,2017393,22.233,0.545,35.666,0.727,0.0599
36,48.8208,-122.7101,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,3364046,34.492,0.645,32.993,0.6861,0.0491
100,48.04906,-122.7724,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Chimacum Creek delta,8,9,2,956176,29.84,0.6,31.764,0.7101,0.0593
101,48.04906,-122.7724,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Chimacum Creek delta,8,9,2,3373010,8.875,0.635,33.352,0.692,0.0619
102,48.04906,-122.7724,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Chimacum Creek delta,8,9,2,958833,8.638,0.805,33.371,0.6896,0.0575
103,48.04906,-122.7724,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Chimacum Creek delta,8,9,2,2088081,6.569,0.65,33.996,0.6994,0.068
25,48.68975,-122.50434,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Chuckanut, Clark's Point",74,7,4,1877700,15.572,0.635,33.746,0.6984,0.0484
26,48.68975,-122.50434,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Chuckanut, Clark's Point",74,7,4,1683751,73.345,0.66,36.626,0.7047,0.0622
27,48.68975,-122.50434,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Chuckanut, Clark's Point",74,7,4,3011817,0.0025,0.355,31.95,0.6887,0.0465
28,48.68975,-122.50434,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Chuckanut, Clark's Point",74,7,4,582761,13.708,0.405,33.174,0.7032,0.0479
37,47.29,-122.41,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Comm Bay Skookum,45,11,5,5287826,25.449,0.58,30.28,0.6727,0.051
38,47.29,-122.41,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Comm Bay Skookum,45,11,5,1134272,8.685,0.52,34.049,0.6747,0.0517
39,47.29,-122.41,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Comm Bay Skookum,45,11,5,3524590,2.056,0.805,6.995,0.5949,0.031
40,47.29,-122.41,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Comm Bay Skookum,45,11,5,990580,72.981,0.8,43.904,0.7394,0.0712
114,47.292549,-122.412175,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay, Dick Gilmur Launch",48,11,5,1166004,12.507,0.855,32.334,0.6938,0.0613
115,47.292549,-122.412175,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay, Dick Gilmur Launch",48,11,5,5858996,35.436,0.87,14.432,0.6354,0.0467
116,47.292549,-122.412175,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay, Dick Gilmur Launch",48,11,5,2870476,27.272,0.815,47.979,0.8344,0.109
117,47.292549,-122.412175,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay, Dick Gilmur Launch",48,11,5,939029,2.07,0.91,29.37,0.6285,0.0258
157,47.2694,-122.4243,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay, Milwaukee Waterway",49,11,5,2018358,12.545,1.02,52.574,0.7524,0.0687
158,47.2694,-122.4243,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay, Milwaukee Waterway",49,11,5,1556940,58.783,0.825,26.875,0.8017,0.0563
159,47.2694,-122.4243,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay, Milwaukee Waterway",49,11,5,NA,5.992,0.73,51.846,0.8383,0.0906
160,47.2694,-122.4243,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay, Milwaukee Waterway",49,11,5,1669995,22.316,0.755,54.084,0.8237,0.0685
161,47.2694,-122.4243,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay, Milwaukee Waterway",49,11,5,4332608,26.721,0.74,28.989,0.7495,0.0841
1,47.40301418,-122.3305538,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Des Moines Marina,21,11,5,4034245,17.031,0.825,73.81,0.7991,0.1094
2,47.40301418,-122.3305538,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Des Moines Marina,21,11,5,3404367,17.331,0.8,52.81,0.7703,0.0735
3,47.40301418,-122.3305538,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Des Moines Marina,21,11,5,2281563,8.189,0.965,55.68,0.7605,0.1009
4,47.40301418,-122.3305538,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Des Moines Marina,21,11,5,1153344,6.983,0.535,14.576,0.6306,0.0269
162,48.064957,-122.857524,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Discovery Bay,12,6,2,3237832,63.547,0.855,70.792,0.8135,0.1397
163,48.064957,-122.857524,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Discovery Bay,12,6,2,1975307,39.159,0.89,33.09,0.6745,0.0609
164,48.064957,-122.857524,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Discovery Bay,12,6,2,2362670,41.449,0.74,34.719,0.7119,0.0529
165,48.064957,-122.857524,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Discovery Bay,12,6,2,3125326,28.087,0.615,34.005,0.6789,0.0556
265,47.33775,-122.59014,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Donkey Creek Delta,44,11,5,2002597,20.437,0.935,37.472,0.702,0.0554
266,47.33775,-122.59014,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Donkey Creek Delta,44,11,5,2881838,44.994,0.94,35.922,0.7059,0.0661
267,47.33775,-122.59014,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Donkey Creek Delta,44,11,5,3562058,13.938,1.195,32.299,0.6665,0.0559
268,47.33775,-122.59014,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Donkey Creek Delta,44,11,5,4066301,15.797,0.705,31.147,0.6997,0.0434
57,47.61889,-122.5275,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Eagle Harbor Dr,31,10,3,1243643,9.53,0.83,31.801,0.7111,0.0519
58,47.61889,-122.5275,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Eagle Harbor Dr,31,10,3,6878714,5.591,0.93,36.341,0.6946,0.0606
59,47.61889,-122.5275,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Eagle Harbor Dr,31,10,3,2711200,84.419,0.755,34.755,0.7022,0.05
60,47.61889,-122.5275,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Eagle Harbor Dr,31,10,3,2381238,9.393,0.905,35.871,0.6975,0.0505
49,48.69368,-122.90985,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Eastsound, Fishing Bay",60,7,4,4956424,1.736,0.905,36.599,0.6913,0.0489
50,48.69368,-122.90985,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Eastsound, Fishing Bay",60,7,4,2492074,0.0025,0.805,38.12,0.7242,0.0535
51,48.69368,-122.90985,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Eastsound, Fishing Bay",60,7,4,2974772,27.353,0.58,36.761,0.723,0.0543
52,48.69368,-122.90985,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Eastsound, Fishing Bay",60,7,4,5366142,39.581,0.615,35.309,0.6895,0.0618
227,47.81407,-122.3825,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Edmonds Ferry,69,9,6,2235746,25.844,0.545,32.829,0.6942,0.0543
228,47.81407,-122.3825,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Edmonds Ferry,69,9,6,3343459,20.453,0.45,33.93,0.7171,0.0585
229,47.81407,-122.3825,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Edmonds Ferry,69,9,6,2786163,15.582,0.61,26.113,0.663,0.0398
230,47.81407,-122.3825,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Edmonds Ferry,69,9,6,2874808,18.111,0.64,38.248,0.735,0.0599
21,47.8111,-122.388,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Edmonds Marina,68,9,6,2226326,12.533,0.81,37.414,0.6723,0.0638
22,47.8111,-122.388,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Edmonds Marina,68,9,6,3074754,11.485,0.8,38.271,0.7051,0.0545
23,47.8111,-122.388,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Edmonds Marina,68,9,6,2424855,51.729,0.75,36.245,0.7208,0.0604
24,47.8111,-122.388,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Edmonds Marina,68,9,6,1614645,3.484,0.735,27.173,0.6407,0.0449
186,47.074603,-123.003527,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Eld Inlet,72,13,1,2166819,15.212,0.81,41.041,0.7247,0.0649
187,47.074603,-123.003527,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Eld Inlet,72,13,1,7732418,17.148,0.845,33.993,0.6901,0.0749
188,47.074603,-123.003527,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Eld Inlet,72,13,1,1617973,10.002,0.605,34.656,0.7061,0.0526
189,47.074603,-123.003527,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Eld Inlet,72,13,1,4318486,36.283,0.7,33.231,0.6824,0.0579
69,47.61862,-122.36108,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Elliot Bay Myrtle Edwards,19,10,3,1269238,0.0025,0.555,36.953,0.7229,0.0525
70,47.61862,-122.36108,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Elliot Bay Myrtle Edwards,19,10,3,2212557,15.989,0.625,33.051,0.6393,0.0502
71,47.61862,-122.36108,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Elliot Bay Myrtle Edwards,19,10,3,1783953,23.205,0.75,34.215,0.6722,0.0526
72,47.61862,-122.36108,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Elliot Bay Myrtle Edwards,19,10,3,2162299,0.144,0.755,34.283,0.7376,0.0557
73,47.61862,-122.36108,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Elliot Bay Myrtle Edwards,19,10,3,2951937,3.757,0.825,36.556,0.6925,0.0541
29,47.58766,-122.35065,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Elliott Bay, Harbor Island, Pier 17",14,10,3,1783000,2.837,0.75,28.647,0.6029,0.0452
30,47.58766,-122.35065,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Elliott Bay, Harbor Island, Pier 17",14,10,3,2742180,0.0025,0.995,33.471,0.654,0.0523
31,47.58766,-122.35065,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Elliott Bay, Harbor Island, Pier 17",14,10,3,3089178,2.177,1.045,29.726,0.5909,0.0566
32,47.58766,-122.35065,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Elliott Bay, Harbor Island, Pier 17",14,10,3,NA,0.0025,0.725,31.835,0.6719,0.0483
206,47.9726,-122.22977,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Everett Harbor,66,8.2,6,NA,9.83,0.69,34.177,0.6927,0.0576
207,47.9726,-122.22977,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Everett Harbor,66,8.2,6,291641,0.0025,0.755,34.533,0.7053,0.0595
208,47.9726,-122.22977,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Everett Harbor,66,8.2,6,1693665,0.0025,0.575,33.699,0.7143,0.0529
209,47.9726,-122.22977,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Everett Harbor,66,8.2,6,NA,0.0025,0.63,35.312,0.6669,0.0547
61,48.482448,-122.583879,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,4,380110,0.0025,0.685,36.29,0.6879,0.0548
62,48.482448,-122.583879,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,4,2209441,4.647,0.79,35.526,0.718,0.0496
63,48.482448,-122.583879,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,4,1743980,24.677,0.79,37.144,0.7242,0.0569
64,48.482448,-122.583879,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,4,2845932,3.17,0.87,38.291,0.7001,0.0533
174,47.19483,-122.748665,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Filucy Bay,59,13,1,1928074,11.043,0.905,36.324,0.7152,0.0588
175,47.19483,-122.748665,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Filucy Bay,59,13,1,NA,118.683,0.635,36.525,0.7483,0.0488
176,47.19483,-122.748665,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Filucy Bay,59,13,1,4982158,22.927,0.93,34.936,0.7034,0.0538
177,47.19483,-122.748665,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Filucy Bay,59,13,1,4040973,14.762,0.87,30.614,0.6719,0.0496
222,48.5069444,-123.0194444,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Friday Harbor,61,7,4,2353073,8.819,0.895,35.901,0.7105,0.0562
223,48.5069444,-123.0194444,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Friday Harbor,61,7,4,1010594,17.182,0.87,33.305,0.69,0.0468
224,48.5069444,-123.0194444,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Friday Harbor,61,7,4,1453659,13.402,0.89,36.253,0.6964,0.054
225,48.5069444,-123.0194444,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Friday Harbor,61,7,4,2434731,13.817,0.925,35.847,0.6802,0.051
226,48.5069444,-123.0194444,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Friday Harbor,61,7,4,NA,48.798,0.95,34.23,0.686,0.0599
131,47.33785,-122.58277,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Gig Harbor Boat Launch,58,11,5,8793166,0.255,0.85,6.999,0.3226,0.0119
132,47.33785,-122.58277,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Gig Harbor Boat Launch,58,11,5,916811,0.0025,0.935,32.111,0.6841,0.0651
133,47.33785,-122.58277,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Gig Harbor Boat Launch,58,11,5,2352491,12.933,0.685,34.418,0.6767,0.0546
134,47.33785,-122.58277,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Gig Harbor Boat Launch,58,11,5,2963755,8.918,0.8,34.151,0.6866,0.0541
104,47.5706,-122.9717,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Hood Canal Holly,29,12,1,1383018,51.47,1.035,33.345,0.6885,0.0423
105,47.5706,-122.9717,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Hood Canal Holly,29,12,1,4935346,15.598,0.885,34.097,0.6475,0.0515
106,47.5706,-122.9717,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Hood Canal Holly,29,12,1,3856796,14.492,1,26.772,0.5995,0.0409
107,47.5706,-122.9717,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Hood Canal Holly,29,12,1,4797197,8.659,1.08,32.632,0.6341,0.0419
