site_number,site_name,sample_id,p450,sod
10,Oak Bay County Park,90,2424308.25,25.05063933
10,Oak Bay County Park,91,1614686.09,2.378617931
15,"Smith Cove, Terminal 91",92,2166610.684,5.576963592
15,"Smith Cove, Terminal 91",93,7730819.154,3.914034859
15,"Smith Cove, Terminal 91",94,1618147.398,7.690072979
15,"Smith Cove, Terminal 91",95,4318288.155,13.20090297
23,Brackenwood Ln,96,1269668.342,-1.514077228
23,Brackenwood Ln,97,2011541.496,15.98870388
23,Brackenwood Ln,98,1651491.582,6.809398721
23,Brackenwood Ln,99,2161794.197,7.492130038
8,Chimacum Creek delta,100,2951353.397,2.599387649
8,Chimacum Creek delta,101,1782911.97,2.836595091
8,Chimacum Creek delta,102,2742036.848,-0.411084509
8,Chimacum Creek delta,103,3088892.791,2.177169169
29,Hood Canal Holly,106,291624.5775,-1.042776741
29,Hood Canal Holly,107,1692339.728,-1.627925903
29,Hood Canal Holly,109,380080.3829,-6.291756545
43,Point Defiance Ferry,110,2208900.968,4.646670194
43,Point Defiance Ferry,111,1482316.17,6.955797378
43,Point Defiance Ferry,112,2846056.156,3.170340795
43,Point Defiance Ferry,113,1927874.431,11.04330735
48,"Comm Bay, Dick Gilmur Launch",115,4636576.897,11.28580119
48,"Comm Bay, Dick Gilmur Launch",116,4040139.802,4.914974598
48,"Comm Bay, Dick Gilmur Launch",117,2353037.661,8.819019813
46,Thea Foss Waterway,118,735844.6195,8.372546323
46,Thea Foss Waterway,119,1453865.493,13.40194356
46,Thea Foss Waterway,122,8793139.785,0.254614757
40,Salmon Beach,123,917067.5299,0
40,Salmon Beach,124,2352820.111,12.93290007
40,Salmon Beach,126,1382917.518,7.34546401
56,Chambers Bay Park,127,22777074.12,15.5983052
56,Chambers Bay Park,128,3578424.227,14.49211121
56,Chambers Bay Park,129,4479918.422,8.658705938
56,Chambers Bay Park,130,4173684.324,7.718495123
58,Gig Harbor Boat Launch,131,5582112.933,5.435308681
58,Gig Harbor Boat Launch,132,2734668.648,9.94353543
58,Gig Harbor Boat Launch,133,5447066.128,14.65607062
58,Gig Harbor Boat Launch,134,1608895.294,29.85291252
67,Tulalip Bay,135,6050177.064,20.04834773
67,Tulalip Bay,136,3475076.688,0.13458155
67,Tulalip Bay,137,7541125.753,9.075422937
67,Tulalip Bay,138,5438127.301,0.786638442
67,Tulalip Bay,139,4707732.41,6.442883283
67,Tulalip Bay,140,5420960.261,1.035321931
42,Blair Waterway #2,141,7415687.477,26.42424544
42,Blair Waterway #2,142,2336026.125,12.85437983
42,Blair Waterway #2,143,3199450.886,2.636850875
42,Blair Waterway #2,144,4752300.998,1.269412438
57,Purdy - Dexters,145,5961109.649,-2.022213643
57,Purdy - Dexters,146,5111770.767,-0.726438224
57,Purdy - Dexters,147,3923932.654,-1.350978239
57,Purdy - Dexters,148,3318363.023,7.035831342
41,Blair Waterway,149,4234624.268,0.671745233
41,Blair Waterway,150,5143570.449,6.431894312
41,Blair Waterway,151,4339810.41,9.589878466
41,Blair Waterway,152,3633029.828,9.376731224
28,Madrona Pont,153,11889909.51,8.314830271
28,Madrona Pont,154,6650989.658,4.664119899
28,Madrona Pont,155,3417932.42,2.368626171
28,Madrona Pont,156,6111407.362,2.732598326
49,"Comm Bay, Milwaukee Waterway",157,4263664.216,5.01981184
49,"Comm Bay, Milwaukee Waterway",158,13167666.99,16.26757387
49,"Comm Bay, Milwaukee Waterway",159,3461398.645,5.767563973
49,"Comm Bay, Milwaukee Waterway",160,8190625.093,13.78364475
49,"Comm Bay, Milwaukee Waterway",161,7886778.001,-0.635744873
12,Discovery Bay,162,5436068.044,17.51233423
12,Discovery Bay,163,5773097.603,1.485244682
12,Discovery Bay,164,1513620.949,15.95677737
12,Discovery Bay,165,3207157.892,2.375798532
36,Kingston Marina,166,2382760.203,4.546235148
36,Kingston Marina,167,7415597.328,7.72157521
36,Kingston Marina,168,4668353.64,3.93967446
36,Kingston Marina,169,7376507.593,1.276097616
32,Rich Passage,170,1476766.089,3.506183208
32,Rich Passage,171,11738655.54,2.630922974
32,Rich Passage,172,2880896.804,1.142948285
32,Rich Passage,173,4148180.202,1.998917628
59,Filucy Bay,174,12472187.71,6.86633235
59,Filucy Bay,175,6726341.292,2.005993872
59,Filucy Bay,176,13491947.47,10.58470317
59,Filucy Bay,177,10820612.01,0.579480274
55,Minter Bay,178,5146723.322,8.582403952
55,Minter Bay,179,6537217.569,5.088217182
55,Minter Bay,180,11216181.9,2.001667492
55,Minter Bay,181,9219025.002,4.366696464
73,West Bay Park,182,10107486.98,2.620526548
73,West Bay Park,183,4200103.946,9.357208636
73,West Bay Park,184,15718987.84,5.788840751
73,West Bay Park,185,4006827.467,0.744673474
72,Eld Inlet,186,5090880.532,10.97488133
72,Eld Inlet,187,1009808.987,12.53975476
72,Eld Inlet,188,16612698.02,7.039960378
72,Eld Inlet,189,16495985.01,8.890455718
70,Tulalip Reservation,190,9509258.245,2.633340391
70,Tulalip Reservation,191,3760565.538,3.165587108
70,Tulalip Reservation,192,4598259.843,-0.872847897
70,Tulalip Reservation,193,2520935.427,10.00722962
54,Browns Point Lighthouse,194,1869821.038,3.733258907
54,Browns Point Lighthouse,195,10377435.58,1.510299625
54,Browns Point Lighthouse,196,9951688.477,2.472247479
54,Browns Point Lighthouse,197,9992061.521,1.531263004
38,Squaxin Island,198,9659247.354,2.863819168
38,Squaxin Island,199,5609583.919,16.64218412
38,Squaxin Island,200,6607121.565,-2.758227253
38,Squaxin Island,201,2867681.855,6.787558343
51,Maple Hollow Park,202,5080836.143,-4.054863729
51,Maple Hollow Park,203,34233996.15,3.693735405
51,Maple Hollow Park,204,1210308.55,-4.118362993
66,Everett Harbor,206,8135083.408,-3.800346544
66,Everett Harbor,207,6115909.82,5.49281946
66,Everett Harbor,208,5808286.72,3.772750103
66,Everett Harbor,209,3196291.185,-0.305233341
62,N Avenue Park,210,3680655.654,0.027410018
62,N Avenue Park,211,8637808.831,0.064397154
62,N Avenue Park,212,5167149.882,5.691771099
62,N Avenue Park,213,9574141.682,-3.014981762
64,Cap Sante,214,1293401.195,14.37055745
64,Cap Sante,215,4081902.821,4.895078561
64,Cap Sante,216,1544138.095,42.80530844
64,Cap Sante,217,11524795.48,11.94742289
53,Raft Island Park,218,6066970.935,-2.938910499
53,Raft Island Park,219,6061146.136,2.854840932
53,Raft Island Park,220,3033147.325,11.02887301
53,Raft Island Park,221,1581058.797,1.225909173
61,Friday Harbor,222,6899778.5,-2.927906308
61,Friday Harbor,223,4285885.482,12.3110815
61,Friday Harbor,224,3660475.27,2.296589287
61,Friday Harbor,225,6465686.829,-4.877970207
61,Friday Harbor,226,5908857.287,18.93514758
69,Edmonds Ferry,227,16349554,0.817818586
69,Edmonds Ferry,228,7086401.343,-4.249211843
69,Edmonds Ferry,229,5844279.76,-2.434570168
69,Edmonds Ferry,230,3776739.987,-4.326542516
20,Miller Creek,231,5993436.247,-1.53347398
20,Miller Creek,232,30697269.95,1.041075559
20,Miller Creek,233,8815608.939,7.704130638
20,Miller Creek,234,18090510.68,7.313642106
76,Locust Beach,235,1911450.926,10.20436255
76,Locust Beach,236,2007311.21,7.075662067
76,Locust Beach,237,3303875.928,3.413700619
76,Locust Beach,238,2252563.285,3.907380687
77,Aiston Preserve,239,9716178.442,-0.231516211
77,Aiston Preserve,240,1358796.759,4.876828946
77,Aiston Preserve,241,4914880.479,8.871340047
77,Aiston Preserve,242,2861585.576,0.010085806
1,Port Angeles Yacht Club,243,5418303.459,14.89473674
1,Port Angeles Yacht Club,244,6195514.045,3.323303979
1,Port Angeles Yacht Club,245,4874820.912,24.33179621
1,Port Angeles Yacht Club,246,2729240.396,-0.060351992
1,Port Angeles Yacht Club,247,12351981.85,3.679220471
1,Port Angeles Yacht Club,248,2439233.143,1.758224791
52,Kopachuck State Park,249,7962916.9,4.823167904
52,Kopachuck State Park,250,9304019.663,4.09548162
52,Kopachuck State Park,251,2452740.173,9.209739195
26,Williams Olson Park,252,5178289.976,-0.261141927
52,Kopachuck State Park,253,8335261.529,0.775164275
26,Williams Olson Park,254,1570655.683,3.467767834
26,Williams Olson Park,255,1267046.112,5.286890167
26,Williams Olson Park,256,4252322.006,17.07340713
24,Skiff Point,257,12721940.07,4.06564522
24,Skiff Point,258,2870482.827,3.93280474
24,Skiff Point,259,5003819.061,1.754673716
24,Skiff Point,260,1852789.45,9.362148048
33,"Manchester, Stormwater Outfall",261,12587429.83,5.031035778
33,"Manchester, Stormwater Outfall",262,11029903.1,3.681849898
33,"Manchester, Stormwater Outfall",263,4659442.442,4.915176259
33,"Manchester, Stormwater Outfall",264,2585048.133,-2.45692713
44,Donkey Creek Delta,265,4434123.279,0.18944871
44,Donkey Creek Delta,266,2345306.358,-0.369001698
44,Donkey Creek Delta,267,1872904.6,6.20604472
30,Broad Spit (Fisherman's Point),269,1266434.187,0.896484575
30,Broad Spit (Fisherman's Point),270,1677282.934,10.87473912
30,Broad Spit (Fisherman's Point),271,4814193.5,7.415835244
30,Broad Spit (Fisherman's Point),272,1386295.483,9.276955011
39,Reach Island,273,7180437.579,7.635785614
39,Reach Island,274,7550633.228,0.367192171
39,Reach Island,275,1944973.493,0.027603544
39,Reach Island,276,6208335.517,10.30410019
22,Three Tree Point,277,8438404.147,9.207751785
22,Three Tree Point,278,9704454.95,8.997827689
22,Three Tree Point,279,10493027.31,9.760407843
22,Three Tree Point,280,2838172.898,3.696772427
13,Arroyo Beach,281,3284818.832,7.08387708
13,Arroyo Beach,282,6484263.485,0.634793688
13,Arroyo Beach,283,8681719.944,11.88378415
13,Arroyo Beach,284,1813467.799,6.099566802
13,Arroyo Beach,285,1987287.444,15.28458767
16,"Salmon Bay, Commodore Park",287,5250261.746,5.874301989
16,"Salmon Bay, Commodore Park",288,6062837.107,4.591968253
16,"Salmon Bay, Commodore Park",289,1817198.502,1.329939804
16,"Salmon Bay, Commodore Park",290,4648411.807,3.380989389
18,Shilshole Bay,291,3787448.393,0.853763421
18,Shilshole Bay,292,2701768.594,1.540746908
18,Shilshole Bay,293,1902525.416,12.83109092
18,Shilshole Bay,294,2449213.424,24.40051208
27,Rocky Point,295,25070825.1,15.43526555
27,Rocky Point,296,1980530.542,7.395650651
27,Rocky Point,297,7956123.397,14.14641226
27,Rocky Point,298,2871726.43,2.604570552
37,Lions Park,299,8242276.652,6.100228734
37,Lions Park,300,8603570.336,13.89101567
37,Lions Park,301,2556546.506,7.869005582
37,Lions Park,302,6090271.547,13.83630825
7,North Camano,303,8854710.291,-4.614512812
7,North Camano,304,32449887.32,0.563539484
7,North Camano,305,5141533.342,2.438321368
7,North Camano,306,3249105.519,-1.431361479
11,Maristone Island,307,2150183.216,12.99176142
11,Maristone Island,308,5028928.727,5.332301682
11,Maristone Island,309,5113634.72,0.262851136
11,Maristone Island,310,11969753.87,4.94871819
11,Maristone Island,311,1925814.333,8.388476306
11,Maristone Island,312,2078574.506,2.408282836
