site_name,latitude,longitude,reporting_area,site_number,sample_id,at,cf,PAHgroup3,PAHgroup4,PAHgroup6,PAHgroup8
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,63,0.74,0.1812,3,4,5,7
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,64,0.825,0.176,3,4,5,7
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,65,0.8,0.1711,1,2,2,3
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,66,0.965,0.1665,1,2,2,3
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,67,0.535,0.1925,1,2,2,3
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,68,0.855,0.184,1,2,2,3
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,69,0.89,0.1925,3,4,6,8
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,70,0.74,0.1572,3,4,6,8
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,71,0.615,0.1533,3,4,6,8
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,72,0.935,0.2002,3,4,6,8
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,73,0.94,0.238,3,4,6,8
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,74,1.195,0.2331,1,2,2,3
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,75,0.705,0.126,1,2,2,3
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,76,0.83,0.1856,1,2,2,3
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,77,0.93,0.214,1,2,2,3
"Seattle Aquarium, Pier 59",47.607,-122.342,10,17,78,0.755,0.1453,3,4,6,8
"Seattle Aquarium, Pier 59",47.607,-122.342,10,17,79,0.905,0.182,3,4,6,8
"Seattle Aquarium, Pier 59",47.607,-122.342,10,17,80,0.905,0.1834,3,4,6,8
"Seattle Aquarium, Pier 59",47.607,-122.342,10,17,81,0.805,0.1944,3,4,6,8
Jamestown,48.024789,-122.998135,6,2,82,0.58,0.1693,1,1,1,1
Jamestown,48.024789,-122.998135,6,2,83,0.615,0.1877,1,1,1,1
Jamestown,48.024789,-122.998135,6,2,84,0.545,0.147,1,1,1,1
Jamestown,48.024789,-122.998135,6,2,85,0.45,0.1769,1,1,1,1
Jamestown,48.024789,-122.998135,6,2,86,0.61,0.1462,1,1,1,1
Jamestown,48.024789,-122.998135,6,2,87,0.64,0.2162,1,1,1,1
Oak Bay County Park,48.02218,-122.728709,9,10,88,0.81,0.1868,1,1,1,1
Oak Bay County Park,48.02218,-122.728709,9,10,89,0.8,0.2043,1,1,1,1
Oak Bay County Park,48.02218,-122.728709,9,10,90,0.75,0.1747,1,1,1,1
Oak Bay County Park,48.02218,-122.728709,9,10,91,0.735,0.132,1,1,1,1
"Smith Cove, Terminal 91",47.63237,-122.37869,10,15,92,0.81,0.2297,3,4,6,8
"Smith Cove, Terminal 91",47.63237,-122.37869,10,15,93,0.845,0.177,3,4,6,8
"Smith Cove, Terminal 91",47.63237,-122.37869,10,15,94,0.605,0.1494,3,4,6,8
"Smith Cove, Terminal 91",47.63237,-122.37869,10,15,95,0.7,0.1727,3,4,6,8
Brackenwood Ln,47.68234,-122.5064,10,23,96,0.555,0.1901,2,3,4,5
Brackenwood Ln,47.68234,-122.5064,10,23,97,0.625,0.1732,2,3,4,5
Brackenwood Ln,47.68234,-122.5064,10,23,98,0.75,0.2078,2,3,4,5
Brackenwood Ln,47.68234,-122.5064,10,23,99,0.755,0.21,2,3,4,5
Chimacum Creek delta,48.04906,-122.7724,9,8,100,0.825,0.2014,1,1,2,2
Chimacum Creek delta,48.04906,-122.7724,9,8,101,0.75,0.1266,1,1,2,2
Chimacum Creek delta,48.04906,-122.7724,9,8,102,0.995,0.1643,1,1,2,2
Chimacum Creek delta,48.04906,-122.7724,9,8,103,1.045,0.1726,1,1,2,2
Hood Canal Holly,47.5706,-122.9717,12,29,104,0.725,0.1717,1,1,1,1
Hood Canal Holly,47.5706,-122.9717,12,29,105,0.69,0.182,1,1,1,1
Hood Canal Holly,47.5706,-122.9717,12,29,106,0.755,0.2059,1,1,1,1
Hood Canal Holly,47.5706,-122.9717,12,29,107,0.575,0.1956,1,1,1,1
Hood Canal Holly,47.5706,-122.9717,12,29,108,0.63,0.1868,1,1,1,1
Hood Canal Holly,47.5706,-122.9717,12,29,109,0.685,0.1992,1,1,1,1
Point Defiance Ferry,47.3062,-122.5145,11,43,110,0.79,0.1763,3,3,5,6
Point Defiance Ferry,47.3062,-122.5145,11,43,111,0.79,0.181,3,3,5,6
Point Defiance Ferry,47.3062,-122.5145,11,43,112,0.87,0.1607,3,3,5,6
Point Defiance Ferry,47.3062,-122.5145,11,43,113,0.905,0.1864,3,3,5,6
"Comm Bay, Dick Gilmur Launch",47.292549,-122.412175,11,48,114,0.635,0.1738,3,4,5,7
"Comm Bay, Dick Gilmur Launch",47.292549,-122.412175,11,48,115,0.93,0.2043,3,4,5,7
"Comm Bay, Dick Gilmur Launch",47.292549,-122.412175,11,48,116,0.87,0.1568,3,4,5,7
"Comm Bay, Dick Gilmur Launch",47.292549,-122.412175,11,48,117,0.895,0.2117,3,4,5,7
Thea Foss Waterway,47.259189,-122.434689,11,46,118,0.87,0.1605,3,4,6,7
Thea Foss Waterway,47.259189,-122.434689,11,46,119,0.89,0.1773,3,4,6,7
Thea Foss Waterway,47.259189,-122.434689,11,46,120,0.925,0.1598,3,4,6,7
Thea Foss Waterway,47.259189,-122.434689,11,46,121,0.95,0.1982,3,4,6,7
Thea Foss Waterway,47.259189,-122.434689,11,46,122,0.85,0.043,3,4,6,7
Salmon Beach,47.29464,-122.53053,11,40,123,0.935,0.2061,2,3,4,5
Salmon Beach,47.29464,-122.53053,11,40,124,0.685,0.1415,2,3,4,5
Salmon Beach,47.29464,-122.53053,11,40,125,0.8,0.1457,2,3,4,5
Salmon Beach,47.29464,-122.53053,11,40,126,1.035,0.1489,2,3,4,5
Chambers Bay Park,47.1905742,-122.5834897,13,56,127,0.885,0.1616,1,2,2,3
Chambers Bay Park,47.1905742,-122.5834897,13,56,128,1,0.1084,1,2,2,3
Chambers Bay Park,47.1905742,-122.5834897,13,56,129,1.08,0.149,1,2,2,3
Chambers Bay Park,47.1905742,-122.5834897,13,56,130,1.26,0.1829,1,2,2,3
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,131,0.89,0.1675,2,3,4,5
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,132,0.845,0.1413,2,3,4,5
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,133,1.025,0.1383,2,3,4,5
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,134,1.1,0.1699,2,3,4,5
Tulalip Bay,48.0617,-122.2939,8.2,67,135,0.875,0.1732,2,2,3,3
Tulalip Bay,48.0617,-122.2939,8.2,67,136,0.945,0.1597,2,2,3,3
Tulalip Bay,48.0617,-122.2939,8.2,67,137,0.855,0.1946,2,2,3,3
Tulalip Bay,48.0617,-122.2939,8.2,67,138,0.835,0.2037,2,2,3,3
Tulalip Bay,48.0617,-122.2939,8.2,67,139,0.735,0.1114,2,2,3,3
Tulalip Bay,48.0617,-122.2939,8.2,67,140,1,0.2144,2,2,3,3
Blair Waterway #2,47.2632444,-122.385731,11,42,141,0.745,0.1293,3,4,6,7
Blair Waterway #2,47.2632444,-122.385731,11,42,142,0.97,0.1541,3,4,6,7
Blair Waterway #2,47.2632444,-122.385731,11,42,143,0.9,0.1604,3,4,6,7
Blair Waterway #2,47.2632444,-122.385731,11,42,144,0.815,0.1409,3,4,6,7
Purdy - Dexters,47.38566,-122.627255,13,57,145,0.805,0.1627,1,1,1,2
Purdy - Dexters,47.38566,-122.627255,13,57,146,0.88,0.143,1,1,1,2
Purdy - Dexters,47.38566,-122.627255,13,57,147,0.96,0.1678,1,1,1,2
Purdy - Dexters,47.38566,-122.627255,13,57,148,0.73,0.1986,1,1,1,2
Blair Waterway,47.27568,-122.4173,11,41,149,0.89,0.1921,3,4,5,7
Blair Waterway,47.27568,-122.4173,11,41,150,0.68,0.1731,3,4,5,7
Blair Waterway,47.27568,-122.4173,11,41,151,1.075,0.1902,3,4,5,7
Blair Waterway,47.27568,-122.4173,11,41,152,0.71,0.2066,3,4,5,7
Madrona Pont,47.57995505,-122.6786,10,28,153,0.71,0.1702,2,2,3,3
Madrona Pont,47.57995505,-122.6786,10,28,154,0.785,0.1249,2,2,3,3
Madrona Pont,47.57995505,-122.6786,10,28,155,0.72,0.1286,2,2,3,3
Madrona Pont,47.57995505,-122.6786,10,28,156,1.005,0.1988,2,2,3,3
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,157,0.82,0.1901,3,3,5,6
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,158,0.955,0.1666,3,3,5,6
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,159,0.75,0.154,3,3,5,6
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,160,0.75,0.1521,3,3,5,6
"Comm Bay, Milwaukee Waterway",47.2694,-122.4243,11,49,161,0.83,0.1402,3,3,5,6
Discovery Bay,48.064957,-122.857524,6,12,162,0.745,0.1633,1,2,2,3
Discovery Bay,48.064957,-122.857524,6,12,163,0.805,0.1874,1,2,2,3
Discovery Bay,48.064957,-122.857524,6,12,164,0.75,0.2133,1,2,2,3
Discovery Bay,48.064957,-122.857524,6,12,165,0.875,0.2095,1,2,2,3
Kingston Marina,47.794695,-122.499858,10,36,166,0.815,0.1922,2,2,3,3
Kingston Marina,47.794695,-122.499858,10,36,167,0.845,0.1684,2,2,3,3
Kingston Marina,47.794695,-122.499858,10,36,168,0.875,0.1712,2,2,3,3
Kingston Marina,47.794695,-122.499858,10,36,169,0.71,0.1303,2,2,3,3
Rich Passage,47.578117,-122.524833,10,32,170,0.9,0.1901,2,2,3,4
Rich Passage,47.578117,-122.524833,10,32,171,0.83,0.1489,2,2,3,4
Rich Passage,47.578117,-122.524833,10,32,172,0.745,0.1754,2,2,3,4
Rich Passage,47.578117,-122.524833,10,32,173,0.765,0.1494,2,2,3,4
Filucy Bay,47.19483,-122.748665,13,59,174,0.795,0.1058,1,1,1,2
Filucy Bay,47.19483,-122.748665,13,59,175,0.815,0.1855,1,1,1,2
Filucy Bay,47.19483,-122.748665,13,59,176,1.055,0.2005,1,1,1,2
Filucy Bay,47.19483,-122.748665,13,59,177,0.76,0.1453,1,1,1,2
Minter Bay,47.3539722,-122.69175,13,55,178,0.95,0.175,1,1,2,2
Minter Bay,47.3539722,-122.69175,13,55,179,1.095,0.1595,1,1,2,2
Minter Bay,47.3539722,-122.69175,13,55,180,0.825,0.1956,1,1,2,2
Minter Bay,47.3539722,-122.69175,13,55,181,0.8,0.1665,1,1,2,2
West Bay Park,47.052362,-122.910912,13,73,182,0.78,0.1708,2,3,4,5
West Bay Park,47.052362,-122.910912,13,73,183,0.66,0.2197,2,3,4,5
West Bay Park,47.052362,-122.910912,13,73,184,0.845,0.201,2,3,4,5
West Bay Park,47.052362,-122.910912,13,73,185,0.805,0.1386,2,3,4,5
Eld Inlet,47.074603,-123.003527,13,72,186,0.63,0.1966,1,1,2,2
Eld Inlet,47.074603,-123.003527,13,72,187,0.62,0.1662,1,1,2,2
Eld Inlet,47.074603,-123.003527,13,72,188,0.835,0.244,1,1,2,2
Eld Inlet,47.074603,-123.003527,13,72,189,0.745,0.2346,1,1,2,2
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,190,0.845,0.1737,2,2,3,3
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,191,0.82,0.1871,2,2,3,3
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,192,0.83,0.151,2,2,3,3
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,193,0.64,0.1604,2,2,3,3
Browns Point Lighthouse,47.30515,-122.44441,11,54,194,0.84,0.1794,2,3,4,6
Browns Point Lighthouse,47.30515,-122.44441,11,54,195,0.8,0.1766,2,3,4,6
Browns Point Lighthouse,47.30515,-122.44441,11,54,196,0.82,0.2028,2,3,4,6
Browns Point Lighthouse,47.30515,-122.44441,11,54,197,0.935,0.2024,2,3,4,6
Squaxin Island,47.17650485,-122.9046464,13,38,198,0.85,0.1824,1,1,2,2
Squaxin Island,47.17650485,-122.9046464,13,38,199,0.955,0.1731,1,1,2,2
Squaxin Island,47.17650485,-122.9046464,13,38,200,0.925,0.182,1,1,2,2
Squaxin Island,47.17650485,-122.9046464,13,38,201,0.695,0.1595,1,1,2,2
Maple Hollow Park,47.30008,-122.74566,13,51,202,0.8,0.1974,1,1,2,2
Maple Hollow Park,47.30008,-122.74566,13,51,203,0.665,0.1456,1,1,2,2
Maple Hollow Park,47.30008,-122.74566,13,51,204,0.735,0.1939,1,1,2,2
Maple Hollow Park,47.30008,-122.74566,13,51,205,0.9,0.1996,1,1,2,2
Everett Harbor,47.9726,-122.22977,8.2,66,206,0.885,0.1688,2,3,4,5
Everett Harbor,47.9726,-122.22977,8.2,66,207,0.865,0.1313,2,3,4,5
Everett Harbor,47.9726,-122.22977,8.2,66,208,0.675,0.1466,2,3,4,5
Everett Harbor,47.9726,-122.22977,8.2,66,209,0.68,0.1355,2,3,4,5
N Avenue Park,48.52108,-122.61531,7,62,210,0.9,0.2009,3,4,6,8
N Avenue Park,48.52108,-122.61531,7,62,211,0.79,0.1556,3,4,6,8
N Avenue Park,48.52108,-122.61531,7,62,212,0.89,0.1759,3,4,6,8
N Avenue Park,48.52108,-122.61531,7,62,213,0.71,0.1962,3,4,6,8
Cap Sante,48.520971,-122.600717,7,64,214,0.955,0.1248,2,3,4,5
Cap Sante,48.520971,-122.600717,7,64,215,0.725,0.1538,2,3,4,5
Cap Sante,48.520971,-122.600717,7,64,216,0.6,0.1538,2,3,4,5
Cap Sante,48.520971,-122.600717,7,64,217,0.88,0.1329,2,3,4,5
Raft Island Park,47.32598,-122.66724,13,53,218,0.58,0.1806,1,1,1,2
Raft Island Park,47.32598,-122.66724,13,53,219,0.595,0.1358,1,1,1,2
Raft Island Park,47.32598,-122.66724,13,53,220,0.805,0.1783,1,1,1,2
Raft Island Park,47.32598,-122.66724,13,53,221,0.635,0.1892,1,1,1,2
Friday Harbor,48.5069444,-123.0194444,7,61,222,0.895,0.1626,3,3,5,2
Friday Harbor,48.5069444,-123.0194444,7,61,223,0.625,0.1507,3,3,5,6
Friday Harbor,48.5069444,-123.0194444,7,61,224,0.735,0.0909,3,3,5,6
Friday Harbor,48.5069444,-123.0194444,7,61,225,0.845,0.18,3,3,5,6
Friday Harbor,48.5069444,-123.0194444,7,61,226,0.65,0.143,3,3,5,6
Edmonds Ferry,47.81407,-122.3825,9,69,227,0.885,0.1738,3,3,5,5
Edmonds Ferry,47.81407,-122.3825,9,69,228,0.665,0.1654,3,3,5,5
Edmonds Ferry,47.81407,-122.3825,9,69,229,0.82,0.2114,3,3,5,5
Edmonds Ferry,47.81407,-122.3825,9,69,230,0.39,0.1718,3,3,5,5
Miller Creek,47.4436,-122.360316,11,20,231,0.96,0.1936,2,2,3,4
Miller Creek,47.4436,-122.360316,11,20,232,0.745,0.1985,2,2,3,4
Miller Creek,47.4436,-122.360316,11,20,233,0.895,0.1914,2,2,3,4
Miller Creek,47.4436,-122.360316,11,20,234,0.685,0.1737,2,2,3,4
Locust Beach,48.77636877,-122.5378679,7,76,235,0.665,0.1222,1,1,1,1
Locust Beach,48.77636877,-122.5378679,7,76,236,0.6,0.1728,1,1,1,1
Locust Beach,48.77636877,-122.5378679,7,76,237,0.745,0.1811,1,1,1,1
Locust Beach,48.77636877,-122.5378679,7,76,238,0.74,0.2022,1,1,1,1
Aiston Preserve,48.6793778,-122.6300583,7,77,239,0.7,0.156,1,1,1,1
Aiston Preserve,48.6793778,-122.6300583,7,77,240,0.79,0.1374,1,1,1,1
Aiston Preserve,48.6793778,-122.6300583,7,77,241,0.825,0.1782,1,1,1,1
Aiston Preserve,48.6793778,-122.6300583,7,77,242,0.93,0.1737,1,1,1,1
Kopachuck State Park,47.30973,-122.68868,13,52,249,0.86,1.5799,1,1,1,1
Kopachuck State Park,47.30973,-122.68868,13,52,250,0.77,0.1619,1,1,1,1
Kopachuck State Park,47.30973,-122.68868,13,52,251,0.69,0.1407,1,1,1,1
Williams Olson Park,47.66586,-122.56698,10,26,252,0.575,0.1876,2,2,3,4
Kopachuck State Park,47.30973,-122.68868,13,52,253,0.79,0.2201,1,1,1,1
Williams Olson Park,47.66586,-122.56698,10,26,254,0.615,0.1901,2,2,3,4
Williams Olson Park,47.66586,-122.56698,10,26,255,0.785,0.1388,2,2,3,4
Williams Olson Park,47.66586,-122.56698,10,26,256,0.71,0.1314,2,2,3,4
Skiff Point,47.66142,-122.49884,10,24,257,0.49,0.1941,2,3,4,6
Skiff Point,47.66142,-122.49884,10,24,258,0.62,0.1876,2,3,4,6
Skiff Point,47.66142,-122.49884,10,24,259,0.59,0.1732,2,3,4,6
Skiff Point,47.66142,-122.49884,10,24,260,0.535,0.1482,2,3,4,6
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,261,0.61,0.2221,2,3,4,5
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,262,0.57,0.199,2,3,4,5
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,263,0.6,0.1848,2,3,4,5
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,264,0.645,0.1894,2,3,4,5
Donkey Creek Delta,47.33775,-122.59014,11,44,265,0.755,0.1865,3,3,5,6
Donkey Creek Delta,47.33775,-122.59014,11,44,266,0.635,0.1687,3,3,5,6
Donkey Creek Delta,47.33775,-122.59014,11,44,267,0.695,0.1815,3,3,5,6
Donkey Creek Delta,47.33775,-122.59014,11,44,268,0.85,0.1846,3,3,5,6
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,269,0.645,0.1206,1,1,1,7
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,270,0.56,0.1735,1,1,1,7
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,271,0.79,0.194,1,1,1,7
Broad Spit (Fisherman's Point),47.78184,-122.83474,12,30,272,0.66,0.2064,1,1,1,7
Reach Island,47.346537,-122.82236,13,39,273,0.655,0.1414,1,2,2,3
Reach Island,47.346537,-122.82236,13,39,274,0.85,0.2169,1,2,2,3
Reach Island,47.346537,-122.82236,13,39,275,0.765,0.1631,1,2,2,3
Reach Island,47.346537,-122.82236,13,39,276,0.81,0.1532,1,2,2,3
Three Tree Point,47.44896,-122.372267,11,22,277,0.73,0.188,2,2,3,4
Three Tree Point,47.44896,-122.372267,11,22,278,0.765,0.2196,2,2,3,4
Three Tree Point,47.44896,-122.372267,11,22,279,0.955,0.2095,2,2,3,4
Three Tree Point,47.44896,-122.372267,11,22,280,0.8,0.2166,2,2,3,4
Arroyo Beach,47.50161,-122.38593,11,13,281,0.92,0.1866,2,3,4,5
Arroyo Beach,47.50161,-122.38593,11,13,282,0.965,0.1959,2,3,4,5
Arroyo Beach,47.50161,-122.38593,11,13,283,0.86,0.1937,2,3,4,5
Arroyo Beach,47.50161,-122.38593,11,13,284,0.955,0.2017,2,3,4,5
Arroyo Beach,47.50161,-122.38593,11,13,285,0.875,0.1136,2,3,4,5
Arroyo Beach,47.50161,-122.38593,11,13,286,0.645,0.1628,2,3,4,5
"Salmon Bay, Commodore Park",47.6663,-122.4018,10,16,287,0.67,0.2051,3,4,6,7
"Salmon Bay, Commodore Park",47.6663,-122.4018,10,16,288,0.795,0.1903,3,4,6,7
"Salmon Bay, Commodore Park",47.6663,-122.4018,10,16,289,0.725,0.1859,3,4,6,7
"Salmon Bay, Commodore Park",47.6663,-122.4018,10,16,290,0.64,0.1873,3,4,6,7
Shilshole Bay,47.671678,-122.406663,10,18,291,0.56,0.1508,3,4,6,8
Shilshole Bay,47.671678,-122.406663,10,18,292,0.575,0.128,3,4,6,8
Shilshole Bay,47.671678,-122.406663,10,18,293,0.515,0.1539,3,4,6,8
Shilshole Bay,47.671678,-122.406663,10,18,294,0.575,0.1727,3,4,6,8
Rocky Point,47.60255,-122.66992,10,27,295,0.695,0.1736,2,2,3,4
Rocky Point,47.60255,-122.66992,10,27,296,0.595,0.1679,2,2,3,4
Rocky Point,47.60255,-122.66992,10,27,297,0.745,0.1909,2,2,3,4
Rocky Point,47.60255,-122.66992,10,27,298,0.72,0.1803,2,2,3,4
Lions Park,47.5833538,-122.6414587,10,37,299,0.66,0.1797,2,2,3,4
Lions Park,47.5833538,-122.6414587,10,37,300,0.75,0.1435,2,2,3,4
Lions Park,47.5833538,-122.6414587,10,37,301,0.805,0.1266,2,2,3,4
Lions Park,47.5833538,-122.6414587,10,37,302,0.785,0.1424,2,2,3,4
North Camano,48.255358,-122.507014,8.1,7,303,0.745,0.187,1,1,2,2
North Camano,48.255358,-122.507014,8.1,7,304,0.725,0.1916,1,1,2,2
North Camano,48.255358,-122.507014,8.1,7,305,0.855,0.1913,1,1,2,2
North Camano,48.255358,-122.507014,8.1,7,306,0.745,0.1484,1,1,2,2
Maristone Island,48.018127,-122.699524,9,11,307,0.61,0.1875,1,1,1,1
Maristone Island,48.018127,-122.699524,9,11,308,0.705,0.1744,1,1,1,1
Maristone Island,48.018127,-122.699524,9,11,309,0.9,0.1787,1,1,1,1
Maristone Island,48.018127,-122.699524,9,11,310,0.695,0.1358,1,1,1,1
Maristone Island,48.018127,-122.699524,9,11,311,0.61,0.2117,1,1,1,1
Maristone Island,48.018127,-122.699524,9,11,312,0.675,0.2405,1,1,1,1
