reporting_area,site_name,avg_sod,a21,a22,a25,a27,a55,a56,a57,a61,a62,a76,a77,a123
9,Chimacum Creek delta,1.80051685,1.996555024,-1.559808612,2.558086124,3.306794258,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.310239234,4.117894737
7,"Chuckanut, Clark's Point",11.2110419,1.721446384,1.4919202,2.467406484,3.27074813,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,3.098603491,4.074089776
11,Comm Bay Skookum,9.07430531,5.473657234,2.703854778,5.209866524,7.913721303,3.495226909,2.506011746,3.627122264,3.363331554,2.769802456,4.550389749,9.892151628,10.5516284
11,"Comm Bay, Dick Gilmur Launch",14.00873683,5.33870283,2.278714623,4.752747642,6.510613208,3.12509434,2.539139151,4.882959906,2.864669811,2.474033019,5.989764151,7.812735849,11.06804245
11,"Comm Bay, Milwaukee Waterway",8.040569912,3.163315364,1.951832884,3.567142857,4.442102426,2.355660377,1.548005391,4.374797844,1.884528302,1.749919137,3.028706199,3.163315364,8.749595687
11,Des Moines Marina,8.792656395,3.307655458,1.898839245,3.858931368,5.941529249,1.776333487,1.347563335,1.776333487,1.837586366,1.837586366,10.41298941,4.28770152,263.3873791
6,Discovery Bay,9.332538704,1.1296983,-0.894344487,1.506264399,1.882830499,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,1.035556775,5.177783873
11,Donkey Creek Delta,2.407837279,6.612110312,2.446480815,5.686414868,9.918165468,2.777086331,1.91751199,2.248117506,3.17381295,3.636660671,-1.05793765,2.578723022,6.612110312
10,Eagle Harbor Dr,12.6098516,6.393396226,2.818594035,6.393396226,9.624467438,2.956086427,1.993639684,2.406116859,2.956086427,3.574802191,1.581162508,3.024832623,12.37431528
7,"Eastsound, Fishing Bay",7.534952207,1.708319605,-1.322570016,2.204283361,2.755354201,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,1.3776771,9.368204283
9,Edmonds Ferry,0.206329647,2.806205607,1.695415888,3.215443925,4.560084112,1.636953271,-1.169252336,1.636953271,1.695415888,1.28617757,-1.169252336,2.280042056,7.600140187
9,Edmonds Marina,13.85400356,2.752819945,1.698548476,3.221385042,4.627080332,1.581407202,1.171412742,1.698548476,1.757119114,1.405695291,1.112842105,2.459966759,10.54271468
13,Eld Inlet,9.861263047,2.73484507,1.447859155,2.949342723,4.450826291,1.340610329,-1.179737089,1.286985915,1.286985915,1.501483568,-1.179737089,1.447859155,3.91458216
10,Elliot Bay Myrtle Edwards,11.72580418,8.052281134,3.489321825,7.381257707,13.42046856,4.09324291,3.086707768,5.502392109,5.032675709,3.824833539,13.42046856,5.032675709,181.1763255
10,"Elliott Bay, Harbor Island, Pier 17",5.500254008,7.417353103,2.738714992,5.705656233,13.69357496,3.594563427,2.225205931,2.567545305,5.078034047,3.594563427,3.879846238,3.594563427,42.22185612
8.2,Everett Harbor,1.28999742,2.5298188,1.797502831,3.12898641,4.260747452,1.730928652,-1.464631937,1.797502831,1.531206116,-1.464631937,-1.464631937,1.86407701,7.323159683
7,"Fidalgo Bay Aq Reserve, Weaverling Spit",11.87749221,2.162282542,-1.971492906,2.925441086,3.179827267,-2.035089451,-2.035089451,3.879389266,-2.035089451,-1.971492906,5.787285626,3.815792721,9.539481801
13,Filucy Bay,5.009127417,3.617863974,1.601349628,3.736482465,5.159904357,1.957205101,1.126875664,1.482731137,1.719968119,2.372369819,-1.126875664,1.601349628,3.439936238
7,Friday Harbor,5.14738837,1.754755662,-1.378736591,2.256114422,3.008152563,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,1.316066746,10.65387366
11,Gig Harbor Boat Launch,14.97195681,4.863690965,1.846971253,4.371165298,7.38788501,2.093234086,1.477577002,1.662274127,2.524194045,2.893588296,-1.231314168,2.093234086,7.38788501
12,Hood Canal Holly,1.640458193,1.707373272,-1.502488479,2.048847926,2.731797235,-1.57078341,-1.57078341,1.912258065,-1.57078341,-1.57078341,-1.57078341,-1.297603687,-3.824516129
6,Jamestown,7.752782309,1.922363352,1.590921395,2.651535659,3.115554399,1.657209787,-1.392056221,3.64586153,-1.392056221,-1.325767829,-1.392056221,-1.126902655,-4.573899011
10,Kingston Marina,4.370895609,2.730109661,1.755070496,2.990120104,4.940198433,1.300052219,-1.235049608,1.625065274,1.430057441,1.300052219,-1.235049608,1.885075718,5.590224543
10,Kitsap St Boat Launch,10.7481244,9.609923664,3.540498192,8.598352752,14.16199277,3.591076738,2.52892728,3.135869827,4.855540378,5.05785456,2.377191643,2.98413419,11.12728003
13,Kopachuck State Park,4.725888249,2.496530029,1.416949476,2.766425167,3.980953289,1.416949476,-1.079580553,1.282001907,1.282001907,1.349475691,-1.079580553,1.48442326,3.441163012
10,Lions Park,10.42413956,5.067873807,2.632661718,5.067873807,8.556150583,2.106129374,-1.513780488,2.566845175,2.632661718,2.830111347,-1.513780488,3.027560976,5.396956522
7,Locust Beach,6.150276481,1.728059049,1.472050301,2.176074358,2.944100601,-1.408048114,-1.408048114,1.856063423,-1.408048114,-1.408048114,-1.408048114,2.816096227,-4.352148715
10,Madrona Pont,4.520043667,4.760937819,1.928481142,4.580142712,7.231804281,2.109276249,1.325830785,2.22980632,2.350336391,2.772191641,-1.205300714,2.591396534,4.941732926
10,"Manchester, Stormwater Outfall",2.792783701,2.941688585,1.915518148,3.35215676,5.267674908,1.710284061,-1.368227249,1.641872699,1.641872699,1.641872699,-1.368227249,2.394397685,6.772724882
13,Maple Hollow Park,2.576942008,2.748148148,1.635802469,3.075308642,4.383950617,1.57037037,-1.112345679,1.374074074,1.439506173,1.504938272,-1.112345679,1.504938272,3.664197531
9,Maristone Island,5.722065262,2.046102075,1.411104879,2.681099271,3.245541223,1.622770611,-1.411104879,3.809983174,-1.411104879,-1.411104879,-1.411104879,1.340549635,-4.727201346
13,Meyer's Point - Henderson Inlet,15.21190078,3.048227612,1.709981343,3.568656716,4.68386194,2.007369403,1.486940299,4.386473881,1.635634328,1.784328358,-1.338246269,1.412593284,-5.650373134
11,Miller Creek,3.631343581,3.177356866,1.842866982,3.431545415,4.829582437,1.842866982,1.334489884,1.842866982,1.588678433,1.588678433,1.334489884,2.414791218,5.337959535
13,Minter Bay,5.009746273,2.631632653,1.381607143,2.763214286,4.276403061,1.381607143,-1.25002551,1.315816327,1.381607143,1.644770408,-1.25002551,1.710561224,3.881658163
8.2,Mukilteo,7.606435702,2.265723109,1.488903757,2.71886773,3.754626866,1.488903757,-1.229963973,1.553638703,1.424168811,-1.229963973,-1.229963973,1.942048379,7.768193515
7,N Avenue Park,0.692149127,2.170719603,1.465235732,2.767667494,3.690223325,1.302431762,-1.248163772,1.302431762,-1.248163772,-1.248163772,4.178635236,3.473151365,42.87171216
8.1,North Camano,3.101924016,1.967858881,-1.52350365,2.285255474,2.920048662,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,2.920048662,4.443552311
9,Oak Bay County Park,11.83915658,2.051926978,1.346577079,2.564908722,3.077890467,1.603067951,-1.282454361,3.206135903,-1.282454361,-1.282454361,-1.282454361,1.154208925,-4.167976673
8.1,Penn Cove Reference,12.59276789,1.97506133,1.463008393,2.487114267,3.364919303,1.389857973,-1.316707553,1.97506133,-1.316707553,-1.316707553,-1.316707553,2.852866365,4.462175597
13,Penrose Point State Park,4.423060585,2.640508806,1.584305284,2.970572407,4.09278865,1.650318004,1.320254403,3.234623288,1.584305284,1.584305284,-1.122216243,1.386267123,4.22481409
11,Point Defiance Ferry,6.454028929,3.64782588,2.14237393,3.879433873,5.79019981,1.910765937,1.273843958,1.794961941,2.200275928,1.968667935,1.21594196,2.258177926,13.31745956
6,Port Angeles Yacht Club,7.9878217,4.808247423,2.704639175,5.409278351,6.611340206,2.945051546,2.283917526,3.125360825,2.58443299,2.344020619,3.546082474,1.923298969,28.24845361
13,Purdy - Dexters,0.734050309,2.409455587,1.434199754,2.638927548,4.417335244,1.376831764,-1.089991813,1.262095784,1.319463774,1.491567745,-1.089991813,1.663671715,3.38471142
13,"Purdy, Burley Lagoon",10.05044241,3.077447638,1.538723819,3.13899659,5.354758889,1.600272772,1.230979055,3.077447638,1.538723819,1.661821724,-1.046332197,2.031115441,4.431524598
13,Raft Island Park,3.042678154,2.673547237,1.547843137,3.236399287,3.939964349,1.477486631,-1.266417112,1.618199643,1.477486631,1.68855615,-1.266417112,1.407130125,-3.728894831
13,Reach Island,4.58367038,2.510389344,-1.401147541,2.743913934,4.086680328,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.401147541,-1.459528689,1.459528689,4.02829918
10,Rich Passage,2.319743024,3.686919692,1.902926293,3.686919692,5.470913091,2.140792079,1.367728273,3.389587459,1.902926293,1.962392739,1.010929593,2.081325633,5.768245325
10,Rocky Point,9.895474753,5.05356357,2.374566015,4.992677262,8.52408313,2.009248166,1.400385086,1.765702934,2.557224939,3.044315403,-1.217726161,2.496338631,6.027744499
9,S of Skunk Island,10.11133775,2.041971534,-1.501449657,2.402319452,3.062957301,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.501449657,-1.561507644,-1.321275698,5.885682657
10,"Salmon Bay, Commodore Park",3.794299859,6.845882353,3.795,7.441176471,11.16176471,3.348529412,2.678823529,3.497352941,3.869411765,3.422941176,6.845882353,10.41764706,9.673529412
11,Salmon Beach,7.299085618,2.679110251,1.667001934,3.095860735,4.762862669,1.607466151,-1.547930368,1.667001934,1.607466151,-1.488394584,-1.547930368,1.547930368,7.144294004
10,"Seattle Aquarium, Pier 59",15.6176361,7.128346457,3.564173228,6.480314961,13.60866142,3.24015748,2.332913386,2.980944882,4.082598425,3.24015748,4.730629921,4.341811024,39.52992126
10,Shilshole Bay,9.906528332,6.690253353,3.082026826,6.539910581,9.020566319,3.307540984,2.63099851,5.337168405,3.457883756,3.533055142,11.2757079,9.020566319,22.5514158
10,"Silverdale, Dyes Inlet",28.25379124,5.620339367,2.536006787,5.68888009,9.595701357,2.330384615,1.644977376,2.124762443,2.673088235,3.152873303,1.644977376,3.427036199,6.785531674
10,Skiff Point,4.778817931,2.959735974,-2.131009901,3.137320132,4.735577558,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.131009901,-2.19020462,2.071815182,8.287260726
10,"Smith Cove, Terminal 91",7.5954936,10.40476663,4.291966236,9.104170804,16.90774578,4.617115194,3.186459782,4.031847071,6.047770606,4.617115194,10.40476663,11.70536246,78.03574975
13,Squaxin Island,5.883833595,2.395230337,1.424191011,2.718910112,4.143101124,-1.294719101,-1.294719101,-1.294719101,-1.294719101,1.294719101,-1.294719101,1.294719101,3.948893258
10,"Suquamish, Stormwater Outfall",5.819212897,3.093179724,1.997678571,3.673150922,5.606388249,1.804354839,1.159942396,1.611031106,1.611031106,1.611031106,0.902177419,2.319884793,7.732949309
11,Thea Foss Waterway,11.78727617,4.218861829,2.466411531,4.673200795,7.139612326,2.336600398,1.752450298,2.596222664,2.596222664,1.947166998,3.894333996,3.115467197,13.63016899
11,Three Tree Point,7.915689936,2.945576541,1.649522863,3.063399602,4.654010934,1.708434394,-1.354965209,2.17972664,1.590611332,1.47278827,-1.354965209,2.827753479,5.655506958
8.2,Tulalip Bay,6.253865979,2.465797647,1.687124706,3.179581176,4.152922353,1.622235294,-1.297788235,1.881792941,1.427567059,-1.297788235,-1.297788235,2.141350588,7.786729412
8.2,Tulalip Reservation,3.733327306,1.768538136,1.179025424,2.00434322,2.770709746,1.179025424,-1.00217161,1.709586864,-1.00217161,-1.00217161,-1.00217161,1.296927966,5.895127119
13,West Bay Park,4.627812352,4.184135834,2.227040041,4.454080081,6.748606183,2.024581855,-1.552179422,2.429498226,2.159553979,2.496984288,-1.552179422,2.969386721,6.073745565
10,Williams Olson Park,6.391730801,3.494535452,1.747267726,3.615036675,5.844309291,1.687017115,-1.325513447,1.566515892,1.807518337,1.988270171,-1.325513447,2.169022005,5.964810513
