site_name,avg_sod,mercuryTotal,arsenic,cadmium,copper,lead,Zinc,SumPAHsLMW,SumPAHs16,SumPCBs2x17,SumPAHsHMW,SumPAHs
Kingston Marina,4.370895609,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,149.5060052,123.5049608,49.40198433,123.5049608,273.0109661
Kitsap St Boat Launch,10.7481244,0.031589744,8.153846154,1.548717949,8.307692308,0.50974359,87.17948718,419.8019285,303.4712736,146.6777822,354.0498192,758.678184
Kopachuck State Park,4.725888249,0.040065359,8.366013072,2.078431373,5.470588235,0.173856209,84.31372549,87.71591992,59.37693041,43.18322212,53.97902765,141.6949476
Lions Park,10.42413956,0.0365,8.5625,1.925,6.16875,0.34875,94.375,157.9597031,118.4697773,85.56150583,131.6330859,289.592789
Locust Beach,6.150276481,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,121.6041553,46.08157463,28.80098414,27.5209404,147.2050301
Madrona Pont,4.520043667,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,138.6095821,108.4770642,72.31804281,120.5300714,259.1396534
"Manchester, Stormwater Outfall",2.792783701,0.029810127,8.164556962,1.930379747,5.113924051,0.270253165,83.5443038,198.3929511,171.0284061,55.41320358,171.0284061,369.4213572
Maple Hollow Park,2.576942008,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974,111.2345679,71.97530864,49.07407407,64.77777778,176.6666667
Maristone Island Bridge,5.722065262,0.031351351,8.783783784,2.087837838,5.871621622,0.168243243,81.08108108,NA,NA,NA,NA,NA
Meyer's Point - Henderson Inlet,15.21190078,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,148.6940299,66.16884328,56.50373134,52.7863806,200.7369403
Miller Creek,3.631343581,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,171.5772708,114.3848472,54.01506672,120.7395609,292.3168317
Minter Bay,5.009746273,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,98.68622449,78.94897959,42.10612245,65.79081633,164.4770408
Mukilteo,7.606435702,0.050645161,8.129032258,1.858064516,7.225806452,0.265806452,70.96774194,245.9927946,207.1518271,42.07771487,194.2048379,440.1976325
N Avenue Park,0.692149127,0.036420455,10.28409091,1.926136364,5.795454545,0.447159091,94.88636364,1248.163772,976.8238213,35.81687345,1085.359801,2333.523573
North Camano,3.101924016,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,107.9148418,63.47931873,26.66131387,54.59221411,165.0462287
Oak Bay County Park,11.83915658,0.036,8.121212121,1.890909091,5.527272727,0.183030303,73.93939394,102.5963489,47.45081136,36.54994929,33.98504057,141.0699797
Penn Cove Reference,12.59276789,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,109.7256294,64.37236927,34.38069722,46.81626856,160.9309232
Penrose Point State Park,4.423060585,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,125.4241683,85.8165362,50.16966732,85.8165362,204.6394325
Point Defiance Ferry,6.454028929,0.027377049,8.087431694,1.546448087,6.93989071,0.39726776,92.89617486,370.5727878,335.831589,63.69219791,335.831589,694.8239772
Port Angeles Yacht Club,7.9878217,0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655,781.3402062,1081.85567,72.12371134,1202.061856,1983.402062
Purdy - Dexters,0.734050309,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,91.78878428,68.84158821,44.74703234,57.36799018,149.1567745
"Purdy, Burley Lagoon",10.05044241,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,129.2528008,86.16853385,59.08699464,86.16853385,215.4213346
Raft Island Park,3.042678154,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,91.46345811,70.35650624,43.62103387,61.91372549,147.7486631
Reach Island,4.58367038,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,110.9241803,81.73360656,30.35819672,81.73360656,192.6577869
Rich Passage,2.319743024,0.033011364,8.465909091,1.710227273,7.102272727,0.303409091,89.20454545,190.2926293,142.7194719,71.35973597,142.7194719,338.9587459
Rocky Point,9.895474753,0.03422619,8.69047619,2,6.130952381,0.411904762,101.1904762,176.5702934,133.9498778,85.2408313,133.9498778,310.5201711
S of Skunk Island,10.11133775,0.028685714,8,1.748571429,5.702857143,0.462285714,76,162.156563,144.1391671,28.22725356,132.1275698,294.2841328
"Salmon Bay, Commodore Park",3.794299859,0.039481481,7.703703704,1.955555556,7.555555556,0.556296296,80.74074074,476.2352941,409.2647059,126.5,535.7647059,1041.764706
Salmon Beach,7.299085618,0.023798883,7.877094972,1.832402235,4.770949721,0.187150838,79.32960894,202.4216634,214.3288201,47.62862669,226.2359768,428.6576402
"Seattle Aquarium, Pier 59",15.6176361,0.039254658,8.819875776,1.98136646,7.763975155,0.418012422,85.0931677,1101.653543,1879.291339,136.0866142,2203.307087,3304.96063
Shilshole Bay,9.906528332,0.042040816,8.027210884,1.537414966,7.959183673,0.413605442,76.8707483,714.1281669,1052.399404,112.757079,1277.913562,2029.627422
"Silverdale, Dyes Inlet",28.25379124,0.039245283,9.496855346,1.86163522,7.86163522,0.468553459,82.38993711,212.4762443,137.081448,95.95701357,150.7895928,363.2658371
Skiff Point,4.778817931,0.039325843,8.820224719,1.893258427,6.235955056,0.22247191,92.69662921,236.7788779,213.1009901,31.37320132,213.1009901,449.879868
"Smith Cove, Terminal 91",7.5954936,0.032814371,8.562874251,1.77245509,7.724550898,0.55748503,110.7784431,2145.983118,4161.906653,175.5804369,4682.144985,7153.277061
Squaxin Island,5.883833595,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,97.10393258,71.20955056,35.60477528,77.68314607,174.7870787
"Suquamish, Stormwater Outfall",5.819212897,0.032710843,8.674698795,1.891566265,6.385542169,0.208433735,82.53012048,231.9884793,206.2119816,63.7968318,193.3237327,425.312212
Thea Foss Waterway,11.78727617,0.025465839,7.51552795,1.925465839,9.130434783,0.461490683,86.95652174,584.1500994,454.3389662,84.37723658,545.2067594,1103.394632
Three Tree Point,7.915689936,0.029310345,8.448275862,1.74137931,6.034482759,0.186781609,86.20689655,176.7345924,129.6053678,48.30745527,141.387674,312.2311133
Tulalip Bay,6.253865979,0.041572327,8.867924528,1.981132075,7.547169811,0.264779874,69.81132075,188.1792941,181.6903529,46.07148235,168.7124706,356.8917647
Tulalip Reservation,3.733327306,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,135.5879237,123.7976695,29.47563559,117.9025424,253.4904661
West Bay Park,4.627812352,0.031666667,8.205128205,1.852564103,6.602564103,0.202564103,78.20512821,182.212367,161.9665484,64.78661936,202.4581855,391.4191586
Williams Olson Park,6.391730801,0.0308,8.571428571,1.662857143,10.17142857,0.349142857,86.85714286,144.601467,150.6265281,58.44309291,156.6515892,301.2530562
