reporting_area,site_name,avg_p450,avg_sod,a81,a120,a125,a7,a12,a14,a15,a17,a18,a19,a63,a74
9,Chimacum Creek delta,2641298.752,1.80051685,-3.868325359,-4.554641148,6.863157895,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612
7,"Chuckanut, Clark's Point",2740842.886,11.2110419,-3.098603491,-3.844563591,7.459600998,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561
11,Comm Bay Skookum,5760190.081,9.07430531,-5.671500267,-5.539604912,23.74116391,-1.648691938,-1.648691938,-1.648691938,5.407709557,-1.648691938,-1.648691938,-1.648691938,-1.648691938,2.703854778
11,"Comm Bay, Dick Gilmur Launch",3676584.787,14.00873683,-4.752747642,-5.859551887,35.15731132,-1.171910377,-1.171910377,-1.171910377,4.362110849,-1.171910377,-1.171910377,-1.171910377,-1.171910377,2.408926887
11,"Comm Bay, Milwaukee Waterway",7394026.589,8.040569912,-4.307493261,-4.374797844,29.61401617,-1.278787062,-1.278787062,-1.278787062,4.105579515,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062
11,Des Moines Marina,8935555.429,8.792656395,5.083988945,26.33873791,27.56379549,-1.286310456,-1.286310456,-1.286310456,1.960092123,-1.286310456,-1.286310456,-1.286310456,-1.286310456,2.756379549
6,Discovery Bay,3982486.122,9.332538704,-1.929901262,-2.118184312,2.730104224,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487
11,Donkey Creek Delta,2884111.412,2.407837279,-3.438297362,-3.438297362,24.46480815,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765
10,Eagle Harbor Dr,1846400.668,12.6098516,-4.331010347,-4.331010347,28.87340231,-1.512416312,-1.512416312,-1.512416312,-1.443670116,-1.512416312,-1.512416312,-1.512416312,-1.512416312,-1.443670116
7,"Eastsound, Fishing Bay",3018580.71,7.534952207,-3.747281713,-7.714991763,12.12355848,-1.3776771,-1.3776771,-1.3776771,1.598105437,-1.3776771,-1.3776771,-1.3776771,-1.3776771,-1.322570016
9,Edmonds Ferry,8264243.773,0.206329647,-4.267771028,-4.033920561,22.21579439,-1.227714953,-1.227714953,-1.227714953,2.280042056,-1.227714953,-1.227714953,-1.227714953,-1.227714953,-1.227714953
9,Edmonds Marina,20688192.68,13.85400356,-3.397096953,-3.279955679,21.67113573,-0.937130194,-0.937130194,-0.937130194,3.689950139,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194
13,Eld Inlet,9802343.137,9.861263047,-2.252225352,-2.573971831,3.700084507,-1.233361502,-1.233361502,-1.233361502,-1.179737089,-1.233361502,-1.233361502,-1.233361502,-1.233361502,-1.233361502
10,Elliot Bay Myrtle Edwards,2435519.65,11.72580418,-5.099778052,7.381257707,32.88014797,-1.409149199,-1.409149199,-1.409149199,2.41568434,-1.409149199,-1.409149199,-1.409149199,-1.409149199,-1.409149199
10,"Elliott Bay, Harbor Island, Pier 17",9192957.592,5.500254008,-3.594563427,-5.705656233,11.98187809,-1.369357496,-1.369357496,-1.369357496,1.71169687,-1.369357496,-1.369357496,-1.369357496,-1.369357496,-1.369357496
8.2,Everett Harbor,5813892.783,1.28999742,-5.126211778,-4.926489241,24.63244621,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937
7,"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999.239,11.87749221,-6.105268353,-6.168864898,29.25441086,-2.035089451,-2.035089451,-2.035089451,-2.035089451,-2.035089451,-2.035089451,-2.035089451,-2.035089451,-2.035089451
13,Filucy Bay,10877772.12,5.009127417,-3.380626993,-3.321317747,13.64112646,-1.126875664,-1.126875664,-1.126875664,-1.067566419,-1.126875664,-1.126875664,-1.126875664,-1.126875664,-1.126875664
7,Friday Harbor,5444136.674,5.14738837,-2.882812872,-2.945482718,3.697520858,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591
11,Gig Harbor Boat Launch,3843185.751,14.97195681,-3.87863963,-3.755508214,16.00708419,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168
12,Hood Canal Holly,788014.8961,1.640458193,-3.824516129,-3.756221198,19.80552995,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341
6,Jamestown,3175079.08,7.752782309,-4.573899011,-4.573899011,30.49266007,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221
10,Kingston Marina,5460804.691,4.370895609,-3.445138381,-3.38013577,23.40093995,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608
10,Kitsap St Boat Launch,2852984.356,10.7481244,-2.680662917,-3.388762555,7.080996384,-1.163306549,-1.163306549,-1.163306549,2.630084371,-1.163306549,-1.163306549,-1.163306549,-1.163306549,-1.163306549
13,Kopachuck State Park,7013734.566,4.725888249,-3.171267874,-3.10379409,15.51897045,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553
10,Lions Park,6373166.26,10.42413956,-4.541341463,-4.47552492,19.08679745,-1.579597031,-1.579597031,-1.579597031,3.027560976,-1.579597031,-1.579597031,-1.579597031,-1.579597031,-1.513780488
7,Locust Beach,2368800.337,6.150276481,-4.352148715,-4.416150902,17.92061236,-1.472050301,-1.472050301,-1.472050301,-1.408048114,-1.472050301,-1.472050301,-1.472050301,-1.472050301,-1.408048114
10,Madrona Pont,7017559.738,4.520043667,-3.555637105,-3.555637105,16.27155963,-1.265565749,-1.265565749,-1.265565749,-1.205300714,-1.265565749,-1.265565749,-1.265565749,-1.265565749,-1.205300714
10,"Manchester, Stormwater Outfall",7715455.876,2.792783701,-3.967859022,-4.036270384,26.68043135,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249
13,Maple Hollow Park,13508380.28,2.576942008,-3.271604938,-3.271604938,17.01234568,-1.177777778,-1.177777778,-1.177777778,-1.112345679,-1.177777778,-1.177777778,-1.177777778,-1.177777778,-1.177777778
9,Maristone Island,4711148.229,5.722065262,-4.79775659,-4.727201346,28.92765003,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879
13,Meyer's Point - Henderson Inlet,2252669.398,15.21190078,-5.724720149,-6.170802239,40.89085821,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269
11,Miller Creek,15899206.45,3.631343581,-3.622186827,-3.55863969,17.15772708,-1.207395609,-1.207395609,-1.207395609,1.715772708,-1.207395609,-1.207395609,-1.207395609,-1.207395609,-1.207395609
13,Minter Bay,8029786.948,5.009746273,-3.684285714,-3.618494898,16.44770408,-1.25002551,-1.25002551,-1.25002551,1.25002551,-1.25002551,-1.25002551,-1.25002551,-1.25002551,-1.25002551
8.2,Mukilteo,8713508.039,7.606435702,-4.337241379,-4.143036541,23.95193001,-1.229963973,-1.229963973,-1.229963973,1.294698919,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973
7,N Avenue Park,6764939.012,0.692149127,-3.310347395,-5.318263027,5.426799007,-1.302431762,-1.248163772,-1.248163772,1.465235732,-1.248163772,-1.248163772,-1.302431762,-1.248163772,-1.248163772
8.1,North Camano,12423809.12,3.101924016,-3.49136253,-3.618321168,3.618321168,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365
9,Oak Bay County Park,2335225.716,11.83915658,-4.167976673,-4.167976673,23.72540568,-1.346577079,-1.346577079,-1.346577079,-1.282454361,-1.346577079,-1.346577079,-1.346577079,-1.346577079,-1.282454361
8.1,Penn Cove Reference,2290809.301,12.59276789,-3.291768883,-3.291768883,21.21362169,-1.389857973,-1.389857973,-1.389857973,-1.316707553,-1.389857973,-1.389857973,-1.389857973,-1.389857973,-1.316707553
13,Penrose Point State Park,7562838.824,4.423060585,-3.762725049,-3.696712329,24.42470646,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-1.122216243
11,Point Defiance Ferry,2116286.931,6.454028929,-3.35831589,-3.35831589,24.3188392,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962
6,Port Angeles Yacht Club,5668182.301,7.9878217,-3.005154639,-4.928453608,7.212371134,-1.442474227,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.442474227,-1.382371134,-1.382371134
13,Purdy - Dexters,4578794.023,0.734050309,-3.32734343,-3.26997544,14.34199754,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813
13,"Purdy, Burley Lagoon",3937234.94,10.05044241,-4.062230882,-4.185328787,25.23507063,-1.046332197,-1.046332197,-1.046332197,1.10788115,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197
13,Raft Island Park,4185580.798,3.042678154,-3.728894831,-3.588181818,17.58912656,-1.336773619,-1.336773619,-1.336773619,-1.266417112,-1.336773619,-1.336773619,-1.336773619,-1.336773619,-1.266417112
13,Reach Island,5721094.954,4.58367038,-2.977438525,-3.32772541,3.56125,-1.459528689,-1.459528689,-1.459528689,-1.401147541,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.459528689
10,Rich Passage,5061124.659,2.319743024,-3.627453245,-3.746386139,26.75990099,-0.8919967,-0.8919967,-0.8919967,1.129862486,-0.8919967,-0.8919967,-0.8919967,-0.8919967,-0.8919967
10,Rocky Point,9469801.367,9.895474753,-2.922542787,-4.140268949,4.810018337,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161
9,S of Skunk Island,4092598.466,10.11133775,-3.543421191,-5.525334739,9.609277807,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644
10,"Salmon Bay, Commodore Park",4444677.291,3.794299859,-5.655294118,-5.432058824,29.02058824,-1.562647059,-1.562647059,-1.562647059,3.274117647,-1.562647059,-1.562647059,-1.562647059,-1.562647059,-1.562647059
11,Salmon Beach,1550935.053,7.299085618,-5.120077369,-12.50251451,14.28858801,-1.547930368,-1.547930368,-1.547930368,-1.488394584,-1.547930368,-1.547930368,-1.547930368,-1.547930368,-1.547930368
10,"Seattle Aquarium, Pier 59",3037049.482,15.6176361,-4.341811024,-4.147401575,29.16141732,-1.166456693,-1.166456693,-1.166456693,2.073700787,-1.166456693,-1.166456693,-1.166456693,-1.166456693,-1.166456693
10,Shilshole Bay,2710238.957,9.906528332,-5.261997019,-5.713025335,36.83397914,-1.653770492,-1.653770492,-1.653770492,3.38271237,-1.653770492,-1.653770492,-1.653770492,-1.653770492,-1.578599106
10,"Silverdale, Dyes Inlet",1419996.096,28.25379124,-3.564117647,-3.564117647,26.73088235,-1.233733032,-1.233733032,-1.233733032,1.644977376,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032
10,Skiff Point,5612257.852,4.778817931,-5.682693069,-8.879207921,8.879207921,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462
10,"Smith Cove, Terminal 91",3958466.348,7.5954936,3.511608739,7.803574975,28.61310824,-1.105506455,-1.105506455,-1.105506455,6.502979146,-1.105506455,-1.105506455,-1.105506455,-1.105506455,1.495685204
13,Squaxin Island,6185908.673,5.883833595,-2.589438202,-3.431005618,4.402044944,-1.359455056,-1.359455056,-1.359455056,-1.294719101,-1.359455056,-1.359455056,-1.359455056,-1.359455056,-1.294719101
10,"Suquamish, Stormwater Outfall",3575218.321,5.819212897,-2.706532258,3.222062212,26.42091014,-0.902177419,-0.902177419,-0.902177419,1.095501152,-0.902177419,-0.902177419,-0.902177419,-0.902177419,-0.902177419
11,Thea Foss Waterway,3660949.966,11.78727617,-5.062634195,-4.932823062,25.31317097,-1.427922465,-1.427922465,-1.427922465,2.661128231,-1.427922465,-1.427922465,-1.427922465,-1.427922465,-1.427922465
11,Three Tree Point,7868514.826,7.915689936,-4.123807157,-4.241630219,15.90611332,-1.354965209,-1.354965209,-1.354965209,1.531699801,-1.354965209,-1.354965209,-1.354965209,-1.354965209,-1.354965209
8.2,Tulalip Bay,5438866.58,6.253865979,-4.41248,-4.282701176,25.95576471,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-1.297788235
8.2,Tulalip Reservation,5097254.763,3.733327306,-3.654978814,-4.185540254,15.32733051,-1.00217161,-1.00217161,-1.00217161,-1.00217161,-1.00217161,-1.00217161,-1.00217161,-1.00217161,-1.00217161
13,West Bay Park,8508351.558,4.627812352,-4.656538267,-4.589052205,16.87151546,-1.619665484,-1.619665484,-1.619665484,2.969386721,-1.619665484,-1.619665484,-1.619665484,-1.619665484,-1.552179422
10,Williams Olson Park,3067078.444,6.391730801,-3.494535452,-4.639297066,4.8200489,-1.385764059,-1.385764059,-1.385764059,-1.325513447,-1.385764059,-1.385764059,-1.385764059,-1.385764059,-1.385764059
