"site_name","Analyte","Units","DryValue","Comments","p42"
"N Avenue Park","SumPAHs42_DMNcorrected","ng/g",2333.523573,NA,4
"North Camano","SumPAHs42_DMNcorrected","ng/g",165.0462287,NA,1
"Oak Bay County Park","SumPAHs42_DMNcorrected","ng/g",141.0699797,NA,1
"Penn Cove Reference","SumPAHs42_DMNcorrected","ng/g",160.9309232,NA,1
"Penrose Point State Park","SumPAHs42_DMNcorrected","ng/g",204.6394325,NA,1
"Point Defiance Ferry","SumPAHs42_DMNcorrected","ng/g",694.8239772,NA,3
"Port Angeles Yacht Club","SumPAHs42_DMNcorrected","ng/g",1983.402062,NA,4
"Purdy - Dexters","SumPAHs42_DMNcorrected","ng/g",149.1567745,NA,1
"Purdy, Burley Lagoon","SumPAHs42_DMNcorrected","ng/g",215.4213346,NA,1
"Raft Island Park","SumPAHs42_DMNcorrected","ng/g",147.7486631,NA,1
"Reach Island","SumPAHs42_DMNcorrected","ng/g",192.6577869,NA,1
"Rich Passage","SumPAHs42_DMNcorrected","ng/g",338.9587459,NA,2
"Rocky Point","SumPAHs42_DMNcorrected","ng/g",310.5201711,NA,2
"S of Skunk Island","SumPAHs42_DMNcorrected","ng/g",294.2841328,NA,1
"Salmon Bay, Commodore Park","SumPAHs42_DMNcorrected","ng/g",1041.764706,NA,3
"Salmon Beach","SumPAHs42_DMNcorrected","ng/g",428.6576402,NA,2
"Seattle Aquarium, Pier 59","SumPAHs42_DMNcorrected","ng/g",3304.96063,NA,5
"Shilshole Bay","SumPAHs42_DMNcorrected","ng/g",1954.456036,NA,4
"Silverdale, Dyes Inlet","SumPAHs42_DMNcorrected","ng/g",370.1199095,NA,2
"Skiff Point","SumPAHs42_DMNcorrected","ng/g",449.879868,NA,2
"Smith Cove, Terminal 91","SumPAHs42_DMNcorrected","ng/g",7153.277061,NA,6
"Squaxin Island","SumPAHs42_DMNcorrected","ng/g",174.7870787,NA,1
"Suquamish, Stormwater Outfall","SumPAHs42_DMNcorrected","ng/g",425.312212,NA,2
"Thea Foss Waterway","SumPAHs42_DMNcorrected","ng/g",1103.394632,NA,3
"Three Tree Point","SumPAHs42_DMNcorrected","ng/g",312.2311133,NA,2
"Tulalip Bay","SumPAHs42_DMNcorrected","ng/g",356.8917647,NA,2
"Tulalip Reservation","SumPAHs42_DMNcorrected","ng/g",253.4904661,NA,1
"West Bay Park","SumPAHs42_DMNcorrected","ng/g",384.6705525,NA,2
"Williams Olson Park","SumPAHs42_DMNcorrected","ng/g",301.2530562,NA,2
