latitude,longitude,site_name,reporting_area,geo6,p450,sod,ibr1overall
47.386977,-122.6367089,"Purdy, Burley Lagoon",13,1,1.483430408,-0.341036541,0.885592668
47.38566,-122.627255,"Purdy, Dexters",13,1,2.061475607,-1.452817005,0.017084954
47.32598,-122.66724,Raft Island Park,13,2,1.707190051,-1.182261126,-0.680232312
47.346537,-122.82236,Reach Island,13,2,3.090689143,-1.074209779,0.214240498
47.578117,-122.524833,Rich Passage,10,5,2.496055624,-1.37786005,-0.381077868
47.60255,-122.66992,Rocky Point,10,5,6.468275312,-0.361791788,0.868219844
47.6663,-122.4018,"Salmon Bay, Commodore Park",10,5,1.94063635,-1.180098423,0.124715294
47.29464,-122.53053,Salmon Beach,11,1,-0.1934626,-0.709953515,-0.77706226
47.607,-122.342,"Seattle Aquarium, Pier 59",10,5,0.672362831,0.405649402,0.112013349
47.671678,-122.406663,Shilshole Bay,10,5,0.377906185,-0.360282925,-1.503765597
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",10,5,-0.784603165,2.100471248,0.007941624
47.66142,-122.49884,Skiff Point,10,5,2.992626727,-1.048022625,-0.087704614
47.63237,-122.37869,"Smith Cove, Terminal 91",10,5,1.502559775,-0.670270421,-0.321880396
48.02667,-122.75076,South of Skunk Island,9,4,1.934554371,-0.332855151,-0.193460913
47.17650485,-122.9046464,Squaxin Island,13,2,3.50948656,-0.807258405,0.551683709
47.7296079,-122.5506191,"Suquamish, Stormwater Outfall",10,5,1.157253364,-0.908503104,0.772118008
47.259189,-122.434689,Thea Foss Waterway,11,1,6.918517286,-0.108047994,1.550822296
47.44896,-122.372267,Three Tree Point,11,1,5.025515391,-0.627318124,1.58714481
48.0617,-122.2939,Tulalip Bay,8.2,3,2.836401126,-0.85021629,0.289996578
48.0697859,-122.2997764,Tulalip Reservation,8.2,3,2.528608772,-1.158924047,0.134093165
47.052362,-122.910912,West Bay Park,13,2,5.602008617,-1.068274918,1.111293072
47.66586,-122.56698,Williams Olson Park,10,5,0.699418975,-0.822883519,-0.844194639
