sample_id,valve,notch,top,opp.notch,bottom,notch_avg,top_avg,opp_avg,bottom_avg,avg_overall
19,L,0.54,0.6,0.56,1.7,0.525,0.52,0.61,1.755,0.8525
19,R,0.51,0.44,0.66,1.81,0.45,0.49,0.535,1.52,0.74875
20,L,0.39,0.54,0.41,1.23,0.36,0.565,0.47,1.305,0.675
20,R,0.33,0.59,0.53,1.38,0.38,0.465,0.54,1.57,0.73875
21,L,0.43,0.34,0.55,1.76,0.355,0.295,0.415,1.59,0.66375
21,R,0.28,0.25,0.28,1.42,0.38,0.445,0.385,1.575,0.69625
22,L,0.48,0.64,0.49,1.73,0.61,0.685,0.515,1.71,0.88
22,R,0.74,0.73,0.54,1.69,0.665,0.68,0.565,1.51,0.855
23,L,0.59,0.63,0.59,1.33,0.475,0.605,0.725,1.635,0.86
23,R,0.36,0.58,0.86,1.94,0.415,0.45,0.615,1.475,0.73875
24,L,0.47,0.32,0.37,1.01,0.48,0.305,0.415,1.38,0.645
24,R,0.49,0.29,0.46,1.75,0.565,0.485,0.565,1.735,0.8375
25,L,0.64,0.68,0.67,1.72,0.745,0.735,0.705,1.74,0.98125
25,R,0.85,0.79,0.74,1.76,0.77,0.585,0.7,1.585,0.91
26,L,0.69,0.38,0.66,1.41,0.685,0.385,0.6,1.51,0.795
26,R,0.68,0.39,0.54,1.61,0.665,0.355,0.465,1.305,0.6975
27,L,0.65,0.32,0.39,1,0.51,0.265,0.38,0.745,0.475
27,R,0.37,0.21,0.37,0.49,0.515,0.33,0.415,0.735,0.49875
28,L,0.66,0.45,0.46,0.98,0.63,0.515,0.48,0.975,0.65
28,R,0.6,0.58,0.5,0.97,0.555,0.515,0.435,1.27,0.69375
29,L,0.51,0.45,0.37,1.57,0.535,0.475,0.465,1.66,0.78375
29,R,0.56,0.5,0.56,1.75,0.4,0.38,0.52,1.68,0.745
30,L,0.24,0.26,0.48,1.61,0.225,0.275,0.41,1.725,0.65875
30,R,0.21,0.29,0.34,1.84,0.37,0.535,0.46,2,0.84125
31,L,0.53,0.78,0.58,2.16,0.605,0.805,0.55,2.21,1.0425
31,R,0.68,0.83,0.52,2.26,0.575,0.69,0.46,2.2,0.98125
32,L,0.47,0.55,0.4,2.14,0.45,0.54,0.41,2.355,0.93875
32,R,0.43,0.53,0.42,2.57,0.425,0.52,0.47,1.955,0.8425
33,L,0.42,0.51,0.52,1.34,0.445,0.545,0.425,1.39,0.70125
33,R,0.47,0.58,0.33,1.44,0.385,0.655,0.36,1.665,0.76625
34,L,0.3,0.73,0.39,1.89,0.265,0.66,0.465,2.04,0.8575
34,R,0.23,0.59,0.54,2.19,0.425,0.525,0.56,2.15,0.915
35,L,0.62,0.46,0.58,2.11,0.6,0.425,0.555,2.16,0.935
35,R,0.58,0.39,0.53,2.21,0.595,0.42,0.505,2.34,0.965
36,L,0.61,0.45,0.48,2.47,0.575,0.42,0.52,2.395,0.9775
36,R,0.54,0.39,0.56,2.32,0.485,0.445,0.585,1.945,0.865
37,L,0.43,0.5,0.61,1.57,0.49,0.44,0.51,1.335,0.69375
37,R,0.55,0.38,0.41,1.1,0.41,0.39,0.35,1.63,0.695
38,L,0.27,0.4,0.29,2.16,0.235,0.42,0.35,2.19,0.79875
38,R,0.2,0.44,0.41,2.22,0.265,0.425,0.375,1.865,0.7325
39,L,0.33,0.41,0.34,1.51,0.32,0.405,0.465,1.45,0.66
39,R,0.31,0.4,0.59,1.39,0.315,0.415,0.535,1.75,0.75375
40,L,0.32,0.43,0.48,2.11,0.315,0.545,0.455,2.135,0.8625
40,R,0.31,0.66,0.43,2.16,0.34,0.455,0.35,1.605,0.6875
41,L,0.37,0.25,0.27,1.05,0.335,0.395,0.25,1.195,0.54375
41,R,0.3,0.54,0.23,1.34,0.34,0.445,0.295,1.35,0.6075
42,L,0.38,0.35,0.36,1.36,0.42,0.315,0.495,1.345,0.64375
42,R,0.46,0.28,0.63,1.33,0.435,0.265,0.46,1.105,0.56625
43,L,0.41,0.25,0.29,0.88,0.455,0.3,0.335,1.295,0.59625
43,R,0.5,0.35,0.38,1.71,0.44,0.37,0.515,1.37,0.67375
44,L,0.38,0.39,0.65,1.03,0.355,0.405,0.57,1.205,0.63375
44,R,0.33,0.42,0.49,1.38,0.385,0.36,0.385,1.67,0.7
45,L,0.44,0.3,0.28,1.96,0.43,0.31,0.32,2.15,0.8025
45,R,0.42,0.32,0.36,2.34,0.485,0.455,0.29,1.765,0.74875
46,L,0.55,0.59,0.22,1.19,0.405,0.635,0.23,1.325,0.64875
46,R,0.26,0.68,0.24,1.46,0.28,0.435,0.415,1.405,0.63375
47,L,0.3,0.19,0.59,1.35,0.31,0.27,0.39,1.555,0.63125
47,R,0.32,0.35,0.19,1.76,0.35,0.285,0.365,1.7,0.675
48,L,0.38,0.22,0.54,1.64,0.42,0.215,0.485,1.5,0.655
48,R,0.46,0.21,0.43,1.36,0.335,0.265,0.315,1.025,0.485
49,L,0.21,0.32,0.2,0.69,0.2,0.405,0.175,0.635,0.35375
49,R,0.19,0.49,0.15,0.58,0.215,0.335,0.18,0.815,0.38625
50,L,0.24,0.18,0.21,1.05,0.255,0.185,0.225,0.955,0.405
50,R,0.27,0.19,0.24,0.86,0.255,0.27,0.255,0.905,0.42125
51,L,0.24,0.35,0.27,0.95,0.34,0.495,0.29,1.19,0.57875
51,R,0.44,0.64,0.31,1.43,0.4,0.505,0.265,1.185,0.58875
52,L,0.36,0.37,0.22,0.94,0.48,0.35,0.29,0.955,0.51875
52,R,0.6,0.33,0.36,0.97,0.63,0.38,0.435,1.45,0.72375
53,L,0.66,0.43,0.51,1.93,0.525,0.395,0.45,1.86,0.8075
53,R,0.39,0.36,0.39,1.79,0.495,0.4,0.495,1.82,0.8025
54,L,0.6,0.44,0.6,1.85,0.585,0.365,0.51,1.7,0.79
54,R,0.57,0.29,0.42,1.55,0.62,0.38,0.565,1.89,0.86375
55,L,0.67,0.47,0.71,2.23,0.56,0.325,0.64,2.12,0.91125
55,R,0.45,0.18,0.57,2.01,0.665,0.29,0.565,1.97,0.8725
56,L,0.88,0.4,0.56,1.93,0.74,0.315,0.46,1.79,0.82625
56,R,0.6,0.23,0.36,1.65,0.695,0.27,0.565,1.925,0.86375
57,L,0.79,0.31,0.77,2.2,0.575,0.28,0.625,1.985,0.86625
57,R,0.36,0.25,0.48,1.77,0.515,0.375,0.56,1.975,0.85625
58,L,0.67,0.5,0.64,2.18,0.655,0.395,0.6,2.04,0.9225
58,R,0.64,0.29,0.56,1.9,0.625,0.375,0.85,1.845,0.92375
59,L,0.61,0.46,1.14,1.79,0.565,0.435,1.035,1.77,0.95125
59,R,0.52,0.41,0.93,1.75,0.47,0.465,0.865,1.745,0.88625
60,L,0.42,0.52,0.8,1.74,0.335,0.505,0.695,1.71,0.81125
60,R,0.25,0.49,0.59,1.68,0.395,0.49,0.64,1.76,0.82125
61,L,0.54,0.49,0.69,1.84,0.4,0.335,0.515,1.83,0.77
61,R,0.26,0.18,0.34,1.82,0.425,0.31,0.48,1.985,0.8
62,L,0.59,0.44,0.62,2.15,0.44,0.3,0.455,1.96,0.78875
62,R,0.29,0.16,0.29,1.77,0.48,0.385,0.43,1.7,0.74875
63,L,0.67,0.61,0.57,1.63,0.535,0.46,0.505,1.545,0.76125
63,R,0.4,0.31,0.44,1.46,0.47,0.285,0.58,1.985,0.83
64,L,0.54,0.26,0.72,2.51,0.485,0.235,0.505,2.31,0.88375
64,R,0.43,0.21,0.29,2.11,0.57,0.365,0.58,1.765,0.82
65,L,0.71,0.52,0.87,1.42,0.595,0.38,0.735,1.34,0.7625
65,R,0.48,0.24,0.6,1.26,0.45,0.445,0.615,1.25,0.69
66,L,0.42,0.65,0.63,1.24,0.34,0.53,0.46,1.055,0.59625
66,R,0.26,0.41,0.29,0.87,0.27,0.42,0.465,1.43,0.64625
67,L,0.28,0.43,0.64,1.99,0.26,0.275,0.565,1.79,0.7225
67,R,0.24,0.12,0.49,1.59,0.375,0.285,0.675,1.87,0.80125
68,L,0.51,0.45,0.86,2.15,0.505,0.425,0.79,1.945,0.91625
68,R,0.5,0.4,0.72,1.74,0.49,0.435,0.585,1.88,0.8475
69,L,0.48,0.47,0.45,2.02,0.48,0.52,0.455,2.085,0.885
69,R,0.48,0.57,0.46,2.15,0.385,0.42,0.4,1.76,0.74125
70,L,0.29,0.27,0.34,1.37,0.45,0.4,0.365,1.735,0.7375
70,R,0.61,0.53,0.39,2.1,0.49,0.35,0.45,1.655,0.73625
71,L,0.37,0.17,0.51,1.21,0.485,0.185,0.525,22479.105,5620.075
71,R,0.6,0.2,0.54,1/31,0.475,0.455,0.575,22479.545,5620.2625
72,L,0.35,0.71,0.61,2.09,0.37,0.675,0.49,2.2,0.93375
72,R,0.39,0.64,0.37,2.31,0.315,0.685,0.37,2.35,0.93
73,L,0.24,0.73,0.37,2.39,0.27,0.655,0.505,2.325,0.93875
73,R,0.3,0.58,0.64,2.26,0.5,0.5,0.715,2.385,1.025
74,L,0.7,0.42,0.79,2.51,0.78,0.475,0.88,2.635,1.1925
74,R,0.86,0.53,0.97,2.76,0.625,0.42,0.72,2.18,0.98625
75,L,0.39,0.31,0.47,1.6,0.36,0.31,0.44,1.71,0.705
75,R,0.33,0.31,0.41,1.82,0.385,0.21,0.56,1.97,0.78125
76,L,0.44,0.11,0.71,2.12,0.49,0.145,0.54,2.125,0.825
76,R,0.54,0.18,0.37,2.13,0.62,0.45,0.45,1.915,0.85875
77,L,0.7,0.72,0.53,1.7,0.65,0.65,0.64,1.78,0.93
77,R,0.6,0.58,0.75,1.86,0.52,0.565,0.545,1.69,0.83
78,L,0.44,0.55,0.34,1.52,0.525,0.47,0.33,1.7,0.75625
78,R,0.61,0.39,0.32,1.88,0.575,0.415,0.53,1.97,0.8725
79,L,0.54,0.44,0.74,2.06,0.455,0.445,0.61,2.105,0.90375
79,R,0.37,0.45,0.48,2.15,0.53,0.35,0.56,2.01,0.8625
80,L,0.69,0.25,0.64,1.87,0.655,0.295,0.6,2.08,0.9075
80,R,0.62,0.34,0.56,2.29,0.465,0.56,0.515,1.86,0.85
81,L,0.31,0.78,0.47,1.43,0.315,0.71,0.525,1.67,0.805
81,R,0.32,0.64,0.58,1.91,0.3,0.37,0.385,1.435,0.6225
82,L,0.28,0.1,0.19,0.96,0.355,0.185,0.365,1.41,0.57875
82,R,0.43,0.27,0.54,1.86,0.435,0.415,0.495,1.44,0.69625
83,L,0.44,0.56,0.45,1.02,0.4,0.44,0.305,1.305,0.6125
83,R,0.36,0.32,0.16,1.59,0.36,0.225,0.25,1.385,0.555
84,L,0.36,0.13,0.34,1.18,0.31,0.11,0.345,1.41,0.54375
84,R,0.26,0.09,0.35,1.64,0.22,0.105,0.245,1.29,0.465
85,L,0.18,0.12,0.14,0.94,0.225,0.125,0.145,1.295,0.4475
85,R,0.27,0.13,0.15,1.65,0.295,0.21,0.24,1.865,0.6525
86,L,0.32,0.29,0.33,2.08,0.3,0.23,0.305,1.585,0.605
86,R,0.28,0.17,0.28,1.09,0.3,0.22,0.315,1.255,0.5225
87,L,0.32,0.27,0.35,1.42,0.38,0.285,0.37,1.53,0.64125
87,R,0.44,0.3,0.39,1.64,0.45,0.335,0.41,1.5,0.67375
88,L,0.46,0.37,0.43,1.36,0.525,0.41,0.45,1.835,0.805
88,R,0.59,0.45,0.47,2.31,0.6,0.4,0.45,1.995,0.86125
89,L,0.61,0.35,0.43,1.68,0.5605,0.315,0.415,1.895,0.796375
89,R,0.511,0.28,0.4,2.11,0.4055,0.425,0.375,1.635,0.710125
90,L,0.3,0.57,0.35,1.16,0.415,0.61,0.445,1.515,0.74625
90,R,0.53,0.65,0.54,1.87,0.51,0.635,0.465,1.525,0.78375
91,L,0.49,0.62,0.39,1.18,0.46,0.635,0.38,1.46,0.73375
91,R,0.43,0.65,0.37,1.74,0.465,0.53,0.5,1.6,0.77375
92,L,0.5,0.41,0.63,1.46,0.46,0.485,0.66,1.625,0.8075
92,R,0.42,0.56,0.69,1.79,0.575,0.565,0.61,1.655,0.85125
93,L,0.73,0.57,0.53,1.52,0.705,0.56,0.43,1.68,0.84375
93,R,0.68,0.55,0.33,1.84,0.57,0.39,0.35,1.445,0.68875
94,L,0.46,0.23,0.37,1.05,0.47,0.24,0.405,1.29,0.60125
94,R,0.48,0.25,0.44,1.53,0.49,0.235,0.465,1.78,0.7425
95,L,0.5,0.22,0.49,2.03,0.395,0.24,0.46,1.71,0.70125
95,R,0.29,0.26,0.43,1.39,0.31,0.375,0.495,1.16,0.585
96,L,0.33,0.49,0.56,0.93,0.275,0.52,0.415,1,0.5525
96,R,0.22,0.55,0.27,1.07,0.265,0.475,0.415,1.1,0.56375
97,L,0.31,0.4,0.56,1.13,0.305,0.295,0.52,1.385,0.62625
97,R,0.3,0.19,0.48,1.64,0.385,0.175,0.59,1.495,0.66125
98,L,0.47,0.16,0.7,1.35,0.365,0.32,0.56,1.755,0.75
98,R,0.26,0.48,0.42,2.16,0.46,0.395,0.52,1.57,0.73625
99,L,0.66,0.31,0.62,0.98,0.725,0.265,0.475,1.55,0.75375
99,R,0.79,0.22,0.33,2.12,0.54,0.245,0.4,1.835,0.755
100,L,0.29,0.27,0.47,1.55,0.445,0.395,0.515,1.925,0.82
100,R,0.6,0.52,0.56,2.3,0.55,0.43,0.53,1.865,0.84375
101,L,0.5,0.34,0.5,1.43,0.47,0.355,0.47,1.7,0.74875
101,R,0.44,0.37,0.44,1.97,0.445,0.55,0.535,2.02,0.8875
102,L,0.45,0.73,0.63,2.07,0.525,0.675,0.62,2.16,0.995
102,R,0.6,0.62,0.61,2.25,0.58,0.64,0.71,2.23,1.04
103,L,0.56,0.66,0.81,2.21,0.62,0.68,0.715,2.16,1.04375
103,R,0.68,0.7,0.62,2.11,0.435,0.55,0.44,1.705,0.7825
104,L,0.19,0.4,0.26,1.3,0.2,0.505,0.375,1.81,0.7225
104,R,0.21,0.61,0.49,2.32,0.305,0.455,0.555,1.81,0.78125
105,L,0.4,0.3,0.62,1.3,0.405,0.205,0.445,1.685,0.685
105,R,0.41,0.11,0.27,2.07,0.37,0.525,0.245,1.78,0.73
106,L,0.33,0.94,0.22,1.49,0.285,0.67,0.335,1.71,0.75
106,R,0.24,0.4,0.45,1.93,0.225,0.265,0.375,1.695,0.64
107,L,0.21,0.13,0.3,1.46,0.27,0.185,0.26,1.58,0.57375
107,R,0.33,0.24,0.22,1.7,0.36,0.31,0.18,1.58,0.6075
108,L,0.39,0.38,0.14,1.46,0.29,0.305,0.315,1.605,0.62875
108,R,0.19,0.23,0.49,1.75,0.25,0.335,0.345,1.565,0.62375
109,L,0.31,0.44,0.2,1.38,0.285,0.37,0.3,1.785,0.685
109,R,0.26,0.3,0.4,2.19,0.275,0.285,0.395,1.995,0.7375
110,L,0.29,0.27,0.39,1.8,0.45,0.405,0.425,1.87,0.7875
110,R,0.61,0.54,0.46,1.94,0.51,0.465,0.515,1.715,0.80125
111,L,0.41,0.39,0.57,1.49,0.445,0.375,0.53,1.795,0.78625
111,R,0.48,0.36,0.49,2.1,0.44,0.415,0.48,2.02,0.83875
112,L,0.4,0.47,0.47,1.94,0.405,0.625,0.505,1.945,0.87
112,R,0.41,0.78,0.54,1.95,0.52,0.76,0.54,1.81,0.9075
113,L,0.63,0.74,0.54,1.67,0.635,0.665,0.555,1.745,0.9
113,R,0.64,0.59,0.57,1.82,0.5,0.43,0.55,1.615,0.77375
114,L,0.36,0.27,0.53,1.41,0.315,0.29,0.445,1.485,0.63375
114,R,0.27,0.31,0.36,1.56,0.45,0.335,0.46,1.805,0.7625
115,L,0.63,0.36,0.56,2.05,0.56,0.44,0.635,2.09,0.93125
115,R,0.49,0.52,0.71,2.13,0.39,0.66,0.59,1.755,0.84875
116,L,0.29,0.8,0.47,1.38,0.42,0.88,0.565,1.605,0.8675
116,R,0.55,0.96,0.66,1.83,0.54,0.8,0.57,1.645,0.88875
117,L,0.53,0.64,0.48,1.46,0.59,0.665,0.53,1.79,0.89375
117,R,0.65,0.69,0.58,2.12,0.605,0.61,0.73,1.73,0.91875
118,L,0.56,0.53,0.88,1.34,0.53,0.6,0.715,1.635,0.87
118,R,0.5,0.67,0.55,1.93,0.57,0.71,0.555,1.76,0.89875
119,L,0.64,0.75,0.56,1.59,0.595,0.67,0.6,1.68,0.88625
119,R,0.55,0.59,0.64,1.77,0.615,0.6,0.58,1.815,0.9025
120,L,0.68,0.61,0.52,1.86,0.695,0.605,0.405,1.985,0.9225
120,R,0.71,0.6,0.29,2.11,0.73,0.555,0.44,1.86,0.89625
121,L,0.75,0.51,0.59,1.61,0.74,0.555,0.615,1.87,0.945
121,R,0.73,0.6,0.64,2.13,0.615,0.66,0.595,1.685,0.88875
122,L,0.5,0.72,0.55,1.24,0.555,0.725,0.49,1.635,0.85125
122,R,0.61,0.73,0.43,2.03,0.645,0.795,0.68,1.66,0.945
123,L,0.68,0.86,0.93,1.29,0.63,0.785,0.955,1.36,0.9325
123,R,0.58,0.71,0.98,1.43,0.545,0.565,0.765,1.33,0.80125
124,L,0.51,0.42,0.55,1.23,0.5,0.36,0.51,1.355,0.68125
124,R,0.49,0.3,0.47,1.48,0.55,0.35,0.485,1.605,0.7475
125,L,0.61,0.4,0.5,1.73,0.505,0.44,0.53,1.72,0.79875
125,R,0.4,0.48,0.56,1.71,0.485,0.61,0.565,1.54,0.8
126,L,0.57,0.74,0.57,1.37,0.645,0.93,0.79,1.77,1.03375
126,R,0.72,1.12,1.01,2.17,0.66,0.82,0.775,1.92,1.04375
127,L,0.6,0.52,0.54,1.67,0.65,0.625,0.565,1.71,0.8875
127,R,0.7,0.73,0.59,1.75,0.68,0.72,0.695,1.92,1.00375
128,L,0.66,0.71,0.8,2.09,0.615,0.63,0.755,1.985,0.99625
128,R,0.57,0.55,0.71,1.88,0.68,0.54,0.69,2.085,0.99875
129,L,0.79,0.53,0.67,2.29,0.69,0.755,0.58,2.285,1.0775
129,R,0.59,0.98,0.49,2.28,0.685,0.79,0.655,2.485,1.15375
130,L,0.78,0.6,0.82,2.69,0.77,0.64,0.835,2.8,1.26125
130,R,0.76,0.68,0.85,2.91,0.725,0.65,0.72,2.35,1.11125
131,L,0.69,0.62,0.59,1.79,0.675,0.585,0.59,1.705,0.88875
131,R,0.66,0.55,0.59,1.62,0.555,0.58,0.64,1.665,0.86
132,L,0.45,0.61,0.69,1.71,0.43,0.61,0.6,1.725,0.84125
132,R,0.41,0.61,0.51,1.74,0.615,0.595,0.535,1.92,0.91625
133,L,0.82,0.58,0.56,2.1,0.73,0.615,0.595,2.15,1.0225
133,R,0.64,0.65,0.63,2.2,0.66,0.575,0.665,2.27,1.0425
134,L,0.68,0.5,0.7,2.34,0.655,0.58,0.725,2.43,1.0975
134,R,0.63,0.66,0.75,2.52,0.615,0.585,0.675,2.125,1
135,L,0.6,0.51,0.6,1.73,0.58,0.535,0.595,1.79,0.875
135,R,0.56,0.56,0.59,1.85,0.515,0.435,0.615,1.995,0.89
136,L,0.47,0.31,0.64,2.14,0.485,0.305,0.675,2.305,0.9425
136,R,0.5,0.3,0.71,2.47,0.635,0.5,0.675,2.11,0.98
137,L,0.77,0.7,0.64,1.75,0.54,0.52,0.585,1.76,0.85125
137,R,0.31,0.34,0.53,1.77,0.37,0.435,0.58,1.87,0.81375
138,L,0.43,0.53,0.63,1.97,0.45,0.37,0.575,1.945,0.835
138,R,0.47,0.21,0.52,1.92,0.505,0.245,0.505,1.59,0.71125
139,L,0.54,0.28,0.49,1.26,0.465,0.36,0.48,1.635,0.735
139,R,0.39,0.44,0.47,2.01,0.41,0.455,0.555,2.175,0.89875
140,L,0.43,0.47,0.64,2.34,0.46,0.525,0.61,2.4,0.99875
140,R,0.49,0.58,0.58,2.46,0.48,0.48,0.51,1.95,0.855
141,L,0.47,0.38,0.44,1.44,0.44,0.495,0.525,1.52,0.745
141,R,0.41,0.61,0.61,1.6,0.59,0.585,0.57,1.71,0.86375
142,L,0.77,0.56,0.53,1.82,0.78,0.59,0.58,1.93,0.97
142,R,0.79,0.62,0.63,2.04,0.695,0.52,0.645,1.995,0.96375
143,L,0.6,0.42,0.66,1.95,0.57,0.54,0.675,1.81,0.89875
143,R,0.54,0.66,0.69,1.67,0.555,0.61,0.57,1.7,0.85875
144,L,0.57,0.56,0.45,1.73,0.58,0.525,0.49,1.665,0.815
144,R,0.59,0.49,0.53,1.6,0.545,0.34,0.475,1.775,0.78375
145,L,0.5,0.19,0.42,1.95,0.52,0.215,0.445,2.02,0.8
145,R,0.54,0.24,0.47,2.09,0.525,0.325,0.49,2,0.835
146,L,0.51,0.41,0.51,1.91,0.55,0.405,0.515,2.035,0.87625
146,R,0.59,0.4,0.52,2.16,0.61,0.39,0.555,2.205,0.94
147,L,0.63,0.38,0.59,2.25,0.58,0.45,0.6,2.21,0.96
147,R,0.53,0.52,0.61,2.17,0.48,0.405,0.59,1.89,0.84125
148,L,0.43,0.29,0.57,1.61,0.39,0.395,0.51,1.62,0.72875
148,R,0.35,0.5,0.45,1.63,0.385,0.48,0.415,1.93,0.8025
149,L,0.42,0.46,0.38,2.23,0.445,0.385,0.47,2.255,0.88875
149,R,0.47,0.31,0.56,2.28,0.515,0.32,0.48,1.855,0.7925
150,L,0.56,0.33,0.4,1.43,0.46,0.35,0.375,1.54,0.68125
150,R,0.36,0.37,0.35,1.65,0.545,0.495,0.595,1.88,0.87875
151,L,0.73,0.62,0.84,2.11,0.685,0.69,0.79,2.115,1.07
151,R,0.64,0.76,0.74,2.12,0.635,0.5,0.56,1.855,0.8875
152,L,0.63,0.24,0.38,1.59,0.51,0.44,0.345,1.54,0.70875
152,R,0.39,0.64,0.31,1.49,0.305,0.435,0.36,1.605,0.67625
153,L,0.22,0.23,0.41,1.72,0.345,0.225,0.43,1.835,0.70875
153,R,0.47,0.22,0.45,1.95,0.435,0.245,0.475,1.91,0.76625
154,L,0.4,0.27,0.5,1.87,0.345,0.32,0.49,1.985,0.785
154,R,0.29,0.37,0.48,2.1,0.295,0.27,0.395,1.9,0.715
155,L,0.3,0.17,0.31,1.7,0.385,0.3,0.455,1.745,0.72125
155,R,0.47,0.43,0.6,1.79,0.48,0.35,0.69,2.11,0.9075
156,L,0.49,0.27,0.78,2.43,0.51,0.295,0.67,2.545,1.005
156,R,0.53,0.32,0.56,2.66,0.44,0.265,0.59,2.385,0.92
157,L,0.35,0.21,0.62,2.11,0.355,0.24,0.48,2.2,0.81875
157,R,0.36,0.27,0.34,2.29,0.45,0.4,0.44,2.3,0.8975
158,L,0.54,0.53,0.54,2.31,0.5,0.495,0.57,2.255,0.955
158,R,0.46,0.46,0.6,2.2,0.47,0.435,0.515,1.92,0.835
159,L,0.48,0.41,0.43,1.64,0.5,0.43,0.445,1.63,0.75125
159,R,0.52,0.45,0.46,1.62,0.455,0.335,0.47,1.725,0.74625
160,L,0.39,0.22,0.48,1.83,0.39,0.31,0.5,1.8,0.75
160,R,0.39,0.4,0.52,1.77,0.44,0.425,0.5,1.845,0.8025
161,L,0.49,0.45,0.48,1.92,0.44,0.445,0.525,1.895,0.82625
161,R,0.39,0.44,0.57,1.87,0.35,0.475,0.53,1.795,0.7875
162,L,0.31,0.51,0.49,1.72,0.28,0.47,0.43,1.785,0.74125
162,R,0.25,0.43,0.37,1.85,0.31,0.435,0.45,1.82,0.75375
163,L,0.37,0.44,0.53,1.79,0.39,0.4,0.535,1.9,0.80625
163,R,0.41,0.36,0.54,2.01,0.395,0.39,0.54,1.79,0.77875
164,L,0.38,0.42,0.54,1.57,0.415,0.38,0.525,1.67,0.7475
164,R,0.45,0.34,0.51,1.77,0.515,0.365,0.505,1.93,0.82875
165,L,0.58,0.39,0.5,2.09,0.47,0.595,0.455,1.985,0.87625
165,R,0.36,0.8,0.41,1.88,0.41,0.475,0.43,1.94,0.81375
166,L,0.46,0.15,0.45,2,0.465,0.14,0.545,2.09,0.81
166,R,0.47,0.13,0.64,2.18,0.355,0.255,0.605,2.2,0.85375
167,L,0.24,0.38,0.57,2.22,0.265,0.325,0.52,2.275,0.84625
167,R,0.29,0.27,0.47,2.33,0.415,0.255,0.51,2.38,0.89
168,L,0.54,0.24,0.55,2.43,0.495,0.22,0.425,2.355,0.87375
168,R,0.45,0.2,0.3,2.28,0.4,0.145,0.38,2.025,0.7375
169,L,0.35,0.09,0.46,1.77,0.325,0.1,0.46,1.95,0.70875
169,R,0.3,0.11,0.46,2.13,0.23,0.155,0.535,2.345,0.81625
170,L,0.16,0.2,0.61,2.56,0.22,0.265,0.575,2.54,0.9
170,R,0.28,0.33,0.54,2.52,0.305,0.395,0.545,2.29,0.88375
171,L,0.33,0.46,0.55,2.06,0.35,0.425,0.485,2.065,0.83125
