latitude,longitude,reporting_area,site_name,avg_p450,avg_sod,avg_at,avg_cf,a1,a4,a63,a67,a68,a71,a75,a2,a16,a69
48.04906,-122.7724,9,Chimacum Creek delta,2641298.752,1.80051685,0.90375,0.166225,-1.372631579,-1.559808612,-1.559808612,-1.372631579,-1.435023923,-1.559808612,-1.559808612,-1.310239234,-0.873492823,-1.310239234
48.68975,-122.50434,7,"Chuckanut, Clark's Point",2740842.886,11.2110419,0.7275,0.176225,-1.147630923,-1.319775561,-1.319775561,-1.147630923,-1.205012469,-1.319775561,-1.319775561,-1.090249377,-0.7459601,-1.090249377
47.29,-122.41,11,Comm Bay Skookum,5760190.081,9.07430531,0.755,0.1536,1.978430326,1.846534971,-1.648691938,-1.450848905,-1.516796583,-1.648691938,-1.648691938,-1.384901228,-0.923267485,-1.384901228
47.292549,-122.412175,11,"Comm Bay, Dick Gilmur Launch",3676584.787,14.00873683,0.8325,0.18665,1.497441038,1.692759434,-1.171910377,-1.041698113,-1.106804245,-1.171910377,-1.171910377,-0.976591981,-0.651061321,-0.976591981
47.2694,-122.4243,11,"Comm Bay, Milwaukee Waterway",7394026.589,8.040569912,0.821,0.1606,2.221051213,2.490269542,-1.278787062,-1.144177898,-1.144177898,-1.278787062,-1.278787062,-1.076873315,-0.673045822,-1.076873315
47.40301418,-122.3305538,11,Des Moines Marina,8935555.429,8.792656395,0.995,0.160925,-1.102551819,-1.286310456,-1.286310456,-1.102551819,-1.163804698,-1.286310456,-1.286310456,-1.102551819,-0.673781667,-1.041298941
48.064957,-122.857524,6,Discovery Bay,3982486.122,9.332538704,0.79375,0.193375,-0.800202962,-0.894344487,-0.894344487,-0.800202962,-0.800202962,-0.894344487,-0.894344487,-0.7531322,-0.470707625,-0.7531322
47.33775,-122.59014,11,Donkey Creek Delta,2884111.412,2.407837279,0.73375,0.180325,-0.925695444,-1.05793765,-1.05793765,-0.925695444,-0.991816547,-1.05793765,-1.05793765,-0.859574341,-0.575253597,-0.859574341
47.61889,-122.5275,10,Eagle Harbor Dr,1846400.668,12.6098516,0.8925,0.18125,-1.306177724,-1.443670116,-1.512416312,-1.306177724,-1.37492392,-1.443670116,-1.512416312,-1.237431528,-0.824954352,-1.237431528
48.69368,-122.90985,7,"Eastsound, Fishing Bay",3018580.71,7.534952207,0.465,0.147625,-1.157248764,-1.322570016,-1.3776771,-1.157248764,-1.212355848,-1.322570016,-1.3776771,-1.157248764,-0.716392092,-1.10214168
47.81407,-122.3825,9,Edmonds Ferry,8264243.773,0.206329647,0.69,0.1806,-1.052327103,-1.227714953,-1.227714953,-1.052327103,-1.11078972,-1.169252336,-1.227714953,-0.993864486,-0.643088785,-0.993864486
47.8111,-122.388,9,Edmonds Marina,20688192.68,13.85400356,0.765,0.162375,-0.81998892,-0.937130194,-0.937130194,-0.81998892,-0.878559557,-0.937130194,-0.937130194,-0.81998892,0.585706371,-0.81998892
47.074603,-123.003527,13,Eld Inlet,9802343.137,9.861263047,0.7075,0.21035,-1.072488263,-1.233361502,-1.233361502,-1.072488263,-1.126112676,-1.179737089,-1.233361502,-1.01886385,-0.643492958,-1.01886385
47.61862,-122.36108,10,Elliot Bay Myrtle Edwards,2435519.65,11.72580418,0.824,0.18824,-1.20784217,-1.409149199,-1.409149199,-1.20784217,-1.274944513,-1.409149199,-1.409149199,-1.20784217,-0.738125771,-1.140739827
47.58766,-122.35065,10,"Elliott Bay, Harbor Island, Pier 17",9192957.592,5.500254008,0.85625,0.16225,-1.198187809,-1.369357496,-1.369357496,-1.198187809,-1.255244371,-1.369357496,-1.369357496,-1.141131247,1.027018122,-1.141131247
47.9726,-122.22977,8.2,Everett Harbor,5813892.783,1.28999742,0.77625,0.14555,-1.2649094,-1.464631937,-1.464631937,-1.2649094,-1.331483579,-1.464631937,-1.464631937,-1.2649094,-0.798890147,-1.198335221
48.482448,-122.583879,7,"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999.239,11.87749221,0.7625,0.184,-1.78070327,-2.035089451,-2.035089451,-1.78070327,-1.844299815,-2.035089451,-2.035089451,-1.717106724,-1.081141271,-1.717106724
47.19483,-122.748665,13,Filucy Bay,10877772.12,5.009127417,0.85625,0.159275,-0.948947928,-1.126875664,-1.126875664,-0.948947928,-1.008257173,-1.126875664,-1.126875664,-0.948947928,-0.593092455,-0.948947928
48.5069444,-123.0194444,7,Friday Harbor,5444136.674,5.14738837,0.75,0.14544,-1.190727056,-1.378736591,-1.378736591,-1.190727056,-1.253396901,-1.378736591,-1.378736591,-1.190727056,-0.752038141,-1.128057211
47.33785,-122.58277,11,Gig Harbor Boat Launch,3843185.751,14.97195681,0.965,0.15425,-1.108182752,-1.231314168,-1.231314168,-1.108182752,-1.16974846,-1.231314168,-1.231314168,-1.046617043,-0.677222793,-1.046617043
47.5706,-122.9717,12,Hood Canal Holly,788014.8961,1.640458193,0.676666667,0.1902,-1.365898618,-1.57078341,-1.57078341,-1.365898618,-1.434193548,-1.57078341,-1.57078341,-1.297603687,-0.887834101,-1.297603687
48.024789,-122.998135,6,Jamestown,3175079.08,7.752782309,0.573333333,0.173883333,-1.193191046,-1.392056221,-1.392056221,-1.193191046,-1.259479438,-1.392056221,-1.392056221,-1.126902655,-0.729172306,-1.126902655
47.794695,-122.499858,10,Kingston Marina,5460804.691,4.370895609,0.81125,0.165525,-1.040041775,-1.235049608,-1.235049608,-1.105044386,-1.105044386,-1.235049608,-1.235049608,-1.040041775,-0.65002611,-1.040041775
47.54167,-122.64034,10,Kitsap St Boat Launch,2852984.356,10.7481244,0.8325,0.17555,-1.011570912,-1.163306549,-1.163306549,-1.011570912,-1.062149458,-1.163306549,-1.163306549,-1.011570912,1.315042186,-0.960992366
47.30973,-122.68868,13,Kopachuck State Park,7013734.566,4.725888249,0.7775,0.15353,-0.944632984,-1.079580553,-1.079580553,-0.944632984,-0.944632984,-1.079580553,-1.079580553,-0.877159199,-0.587021926,-0.877159199
47.5833538,-122.6414587,10,Lions Park,6373166.26,10.42413956,0.75,0.14805,-1.316330859,-1.579597031,-1.579597031,-1.382147402,-1.447963945,-1.513780488,-1.579597031,-1.316330859,-0.855615058,-1.316330859
48.77636877,-122.5378679,7,Locust Beach,2368800.337,6.150276481,0.6875,0.169575,-1.28004374,-1.408048114,-1.472050301,-1.28004374,-1.344045927,-1.408048114,-1.472050301,-1.216041553,-0.768026244,-1.216041553
47.57995505,-122.6786,10,Madrona Pont,7017559.738,4.520043667,0.805,0.155625,-1.084770642,-1.205300714,-1.265565749,-1.084770642,-1.145035678,-1.205300714,-1.265565749,-1.024505607,-0.662915392,-1.024505607
47.55622,-122.54281,10,"Manchester, Stormwater Outfall",7715455.876,2.792783701,0.60625,0.198825,-1.231404524,-1.368227249,-1.368227249,-1.231404524,-1.299815886,-1.368227249,-1.368227249,-1.162993161,-0.752524987,-1.162993161
47.30008,-122.74566,13,Maple Hollow Park,13508380.28,2.576942008,0.775,0.184125,-0.981481481,-1.177777778,-1.177777778,-0.981481481,-1.04691358,-1.112345679,-1.177777778,-0.981481481,-0.628148148,-0.981481481
48.018127,-122.699524,9,Maristone Island,4711148.229,5.722065262,0.699166667,0.1881,-1.269994391,-1.411104879,-1.411104879,-1.269994391,-1.269994391,-1.411104879,-1.411104879,-1.199439148,-0.776107684,-1.199439148
47.11795,-122.83359,13,Meyer's Point - Henderson Inlet,2252669.398,15.21190078,0.78875,0.178525,-1.115205224,-1.338246269,-1.338246269,-1.115205224,-1.189552239,-1.338246269,-1.338246269,-1.115205224,-0.721166045,-1.115205224
47.4436,-122.360316,11,Miller Creek,15899206.45,3.631343581,0.82125,0.1893,1.270942746,-1.207395609,-1.207395609,-1.016754197,-1.080301334,-1.207395609,-1.207395609,-1.016754197,-0.635471373,-1.016754197
47.3539722,-122.69175,13,Minter Bay,8029786.948,5.009746273,0.9175,0.17415,-1.052653061,-1.25002551,-1.25002551,-1.052653061,-1.118443878,-1.25002551,-1.25002551,-1.052653061,-0.657908163,-1.052653061
47.94968,-122.30158,8.2,Mukilteo,8713508.039,7.606435702,0.79125,0.1532,-1.100494081,-1.229963973,-1.229963973,-1.100494081,-1.165229027,-1.229963973,-1.229963973,-1.035759135,-0.712084406,-1.035759135
48.52108,-122.61531,7,N Avenue Park,6764939.012,0.692149127,0.8225,0.18215,-1.085359801,-1.248163772,-1.248163772,-1.085359801,-1.139627792,-1.248163772,-1.248163772,-1.085359801,1.031091811,-1.031091811
48.255358,-122.507014,8.1,North Camano,12423809.12,3.101924016,0.7675,0.179575,-1.333065693,-1.52350365,-1.52350365,-1.333065693,-1.396545012,-1.52350365,-1.52350365,-1.269586375,-0.825231144,-1.269586375
48.02218,-122.728709,9,Oak Bay County Park,2335225.716,11.83915658,0.77375,0.17445,-1.154208925,-1.346577079,-1.346577079,-1.154208925,-1.218331643,-1.282454361,-1.346577079,-1.090086207,-0.705349899,-1.090086207
48.21423,-122.718972,8.1,Penn Cove Reference,2290809.301,12.59276789,0.60625,0.195125,-1.170406714,-1.316707553,-1.389857973,-1.170406714,-1.243557134,-1.316707553,-1.316707553,-1.097256294,-0.731504196,-1.097256294
47.2619,-122.7376,13,Penrose Point State Park,7562838.824,4.423060585,0.8575,0.180575,-0.990190802,-1.122216243,-1.122216243,-0.990190802,-0.990190802,-1.122216243,-1.122216243,-0.924178082,-0.607317025,-0.924178082
47.3062,-122.5145,11,Point Defiance Ferry,2116286.931,6.454028929,0.83875,0.1761,-0.984333968,-1.158039962,-1.158039962,-1.042235966,-1.042235966,-1.158039962,-1.158039962,-0.984333968,-0.636921979,-0.984333968
48.12823,-123.45715,6,Port Angeles Yacht Club,5668182.301,7.9878217,0.855,0.159385,-0.975255833,-1.089991813,-1.089991813,-0.975255833,-1.032623823,-1.089991813,-1.089991813,-0.917887843,-0.631047892,-0.917887843
47.38566,-122.627255,13,Purdy - Dexters,4578794.023,0.734050309,0.84375,0.168025,-0.923234291,-1.046332197,-1.046332197,-0.923234291,-0.984783244,-1.046332197,-1.046332197,-0.861685339,-0.578560156,-0.861685339
47.386977,-122.6367089,13,"Purdy, Burley Lagoon",3937234.94,10.05044241,0.915,0.189675,-1.1257041,-1.266417112,-1.336773619,-1.1257041,-1.196060606,-1.266417112,-1.336773619,-1.1257041,-0.703565062,-1.055347594
47.32598,-122.66724,13,Raft Island Park,4185580.798,3.042678154,0.65375,0.170975,-1.284385246,-1.459528689,-1.459528689,-1.284385246,-1.342766393,-1.459528689,-1.459528689,-1.226004098,-0.817336066,-1.226004098
47.346537,-122.82236,13,Reach Island,5721094.954,4.58367038,0.77,0.16865,-0.773063806,-0.8919967,-0.8919967,-0.773063806,-0.832530253,-0.8919967,-0.8919967,-0.773063806,-0.493571507,-0.773063806
47.578117,-122.524833,10,Rich Passage,5061124.659,2.319743024,0.81,0.16595,-1.095953545,-1.217726161,-1.217726161,-1.095953545,-1.156839853,-1.217726161,-1.217726161,-1.035067237,0.730635697,-1.035067237
47.60255,-122.66992,10,Rocky Point,9469801.367,9.895474753,0.68875,0.178175,-1.321275698,-1.561507644,-1.561507644,-1.381333685,-1.441391671,-1.561507644,-1.561507644,-1.321275698,-0.840811808,-1.321275698
48.02667,-122.75076,9,S of Skunk Island,4092598.466,10.11133775,0.78625,0.172025,2.455588235,1.711470588,-1.562647059,-1.339411765,-1.413823529,-1.562647059,-1.562647059,-1.339411765,2.157941176,1.934705882
47.6663,-122.4018,10,"Salmon Bay, Commodore Park",4444677.291,3.794299859,0.7075,0.19215,-1.309787234,-1.547930368,-1.547930368,-1.309787234,-1.428858801,-1.547930368,-1.547930368,-1.309787234,-0.833500967,-1.250251451
47.29464,-122.53053,11,Salmon Beach,1550935.053,7.299085618,0.86375,0.16055,-1.036850394,-1.166456693,-1.166456693,-1.036850394,-1.101653543,-1.166456693,-1.166456693,0.972047244,1.555275591,-0.972047244
47.607,-122.342,10,"Seattle Aquarium, Pier 59",3037049.482,15.6176361,0.8425,0.176275,1.87928465,-1.578599106,-1.653770492,-1.428256334,-1.50342772,-1.578599106,-1.653770492,-1.353084948,-0.902056632,-1.353084948
47.671678,-122.406663,10,Shilshole Bay,2710238.957,9.906528332,0.55625,0.15135,-1.096651584,-1.233733032,-1.233733032,-1.096651584,-1.096651584,-1.233733032,-1.233733032,-1.02811086,0.822488688,-1.02811086
47.6427936,-122.6967068,10,"Silverdale, Dyes Inlet",1419996.096,28.25379124,0.6875,0.18485,-1.894231023,-2.19020462,-2.19020462,-1.894231023,-2.012620462,-2.19020462,-2.19020462,-1.835036304,-1.183894389,-1.835036304
47.66142,-122.49884,10,Skiff Point,5612257.852,4.778817931,0.55875,0.175775,1.950893744,1.690774578,-1.105506455,-0.975446872,-1.040476663,-1.105506455,-1.105506455,2.536161867,2.145983118,-0.91041708
47.63237,-122.37869,10,"Smith Cove, Terminal 91",3958466.348,7.5954936,0.74,0.1822,-1.165247191,-1.294719101,-1.359455056,-1.165247191,-1.229983146,-1.294719101,-1.359455056,-1.100511236,-0.712095506,-1.100511236
47.17650485,-122.9046464,13,Squaxin Island,6185908.673,5.883833595,0.85625,0.17425,-0.773294931,-0.902177419,-0.902177419,-0.773294931,-0.837736175,-0.902177419,-0.902177419,-0.708853687,-0.483309332,-0.708853687
47.7296079,-122.5506191,10,"Suquamish, Stormwater Outfall",3575218.321,5.819212897,1.02125,0.180425,1.557733598,1.427922465,-1.427922465,-1.233205765,-1.298111332,-1.363016899,-1.427922465,-1.168300199,1.233205765,-1.168300199
47.259189,-122.434689,11,Thea Foss Waterway,3660949.966,11.78727617,0.897,0.14776,-1.178230616,-1.354965209,-1.354965209,-1.178230616,-1.237142147,-1.354965209,-1.354965209,-1.119319085,-0.70693837,-1.119319085
47.44896,-122.372267,11,Three Tree Point,7868514.826,7.915689936,0.8125,0.208425,-1.10312,-1.297788235,-1.297788235,-1.10312,-1.168009412,-1.297788235,-1.297788235,-1.10312,-0.713783529,-1.10312
48.0617,-122.2939,8.2,Tulalip Bay,5438866.58,6.253865979,0.874166667,0.176166667,-0.884269068,-1.00217161,-1.00217161,-0.884269068,-0.943220339,-1.00217161,-1.00217161,-0.884269068,-0.560037076,-0.825317797
48.0697859,-122.2997764,8.2,Tulalip Reservation,5097254.763,3.733327306,0.78375,0.16805,-1.349721237,-1.552179422,-1.619665484,-1.417207299,-1.48469336,-1.552179422,-1.619665484,-1.349721237,-0.877318804,-1.349721237
47.052362,-122.910912,13,West Bay Park,8508351.558,4.627812352,0.7725,0.182525,-1.205012225,-1.385764059,-1.385764059,-1.205012225,-1.265262836,-1.325513447,-1.385764059,-1.144761614,-0.723007335,-1.144761614
47.66586,-122.56698,10,Williams Olson Park,3067078.444,6.391730801,0.67125,0.161975,,,,,,,,,,
