"","site_number","site_name","reporting_area","latitude","longitude","p450","sod","shell","weight_initial","weight_change","weight_final","length","height","width","ci1","ci2","ci3","t_p450","t_sod","t_shell","t_weight_initial","t_weight_change","t_weight_final","t_length","t_height","t_width","t_ci1","t_ci2","t_ci3"
"11","8","Chimacum Creek delta","9",48.04906,-122.7724,2641298.75,1.903875,0.90375,14.7475,9.42125,5.32625,56.24,20.675,24.945,32.1025,0.63525,0.052,21.3328160593061,0.928938760788692,-0.146004352823607,3.88239850405388,3.2359184875622,2.41312014640349,5.81352468929781,4.36981542428391,4.6406787642337,5.00461374728666,-0.654603624608732,-4.265344566521
"12","74","Chuckanut, Clark's Point","7",48.68975,-122.50434,2740842.75,11.211,0.7275,14.57175,10.023,4.54875,56.82,20.2325,25.6675,33.8,0.69025,0.055,21.3861881283149,3.48684306443981,-0.458980846866441,3.86510224371821,3.32524248339404,2.18547014606694,5.82832692641482,4.33860269035263,4.68187087996144,5.07895134139482,-0.534809112074018,-4.18442457113743
"13","45","Commencement Bay Skookum","11",47.29,-122.41,5884345.75,9.0745,0.755,12.44525,8.3025,4.14275,54.015,18.9175,24.865,32.655,0.66725,0.053,22.4884505876973,3.1818181535885,-0.405451450449646,3.63752330633428,3.05354581772798,2.05058876150885,5.75528819513671,4.24164954001753,4.63604452602804,5.02923200313464,-0.583700694520121,-4.23786383009889
"14","48","Commencement Bay, Dick Gilmur Launch","11",47.292549,-122.412175,3653913.5,14.00875,0.8325,15.7915,11.19275,4.599,59.73,20.3275,26.545,34.4975,0.70825,0.05225,21.8010110504165,3.80825632479914,-0.264477822703463,3.9810763110367,3.48449263736221,2.20132019771785,5.90038381666693,4.34536088953964,4.73036823634901,5.10841990987129,-0.497669398283988,-4.2584251525812
"15","49","Commencement Bay, Milwaukee Waterway","11",47.2694,-122.4243,7394026.6,8.1685,0.821,13.0952,8.8386,4.2566,54.804,18.138,24.774,35.642,0.6736,0.0534,22.817928802952,3.030071177362,-0.284545872884282,3.71096618869613,3.14381787040733,2.0897015239627,5.77620929043742,4.18094347968678,4.63075491923525,5.15550638879337,-0.570035956483053,-4.2270164478619
"16","21","Des Moines Marina","11",47.40301418,-122.3305538,8935555.25,8.79275,0.995,14.1205,9.2275,4.893,57.33,19.0075,26.3575,32.14,0.653,0.049,23.0911259495739,3.13631444988274,-0.00723156923107586,3.81971926952684,3.20593983247088,2.29071928277095,5.84121837392389,4.24849688595938,4.72014163258364,5.00629802390037,-0.614845103115656,-4.35107444054688
"17","12","Discovery Bay","6",48.064957,-122.857524,3982486.25,9.3325,0.79375,16.212,11.08375,5.12825,57.3975,20.535,27.7575,33.9175,0.68325,0.059,21.9252379500098,3.22226360352834,-0.333243408115197,4.01899017538475,3.47037417041625,2.35846659443886,5.84291599527006,4.36001304220433,4.79480573124665,5.08395793016223,-0.54951454013888,-4.08314123530025
"18","44","Donkey Creek Delta","11",47.33775,-122.59014,3830029,2.500625,0.73375,14.9235,10.61625,4.3075,58.8675,19.38,27.055,34.5325,0.71175,0.052,21.8689238852336,1.32228872357088,-0.446639496664673,3.89951402461433,3.40820234485218,2.10685079645022,5.87939945509812,4.27649666564036,4.75782333620773,5.10988287758846,-0.490557506919821,-4.265344566521
"19","31","Eagle Harbor Dr","10",47.61889,-122.5275,1846400.75,12.60975,0.8925,13.76675,9.68075,4.08625,54.8775,16.735,23.6625,44.34,0.70175,0.058,20.8162842844368,3.65646776806852,-0.164075925745625,3.78311610880532,3.27511882222773,2.03077747199254,5.77814285446377,4.0647966459118,4.56453060081634,5.47053686509258,-0.510970936149563,-4.10780328953452
"20","60","Eastsound, Fishing Bay","7",48.69368,-122.90985,3018580.5,7.731875,0.465,11.8205,8.0905,3.73,54.7375,18.7625,24.3325,32.3575,0.68475,0.0495,21.5254388450159,2.95081831391518,-1.10469737866669,3.56321915682108,3.01622886523004,1.89917563048051,5.77445763956529,4.22978016673333,4.60481264994841,5.01602824168708,-0.546350733956709,-4.33642766458248
"21","69","Edmonds Ferry","9",47.81407,-122.3825,8264243.75,0.206375,0.69,14.47725,10.1775,4.3,56.1975,19.5675,23.985,38.3775,0.703,0.057,22.9784513757694,-2.27665987974883,-0.535331732996556,3.85571567878985,3.34731131636529,2.10433665981474,5.81243404708044,4.29038753976388,4.58406053442676,5.26218882895647,-0.508403405589552,-4.13289427049735
"22","68","Edmonds Marina","9",47.8111,-122.388,16840952.75,13.85375,0.765,13.11825,9.12825,3.99,56.1175,18.49,25.7325,34.205,0.69675,0.0515,24.005470423092,3.79220463969037,-0.386468347082073,3.71350336936203,3.1903383039865,1.99638874644762,5.81037883410284,4.20867331962947,4.68551972150409,5.0961353249095,-0.521286997558278,-4.27928375747887
"23","72","Eld Inlet","13",47.074603,-123.003527,9802343.25,9.86125,0.7075,17.22025,12.35375,4.86625,58.03,21.505,28.88,33.765,0.7155,0.06225,23.2246952360068,3.3017705324551,-0.499197946942842,4.10603418252004,3.6268771354987,2.28281043957256,5.85872702377863,4.42660022616993,4.85199883711245,5.07745665240059,-0.482976327935419,-4.00578235259401
"24","19","Elliot Bay Myrtle Edwards","10",47.61862,-122.36108,2435519.6,11.726,0.824,15.449,10.7418,4.707,56.626,20.654,25.88,35.04,0.6948,0.0582,21.21579816273,3.55163905673439,-0.279283757478869,3.94944155167513,3.42516386041597,2.23480785302717,5.82339271787938,4.36834930613607,4.69376571221778,5.13093086982645,-0.525330340839057,-4.10283703664117
"25","14","Elliott Bay, Harbor Island, Pier 17","10",47.58766,-122.35065,9192957.75,5.5,0.85625,14.71475,9.5905,5.12425,58.9075,19.14,24.76,34.215,0.65325,0.0465,23.1320976794488,2.4594316186373,-0.223896011926836,3.87919112633835,3.26160603200216,2.35734086306478,5.88037942204959,4.2585189247113,4.62993940943954,5.09655704225857,-0.614292875342066,-4.42662547355406
"26","66","Everett Harbor","8.2",47.9726,-122.22977,5813892.75,2.31775,0.77625,12.00475,7.91175,4.09325,54.335,17.755,23.895,34.2575,0.65825,0.04925,22.4710730273703,1.2127249609901,-0.365406731554243,3.58553345451436,2.9839968397145,2.03324678374794,5.76380990728029,4.15015345524625,4.57863686247174,5.09834796699804,-0.603292478616024,-4.34373246520571
"27","63","Fidalgo Bay Aq Reserve, Weaverling Spit","7",48.482448,-122.583879,3181280,11.87725,0.7625,13.663,9.7325,3.93075,56.08,19.3575,24.1325,37.1425,0.712,0.05525,21.6011759254311,3.57012893518223,-0.391190757324476,3.77220238744118,3.28281043957256,1.97480460969698,5.8094144442359,4.2748207370404,4.59290547379686,5.21499901883646,-0.490050853695689,-4.17788172527066
"28","59","Filucy Bay","13",47.19483,-122.748665,10877772,5.009,0.85625,14.28075,9.41175,4.869,58.49,19.06,22.7,36.8175,0.6525,0.04575,23.3748797563044,2.32452261159581,-0.223896011926836,3.835999844063,3.23446299942426,2.28362550060704,5.87011808396593,4.25247621413522,4.50462039240355,5.20231976231248,-0.61595019320484,-4.45008444637804
"29","61","Friday Harbor","7",48.5069444,-123.0194444,5444136.6,6.7096,0.75,12.1138,8.241,3.8728,56.408,18.574,23.89,32.616,0.6726,0.0458,22.3762718355912,2.74622676117694,-0.415037499278844,3.59857959255365,3.04281941113493,1.95337699931141,5.81782788059395,4.21521263491764,4.57833494868161,5.02750795682646,-0.572179316022867,-4.4485085914525
"30","58","Gig Harbor Boat Launch","11",47.33785,-122.58277,3843185.75,14.972,0.965,13.38425,8.3875,4.9975,54.325,19.445,26.1875,30.2725,0.62675,0.05225,21.8738712761771,3.90419504823787,-0.0513991525066443,3.74246439325371,3.06824086131282,2.3212065669699,5.76354436429392,4.28132732965948,4.71080643369935,4.91993591734946,-0.674038003828148,-4.2584251525812
"31","29","Hood Canal Holly","12",47.5706,-122.9717,1596840.167,1.640416667,0.676666667,16.26683333,11.226,5.040833333,59,20.72666667,26.75666667,34.305,0.689833333,0.054833333,20.606788485194,0.714062306956316,-0.563482772600017,4.0238615232945,3.48877205929985,2.33366225475803,5.88264304936184,4.3734162110772,4.74182649195051,5.1003469613581,-0.535680252850075,-4.18880302041818
"32","2","Jamestown","6",48.024789,-122.998135,3175079,7.752666667,0.573333333,13.94633333,9.8345,4.111833333,56.42166667,19.65166667,26.16833333,33.86166667,0.7035,0.054833333,21.5983610577414,2.95469263626128,-0.802553936632559,3.80181396375515,3.29785170569574,2.03978178823621,5.81817737798613,4.29657976841844,4.70975013646422,5.08158107926587,-0.507377671425554,-4.18880302041818
"33","36","Kingston Marina","10",47.794695,-122.499858,5460804.75,4.371,0.81125,15.20425,9.717,5.48725,58.5325,20.73,25.615,31.25,0.63675,0.04825,22.380682143781,2.12796337812358,-0.301781521775586,3.926402747299,3.28051096885426,2.45608330672521,5.87116599427264,4.37364821133469,4.67891698667984,4.96578428466209,-0.651201040387892,-4.37332724739401
"34","25","Kitsap St Boat Launch","10",47.54167,-122.64034,2852984.25,10.748,0.8325,15.1685,10.762,4.4065,60.055,20.58,27.9575,32.885,0.71075,0.05175,21.444040351817,3.42599632135108,-0.264477822703463,3.92300652064647,3.42787430679269,2.13963320511453,5.90821246030054,4.36317107711924,4.80516345349566,5.0393577651597,-0.49258590098456,-4.27229732716276
"35","52","Kopachuck State Park","13",47.30973,-122.68868,7013734.75,4.72575,0.7775,15.15675,10.3005,4.8566,57.1825,23.3675,29.155,30.045,0.67975,0.05425,22.7417514401636,2.24054331037393,-0.363085419644122,3.92188853035266,3.36464246433591,2.27994666779454,5.83750179038555,4.54643148880567,4.86567141764843,4.90905301675914,-0.556923848637327,-4.20423305221761
"36","37","Lions Park","10",47.5833538,-122.6414587,6373166.5,10.424,0.75,11.463,7.80225,3.661,52.5125,21.89,25.035,27.645,0.678,0.05375,22.6035789212066,3.38183708390605,-0.415037499278844,3.51891275841658,2.96389022599408,1.87223777364246,5.71458897559916,4.45220004940622,4.64587455030903,4.78894666657714,-0.560642821525743,-4.21759143507263
"37","76","Locust Beach","7",48.77636877,-122.5378679,2368800.25,6.15025,0.6875,14.03325,10.24025,3.793,59.9525,19.2975,26.625,32.66,0.731,0.047,21.1757251172124,2.62064505539979,-0.540568381362703,3.81077726035975,3.35617903184222,1.92333937163215,5.9057480097012,4.27034205268023,4.73470962022584,5.02945288578697,-0.45205668870965,-4.41119543298445
"38","28","Madrona Pont","10",47.57995505,-122.6786,7017559.75,4.52025,0.805,13.83075,9.1675,4.66325,57.9625,19.52,24.6525,32.025,0.66025,0.0455,22.742538011733,2.17640256551352,-0.312939311660108,3.78980748651263,3.19652836093694,2.2213357756122,5.85704791648716,4.28688114778816,4.62366205202674,5.00112666545428,-0.598915698494994,-4.45798964446339
"39","33","Manchester, Stormwater Outfall","10",47.55622,-122.54281,7715455.75,3.407625,0.60625,15.4415,11.27875,4.16275,56.62,21.35,27.255,34.17,0.73075,0.062,22.8793199482647,1.7687665795756,-0.722015252700235,3.94874099888257,3.49553528064453,2.05753691793276,5.82323984413102,4.41616416473313,4.76844901518055,5.09465834265454,-0.452550170856034,-4.01158797427521
"40","51","Maple Hollow Park","13",47.30008,-122.74566,12906891.5,4.6215,0.775,15.13775,10.76925,4.3685,58.09,19.43,25.9075,36.405,0.71025,0.05425,23.6216382475422,2.20836118309842,-0.367731784500487,3.92007888111791,3.42884587504272,2.12713799046969,5.86021792474585,4.28021399581062,4.69529790115733,5.18606470409757,-0.493601168472546,-4.20423305221761
"41","11","Maristone Island","9",48.018127,-122.699524,4711148.333,5.722,0.699166667,15.06416667,11.0075,4.056666667,57.905,20.36166667,27.23833333,33.65333333,0.7255,0.055666667,22.1676473260624,2.5165194976611,-0.516291689368241,3.91304896202412,3.46041493916217,2.02029476233639,5.85561602278684,4.34778375051183,4.7675665247386,5.07267750434377,-0.462952480595343,-4.1670424842703
"42","71","Meyer's Point, Henderson Inlet","13",47.11795,-122.83359,2252669.75,15.21175,0.78875,14.16075,9.92275,4.23825,56.0125,19.55,25.25,35.8875,0.7025,0.05625,21.1032043937896,3.9271142289551,-0.342359994792176,3.82382577221692,3.31074000584861,2.08346868990984,5.80767691626514,4.28909670241999,4.65821148275179,5.16540952031982,-0.509429869553799,-4.15200309344505
"43","20","Miller Creek","11",47.4436,-122.360316,15899206.5,4.015375,0.82125,15.95475,11.064,4.8905,58.395,20.99,26.4025,34.2125,0.6955,0.05575,23.9224514292758,2.00553472880779,-0.284106629452395,3.99591409763897,3.46780115648841,2.28998197246672,5.86777294029372,4.39163026151743,4.72260263685137,5.09645162447759,-0.523877580119848,-4.16488438474178
"44","55","Minter Bay","13",47.3539722,-122.69175,8029787,5.00975,0.9175,15.73,10.238,5.49225,58.5675,20.445,23.6375,36.9575,0.6505,0.051,22.9369302883097,2.32473861085374,-0.124219936931512,3.97544676564096,3.35586200632929,2.45739729656138,5.8720284080717,4.35367615775164,4.5630055530624,5.20779526344899,-0.620379037944292,-4.29335894269059
"45","65","Mukilteo","8.2",47.94968,-122.30158,8713508,7.6065,0.79125,12.06025,8.4225,3.63775,54.9,18.66,25.16,32.595,0.699,0.05075,23.054822224464,2.9272327751257,-0.337794500346383,3.592187908429,3.07424852334703,1.86304639891206,5.77873424411784,4.22187708107703,4.65306001710456,5.02657877012771,-0.516635639286651,-4.30044836747691
"46","62","N Avenue Park","7",48.52108,-122.61531,6764939.25,1.446375,0.8225,14.89425,10.3425,4.552,56.5325,20.755,24.13,36.6475,0.6935,0.057,22.6896455480024,0.532441646687831,-0.281912416039483,3.89668357339103,3.37051305246041,2.18650055764449,5.82100859265642,4.37538702682888,4.59275601044103,5.19564287958695,-0.528032212338484,-4.13289427049735
"47","7","North Camano","8.1",48.255358,-122.507014,12423809,0.75175,0.7675,15.03,10.5455,4.48425,58.52,20.465,26.99,32.4425,0.70175,0.05225,23.566604219649,-0.411675132088084,-0.381761344404545,3.90977310414164,3.39855559498998,2.16486671161928,5.87085786436376,4.35508676166836,4.75435307169213,5.01981309195895,-0.510970936149563,-4.2584251525812
"48","10","Oak Bay County Park","9",48.02218,-122.728709,2335225.75,11.8395,0.77375,14.24175,9.78925,4.45275,55.8125,19.4525,25.7325,34.77,0.6845,0.056,21.1551305936328,3.56553624994611,-0.37006059056046,3.83205452779272,3.29119833248178,2.15469661382774,5.80251636512122,4.28188367456292,4.68551972150409,5.1197711619529,-0.546877553404188,-4.15842936260448
"49","3","Penn Cove Reference","8.1",48.21423,-122.718972,2290809.25,12.593,0.60625,16.155,11.37375,4.78125,58.3025,21.1125,27.67,33.44,0.70375,0.0575,21.1274259033329,3.654550108647,-0.722015252700235,4.01390884549064,3.5076360935706,2.25738784269265,5.86548584212571,4.40002551791402,4.79025073883523,5.06350294230616,-0.506865077694495,-4.12029423371771
"50","50","Penrose Point State Park","13",47.2619,-122.7376,7562838.75,4.423,0.8575,14.34575,9.71125,4.6345,54.695,23.3125,30.18,26.3225,0.6765,0.06475,22.8504964283508,2.14502524223657,-0.221791423601912,3.84255148948373,3.27965700653368,2.21241369992289,5.7733370484736,4.54303182025524,4.91552090075196,4.71822461155628,-0.56383816068555,-3.94897599697553
"51","43","Point Defiance Ferry","11",47.3062,-122.5145,2116286.75,6.454,0.83875,13.99725,10.00425,3.993,56.78,18.76,25.5425,36.8175,0.71425,0.05475,21.013103690526,2.69019357782485,-0.253687233574541,3.80707150769546,3.32254111002325,1.99747307197096,5.82731094394967,4.22958792274065,4.6748278321868,5.20231976231248,-0.485498963725715,-4.19099722506091
"52","1","Port Angeles Yacht Club","6",48.12823,-123.45715,5668182.167,7.99825,0.800833333,14.85966667,10.24833333,4.611666667,55.43,21.26833333,25.13166667,34.22833333,0.688666667,0.059166667,22.4344546944122,2.99968437593716,-0.320426070322628,3.89332984879001,3.35731740051536,2.20528823821835,5.79259510251225,4.41063507737475,4.65143444524687,5.09711914022712,-0.53812224581988,-4.07907156286334
"53","47","Purdy, Burley Lagoon","13",47.386977,-122.6367089,3937235,10.05025,0.915,16.55525,11.41875,5.1365,59.435,20.9775,27.2175,32.9,0.69325,0.053,21.9087513938904,3.32915948378155,-0.128156351490682,4.04921689185223,3.51333282374013,2.36078564490772,5.89324084840494,4.39077084942262,4.76646265242577,5.04001567884788,-0.528552383622608,-4.23786383009889
"54","57","Purdy, Dexters","13",47.38566,-122.627255,4578794.25,1.760875,0.84375,14.4615,9.848,4.61375,58.315,19.28,25.7625,33.7725,0.679,0.049,22.126536307698,0.816292499583212,-0.245112497836531,3.85414529657655,3.29983076182237,2.20593983247088,5.86579512140335,4.26903314645524,4.68720069465189,5.07777707328828,-0.558516520417355,-4.35107444054688
"55","53","Raft Island Park","13",47.32598,-122.66724,4185580.75,3.778125,0.65375,13.412,9.7555,3.65675,56.79,18.835,25.4425,35.5425,0.7245,0.0525,21.9969963801564,1.91767043436176,-0.613189053527783,3.7454524831317,3.2862158173791,1.87056199772413,5.82756500665014,4.23534412817267,4.66916853282079,5.15147325657903,-0.464942405105158,-4.25153876699596
"56","39","Reach Island","13",47.346537,-122.82236,5721095,4.58375,0.77,14.13325,9.48275,4.6505,55.62,20.34,25.4925,32.295,0.6665,0.054,22.4478598701531,2.19652836093694,-0.377069649079823,3.82102135247299,3.24530550174291,2.21738583638005,5.79753183957196,4.34624777408278,4.6720009574881,5.01323891511367,-0.585323219573114,-4.21089678249862
"57","32","Rich Passage","10",47.578117,-122.524833,5061124.75,2.31975,0.81,12.95775,9.24175,3.71625,55.49,18.99,25.1825,34.6525,0.71225,0.0535,22.2710266046248,1.21396933414833,-0.3040061868901,3.69574332347634,3.20816606346696,1.89384755813292,5.79415589787641,4.24716800037477,4.65434960902318,5.11488753404625,-0.489544378338236,-4.22431729826094
"58","27","Rocky Point","10",47.60255,-122.66992,9469801.25,9.8955,0.68875,13.43925,9.5945,3.8445,53.75,20.4975,25.705,33.8525,0.71425,0.0615,23.1749027163855,3.30677260563519,-0.537947681203567,3.74838072322188,3.26220762493905,1.94279597935065,5.74819284958946,4.35737605546964,4.6839771069756,5.08119047534703,-0.485498963725715,-4.02326977932285
"59","16","Salmon Bay, Commodore Park","10",47.6663,-122.4018,4444677.5,3.79425,0.7075,15.517,11.148,4.369,58.0075,20.5325,27.2175,34.4,0.71825,0.05725,22.083647312107,1.92381473986634,-0.499197946942842,3.95577775399206,3.47871300244172,2.12730310578213,5.85816753846006,4.35983739296312,4.76646265242577,5.10433665981474,-0.477442007129563,-4.12658049656514
"60","40","Salmon Beach","11",47.29464,-122.53053,2076089.5,7.299625,0.86375,12.862,8.8005,4.06175,54.6075,19.4375,24.61,33.51,0.684,0.054,20.9854372087921,2.86782235104243,-0.211314289386466,3.68504308947668,3.13758549273043,2.02210144474,5.77102720481872,4.2807707701306,4.62117275268344,5.06651978142975,-0.547931769776189,-4.21089678249862
"61","17","Seattle Aquarium, Pier 59","10",47.607,-122.342,3037049.5,15.6175,0.8425,14.80475,10.42525,4.3795,58.83,18.6975,25.86,36.3475,0.704,0.05075,21.5342389920945,3.96509162479079,-0.247251408592866,3.88798822357875,3.38201007514585,2.13076616921084,5.87848013113858,4.22477347843793,4.69265037003553,5.18378423312753,-0.50635266602479,-4.30044836747691
"62","18","Shilshole Bay","10",47.671678,-122.406663,2710238.75,9.90675,0.55625,11.07575,8.0975,2.97825,53.335,18.945,24.8375,32.2925,0.7285,0.053,21.3699885162056,3.30841184571712,-0.846194663920965,3.46933248979813,3.01747656302046,1.57446486158354,5.73701067768181,4.24374523473398,4.63444806236231,5.01312722979982,-0.456999122597574,-4.23786383009889
"63","35","Silverdale, Dyes Inlet","10",47.6427936,-122.6967068,1419996,28.254,0.6875,14.88375,10.3795,4.50425,56.0325,19.865,26.975,34.43,0.698,0.05875,20.4374554351187,4.8203832233586,-0.540568381362703,3.89566615794626,3.37566504292858,2.17128690373936,5.80819195756327,4.31215688831337,4.75355105460065,5.10559427579519,-0.518701058452435,-4.08926733809709
"64","24","Skiff Point","10",47.66142,-122.49884,5612257.75,4.779,0.55875,14.322,10.1585,4.1635,57.525,20.3975,25.6625,33.5975,0.70725,0.053,22.4201498373888,2.25670876758438,-0.839725168591407,3.84016106714085,3.34461548495765,2.05779682396094,5.84611717333673,4.35032043538701,4.68158981722124,5.07028198051675,-0.499707823265834,-4.23786383009889
"65","15","Smith Cove, Terminal 91","10",47.63237,-122.37869,3958466.25,7.5955,0.74,14.108,9.9185,4.1895,54,19.505,25.99,35.735,0.701,0.06275,21.9165101203015,2.92514493823326,-0.434402824145775,3.81844157576416,3.31012195466559,2.06677807433902,5.75488750216347,4.28577209324984,4.69988472869748,5.15926588316068,-0.512513650651464,-3.99424073071132
"66","9","South of Skunk Island","9",48.02667,-122.75076,4437927.25,10.11125,0.78625,13.1975,9.35625,3.84125,54.215,19.88,25.4675,33.92,0.71075,0.0585,22.0814545872592,3.33788945585985,-0.346939982895435,3.7221927608959,3.22593041117105,1.94157586181824,5.76062016107245,4.31324585178756,4.67058544026221,5.08406426478847,-0.49258590098456,-4.09541956507868
"67","38","Squaxin Island","13",47.17650485,-122.9046464,6185908.75,6.574125,0.85625,14.472,9.8375,4.6345,56.3825,20.0175,25.2,34.795,0.68175,0.055,22.5605541213266,2.71679888799194,-0.223896011926836,3.85519240795915,3.29829173062012,2.21241369992289,5.81717554331077,4.3231899010884,4.65535182861255,5.12080810229862,-0.552685299746824,-4.18442457113743
"68","34","Suquamish Stormwater Outfall","10",47.7296079,-122.5506191,3575218.5,5.81925,1.02125,15.04725,9.98825,5.059,55.36,23.285,29.27,28.27,0.665,0.0595,21.7695999844274,2.54083322684412,0.0303360783709587,3.91142794241202,3.32023193152308,2.33885223914518,5.790772037862,4.5413289770456,4.87135084063403,4.82119997805645,-0.588573754273535,-4.07096652135414
"69","46","Thea Foss Waterway","11",47.259189,-122.434689,9969514.6,11.7874,0.897,13.194,8.497,4.6976,57.874,19.884,26.258,29.332,0.6148,0.0448,23.2490918331031,3.55917362654141,-0.156820109742826,3.72181010491404,3.08695356488773,2.23192387329376,5.85484345526879,4.31353610328052,4.71468512916976,4.8744035393784,-0.701810929858678,-4.48035745749184
"70","22","Three Tree Point","11",47.44896,-122.372267,7868514.75,7.91575,0.8125,16.89325,12.26075,4.6325,58.755,21.7175,27.555,34.825,0.7265,0.0605,22.9076599096276,2.98472604903832,-0.299560281858908,4.07837500193913,3.61597532743856,2.21179097625254,5.87663972389718,4.44078613241324,4.78424222205778,5.12205144771389,-0.460965297029246,-4.04692104738749
"71","67","Tulalip Bay","8.2",48.0617,-122.2939,5438866.5,6.253833333,0.874166667,14.074,10.02,4.054,56.51333333,19.99166667,25.57166667,34.03666667,0.709333333,0.054666667,22.3748745838107,2.64474077141224,-0.194019727368491,3.8149605130157,3.32481060342048,2.01934608880481,5.82051938117096,4.32132684692547,4.67647428824689,5.08901785064999,-0.495464350560012,-4.19319477196824
"72","70","Tulalip Reservation","8.2",48.0697859,-122.2997764,5097254.75,3.952125,0.78375,14.307,9.8595,4.44725,58.56,19.5675,26.48,32.4325,0.68925,0.049,22.2812890272128,1.9826285780026,-0.351534556972686,3.83864928345343,3.30151448577045,2.15291350737044,5.87184364850932,4.29038753976388,4.72683121703249,5.01936833047847,-0.536900732651896,-4.35107444054688
"73","73","West Bay Park","13",47.052362,-122.910912,8508351.5,4.628,0.7725,15.0645,10.3975,4.66675,56.8575,20.935,26.215,32.975,0.68675,0.05625,23.0204482049772,2.2103888644454,-0.37239316187035,3.91308088468059,3.37816477987163,2.22241818351787,5.82927876061236,4.38784501296558,4.71232064074163,5.04330075436418,-0.542143089586231,-4.15200309344505
"74","26","Williams Olson Park","10",47.66586,-122.56698,3067078.5,6.457625,0.67125,13.20775,9.1555,4.05225,55.9775,18.695,25.3225,33.9625,0.6875,0.05125,21.5484336612996,2.69100366480626,-0.575077911789312,3.72331281277285,3.1946386766095,2.0187231826865,5.8067751513205,4.22458056608344,4.6623479388146,5.08587075533461,-0.540568381362703,-4.28630418515664
