sample_id,site_name,site_number,reporting_area,pcb_group,geo_group,pah_group,latitude,longitude,p450,sod,shell_thickness,length_mm,length_cm,width_mm,width_cm,height_mm,height_cm,weight_initial_g,weight_final_g,weight_change_g,ci1,shell_volume_mm3,shell_volume_ml,ci2,ci3
13,S of Skunk Island,9,9,1,3,4,48.02667,-122.75076,3719291,8.989,0.815,51.91,5.19,24.96,2.5,18.88,1.89,11.037,3.136,7.9,32.29456889,24462.31757,24.46231757,0.715774214,0.056509962
14,S of Skunk Island,9,9,1,3,4,48.02667,-122.75076,5059896,7.334,0.855,55.51,5.55,25.49,2.55,19.86,1.99,14.671,4.645,10.03,35.69280062,28100.90501,28.10090501,0.683661645,0.058670796
15,S of Skunk Island,9,9,1,3,4,48.02667,-122.75076,4168799,0.978,0.78,56.41,5.64,26.58,2.66,21.52,2.15,15.33,4.466,10.86,33.65708363,32266.61026,32.26661026,0.708414873,0.060533044
16,S of Skunk Island,9,9,1,3,4,48.02667,-122.75076,1279705,27.927,0.695,53.03,5.3,24.84,2.48,19.26,1.93,11.752,3.118,8.63,34.01584738,25370.52775,25.37052775,0.734343091,0.057967315
17,Mukilteo,65,8.2,1,2,6,47.94968,-122.30158,7725177,7.613,0.805,53.29,5.33,23.91,2.39,17.78,1.78,10.483,3.296,7.19,31.73743595,22654.63414,22.65463414,0.685872365,0.047483996
18,Mukilteo,65,8.2,1,2,6,47.94968,-122.30158,5159851,6.4,0.83,54.96,5.5,25.82,2.58,18.71,1.87,12.325,3.583,8.74,32.91809416,26550.74731,26.55074731,0.709127789,0.052531931
19,Mukilteo,65,8.2,1,2,6,47.94968,-122.30158,3877914,0.271,0.855,57.59,5.76,26.17,2.62,19.4,1.94,13.777,4.478,9.3,31.80756457,29238.32782,29.23832782,0.675038107,0.048664862
20,Mukilteo,65,8.2,1,2,6,47.94968,-122.30158,3542349,16.142,0.675,53.76,5.38,24.74,2.47,18.75,1.88,11.656,3.194,8.46,33.92424067,24937.92,24.93792,0.725806452,0.054327977
21,Edmonds Marina,68,9,2,2,7,47.8111,-122.388,3150477,7.034,0.665,52.77,5.28,23.07,2.31,17.68,1.77,11.182,3.145,8.04,37.35417073,21523.70095,21.52370095,0.719012699,0.054620325
22,Edmonds Marina,68,9,2,2,7,47.8111,-122.388,6702376,11.402,0.885,58.43,5.84,26.47,2.65,19.34,1.93,15.016,4.457,10.56,35.30348839,29912.05821,29.91205821,0.703249867,0.053018249
23,Edmonds Marina,68,9,2,2,7,47.8111,-122.388,52717198,34.355,0.865,56.34,5.63,26.48,2.65,18.38,1.84,13.56,4.58,8.98,32.74884639,27420.81322,27.42081322,0.662241888,0.050321219
24,Edmonds Marina,68,9,1,3,3,47.8111,-122.388,2444905,13.708,0.645,56.93,5.69,26.91,2.69,18.56,1.86,12.715,3.778,8.94,31.44160196,28433.66573,28.43366573,0.703106567,0.04852893
25,"Chuckanut, Clark's Point",74,7,1,3,3,48.68975,-122.50434,4424850,2.988,0.985,60.74,6.07,26.1,2.61,22.56,2.26,18.501,6.167,12.33,34.4753502,35764.68384,35.76468384,0.666450462,0.055131144
26,"Chuckanut, Clark's Point",74,7,1,3,3,48.68975,-122.50434,3385205,8.472,0.8,53.85,5.39,25.85,2.59,20.32,2.03,14.773,4.312,10.46,36.97955885,28285.8972,28.2858972,0.708048467,0.066798297
27,"Chuckanut, Clark's Point",74,7,1,3,3,48.68975,-122.50434,3153370,13.731,0.475,59.39,5.94,25.18,2.52,18.61,1.86,12.073,3.276,8.8,31.62039188,27830.14212,27.83014212,0.728899197,0.041987821
28,"Chuckanut, Clark's Point",74,7,5,2,8,48.68975,-122.50434,1063470,25.619,0.65,53.3,5.33,25.54,2.55,19.44,1.94,12.94,4.44,8.5,32.11992801,26463.32208,26.46332208,0.656877898,0.056135462
29,"Elliott Bay, Harbor Island, Pier 17",14,10,5,2,8,47.58766,-122.35065,6892889,1.487,0.785,57.66,5.77,24.48,2.45,17.47,1.75,12.846,4.411,8.44,34.22657878,24659.1985,24.6591985,0.657013856,0.043935443
30,"Elliott Bay, Harbor Island, Pier 17",14,10,5,2,8,47.58766,-122.35065,12192291,6.551,0.66,56.35,5.64,23.07,2.31,18.29,1.83,12.174,4.044,8.13,34.1928519,23776.89941,23.77689941,0.667816658,0.045316174
31,"Elliott Bay, Harbor Island, Pier 17",14,10,1,3,4,47.58766,-122.35065,8571444,13.24,1.04,60.19,6.02,25.66,2.57,18.55,1.86,16.193,5.983,10.21,35.63697503,28650.01867,28.65001867,0.63051936,0.046798967
32,"Elliott Bay, Harbor Island, Pier 17",14,10,1,3,4,47.58766,-122.35065,9119663,0.975,0.94,61.43,6.14,25.83,2.58,22.25,2.23,17.646,6.059,11.59,32.82830798,35304.89603,35.30489603,0.656806075,0.050070084
33,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,1,3,4,48.8208,-122.7101,4058856,5.642,0.705,54.14,5.41,23.55,2.36,17.8,1.78,12,4.046,7.71,33.97232052,22694.9466,22.6949466,0.6425,0.048692557
34,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,1,3,4,48.8208,-122.7101,2991933,9.761,0.86,51.73,5.17,20.59,2.06,16.93,1.69,9.375,3.12,6.26,34.71511035,18032.49345,18.03249345,0.667733333,0.04530047
35,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,1,7,48.8208,-122.7101,3977493,1.005,0.935,59.07,5.91,26.32,2.63,21.34,2.13,17.294,5.6,11.69,35.2344292,33177.77602,33.17777602,0.675956979,0.056630718
36,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,1,7,48.8208,-122.7101,3836553,1.463,0.975,55.16,5.52,23.68,2.37,18.95,1.9,13.57,5.061,8.51,34.38067431,24752.27776,24.75227776,0.627118644,0.050595551
37,Comm Bay Skookum,45,11,4,1,7,47.29,-122.41,6882929,7.19,0.695,54.74,5.47,26.67,2.67,19.1,1.91,13.552,4.595,8.96,32.13267146,27884.39178,27.88439178,0.661157025,0.054745198
38,Comm Bay Skookum,45,11,4,1,7,47.29,-122.41,6222187,4.194,0.8,53.86,5.39,24.6,2.46,19.19,1.92,12.781,4.368,8.41,33.07650126,25425.90564,25.42590564,0.658007981,0.053706852
39,Comm Bay Skookum,45,11,1,3,2,47.29,-122.41,0,17.324,0.66,55.26,5.53,24.65,2.47,18.56,1.86,12.189,3.829,8.36,33.06743445,25281.67104,25.28167104,0.685864304,0.049434584
40,Comm Bay Skookum,45,11,1,3,2,47.29,-122.41,4654335,6.966,0.865,52.2,5.22,23.54,2.35,18.82,1.88,11.259,3.779,7.48,32.34484075,23125.79016,23.12579016,0.664357403,0.052588416
41,Penn Cove Reference,3,8.1,1,3,2,48.21423,-122.718972,2017393,22.233,0.545,57.58,5.76,26.59,2.66,20.95,2.1,15.736,4.297,11.44,35.66580241,32075.54359,32.07554359,0.726995425,0.059863013
42,Penn Cove Reference,3,8.1,1,3,2,48.21423,-122.718972,3364046,34.492,0.645,59.93,5.99,26.4,2.64,20.23,2.02,15.392,4.833,10.56,32.99284987,32006.93496,32.00693496,0.686070686,0.04913415
43,Penn Cove Reference,3,8.1,4,2,5,48.21423,-122.718972,956176,29.84,0.6,59.76,5.98,30.94,3.09,21.59,2.16,17.856,5.177,12.68,31.76403845,39919.3573,39.9193573,0.710125448,0.059294676
44,Penn Cove Reference,3,8.1,4,2,5,48.21423,-122.718972,3373010,8.875,0.635,55.94,5.59,26.75,2.68,21.68,2.17,15.636,4.818,10.82,33.35198866,32441.8436,32.4418436,0.691992837,0.061942943
45,"Silverdale, Dyes Inlet",35,10,4,2,5,47.6427936,-122.6967068,958833,8.638,0.805,59.93,5.99,28.12,2.81,21.96,2.2,17.91,5.5596,12.35,33.37144619,37007.68594,37.00768594,0.689558906,0.057462761
46,"Silverdale, Dyes Inlet",35,10,4,2,5,47.6427936,-122.6967068,2088081,6.569,0.65,54.98,5.5,28.61,2.86,21.15,2.12,16.171,5,11.31,33.99614242,33268.48047,33.26848047,0.699400161,0.067978963
47,"Silverdale, Dyes Inlet",35,10,1,5,6,47.6427936,-122.6967068,1877700,15.572,0.635,56.09,5.61,25.42,2.54,17.77,1.78,12.242,3.695,8.55,33.74564245,25336.60461,25.33660461,0.698415292,0.048425881
48,"Silverdale, Dyes Inlet",35,10,1,5,6,47.6427936,-122.6967068,1683751,73.345,0.66,53.13,5.31,25.75,2.58,18.58,1.86,13.212,3.9,9.31,36.62578334,25419.25155,25.41925155,0.704662428,0.062182205
49,"Eastsound, Fishing Bay",60,7,1,5,6,48.69368,-122.90985,3011817,0,0.355,58.26,5.83,25.96,2.6,19.08,1.91,13.388,4.171,9.22,31.95047965,28857.15677,28.85715677,0.688676427,0.046529165
50,"Eastsound, Fishing Bay",60,7,1,5,6,48.69368,-122.90985,582761,13.708,0.405,53.89,5.39,23.32,2.33,17.99,1.8,10.666,3.17,7.5,33.17365856,22608.29925,22.60829925,0.703168948,0.047895528
51,"Eastsound, Fishing Bay",60,7,5,2,7,48.69368,-122.90985,5287826,25.449,0.58,52.92,5.29,24.54,2.45,19.2,1.92,11.223,3.673,7.55,30.27968334,24934.21056,24.93421056,0.672725653,0.051001146
52,"Eastsound, Fishing Bay",60,7,5,2,7,48.69368,-122.90985,1134272,8.685,0.52,53.88,5.39,23.51,2.35,18.78,1.88,12.005,3.906,8.1,34.04938051,23788.97906,23.78897906,0.674718867,0.051727171
53,Kitsap St Boat Launch,25,10,5,2,7,47.54167,-122.64034,3524590,2.056,0.805,55.7,5.57,41.83,4.18,32.89,3.29,9.01,3.6543,5.36,6.994519036,76631.43059,76.63143059,0.594894562,0.031016958
54,Kitsap St Boat Launch,25,10,5,2,7,47.54167,-122.64034,990580,72.981,0.8,56.31,5.63,23.39,2.34,21.98,2.2,17.19,4.4763,12.71,43.9038002,28949.65798,28.94965798,0.739383362,0.071223017
55,Kitsap St Boat Launch,25,10,4,2,7,47.54167,-122.64034,1166004,12.507,0.855,58.85,5.89,25.2,2.52,26.13,2.61,18.06,5.5269,12.53,32.33438859,38751.3126,38.7513126,0.69379845,0.061320429
56,Kitsap St Boat Launch,25,10,4,2,7,47.54167,-122.64034,5858996,35.436,0.87,52.93,5.29,42.41,4.24,21.36,2.14,10.89,3.9685,6.92,14.43227115,47948.10137,47.94810137,0.635445363,0.046745421
57,Eagle Harbor Dr,31,10,4,2,7,47.61889,-122.5275,2870476,27.272,0.815,54.99,5.5,36.34,3.63,18.92,1.89,21.74,3.5984,18.14,47.97859301,37808.52847,37.80852847,0.834406624,0.109030804
58,Eagle Harbor Dr,31,10,4,2,7,47.61889,-122.5275,939029,2.07,0.91,63.78,6.38,19.75,1.98,18.11,1.81,10.66,3.9556,6.7,29.37005349,22812.35205,22.81235205,0.628517824,0.025799588
59,Eagle Harbor Dr,31,10,1,3,7,47.61889,-122.5275,2018358,12.545,1.02,60.39,6.04,22.31,2.23,21.36,2.14,20.11,4.9789,15.13,52.57424925,28778.34722,28.77834722,0.752362009,0.068663844
60,Eagle Harbor Dr,31,10,1,3,7,47.61889,-122.5275,1556940,58.783,0.825,64.85,6.49,35.63,3.56,24.8,2.48,19.21,3.8124,15.4,26.87467601,57303.0164,57.3030164,0.801665799,0.056336081
61,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,1,3,7,48.482448,-122.583879,0,5.992,0.73,58.76,5.88,34.73,3.47,17.4,1.74,21.96,3.5541,18.41,51.84632403,35508.78552,35.50878552,0.838342441,0.090556955
62,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,1,3,7,48.482448,-122.583879,1669995,22.316,0.755,63.19,6.32,25.22,2.52,20.06,2.01,20.99,3.6999,17.29,54.08422701,31968.65511,31.96865511,0.823725584,0.068492617
63,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,3,4,3,48.482448,-122.583879,4332608,26.721,0.74,52.55,5.26,35.38,3.54,22.71,2.27,16.33,4.0884,12.24,28.9890334,42222.86349,42.22286349,0.749540723,0.084105459
64,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,3,4,3,48.482448,-122.583879,4034245,17.031,0.825,54.16,5.42,23.13,2.31,18.84,1.88,21.8,4.3806,17.42,73.80961904,23601.25987,23.60125987,0.799082569,0.109408305
65,Meyer's Point - Henderson Inlet,71,13,3,4,3,47.11795,-122.83359,3404367,17.331,0.8,59.67,5.97,24.16,2.42,20.53,2.05,20.29,4.6563,15.63,52.81010863,29596.60642,29.59660642,0.770330212,0.073457473
66,Meyer's Point - Henderson Inlet,71,13,3,4,3,47.11795,-122.83359,2281563,8.189,0.965,53.69,5.37,21.6,2.16,24.19,2.42,20.54,4.9163,15.62,55.67984352,28053.23976,28.05323976,0.760467381,0.100869106
67,Meyer's Point - Henderson Inlet,71,13,5,2,8,47.11795,-122.83359,1153344,6.983,0.535,60.28,6.03,28.49,2.85,23.53,2.35,9.34,3.4517,5.89,14.57564139,40409.88552,40.40988552,0.630620985,0.026863547
68,Meyer's Point - Henderson Inlet,71,13,5,2,8,47.11795,-122.83359,3237832,63.547,0.855,49.67,4.97,24.91,2.49,19.58,1.96,21.082,3.9285,17.15,70.79189686,24225.93653,24.22593653,0.813490181,0.139699534
69,Elliot Bay Myrtle Edwards,19,10,5,2,8,47.61862,-122.36108,1975307,39.159,0.89,56.16,5.62,26.05,2.61,22.33,2.23,16.0277,5.2154,10.81,33.09040969,32668.07544,32.66807544,0.674457346,0.060899924
70,Elliot Bay Myrtle Edwards,19,10,5,2,8,47.61862,-122.36108,2362670,41.449,0.74,54.47,5.45,25.88,2.59,17.49,1.75,12.0242,3.4688,8.56,34.71860829,24655.36616,24.65536616,0.711897673,0.052879125
71,Elliot Bay Myrtle Edwards,19,10,5,2,8,47.61862,-122.36108,3125326,28.087,0.615,52.45,5.25,24.34,2.43,18.52,1.85,11.8422,3.803,8.04,34.00548709,23643.24316,23.64324316,0.678927902,0.055562034
72,Elliot Bay Myrtle Edwards,19,10,2,1,3,47.61862,-122.36108,2002597,20.437,0.935,60.09,6.01,25.49,2.55,20.96,2.1,17.1373,5.1041,12.03,37.47160622,32104.30834,32.10430834,0.701977558,0.055416898
73,Elliot Bay Myrtle Edwards,19,10,2,1,3,47.61862,-122.36108,2881838,44.994,0.94,59.96,6,27.64,2.76,23.97,2.4,20.2139,5.9438,14.27,35.92164993,39725.34677,39.72534677,0.705949866,0.066064815
74,"Purdy, Burley Lagoon",47,13,2,1,3,47.386977,-122.6367089,3562058,13.938,1.195,64.64,6.46,29.68,2.97,24.32,2.43,22.6094,7.5348,15.07,32.29865498,46658.28966,46.65828966,0.666536927,0.055900501
75,"Purdy, Burley Lagoon",47,13,2,1,3,47.386977,-122.6367089,4066301,15.797,0.705,53.9,5.39,21.64,2.16,18.69,1.87,9.7035,2.9102,6.79,31.14687294,21799.94124,21.79994124,0.699747514,0.043361418
76,"Purdy, Burley Lagoon",47,13,5,2,8,47.386977,-122.6367089,1243643,9.53,0.83,59.82,5.98,30.47,3.05,19.15,1.92,15.6093,4.5137,11.1,31.80060171,34904.99991,34.90499991,0.711114528,0.051906223
77,"Purdy, Burley Lagoon",47,13,5,2,8,47.386977,-122.6367089,6878714,5.591,0.93,59.38,5.94,27.08,2.71,21.75,2.18,18.2985,5.5873,12.71,36.34104705,34974.2262,34.9742262,0.694592453,0.060643773
78,"Seattle Aquarium, Pier 59",17,10,5,2,8,47.607,-122.342,2711200,84.419,0.755,53.87,5.39,23.98,2.4,17.44,1.74,11.1504,3.3161,7.83,34.75514679,22529.03734,22.52903734,0.702216961,0.050002932
79,"Seattle Aquarium, Pier 59",17,10,5,2,8,47.607,-122.342,2381238,9.393,0.905,59.95,6,26.9,2.69,18.86,1.89,15.6407,4.7261,10.91,35.87084396,30414.6733,30.4146733,0.697539113,0.050509259
80,"Seattle Aquarium, Pier 59",17,10,2,5,1,47.607,-122.342,4956424,1.736,0.905,61.17,6.12,26.63,2.66,18.82,1.88,16.2311,5.0107,11.22,36.59852569,30656.97262,30.65697262,0.691265533,0.04894841
81,"Seattle Aquarium, Pier 59",17,10,2,5,1,47.607,-122.342,2492074,0,0.805,60.33,6.03,25.93,2.59,19.67,1.97,16.1972,4.4651,11.73,38.12043169,30770.90022,30.77090022,0.724199244,0.053499051
82,Jamestown,2,6,2,5,1,48.024789,-122.998135,2974772,27.353,0.58,55.75,5.58,25.17,2.52,18.3,1.83,13.0567,3.6144,9.44,36.76146559,25679.06325,25.67906325,0.723000452,0.054333715
83,Jamestown,2,6,2,5,1,48.024789,-122.998135,5366142,39.581,0.615,55.1,5.51,27.87,2.79,19.07,1.91,14.9971,4.6594,10.34,35.30866343,29284.59759,29.28459759,0.68946663,0.061810996
84,Jamestown,2,6,2,5,1,48.024789,-122.998135,2235746,25.844,0.545,51.96,5.2,24.21,2.42,18.5,1.85,11.0054,3.3668,7.64,32.82900336,23272.1046,23.2721046,0.694204663,0.054335457
85,Jamestown,2,6,2,5,1,48.024789,-122.998135,3343459,20.453,0.45,54.99,5.5,27.36,2.74,19.06,1.91,13.568,3.8378,9.73,33.93048998,28676.27318,28.67627318,0.717128538,0.058482344
86,Jamestown,2,6,1,3,1,48.024789,-122.998135,2786163,15.582,0.61,60.6,6.06,25.38,2.54,22.06,2.21,13.3637,4.5048,8.86,26.11343311,33928.89768,33.92889768,0.66299004,0.03981217
87,Jamestown,2,6,1,3,1,48.024789,-122.998135,2874808,18.111,0.64,60.13,6.01,27.02,2.7,20.92,2.09,17.6865,4.6876,13,38.24768233,33988.98759,33.98898759,0.735023888,0.05988526
88,Oak Bay County Park,10,9,1,3,1,48.02218,-122.728709,2226326,12.533,0.81,54.11,5.41,24.54,2.45,20.35,2.04,15.0373,4.9269,10.11,37.41404375,27021.93879,27.02193879,0.672328144,0.063849773
89,Oak Bay County Park,10,9,1,3,1,48.02218,-122.728709,3074754,11.485,0.8,61.17,6.12,27.68,2.77,19.29,1.93,17.7286,5.2285,12.5,38.2713004,32661.55022,32.66155022,0.705075415,0.054532543
90,Oak Bay County Park,10,9,6,2,8,48.02218,-122.728709,2424855,51.729,0.75,53.81,5.38,25.38,2.54,18.99,1.9,13.0413,3.6398,9.4,36.2450146,25934.60122,25.93460122,0.720787038,0.060364419
91,Oak Bay County Park,10,9,6,2,8,48.02218,-122.728709,1614645,3.484,0.735,54.16,5.42,25.33,2.53,19.18,1.92,11.1598,4.0147,7.15,27.17337571,26312.5203,26.3125203,0.640692486,0.044906394
92,"Smith Cove, Terminal 91",15,10,6,2,8,47.63237,-122.37869,2166819,15.212,0.81,59.5,5.95,27.07,2.71,20.68,2.07,18.8636,5.191,13.67,41.04051091,33308.5522,33.3085522,0.724676096,0.064895953
93,"Smith Cove, Terminal 91",15,10,6,2,8,47.63237,-122.37869,7732418,17.148,0.845,48.58,4.86,27.11,2.71,19.21,1.92,12.4626,3.8618,8.6,33.99257452,25299.643,25.299643,0.690064674,0.074918598
94,"Smith Cove, Terminal 91",15,10,1,2,5,47.63237,-122.37869,1617973,10.002,0.605,53.33,5.33,23.5,2.35,18.35,1.84,11.2869,3.3187,7.97,34.65634887,22997.22925,22.99722925,0.706128343,0.052635251
95,"Smith Cove, Terminal 91",15,10,1,2,5,47.63237,-122.37869,4318486,36.283,0.7,54.59,5.46,26.28,2.63,19.78,1.98,13.8179,4.3855,9.43,33.23127086,28376.88646,28.37688646,0.682448129,0.057934033
96,Brackenwood Ln,23,10,1,2,5,47.68234,-122.5064,1269238,0,0.555,60.24,6.02,26.11,2.61,19.7,1.97,15.8383,4.3925,11.45,36.9528063,30985.46808,30.98546808,0.722931123,0.052482681
97,Brackenwood Ln,23,10,1,2,5,47.68234,-122.5064,2212557,15.989,0.625,58.67,5.87,27.49,2.75,19.06,1.91,15.8919,5.7358,10.16,33.05064836,30740.698,30.740698,0.639319402,0.050231877
98,Brackenwood Ln,23,10,1,3,2,47.68234,-122.5064,1783953,23.205,0.75,62.93,6.29,29.59,2.96,20.53,2.05,19.4573,6.3745,13.08,34.21496481,38228.88631,38.22888631,0.672241267,0.052560055
99,Brackenwood Ln,23,10,1,3,2,47.68234,-122.5064,2162299,0.144,0.755,61.43,6.14,27.83,2.78,22.01,2.2,17.4894,4.5901,12.9,34.28277324,37628.22777,37.62822777,0.737589626,0.055729429
100,Chimacum Creek delta,8,9,1,3,2,48.04906,-122.7724,2951937,3.757,0.825,60.98,6.1,25.96,2.6,21.22,2.12,17.7318,5.4497,12.28,36.55618606,33592.12578,33.59212578,0.692541084,0.054101445
101,Chimacum Creek delta,8,9,1,3,2,48.04906,-122.7724,1783000,2.837,0.75,52.86,5.29,24.82,2.48,17.8,1.78,11.0963,4.4052,6.69,28.64687015,23353.33656,23.35333656,0.602903671,0.045191744
102,Chimacum Creek delta,8,9,1,4,1,48.04906,-122.7724,2742180,0,0.995,55.95,5.6,24.15,2.42,20.32,2.03,14.0518,4.8619,9.19,33.47145425,27456.2316,27.4562316,0.654008739,0.052330084
103,Chimacum Creek delta,8,9,1,4,1,48.04906,-122.7724,3089178,2.177,1.045,55.17,5.52,24.85,2.49,23.36,2.34,16.1098,6.5881,9.52,29.72588087,32025.96432,32.02596432,0.590944642,0.056600428
104,Hood Canal Holly,29,12,1,4,1,47.5706,-122.9717,0,0,0.725,59.59,5.96,26.28,2.63,20.52,2.05,15.2257,4.9982,10.23,31.83460979,32134.8371,32.1348371,0.671890291,0.048321105
105,Hood Canal Holly,29,12,1,4,1,47.5706,-122.9717,0,9.83,0.69,56.15,5.62,25.53,2.55,20.86,2.09,14.7544,4.5332,10.22,34.17716352,29903.00817,29.90300817,0.692674728,0.057576061
106,Hood Canal Holly,29,12,1,4,1,47.5706,-122.9717,291641,0,0.755,58.76,5.88,26.68,2.67,22.35,2.24,17.157,5.0567,12.1,34.53347088,35038.47048,35.03847048,0.705251501,0.059518694
107,Hood Canal Holly,29,12,1,4,1,47.5706,-122.9717,1693665,0,0.575,60.8,6.08,27.27,2.73,21.28,2.13,16.6466,4.7552,11.89,33.69934919,35282.58048,35.28258048,0.714259969,0.052901881
108,Hood Canal Holly,29,12,3,1,6,47.5706,-122.9717,0,0,0.63,58.36,5.84,27.32,2.73,19.36,1.94,16.3448,5.4465,10.9,35.31223181,30867.49107,30.86749107,0.666878763,0.054725276
109,Hood Canal Holly,29,12,3,1,6,47.5706,-122.9717,380110,0,0.685,60.34,6.03,27.46,2.75,19.99,2,17.4724,5.4547,12.02,36.28990529,33122.15864,33.12215864,0.687942126,0.054821704
110,Point Defiance Ferry,43,11,3,1,6,47.3062,-122.5145,2209441,4.647,0.79,59.56,5.96,27.63,2.76,17.96,1.8,14.6239,4.1242,10.5,35.52608845,29555.74469,29.55574469,0.718002722,0.049596442
111,Point Defiance Ferry,43,11,3,1,6,47.3062,-122.5145,1743980,24.677,0.79,56.35,5.64,24.55,2.46,19.85,1.99,14.0849,3.8854,10.2,37.14447666,27460.34113,27.46034113,0.724179795,0.05685424
112,Point Defiance Ferry,43,11,4,1,7,47.3062,-122.5145,2845932,3.17,0.87,54.89,5.49,23.83,2.38,17.61,1.76,12.5979,3.7819,8.82,38.29058099,23034.38541,23.03438541,0.700116686,0.053302988
113,Point Defiance Ferry,43,11,4,1,7,47.3062,-122.5145,1928074,11.043,0.905,56.32,5.63,26.16,2.62,19.62,1.96,14.6816,4.1811,10.5,36.32368579,28906.75814,28.90675814,0.715180907,0.058838842
114,"Comm Bay, Dick Gilmur Launch",48,11,4,1,7,47.292549,-122.412175,0,118.683,0.635,59.74,5.97,25.48,2.55,18.67,1.87,13.8722,3.4896,10.38,36.52484601,28419.01098,28.41901098,0.748259108,0.048783658
115,"Comm Bay, Dick Gilmur Launch",48,11,4,1,7,47.292549,-122.412175,4982158,22.927,0.93,61.58,6.16,27.21,2.72,21.49,2.15,17.8843,5.3065,12.58,34.93622688,36008.46778,36.00846778,0.703410254,0.053819357
116,"Comm Bay, Dick Gilmur Launch",48,11,3,1,7,47.292549,-122.412175,4040973,14.762,0.87,56.19,5.62,26.09,2.61,19.63,1.96,13.1118,4.301,8.81,30.61417057,28777.52307,28.77752307,0.671913849,0.049632593
117,"Comm Bay, Dick Gilmur Launch",48,11,3,1,7,47.292549,-122.412175,2353073,8.819,0.895,61.41,6.14,27.4,2.74,21.52,2.15,18.2975,5.2982,13,35.90140336,36210.28368,36.21028368,0.710479574,0.056161441
118,Thea Foss Waterway,46,11,3,1,7,47.259189,-122.434689,1010594,17.182,0.87,58.63,5.86,28.6,2.86,16.85,1.69,13.6374,4.2239,9.41,33.30456694,28254.3833,28.2543833,0.690014226,0.046762398
119,Thea Foss Waterway,46,11,3,1,7,47.259189,-122.434689,1453659,13.402,0.89,57.26,5.73,24.62,2.46,19.86,1.99,14.5754,4.4247,10.15,36.25328839,27997.46023,27.99746023,0.69637883,0.053951333
