sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_mm_g,weight_change_g,length_mm,length_cm,width_mm,width_cm,height_mm,height_cm
27,48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,3154062,13.731,0.475,0.032,0.729,0.042,12.073,3.276,8.797,59.39,5.939,25.18,2.518,18.61,1.861
28,48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,1063513,20.089,0.650,0.032,0.657,0.056,12.940,4.440,8.500,53.30,5.330,25.54,2.554,19.44,1.944
29,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,6895113,1.234,0.785,0.034,0.657,0.044,12.846,4.411,8.435,57.66,5.766,24.48,2.448,17.47,1.747
30,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,12184393,6.551,0.660,0.034,0.668,0.045,12.174,4.044,8.130,56.35,5.635,23.07,2.307,18.29,1.829
31,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,8570642,13.240,1.040,0.036,0.631,0.047,16.193,5.983,10.210,60.19,6.019,25.66,2.566,18.55,1.855
32,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,9121683,0.975,0.940,0.033,0.657,0.050,17.646,6.059,11.587,61.43,6.143,25.83,2.583,22.25,2.225
33,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4058830,3.411,0.705,0.034,0.656,0.049,11.760,4.046,7.714,54.14,5.414,23.55,2.355,17.80,1.780
34,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,2992400,9.761,0.860,0.035,0.667,0.045,9.375,3.120,6.255,51.73,5.173,20.59,2.059,16.93,1.693
35,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,3977529,0.821,0.935,0.035,0.676,0.057,17.294,5.600,11.694,59.07,5.907,26.32,2.632,21.34,2.134
36,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,3836041,1.463,0.975,0.034,0.627,0.051,13.570,5.061,8.509,55.16,5.516,23.68,2.368,18.95,1.895
37,47.29,-122.41,Comm Bay Skookum,45,11,6405636,7.884,0.695,0.032,0.661,0.055,13.552,4.595,8.957,54.74,5.474,26.67,2.667,19.10,1.910
38,47.29,-122.41,Comm Bay Skookum,45,11,6222160,4.124,0.800,0.033,0.658,0.054,12.781,4.368,8.413,53.86,5.386,24.60,2.460,19.19,1.919
39,47.29,-122.41,Comm Bay Skookum,45,11,NA,17.324,0.660,0.033,0.686,0.050,12.189,3.829,8.360,55.26,5.526,24.65,2.465,18.56,1.856
40,47.29,-122.41,Comm Bay Skookum,45,11,4652774,6.966,0.865,0.032,0.664,0.053,11.259,3.779,7.480,52.20,5.220,23.54,2.354,18.82,1.882
41,48.21423,-122.718972,Penn Cove Reference,3,8.1,1820616,3.648,0.545,0.036,0.727,0.060,15.736,4.297,11.439,57.58,5.758,26.59,2.659,20.95,2.095
42,48.21423,-122.718972,Penn Cove Reference,3,8.1,3013775,9.556,0.645,0.033,0.686,0.049,15.392,4.833,10.559,59.93,5.993,26.40,2.640,20.23,2.023
43,48.21423,-122.718972,Penn Cove Reference,3,8.1,956165,20.280,0.600,0.032,0.710,0.059,17.856,5.177,12.679,59.76,5.976,30.94,3.094,21.59,2.159
44,48.21423,-122.718972,Penn Cove Reference,3,8.1,3372681,16.888,0.635,0.033,0.692,0.062,15.636,4.818,10.818,55.94,5.594,26.75,2.675,21.68,2.168
45,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,958897,11.048,0.805,0.033,0.690,0.057,17.910,5.560,12.350,59.93,5.993,28.12,2.812,21.96,2.196
46,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,1900324,11.660,0.650,0.034,0.699,0.068,16.171,4.862,11.309,54.98,5.498,28.61,2.861,21.15,2.115
47,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,1494268,16.963,0.635,0.034,0.698,0.048,12.242,3.695,8.547,56.09,5.609,25.42,2.542,17.77,1.777
48,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,1326495,73.345,0.660,0.037,0.705,0.062,13.212,3.900,9.312,53.13,5.313,25.75,2.575,18.58,1.858
49,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,5588536,-0.785,0.355,0.032,0.688,0.047,13.388,4.171,9.217,58.26,5.826,25.96,2.596,19.08,1.908
50,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,420155,9.767,0.405,0.033,0.703,0.048,10.666,3.170,7.496,53.89,5.389,23.32,2.332,17.99,1.799
51,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,5289198,12.773,0.580,0.030,0.673,0.051,11.223,3.673,7.550,52.92,5.292,24.54,2.454,19.20,1.920
52,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,776433,8.385,0.520,0.034,0.675,0.052,12.005,3.906,8.099,53.88,5.388,23.51,2.351,18.78,1.878
53,47.54167,-122.64034,Kitsap St Boat Launch,25,10,3525403,1.604,0.805,0.049,0.739,0.070,13.992,3.654,10.338,52.90,5.290,23.40,2.340,17.18,1.718
54,47.54167,-122.64034,Kitsap St Boat Launch,25,10,990428,21.209,0.800,0.027,0.695,0.034,14.664,4.476,10.188,66.98,6.698,26.94,2.694,20.95,2.095
55,47.54167,-122.64034,Kitsap St Boat Launch,25,10,1035758,10.072,0.855,0.033,0.696,0.052,18.167,5.527,12.640,62.58,6.258,28.33,2.833,21.36,2.136
56,47.54167,-122.64034,Kitsap St Boat Launch,25,10,5860348,10.107,0.870,0.023,0.713,0.051,13.851,3.969,9.882,57.76,5.776,33.16,3.316,22.83,2.283
57,47.61889,-122.5275,Eagle Harbor Dr,31,10,2871510,11.306,0.815,0.043,0.703,0.055,12.097,3.598,8.499,53.69,5.369,21.21,2.121,17.22,1.722
58,47.61889,-122.5275,Eagle Harbor Dr,31,10,939065,1.798,0.910,0.050,0.725,0.064,14.403,3.956,10.447,54.65,5.465,24.48,2.448,15.65,1.565
59,47.61889,-122.5275,Eagle Harbor Dr,31,10,2018231,12.545,1.020,0.046,0.705,0.061,16.881,4.979,11.903,57.86,5.786,24.89,2.489,17.91,1.791
60,47.61889,-122.5275,Eagle Harbor Dr,31,10,1556797,24.790,0.825,0.038,0.674,0.052,11.686,3.812,7.874,53.31,5.331,24.07,2.407,16.16,1.616
61,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,NA,5.992,0.730,0.039,0.737,0.054,13.509,3.554,9.955,57.01,5.701,22.35,2.235,20.14,2.014
62,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,1670358,13.528,0.755,0.035,0.696,0.048,12.166,3.700,8.466,56.00,5.600,24.31,2.431,17.64,1.764
63,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,4330874,10.958,0.740,0.039,0.724,0.062,14.817,4.088,10.729,55.76,5.576,24.77,2.477,20.09,2.009
64,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,3613765,17.031,0.825,0.036,0.691,0.057,14.160,4.381,9.780,55.55,5.555,25.10,2.510,19.56,1.956
65,47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,3127319,17.331,0.800,0.036,0.689,0.053,14.951,4.656,10.295,57.75,5.775,24.70,2.470,20.19,2.019
66,47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,2281892,8.102,0.965,0.035,0.675,0.060,15.105,4.916,10.189,55.43,5.543,26.14,2.614,19.86,1.986
67,47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,935926,6.983,0.535,0.036,0.729,0.054,12.727,3.452,9.275,55.47,5.547,24.80,2.480,18.90,1.890
68,47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,2665542,28.431,0.855,0.037,0.717,0.058,13.860,3.929,9.932,55.40,5.540,25.36,2.536,19.25,1.925
69,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,1806125,13.395,0.890,0.033,0.675,0.061,16.028,5.215,10.812,56.16,5.616,26.05,2.605,22.33,2.233
70,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,2362698,16.327,0.740,0.035,0.712,0.053,12.024,3.469,8.555,54.47,5.447,25.88,2.588,17.49,1.749
71,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,3124141,8.805,0.615,0.034,0.679,0.056,11.842,3.803,8.039,52.45,5.245,24.34,2.434,18.52,1.852
72,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,2002595,3.620,0.935,0.037,0.702,0.055,17.137,5.104,12.033,60.09,6.009,25.49,2.549,20.96,2.096
73,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,2882039,16.483,0.940,0.036,0.706,0.066,20.214,5.944,14.270,59.96,5.996,27.64,2.764,23.97,2.397
74,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,3561414,12.064,1.195,0.032,0.667,0.056,22.609,7.535,15.075,64.64,6.464,29.68,2.968,24.32,2.432
75,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,4065347,13.017,0.705,0.031,0.700,0.043,9.704,2.910,6.793,53.90,5.390,21.64,2.164,18.69,1.869
76,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,1243698,9.530,0.830,0.032,0.711,0.052,15.609,4.514,11.096,59.82,5.982,30.47,3.047,19.15,1.915
77,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,6878481,5.590,0.930,0.036,0.695,0.061,18.299,5.587,12.711,59.38,5.938,27.08,2.708,21.75,2.175
78,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,2711672,51.083,0.755,0.035,0.703,0.050,11.150,3.316,7.834,53.87,5.387,23.98,2.398,17.44,1.744
79,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,2380702,8.733,0.905,0.036,0.698,0.051,15.641,4.726,10.915,59.95,5.995,26.90,2.690,18.86,1.886
80,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,4563731,1.736,0.905,0.037,0.691,0.049,16.231,5.011,11.220,61.17,6.117,26.63,2.663,18.82,1.882
81,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,2492093,0.918,0.805,0.038,0.724,0.053,16.197,4.465,11.732,60.33,6.033,25.93,2.593,19.67,1.967
82,48.024789,-122.998135,Jamestown,2,6,2974825,7.943,0.580,0.037,0.723,0.054,13.057,3.614,9.442,55.75,5.575,25.17,2.517,18.30,1.830
83,48.024789,-122.998135,Jamestown,2,6,4846845,12.472,0.615,0.035,0.689,0.062,14.997,4.659,10.338,55.10,5.510,27.87,2.787,19.07,1.907
84,48.024789,-122.998135,Jamestown,2,6,2235572,8.018,0.545,0.033,0.694,0.054,11.005,3.367,7.639,51.96,5.196,24.21,2.421,18.50,1.850
85,48.024789,-122.998135,Jamestown,2,6,3342765,5.417,0.450,0.034,0.717,0.059,13.568,3.838,9.730,54.99,5.499,27.36,2.736,19.06,1.906
86,48.024789,-122.998135,Jamestown,2,6,2775717,5.625,0.610,0.026,0.663,0.040,13.364,4.505,8.859,60.60,6.060,25.38,2.538,22.06,2.206
87,48.024789,-122.998135,Jamestown,2,6,2874750,7.041,0.640,0.038,0.735,0.060,17.687,4.688,12.999,60.13,6.013,27.02,2.702,20.92,2.092
88,48.02218,-122.728709,Oak Bay County Park,10,9,2227398,12.533,0.810,0.037,0.672,0.064,15.037,4.927,10.110,54.11,5.411,24.54,2.454,20.35,2.035
89,48.02218,-122.728709,Oak Bay County Park,10,9,3074511,7.395,0.800,0.038,0.705,0.055,17.729,5.229,12.500,61.17,6.117,27.68,2.768,19.29,1.929
90,48.02218,-122.728709,Oak Bay County Park,10,9,2424308,25.051,0.750,0.036,0.721,0.060,13.041,3.640,9.402,53.81,5.381,25.38,2.538,18.99,1.899
91,48.02218,-122.728709,Oak Bay County Park,10,9,1614686,2.379,0.735,0.027,0.640,0.045,11.160,4.015,7.145,54.16,5.416,25.33,2.533,19.18,1.918
92,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,2166611,5.577,0.810,0.041,0.725,0.065,18.864,5.191,13.673,59.50,5.950,27.07,2.707,20.68,2.068
93,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,7730819,3.914,0.845,0.034,0.690,0.075,12.463,3.862,8.601,48.58,4.858,27.11,2.711,19.21,1.921
94,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,1618147,7.690,0.605,0.035,0.706,0.053,11.287,3.319,7.968,53.33,5.333,23.50,2.350,18.35,1.835
95,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,4318288,13.201,0.700,0.033,0.683,0.058,13.818,4.386,9.432,54.59,5.459,26.28,2.628,19.78,1.978
96,47.68234,-122.5064,Brackenwood Ln,23,10,1269668,-1.514,0.555,0.037,0.723,0.052,15.838,4.393,11.446,60.24,6.024,26.11,2.611,19.70,1.970
97,47.68234,-122.5064,Brackenwood Ln,23,10,2011541,15.989,0.625,0.033,0.639,0.050,15.892,5.736,10.156,58.67,5.867,27.49,2.749,19.06,1.906
98,47.68234,-122.5064,Brackenwood Ln,23,10,1651492,6.809,0.750,0.034,0.672,0.052,19.457,6.375,13.083,62.93,6.293,29.59,2.959,20.53,2.053
99,47.68234,-122.5064,Brackenwood Ln,23,10,2161794,7.492,0.755,0.034,0.738,0.056,17.489,4.590,12.899,61.43,6.143,27.83,2.783,22.01,2.201
100,48.04906,-122.7724,Chimacum Creek delta,8,9,2951353,2.599,0.825,0.037,0.693,0.054,17.732,5.450,12.282,60.98,6.098,25.96,2.596,21.22,2.122
101,48.04906,-122.7724,Chimacum Creek delta,8,9,1782912,2.837,0.750,0.029,0.603,0.045,11.096,4.405,6.691,52.86,5.286,24.82,2.482,17.80,1.780
102,48.04906,-122.7724,Chimacum Creek delta,8,9,2742037,-0.411,0.995,0.033,0.654,0.052,14.052,4.862,9.190,55.95,5.595,24.15,2.415,20.32,2.032
103,48.04906,-122.7724,Chimacum Creek delta,8,9,3088893,2.177,1.045,0.030,0.591,0.057,16.110,6.588,9.522,55.17,5.517,24.85,2.485,23.36,2.336
104,47.5706,-122.9717,Hood Canal Holly,29,12,NA,-2.253,0.725,0.032,0.672,0.048,15.226,4.998,10.228,59.59,5.959,26.28,2.628,20.52,2.052
105,47.5706,-122.9717,Hood Canal Holly,29,12,NA,9.830,0.690,0.034,0.693,0.058,14.754,4.533,10.221,56.15,5.615,25.53,2.553,20.86,2.086
106,47.5706,-122.9717,Hood Canal Holly,29,12,291625,-1.043,0.755,0.035,0.705,0.060,17.157,5.057,12.100,58.76,5.876,26.68,2.668,22.35,2.235
107,47.5706,-122.9717,Hood Canal Holly,29,12,1692340,-1.628,0.575,0.034,0.714,0.053,16.647,4.755,11.891,60.80,6.080,27.27,2.727,21.28,2.128
108,47.5706,-122.9717,Hood Canal Holly,29,12,NA,-0.271,0.630,0.035,0.667,0.055,16.345,5.447,10.898,58.36,5.836,27.32,2.732,19.36,1.936
109,47.5706,-122.9717,Hood Canal Holly,29,12,380080,-6.292,0.685,0.036,0.688,0.055,17.472,5.455,12.018,60.34,6.034,27.46,2.746,19.99,1.999
110,47.3062,-122.5145,Point Defiance Ferry,43,11,2208901,4.647,0.790,0.036,0.718,0.050,14.624,4.124,10.500,59.56,5.956,27.63,2.763,17.96,1.796
111,47.3062,-122.5145,Point Defiance Ferry,43,11,1482316,6.956,0.790,0.037,0.724,0.057,14.085,3.885,10.200,56.35,5.635,24.55,2.455,19.85,1.985
112,47.3062,-122.5145,Point Defiance Ferry,43,11,2846056,3.170,0.870,0.038,0.700,0.053,12.598,3.782,8.816,54.89,5.489,23.83,2.383,17.61,1.761
113,47.3062,-122.5145,Point Defiance Ferry,43,11,1927874,11.043,0.905,0.036,0.715,0.059,14.682,4.181,10.501,56.32,5.632,26.16,2.616,19.62,1.962
114,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,NA,31.015,0.635,0.037,0.748,0.049,13.872,3.490,10.383,59.74,5.974,25.48,2.548,18.67,1.867
115,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,4636577,11.286,0.930,0.035,0.703,0.054,17.884,5.307,12.578,61.58,6.158,27.21,2.721,21.49,2.149
116,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,4040140,4.915,0.870,0.031,0.672,0.050,13.112,4.301,8.811,56.19,5.619,26.09,2.609,19.63,1.963
117,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,2353038,8.819,0.895,0.036,0.710,0.056,18.298,5.298,12.999,61.41,6.141,27.40,2.740,21.52,2.152
118,47.259189,-122.434689,Thea Foss Waterway,46,11,735845,8.373,0.870,0.033,0.690,0.047,13.637,4.224,9.414,58.63,5.863,28.60,2.860,16.85,1.685
119,47.259189,-122.434689,Thea Foss Waterway,46,11,1453865,13.402,0.890,0.036,0.696,0.054,14.575,4.425,10.151,57.26,5.726,24.62,2.462,19.86,1.986
120,47.259189,-122.434689,Thea Foss Waterway,46,11,NA,13.817,0.925,0.036,0.680,0.051,13.158,4.211,8.947,55.99,5.599,24.13,2.413,18.48,1.848
121,47.259189,-122.434689,Thea Foss Waterway,46,11,NA,23.090,0.950,0.034,0.686,0.060,16.603,5.209,11.395,57.47,5.747,26.45,2.645,21.89,2.189
122,47.259189,-122.434689,Thea Foss Waterway,46,11,8793140,0.255,0.850,0.007,0.322,0.012,7.997,5.419,2.578,60.02,6.002,27.49,2.749,22.34,2.234
123,47.29464,-122.53053,Salmon Beach,40,11,917068,0.000,0.935,0.032,0.684,0.065,16.972,5.364,11.608,56.34,5.634,30.20,3.020,21.25,2.125
124,47.29464,-122.53053,Salmon Beach,40,11,2352820,12.933,0.685,0.034,0.677,0.055,10.640,3.439,7.202,50.89,5.089,22.22,2.222,18.50,1.850
125,47.29464,-122.53053,Salmon Beach,40,11,NA,8.918,0.800,0.034,0.686,0.054,11.012,3.454,7.557,51.90,5.190,23.67,2.367,18.02,1.802
126,47.29464,-122.53053,Salmon Beach,40,11,1382918,7.345,1.035,0.033,0.689,0.042,12.824,3.990,8.835,59.30,5.930,22.35,2.235,19.98,1.998
127,47.1905742,-122.5834897,Chambers Bay Park,56,13,22777074,15.598,0.885,0.034,0.648,0.052,13.977,4.923,9.055,56.01,5.601,24.49,2.449,19.35,1.935
128,47.1905742,-122.5834897,Chambers Bay Park,56,13,3578424,14.492,1.000,0.027,0.600,0.041,9.308,3.726,5.582,51.48,5.148,23.58,2.358,17.17,1.717
129,47.1905742,-122.5834897,Chambers Bay Park,56,13,4479918,8.659,1.080,0.033,0.634,0.042,14.003,5.125,8.878,59.61,5.961,25.39,2.539,17.98,1.798
130,47.1905742,-122.5834897,Chambers Bay Park,56,13,4173684,7.718,1.260,0.031,0.653,0.053,16.477,5.723,10.754,58.77,5.877,27.32,2.732,21.55,2.155
131,47.33785,-122.58277,Gig Harbor Boat Launch,58,11,5582113,5.435,0.890,0.031,0.652,0.056,14.016,4.880,9.137,54.58,5.458,25.56,2.556,21.34,2.134
132,47.33785,-122.58277,Gig Harbor Boat Launch,58,11,2734669,9.944,0.845,0.030,0.649,0.049,11.704,4.114,7.591,53.71,5.371,25.97,2.597,18.25,1.825
133,47.33785,-122.58277,Gig Harbor Boat Launch,58,11,5447066,14.656,1.025,0.029,0.580,0.048,12.842,5.392,7.451,53.86,5.386,26.87,2.687,17.51,1.751
134,47.33785,-122.58277,Gig Harbor Boat Launch,58,11,1608895,29.853,1.100,0.031,0.626,0.056,14.975,5.604,9.371,55.15,5.515,26.35,2.635,20.68,2.068
135,48.0617,-122.2939,Tulalip Bay,67,8.2,6050177,20.048,0.875,0.036,0.723,0.053,13.663,3.783,9.880,57.05,5.705,25.16,2.516,19.00,1.900
136,48.0617,-122.2939,Tulalip Bay,67,8.2,3475077,0.135,0.945,0.033,0.703,0.051,12.711,3.779,8.932,55.93,5.593,25.61,2.561,18.64,1.864
137,48.0617,-122.2939,Tulalip Bay,67,8.2,7541126,9.075,0.855,0.036,0.727,0.056,15.722,4.293,11.429,58.73,5.873,26.08,2.608,20.78,2.078
138,48.0617,-122.2939,Tulalip Bay,67,8.2,5438127,0.787,0.835,0.035,0.717,0.063,16.224,4.593,11.631,57.09,5.709,27.59,2.759,21.11,2.111
139,48.0617,-122.2939,Tulalip Bay,67,8.2,4707732,6.443,0.735,0.029,0.677,0.041,8.616,2.785,5.831,52.35,5.235,22.25,2.225,17.06,1.706
140,48.0617,-122.2939,Tulalip Bay,67,8.2,5420960,1.035,1.000,0.034,0.709,0.064,17.508,5.091,12.417,57.93,5.793,26.74,2.674,23.36,2.336
141,47.2632444,-122.385731,Blair Waterway #2,42,11,7415687,26.424,0.745,0.032,0.659,0.051,9.829,3.349,6.480,50.13,5.013,22.49,2.249,17.76,1.776
142,47.2632444,-122.385731,Blair Waterway #2,42,11,2336026,12.854,0.970,0.031,0.615,0.058,12.898,4.960,7.938,51.51,5.151,24.26,2.426,20.19,2.019
143,47.2632444,-122.385731,Blair Waterway #2,42,11,3199451,2.637,0.900,0.033,0.665,0.053,13.316,4.460,8.856,55.25,5.525,25.53,2.553,18.76,1.876
144,47.2632444,-122.385731,Blair Waterway #2,42,11,4752301,1.269,0.815,0.031,0.650,0.046,11.972,4.192,7.780,55.21,5.521,22.75,2.275,20.03,2.003
145,47.38566,-122.627255,Purdy - Dexters,57,13,5961110,-2.022,0.805,0.033,0.677,0.047,14.067,4.541,9.526,58.56,5.856,26.46,2.646,18.76,1.876
146,47.38566,-122.627255,Purdy - Dexters,57,13,5111771,-0.726,0.880,0.032,0.664,0.050,11.468,3.851,7.618,53.29,5.329,23.38,2.338,19.40,1.940
147,47.38566,-122.627255,Purdy - Dexters,57,13,3923933,-1.351,0.960,0.036,0.677,0.046,14.951,4.825,10.126,60.38,6.038,23.89,2.389,19.65,1.965
148,47.38566,-122.627255,Purdy - Dexters,57,13,3318363,7.036,0.730,0.035,0.698,0.053,17.360,5.238,12.122,61.03,6.103,29.32,2.932,19.31,1.931
149,47.27568,-122.4173,Blair Waterway,41,11,4234624,0.672,0.890,0.036,0.718,0.054,15.911,4.486,11.425,59.50,5.950,25.30,2.530,21.23,2.123
150,47.27568,-122.4173,Blair Waterway,41,11,5143570,6.432,0.680,0.034,0.730,0.055,13.249,3.575,9.674,55.87,5.587,24.70,2.470,20.41,2.041
151,47.27568,-122.4173,Blair Waterway,41,11,4339810,9.590,1.075,0.033,0.665,0.059,16.190,5.416,10.774,56.61,5.661,26.94,2.694,21.60,2.160
152,47.27568,-122.4173,Blair Waterway,41,11,3633030,9.377,0.710,0.034,0.736,0.067,15.566,4.108,11.458,55.46,5.546,31.63,3.163,19.32,1.932
153,47.57995505,-122.6786,Madrona Pont,28,10,11889910,8.315,0.710,0.034,0.666,0.048,15.123,5.045,10.078,59.24,5.924,24.46,2.446,20.50,2.050
