"site_name","ibr_bio","ibr_morph","ibr_combined","n_samples"
"Everett Harbor",8.04096022296833,1.44103589397916,9.48199611694748,4
"Fidalgo Bay Aq Reserve, Weaverling Spit",1.18487318500651,0.94085955373125,2.12573273873776,4
"Filucy Bay",4.15380269778064,1.42675572312422,5.58055842090487,4
"Friday Harbor",6.83420040911845,1.27623466176412,8.11043507088257,5
"Gig Harbor Boat Launch",1.65902275850107,1.42254291286341,3.08156567136447,4
"Hood Canal Holly",11.3656388302615,0.42132460998521,11.7869634402467,6
"Jamestown",1.16266448986071,0.715249122379594,1.8779136122403,6
"Kingston Marina",2.79596285707558,0.976987947791789,3.77295080486737,4
"Kitsap St Boat Launch",2.03976133727062,0.986939696871904,3.02670103414252,4
"Kopachuck State Park",3.20592715044878,1.3653980882278,4.57132523867659,4
"Lions Park",1.99122496280947,1.4378530928562,3.42907805566566,4
"Locust Beach",1.14692456806553,0.713345276822341,1.86026984488787,4
"Madrona Pont",3.02900367444673,1.29804401716236,4.32704769160908,4
"Manchester, Stormwater Outfall",5.56028435659228,0.3345695731018,5.89485392969407,4
"Maple Hollow Park",8.65693419130089,0.822841215427496,9.47977540672838,4
"Maristone Island",2.57452464445588,0.747386380301819,3.3219110247577,6
"Meyer's Point, Henderson Inlet",1.34876436094911,0.936146835655547,2.28491119660466,4
"Miller Creek",6.75211505599484,0.69381937495089,7.44593443094573,4
"Minter Bay",3.14653924189998,1.23483378994844,4.38137303184842,4
"Mukilteo",3.69453397940027,1.22190021579397,4.91643419519424,4
"N Avenue Park",8.83223526457583,1.02227481065455,9.85451007523038,4
"North Camano",9.61381858534133,0.696715692247008,10.3105342775883,4
"Oak Bay County Park",1.36174339475673,0.98790707426468,2.34965046902141,4
"Penn Cove Reference",1.46052728962902,0.32519542811131,1.78572271774033,4
"Penrose Point State Park",3.09675448713123,1.19333087903389,4.29008536616512,4
"Point Defiance Ferry",1.17379032456741,0.998427378220621,2.17221770278803,4
"Port Angeles Yacht Club",4.4982576647167,1.14340662777189,5.6416642924886,6
"Purdy, Burley Lagoon",1.45257664838375,1.28211479898913,2.73469144737289,4
"Purdy, Dexters",10.2867971423762,1.08736631078097,11.3741634531572,4
"Raft Island Park",5.28480683767052,0.713704907672825,5.99851174534334,4
"Reach Island",4.803141422515,1.11685823986723,5.91999966238223,4
"Rich Passage",3.41075539583367,1.10449627934373,4.51525167517741,4
"Rocky Point",2.40146208351241,0.742586428036214,3.14404851154862,4
"Salmon Bay, Commodore Park",2.72396846153601,0.429109820737624,3.15307828227364,4
"Salmon Beach",3.95878887830127,1.38414931085567,5.34293818915694,4
"Seattle Aquarium, Pier 59",2.67514727495172,0.979132550302824,3.65427982525455,4
"Shilshole Bay",2.38529390249711,1.08073283410627,3.46602673660339,4
"Silverdale, Dyes Inlet",1.5098012145985,0.657735065647576,2.16753628024607,4
"Skiff Point",2.51428878563442,0.602434359179741,3.11672314481416,4
"Smith Cove, Terminal 91",1.62818411772577,0.976793309078942,2.60497742680471,4
"South of Skunk Island",2.42218074530333,0.991690475168007,3.41387122047134,4
"Squaxin Island",5.26244832580774,1.00418466634386,6.2666329921516,4
"Suquamish Stormwater Outfall",2.73693422320512,1.46347039622186,4.20040461942698,4
"Thea Foss Waterway",3.27318066733569,1.42589465333855,4.69907532067424,5
"Three Tree Point",2.27610241751014,0.705050945490313,2.98115336300045,4
"Tulalip Bay",3.89862291474913,1.1024690265724,5.00109194132153,6
"Tulalip Reservation",5.08876962427554,0.815513743444974,5.90428336772051,4
"West Bay Park",3.51452085338063,0.847206977047289,4.36172783042792,4
"Williams Olson Park",4.69513764140325,0.93826909970284,5.63340674110609,4
