site_name,latitude,longitude,arsenic,cadmium,copper,lead,mercury,zinc
Raft Island Park,47.32622,-122.66715,1190,311,1140,32.1,5.25,11900
Reach Island,47.346817,-122.822363,1560,341,1510,26.5,4.17,17700
Rich Passage,47.578117,-122.524833,1490,301,1250,53.4,5.81,15700
Rocky Point,47.60253,-122.66991,1460,336,1030,69.2,5.75,17000
South of Skunk Island,48.02655,-122.75089,1400,306,998,80.9,5.02,13300
"Salmon Bay, Commodore Park",47.666244,-122.401894,1040,264,1020,75.1,5.33,10900
Salmon Beach,47.294692,-122.530504,1410,328,854,33.5,4.26,14200
"Seattle Aquarium, Pier 59",47.607334,-122.344055,1420,319,1250,67.3,6.32,13700
Shilshole Bay,47.6707,-122.40605,1180,226,1170,60.8,6.18,11300
"Silverdale, Dyes Inlet",47.6428,-122.6967,1510,296,1250,74.5,6.24,13100
Skiff Point,47.6614139,-122.498892,1570,337,1110,39.6,7,16500
"Smith Cove, Terminal 91",47.6325,-122.3786,1430,296,1290,93.1,5.48,18500
Squaxin Island,47.176735,-122.905337,1290,359,1000,28.5,5.08,14000
Suquamish Stormwater Outfall,47.729875,-122.550882,1440,314,1060,34.6,5.43,13700
Thea Foss Waterway,47.25934,-122.43479,1210,310,1470,74.3,4.1,14000
Three Tree Point,47.4485721,-122.3723967,1470,303,1050,32.5,5.1,15000
Tulalip Bay,48.0616613,-122.293939,1410,315,1200,42.1,6.61,11100
Tulalip Reservation,48.069978,-122.300216,1270,301,960,33,5.1,11200
West Bay Park,47.052373,-122.9101963,1280,289,1030,31.6,4.94,12200
Williams Olson Park,47.6609,-122.5668,1500,291,1780,61.1,5.39,15200
Penn Cove Baseline,48.218626,-122.707972,1530,370,1060,29.2,0,14470
