latitude,longitude,site_name,site_number,sample,p450,SOD,condition_factor,avg_thickness,economic_index
47.1905742,-122.5834897,Chambers Bay Park,56,127,4935346,15.598,0.1616,0.885,0.0022
47.1905742,-122.5834897,Chambers Bay Park,56,128,3856796,14.492,0.1084,1,0.0027
47.1905742,-122.5834897,Chambers Bay Park,56,129,4797197,8.659,0.149,1.08,0.0025
47.1905742,-122.5834897,Chambers Bay Park,56,130,4420012,0,0.1829,1.26,0.0029
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,33,4058856,5.642,0.1424,0.705,0.0018
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,34,2991933,9.761,0.121,0.86,0.0024
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,35,3977493,1.005,0.1979,0.935,0.0022
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,36,3836553,1.463,0.1543,0.975,0.0025
48.04906,-122.7724,Chimacum Creek delta,8,100,2951937,3.757,0.2014,0.825,0.0019
48.04906,-122.7724,Chimacum Creek delta,8,101,1783000,2.837,0.1266,0.75,0.0019
48.04906,-122.7724,Chimacum Creek delta,8,102,2742180,0,0.1643,0.995,0.0025
48.04906,-122.7724,Chimacum Creek delta,8,103,3089178,2.177,0.1726,1.045,0.0026
48.68975,-122.50434,"Chuckanut, Clark's Point",74,25,4424850,2.988,0.203,0.985,0.0023
48.68975,-122.50434,"Chuckanut, Clark's Point",74,26,3385205,8.472,0.1942,0.8,0.002
48.68975,-122.50434,"Chuckanut, Clark's Point",74,27,3153370,13.731,0.1482,0.475,0.0011
48.68975,-122.50434,"Chuckanut, Clark's Point",74,28,1063470,25.619,0.1595,0.65,0.0016
47.29,-122.41,Comm Bay Skookum,45,37,6882929,7.19,0.1637,0.695,0.0017
47.29,-122.41,Comm Bay Skookum,45,38,6222187,4.194,0.1561,0.8,0.002
47.29,-122.41,Comm Bay Skookum,45,39,0,17.324,0.1513,0.66,0.0017
47.29,-122.41,Comm Bay Skookum,45,40,4654335,6.966,0.1433,0.865,0.0023
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,114,0,118.683,0.1738,0.635,0.0015
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,115,4982158,22.927,0.2043,0.93,0.0021
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,116,4040973,14.762,0.1568,0.87,0.0021
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,117,2353073,8.819,0.2117,0.895,0.002
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,157,4517486,5.02,0.1901,0.82,0.0019
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,158,15260103,16.268,0.1666,0.955,0.0024
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,159,3705987,5.768,0.154,0.75,0.002
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,160,8193639,4.93,0.1521,0.75,0.0019
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,161,6366494,-0.636,0.1402,0.83,0.0022
47.40301418,-122.3305538,Des Moines Marina,21,1,5679312,4.027,0.1618,0.88,0.0021
47.40301418,-122.3305538,Des Moines Marina,21,2,6097784,4.41,0.1739,1.145,0.0027
47.40301418,-122.3305538,Des Moines Marina,21,3,3868923,5.064,0.1502,0.945,0.0022
47.40301418,-122.3305538,Des Moines Marina,21,4,3899451,25.058,0.1578,1.01,0.0025
48.064957,-122.857524,Discovery Bay,12,162,5437003,17.512,0.1633,0.745,0.0018
48.064957,-122.857524,Discovery Bay,12,163,5775686,1.485,0.1874,0.805,0.0019
48.064957,-122.857524,Discovery Bay,12,164,1513923,15.957,0.2133,0.75,0.0018
48.064957,-122.857524,Discovery Bay,12,165,3392978,0,0.2095,0.875,0.002
47.33775,-122.59014,Donkey Creek Delta,44,265,4311572,0.189,0.1865,0.755,0.0017
47.33775,-122.59014,Donkey Creek Delta,44,266,2345153,0,0.1687,0.635,0.0014
47.33775,-122.59014,Donkey Creek Delta,44,267,2003071,6.206,0.1815,0.695,0.0016
47.33775,-122.59014,Donkey Creek Delta,44,268,4080904,3.605,0.1846,0.85,0.002
47.61889,-122.5275,Eagle Harbor Dr,31,57,2870476,27.272,na,0.815,na
47.61889,-122.5275,Eagle Harbor Dr,31,58,939029,2.07,na,0.91,na
47.61889,-122.5275,Eagle Harbor Dr,31,59,2018358,12.545,na,1.02,na
47.61889,-122.5275,Eagle Harbor Dr,31,60,1556940,58.783,na,0.825,na
48.69368,-122.90985,"Eastsound, Fishing Bay",60,49,3011817,0,0.1583,0.355,0.0008
48.69368,-122.90985,"Eastsound, Fishing Bay",60,50,582761,13.708,0.1392,0.405,0.001
48.69368,-122.90985,"Eastsound, Fishing Bay",60,51,5287826,25.449,0.1427,0.58,0.0015
48.69368,-122.90985,"Eastsound, Fishing Bay",60,52,1134272,8.685,0.1503,0.52,0.0013
47.81407,-122.3825,Edmonds Ferry,69,227,6928220,0.818,0.1738,0.885,0.0022
47.81407,-122.3825,Edmonds Ferry,69,228,2077255,0,0.1654,0.665,0.0017
47.81407,-122.3825,Edmonds Ferry,69,229,5845804,0,0.2114,0.82,0.0019
47.81407,-122.3825,Edmonds Ferry,69,230,3992468,0,0.1718,0.39,0.001
47.8111,-122.388,Edmonds Marina,68,21,3150477,7.034,0.1524,0.665,0.0018
47.8111,-122.388,Edmonds Marina,68,22,6702376,11.402,0.1807,0.885,0.0021
47.8111,-122.388,Edmonds Marina,68,23,52717198,34.355,0.1594,0.865,0.0021
47.8111,-122.388,Edmonds Marina,68,24,2444905,13.708,0.157,0.645,0.0015
47.074603,-123.003527,Eld Inlet,72,186,5090553,10.464,0.1966,0.63,0.0015
47.074603,-123.003527,Eld Inlet,72,187,1226696,35.599,0.1662,0.62,0.0016
47.074603,-123.003527,Eld Inlet,72,188,6522867,14.268,0.244,0.835,0.0018
47.074603,-123.003527,Eld Inlet,72,189,5739407,22.833,0.2346,0.745,0.0016
47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,69,1975307,39.159,0.1925,0.89,0.0022
47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,70,2362670,41.449,0.1572,0.74,0.0018
47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,71,3125326,28.087,0.1533,0.615,0.0016
47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,72,2002597,20.437,0.2002,0.935,0.0022
47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,73,2881838,44.994,0.238,0.94,0.0021
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,29,6892889,1.487,0.1464,0.785,0.0019
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,30,12192291,6.551,0.1443,0.66,0.0017
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,31,8571444,13.24,0.1696,1.04,0.0024
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,32,9119663,0.975,0.1887,0.94,0.0022
47.9726,-122.22977,Everett Harbor,66,206,5318907,0,0.1688,0.885,0.0023
47.9726,-122.22977,Everett Harbor,66,207,6420811,0,0.1313,0.865,0.0023
47.9726,-122.22977,Everett Harbor,66,208,6149521,1.496,0.1466,0.675,0.0017
47.9726,-122.22977,Everett Harbor,66,209,3196587,0,0.1355,0.68,0.0017
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,61,0,5.992,na,0.73,na
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,62,1669995,22.316,nd,0.755,na
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,63,4332608,26.721,nd,0.74,na
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,64,4034245,17.031,nd,0.825,na
47.19483,-122.748665,Filucy Bay,59,174,6630611,0,0.1058,0.795,0.002
47.19483,-122.748665,Filucy Bay,59,175,6728961,2.006,0.1855,0.815,0.0021
47.19483,-122.748665,Filucy Bay,59,176,3656052,19.012,0.2005,1.055,0.0025
47.19483,-122.748665,Filucy Bay,59,177,8044535,0.232,0.1453,0.76,0.0019
48.5069444,-123.0194444,Friday Harbor,61,222,2728430,0,0.1626,0.895,0.0021
48.5069444,-123.0194444,Friday Harbor,61,223,2977245,12.311,0.1507,0.625,0.0016
48.5069444,-123.0194444,Friday Harbor,61,224,3660262,2.297,0.0909,0.735,0.0019
48.5069444,-123.0194444,Friday Harbor,61,225,6464229,0,0.18,0.845,0.002
48.5069444,-123.0194444,Friday Harbor,61,226,3941050,18.935,0.143,0.65,0.0017
47.33785,-122.58277,Gig Harbor Boat Launch,58,131,5823222,5.435,0.1675,0.89,0.0022
47.33785,-122.58277,Gig Harbor Boat Launch,58,132,2932222,9.944,0.1413,0.845,0.0021
47.33785,-122.58277,Gig Harbor Boat Launch,58,133,5726357,14.656,0.1383,1.025,0.0025
47.33785,-122.58277,Gig Harbor Boat Launch,58,134,1906238,0,0.1699,1.1,0.0027
47.5706,-122.9717,Hood Canal Holly,29,104,0,0,0.1717,0.725,0.0017
47.5706,-122.9717,Hood Canal Holly,29,105,0,9.83,0.182,0.69,0.0017
47.5706,-122.9717,Hood Canal Holly,29,106,291641,0,0.2059,0.755,0.0018
47.5706,-122.9717,Hood Canal Holly,29,107,1693665,0,0.1956,0.575,0.0013
47.5706,-122.9717,Hood Canal Holly,29,108,0,0,0.1868,0.63,0.0015
47.5706,-122.9717,Hood Canal Holly,29,109,380110,0,0.1992,0.685,0.0016
48.024789,-122.998135,Jamestown,2,82,2974772,27.353,0.1693,0.58,0.0014
48.024789,-122.998135,Jamestown,2,83,5366142,39.581,0.1877,0.615,0.0015
48.024789,-122.998135,Jamestown,2,84,2235746,25.844,0.147,0.545,0.0014
48.024789,-122.998135,Jamestown,2,85,3343459,20.453,0.1769,0.45,0.0011
48.024789,-122.998135,Jamestown,2,86,2786163,15.582,0.1462,0.61,0.0014
48.024789,-122.998135,Jamestown,2,87,2874808,18.111,0.2162,0.64,0.0015
47.794695,-122.499858,Kingston Marina,36,166,2529572,4.546,0.1922,0.815,0.0019
47.794695,-122.499858,Kingston Marina,36,167,5982158,7.722,0.1684,0.845,0.0019
47.794695,-122.499858,Kingston Marina,36,168,4667834,3.94,0.1712,0.875,0.0021
47.794695,-122.499858,Kingston Marina,36,169,7944848,0.048,0.1303,0.71,0.0018
47.54167,-122.64034,Kitsap St Boat Launch,25,53,3524590,2.056,na,0.805,na
47.54167,-122.64034,Kitsap St Boat Launch,25,54,990580,72.981,na,0.8,na
47.54167,-122.64034,Kitsap St Boat Launch,25,55,1166004,12.507,na,0.855,na
47.54167,-122.64034,Kitsap St Boat Launch,25,56,5858996,35.436,na,0.87,na
47.30973,-122.68868,Kopachuck State Park,52,249,8355096,4.823,1.5799,0.86,0.0038
47.30973,-122.68868,Kopachuck State Park,52,250,9888442,4.096,0.1619,0.77,0.002
47.30973,-122.68868,Kopachuck State Park,52,251,2558683,9.21,0.1407,0.69,0.0018
47.30973,-122.68868,Kopachuck State Park,52,253,8338308,0.775,0.2201,0.79,0.0015
47.5833538,-122.6414587,Lions Park,37,299,8920913,6.1,0.1797,0.66,0.0016
47.5833538,-122.6414587,Lions Park,37,300,8605549,31.368,0.1435,0.75,0.0019
47.5833538,-122.6414587,Lions Park,37,301,2556710,7.869,0.1266,0.805,0.0022
47.5833538,-122.6414587,Lions Park,37,302,6089843,13.836,0.1424,0.785,0.0021
48.77636877,-122.5378679,Locust Beach,76,235,1911632,10.204,0.1222,0.665,0.0017
48.77636877,-122.5378679,Locust Beach,76,236,2139153,7.076,0.1728,0.6,0.0014
48.77636877,-122.5378679,Locust Beach,76,237,3303872,2.108,0.1811,0.745,0.0016
48.77636877,-122.5378679,Locust Beach,76,238,2252655,2.218,0.2022,0.74,0.0017
47.57995505,-122.6786,Madrona Pont,28,153,6373497,8.315,0.1702,0.71,0.0017
47.57995505,-122.6786,Madrona Pont,28,154,6651025,2.069,0.1249,0.785,0.0021
47.57995505,-122.6786,Madrona Pont,28,155,3417364,2.369,0.1286,0.72,0.0019
47.57995505,-122.6786,Madrona Pont,28,156,6776918,2.733,0.1988,1.005,0.0022
47.55622,-122.54281,"Manchester, Stormwater Outfall",33,261,12583522,2.13,0.2221,0.61,0.0014
47.55622,-122.54281,"Manchester, Stormwater Outfall",33,262,4548390,3.682,0.199,0.57,0.0013
47.55622,-122.54281,"Manchester, Stormwater Outfall",33,263,4658604,4.915,0.1848,0.6,0.0015
47.55622,-122.54281,"Manchester, Stormwater Outfall",33,264,2700803,0,0.1894,0.645,0.0016
47.30008,-122.74566,Maple Hollow Park,51,202,5079449,0,0.1974,0.8,0.0018
47.30008,-122.74566,Maple Hollow Park,51,203,4528128,3.694,0.1456,0.665,0.0017
47.30008,-122.74566,Maple Hollow Park,51,204,1311133,0,0.1939,0.735,0.0017
47.30008,-122.74566,Maple Hollow Park,51,205,0,14.787,0.1996,0.9,0.0021
48.018127,-122.699524,Maristone Island,11,307,2150285,12.992,0.1875,0.61,0.0014
48.018127,-122.699524,Maristone Island,11,308,5028627,5.332,0.1744,0.705,0.0017
48.018127,-122.699524,Maristone Island,11,309,5112018,0,0.1787,0.9,0.0021
48.018127,-122.699524,Maristone Island,11,310,11966241,4.949,0.1358,0.695,0.0018
48.018127,-122.699524,Maristone Island,11,311,2059689,8.389,0.2117,0.61,0.0013
48.018127,-122.699524,Maristone Island,11,312,2318505,2.408,0.2405,0.675,0.0015
47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,65,3404367,17.331,na,0.8,na
47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,66,2281563,8.189,na,0.965,na
47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,67,1153344,6.983,na,0.535,na
47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,68,3237832,63.547,na,0.855,na
47.4436,-122.360316,Miller Creek,20,231,5994423,0,0.1936,0.96,0.0022
47.4436,-122.360316,Miller Creek,20,232,4130787,1.041,0.1985,0.745,0.0018
47.4436,-122.360316,Miller Creek,20,233,5542261,7.704,0.1914,0.895,0.002
47.4436,-122.360316,Miller Creek,20,234,7321595,7.314,0.1737,0.685,0.0017
47.3539722,-122.69175,Minter Bay,55,178,4961205,3.468,0.175,0.95,0.0024
47.3539722,-122.69175,Minter Bay,55,179,6536182,2.525,0.1595,1.095,0.0026
47.3539722,-122.69175,Minter Bay,55,180,6263391,0,0.1956,0.825,0.0018
47.3539722,-122.69175,Minter Bay,55,181,7066217,1.97,0.1665,0.8,0.0021
47.94968,-122.30158,Mukilteo,65,17,7725177,7.613,0.1349,0.805,0.0021
47.94968,-122.30158,Mukilteo,65,18,5159851,6.4,0.159,0.83,0.0021
47.94968,-122.30158,Mukilteo,65,19,3877914,0.271,0.1615,0.855,0.002
47.94968,-122.30158,Mukilteo,65,20,3542349,16.142,0.1574,0.675,0.0017
48.52108,-122.61531,N Avenue Park,62,210,3680347,0.016,0.2009,0.9,0.0022
48.52108,-122.61531,N Avenue Park,62,211,4764132,0.064,0.1556,0.79,0.002
48.52108,-122.61531,N Avenue Park,62,212,4827148,5.692,0.1759,0.89,0.0024
48.52108,-122.61531,N Avenue Park,62,213,3461581,0,0.1962,0.71,0.0017
48.255358,-122.507014,North Camano,7,303,8854036,0,0.187,0.745,0.0017
48.255358,-122.507014,North Camano,7,304,31917668,0.564,0.1916,0.725,0.0017
48.255358,-122.507014,North Camano,7,305,5141401,2.438,0.1913,0.855,0.0019
48.255358,-122.507014,North Camano,7,306,3248979,0,0.1484,0.745,0.0018
48.02218,-122.728709,Oak Bay County Park,10,88,2226326,12.533,0.1868,0.81,0.0021
48.02218,-122.728709,Oak Bay County Park,10,89,3074754,11.485,0.2043,0.8,0.0018
48.02218,-122.728709,Oak Bay County Park,10,90,2424855,51.729,0.1747,0.75,0.0019
48.02218,-122.728709,Oak Bay County Park,10,91,1614645,3.484,0.132,0.735,0.0018
48.21423,-122.718972,Penn Cove Reference,3,41,2017393,22.233,0.1987,0.545,0.0013
48.21423,-122.718972,Penn Cove Reference,3,42,3364046,34.492,0.1762,0.645,0.0015
48.21423,-122.718972,Penn Cove Reference,3,43,956176,29.84,0.2122,0.6,0.0013
48.21423,-122.718972,Penn Cove Reference,3,44,3373010,8.875,0.1934,0.635,0.0015
47.2619,-122.7376,Pennrose Point State Park,50,9,7518449,2.815,0.2569,0.955,0.0025
47.2619,-122.7376,Pennrose Point State Park,50,10,2993202,4.845,0.1373,0.81,0.002
47.2619,-122.7376,Pennrose Point State Park,50,11,3607485,7.438,0.1659,0.855,0.0019
47.2619,-122.7376,Pennrose Point State Park,50,12,2656342,2.9,0.1622,0.81,0.0018
47.3062,-122.5145,Point Defiance Ferry,43,110,2209441,4.647,0.1763,0.79,0.0018
47.3062,-122.5145,Point Defiance Ferry,43,111,1743980,24.677,0.181,0.79,0.002
47.3062,-122.5145,Point Defiance Ferry,43,112,2845932,3.17,0.1607,0.87,0.0022
47.3062,-122.5145,Point Defiance Ferry,43,113,1928074,11.043,0.1864,0.905,0.0022
48.12823,-123.45715,Port Angeles Yacht Club,1,243,5418454,14.895,1.863,0.545,0.0028
48.12823,-123.45715,Port Angeles Yacht Club,1,244,6806288,3.323,1.6048,0.64,0.0025
48.12823,-123.45715,Port Angeles Yacht Club,1,245,4525700,24.332,1.5829,0.89,0.0037
48.12823,-123.45715,Port Angeles Yacht Club,1,246,2848746,0,1.6194,0.92,0.0043
48.12823,-123.45715,Port Angeles Yacht Club,1,247,12345151,0,1.5211,0.99,0.004
48.12823,-123.45715,Port Angeles Yacht Club,1,248,2563791,1.758,1.5334,0.82,0.0034
47.38566,-122.627255,Purdy - Dexters,57,145,6119860,0,0.1627,0.805,0.0019
47.38566,-122.627255,Purdy - Dexters,57,146,5329851,0,0.143,0.88,0.0023
47.38566,-122.627255,Purdy - Dexters,57,147,4051273,0,0.1678,0.96,0.0023
47.38566,-122.627255,Purdy - Dexters,57,148,3471329,7.036,0.1986,0.73,0.0016
47.386977,-122.6367089,"Purdy, Burley Lagoon",47,74,3562058,13.938,0.2331,1.195,0.0025
47.386977,-122.6367089,"Purdy, Burley Lagoon",47,75,4066301,15.797,0.126,0.705,0.0019
47.386977,-122.6367089,"Purdy, Burley Lagoon",47,76,1243643,9.53,0.1856,0.83,0.0018
47.386977,-122.6367089,"Purdy, Burley Lagoon",47,77,6878714,5.591,0.214,0.93,0.0022
47.32598,-122.66724,Raft Island Park,53,218,6420643,0,0.1806,0.58,0.0014
47.32598,-122.66724,Raft Island Park,53,219,6767449,2.855,0.1358,0.595,0.0015
47.32598,-122.66724,Raft Island Park,53,220,3322946,11.029,0.1783,0.805,0.0019
47.32598,-122.66724,Raft Island Park,53,221,1581168,1.226,0.1892,0.635,0.0015
47.346537,-122.82236,Reach Island,39,273,7178794,7.636,0.1414,0.655,0.0017
47.346537,-122.82236,Reach Island,39,274,7550982,0.367,0.2169,0.85,0.0019
47.346537,-122.82236,Reach Island,39,275,1945061,0.028,0.1631,0.765,0.002
47.346537,-122.82236,Reach Island,39,276,6947155,10.304,0.1532,0.81,0.002
47.578117,-122.524833,Rich Passage,32,170,1476511,3.506,0.1901,0.9,0.0021
47.578117,-122.524833,Rich Passage,32,171,4087247,2.631,0.1489,0.83,0.0022
47.578117,-122.524833,Rich Passage,32,172,3101248,0.844,0.1754,0.745,0.0019
47.578117,-122.524833,Rich Passage,32,173,4147207,1.999,0.1494,0.765,0.0019
47.60255,-122.66992,Rocky Point,27,295,4297558,15.435,0.1736,0.695,0.0018
47.60255,-122.66992,Rocky Point,27,296,1980727,7.396,0.1679,0.595,0.0016
47.60255,-122.66992,Rocky Point,27,297,8616041,14.146,0.1909,0.745,0.0018
47.60255,-122.66992,Rocky Point,27,298,3139278,2.605,0.1803,0.72,0.0018
48.02667,-122.75076,S of Skunk Island,9,13,3719291,8.989,0.1522,0.815,0.0021
48.02667,-122.75076,S of Skunk Island,9,14,5059896,7.334,0.1807,0.855,0.0021
48.02667,-122.75076,S of Skunk Island,9,15,4168799,0.978,0.1925,0.78,0.0019
48.02667,-122.75076,S of Skunk Island,9,16,1279705,27.927,0.1627,0.695,0.0018
47.6663,-122.4018,"Salmon Bay, Commodore Park",16,287,5854695,0,0.2051,0.67,0.0015
47.6663,-122.4018,"Salmon Bay, Commodore Park",16,288,2506610,4.592,0.1903,0.795,0.0019
47.6663,-122.4018,"Salmon Bay, Commodore Park",16,289,2016415,1.33,0.1859,0.725,0.0017
47.6663,-122.4018,"Salmon Bay, Commodore Park",16,290,4648754,0,0.1873,0.64,0.0015
47.29464,-122.53053,Salmon Beach,40,123,916811,0,0.2061,0.935,0.0022
47.29464,-122.53053,Salmon Beach,40,124,2352491,12.933,0.1415,0.685,0.0019
47.29464,-122.53053,Salmon Beach,40,125,2963755,8.918,0.1457,0.8,0.0021
47.29464,-122.53053,Salmon Beach,40,126,1383018,51.47,0.1489,1.035,0.0025
47.607,-122.342,"Seattle Aquarium, Pier 59",17,78,2711200,84.419,0.1453,0.755,0.0019
47.607,-122.342,"Seattle Aquarium, Pier 59",17,79,2381238,9.393,0.182,0.905,0.0021
47.607,-122.342,"Seattle Aquarium, Pier 59",17,80,4956424,1.736,0.1834,0.905,0.0021
47.607,-122.342,"Seattle Aquarium, Pier 59",17,81,2492074,0,0.1944,0.805,0.0019
47.671678,-122.406663,Shilshole Bay,18,291,4026125,0.854,0.1508,0.56,0.0015
47.671678,-122.406663,Shilshole Bay,18,292,2842961,1.541,0.128,0.575,0.0016
47.671678,-122.406663,Shilshole Bay,18,293,2013492,12.831,0.1539,0.515,0.0013
47.671678,-122.406663,Shilshole Bay,18,294,2568717,24.401,0.1727,0.575,0.0014
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,45,958833,8.638,0.2061,0.805,0.0018
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,46,2088081,6.569,0.2057,0.65,0.0016
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,47,1877700,15.572,0.1524,0.635,0.0016
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,48,1683751,73.345,0.1752,0.66,0.0017
47.66142,-122.49884,Skiff Point,24,257,12721347,1.895,0.1941,0.49,0.0011
47.66142,-122.49884,Skiff Point,24,258,2967756,3.933,0.1876,0.62,0.0014
47.66142,-122.49884,Skiff Point,24,259,5002813,1.755,0.1732,0.59,0.0015
47.66142,-122.49884,Skiff Point,24,260,1964479,9.362,0.1482,0.535,0.0014
47.63237,-122.37869,"Smith Cove, Terminal 91",15,92,2166819,15.212,0.2297,0.81,0.0019
47.63237,-122.37869,"Smith Cove, Terminal 91",15,93,7732418,17.148,0.177,0.845,0.0022
47.63237,-122.37869,"Smith Cove, Terminal 91",15,94,1617973,10.002,0.1494,0.605,0.0016
47.63237,-122.37869,"Smith Cove, Terminal 91",15,95,4318486,36.283,0.1727,0.7,0.0017
47.17650485,-122.9046464,Squaxin Island,38,198,6350828,0,0.1824,0.85,0.0021
47.17650485,-122.9046464,Squaxin Island,38,199,9006878,16.642,0.1731,0.955,0.0023
47.17650485,-122.9046464,Squaxin Island,38,200,6605220,0,0.182,0.925,0.0021
47.17650485,-122.9046464,Squaxin Island,38,201,3512019,6.788,0.1595,0.695,0.0018
47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,5,5346329,0.512,0.1599,1.015,0.0026
47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,6,2044561,6.049,0.1882,1.065,0.0025
47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,7,5633230,2.326,0.1846,1.02,0.0022
47.7296079,-122.5506191,Suquamish Stormwater Outfall,34,8,4330102,14.39,0.189,0.985,0.0024
47.259189,-122.434689,Thea Foss Waterway,46,118,1010594,17.182,0.1605,0.87,0.002
47.259189,-122.434689,Thea Foss Waterway,46,119,1453659,13.402,0.1773,0.89,0.0022
47.259189,-122.434689,Thea Foss Waterway,46,120,2434731,13.817,0.1598,0.925,0.0023
47.259189,-122.434689,Thea Foss Waterway,46,121,0,48.798,0.1982,0.95,0.0023
47.259189,-122.434689,Thea Foss Waterway,46,122,8793166,0.255,0.043,0.85,0.0019
47.44896,-122.372267,Three Tree Point,22,277,8434870,0,0.188,0.73,0.0018
47.44896,-122.372267,Three Tree Point,22,278,9703015,8.998,0.2196,0.765,0.0017
47.44896,-122.372267,Three Tree Point,22,279,4665257,19.803,0.2095,0.955,0.0022
