sample_id,latitude,longitude,lat_range,long_range,label,site_name,site_number,reporting_area,geo_group,p16,p42,plmw,phmw,pcb,p450,sod,shell,ci1,ci2,ci3
22,47.8111,-122.388,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Edmonds Marina,68,9,3,2,2,2,1,2,6702704,11.402,0.885,0.035,0.703,0.053
23,47.8111,-122.388,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Edmonds Marina,68,9,2,1,1,1,1,1,52691211,23.271,0.865,0.033,0.662,0.050
24,47.8111,-122.388,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Edmonds Marina,68,9,2,1,1,1,1,1,NA,13.708,0.645,0.031,0.703,0.048
25,48.68975,-122.50434,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Chuckanut, Clark's Point",74,7,2,1,1,1,1,1,4394757,2.552,0.985,0.034,0.667,0.055
26,48.68975,-122.50434,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Chuckanut, Clark's Point",74,7,2,1,1,1,1,1,2351039,8.472,0.800,0.037,0.708,0.067
27,48.68975,-122.50434,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Chuckanut, Clark's Point",74,7,5,2,2,2,1,3,3154062,13.731,0.475,0.032,0.729,0.042
28,48.68975,-122.50434,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Chuckanut, Clark's Point",74,7,5,2,2,2,1,3,1063513,20.089,0.650,0.032,0.657,0.056
29,47.58766,-122.35065,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Elliott Bay, Harbor Island, Pier 17",14,10,5,2,2,2,1,3,6895113,1.234,0.785,0.034,0.657,0.044
30,47.58766,-122.35065,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Elliott Bay, Harbor Island, Pier 17",14,10,5,2,2,2,1,3,12184393,6.551,0.660,0.034,0.668,0.045
31,47.58766,-122.35065,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Elliott Bay, Harbor Island, Pier 17",14,10,4,1,2,2,1,1,8570642,13.240,1.040,0.036,0.631,0.047
32,47.58766,-122.35065,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Elliott Bay, Harbor Island, Pier 17",14,10,4,1,2,2,1,1,9121683,0.975,0.940,0.033,0.657,0.050
33,48.8208,-122.7101,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,1,2,2,1,1,4058830,3.411,0.705,0.034,0.656,0.049
34,48.8208,-122.7101,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,1,2,2,1,1,2992400,9.761,0.860,0.035,0.667,0.045
35,48.8208,-122.7101,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,5,1,1,1,1,2,3977529,0.821,0.935,0.035,0.676,0.057
36,48.8208,-122.7101,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,5,1,1,1,1,2,3836041,1.463,0.975,0.034,0.627,0.051
37,47.29,-122.41,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Comm Bay Skookum,45,11,5,1,1,1,1,2,6405636,7.884,0.695,0.032,0.661,0.055
38,47.29,-122.41,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Comm Bay Skookum,45,11,5,1,1,1,1,2,6222160,4.124,0.800,0.033,0.658,0.054
39,47.29,-122.41,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Comm Bay Skookum,45,11,4,1,2,2,1,2,NA,17.324,0.660,0.033,0.686,0.050
40,47.29,-122.41,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Comm Bay Skookum,45,11,4,1,2,2,1,2,4652774,6.966,0.865,0.032,0.664,0.053
41,48.21423,-122.718972,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Penn Cove Reference,3,8.1,4,1,2,2,1,2,1820616,3.648,0.545,0.036,0.727,0.060
42,48.21423,-122.718972,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Penn Cove Reference,3,8.1,4,1,2,2,1,2,3013775,9.556,0.645,0.033,0.686,0.049
43,48.21423,-122.718972,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Penn Cove Reference,3,8.1,2,1,1,1,1,1,956165,20.280,0.600,0.032,0.710,0.059
44,48.21423,-122.718972,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Penn Cove Reference,3,8.1,2,1,1,1,1,1,3372681,16.888,0.635,0.033,0.692,0.062
45,47.6427936,-122.6967068,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Silverdale, Dyes Inlet",35,10,2,1,1,1,1,1,958897,11.048,0.805,0.033,0.690,0.057
46,47.6427936,-122.6967068,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Silverdale, Dyes Inlet",35,10,2,1,1,1,1,1,1900324,11.660,0.650,0.034,0.699,0.068
47,47.6427936,-122.6967068,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Silverdale, Dyes Inlet",35,10,4,1,1,1,1,1,1494268,16.963,0.635,0.034,0.698,0.048
48,47.6427936,-122.6967068,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Silverdale, Dyes Inlet",35,10,4,1,1,1,1,1,1326495,73.345,0.660,0.037,0.705,0.062
49,48.69368,-122.90985,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Eastsound, Fishing Bay",60,7,4,1,1,1,1,1,5588536,-0.785,0.355,0.032,0.688,0.047
50,48.69368,-122.90985,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Eastsound, Fishing Bay",60,7,4,1,1,1,1,1,420155,9.767,0.405,0.033,0.703,0.048
51,48.69368,-122.90985,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Eastsound, Fishing Bay",60,7,5,3,3,3,2,5,5289198,12.773,0.580,0.030,0.673,0.051
52,48.69368,-122.90985,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Eastsound, Fishing Bay",60,7,5,3,3,3,2,5,776433,8.385,0.520,0.034,0.675,0.052
53,47.54167,-122.64034,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Kitsap St Boat Launch,25,10,5,3,3,3,2,5,3525403,1.604,0.805,0.049,0.739,0.070
54,47.54167,-122.64034,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Kitsap St Boat Launch,25,10,5,3,3,3,2,5,990428,21.209,0.800,0.027,0.695,0.034
55,47.54167,-122.64034,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Kitsap St Boat Launch,25,10,5,3,3,3,2,5,1035758,10.072,0.855,0.033,0.696,0.052
56,47.54167,-122.64034,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Kitsap St Boat Launch,25,10,5,3,3,3,2,5,5860348,10.107,0.870,0.023,0.713,0.051
57,47.61889,-122.5275,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Eagle Harbor Dr,31,10,5,3,3,3,2,5,2871510,11.306,0.815,0.043,0.703,0.055
58,47.61889,-122.5275,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Eagle Harbor Dr,31,10,5,3,3,3,2,5,939065,1.798,0.910,0.050,0.725,0.064
59,47.61889,-122.5275,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Eagle Harbor Dr,31,10,5,2,2,3,2,3,2018231,12.545,1.020,0.046,0.705,0.061
60,47.61889,-122.5275,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Eagle Harbor Dr,31,10,5,2,2,3,2,3,1556797,24.790,0.825,0.038,0.674,0.052
61,48.482448,-122.583879,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,5,2,2,3,2,3,NA,5.992,0.730,0.039,0.737,0.054
62,48.482448,-122.583879,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,5,2,2,3,2,3,1670358,13.528,0.755,0.035,0.696,0.048
63,48.482448,-122.583879,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,5,2,2,3,2,3,4330874,10.958,0.740,0.039,0.724,0.062
64,48.482448,-122.583879,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,5,8,8,8,7,3,3613765,17.031,0.825,0.036,0.691,0.057
65,47.11795,-122.83359,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Meyer's Point - Henderson Inlet,71,13,5,8,8,8,7,3,3127319,17.331,0.800,0.036,0.689,0.053
66,47.11795,-122.83359,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Meyer's Point - Henderson Inlet,71,13,5,8,8,8,7,3,2281892,8.102,0.965,0.035,0.675,0.060
67,47.11795,-122.83359,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Meyer's Point - Henderson Inlet,71,13,5,8,8,8,7,3,935926,6.983,0.535,0.036,0.729,0.054
68,47.11795,-122.83359,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Meyer's Point - Henderson Inlet,71,13,2,1,1,1,1,1,2665542,28.431,0.855,0.037,0.717,0.058
69,47.61862,-122.36108,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Elliot Bay Myrtle Edwards,19,10,2,1,1,1,1,1,1806125,13.395,0.890,0.033,0.675,0.061
70,47.61862,-122.36108,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Elliot Bay Myrtle Edwards,19,10,2,1,1,1,1,1,2362698,16.327,0.740,0.035,0.712,0.053
71,47.61862,-122.36108,47.78 - 48.21,-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7",Elliot Bay Myrtle Edwards,19,10,2,1,1,1,1,1,3124141,8.805,0.615,0.034,0.679,0.056
72,47.61862,-122.36108,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Elliot Bay Myrtle Edwards,19,10,5,2,2,2,2,5,2002595,3.620,0.935,0.037,0.702,0.055
73,47.61862,-122.36108,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33",Elliot Bay Myrtle Edwards,19,10,5,2,2,2,2,5,2882039,16.483,0.940,0.036,0.706,0.066
74,47.386977,-122.6367089,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Purdy, Burley Lagoon",47,13,5,2,2,2,2,5,3561414,12.064,1.195,0.032,0.667,0.056
75,47.386977,-122.6367089,47.19 - 47.45,-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Purdy, Burley Lagoon",47,13,5,2,2,2,2,5,4065347,13.017,0.705,0.031,0.700,0.043
76,47.386977,-122.6367089,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Purdy, Burley Lagoon",47,13,3,3,3,3,3,5,1243698,9.530,0.830,0.032,0.711,0.052
77,47.386977,-122.6367089,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Purdy, Burley Lagoon",47,13,3,3,3,3,3,5,6878481,5.590,0.930,0.036,0.695,0.061
78,47.607,-122.342,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Seattle Aquarium, Pier 59",17,10,3,3,3,3,3,5,2711672,51.083,0.755,0.035,0.703,0.050
79,47.607,-122.342,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Seattle Aquarium, Pier 59",17,10,3,3,3,3,3,5,2380702,8.733,0.905,0.036,0.698,0.051
80,47.607,-122.342,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Seattle Aquarium, Pier 59",17,10,4,3,2,2,2,1,4563731,1.736,0.905,0.037,0.691,0.049
81,47.607,-122.342,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Seattle Aquarium, Pier 59",17,10,4,3,2,2,2,1,2492093,0.918,0.805,0.038,0.724,0.053
82,48.024789,-122.998135,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Jamestown,2,6,4,3,2,2,2,1,2974825,7.943,0.580,0.037,0.723,0.054
83,48.024789,-122.998135,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Jamestown,2,6,4,3,2,2,2,1,4846845,12.472,0.615,0.035,0.689,0.062
84,48.024789,-122.998135,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Jamestown,2,6,6,2,2,2,2,2,2235572,8.018,0.545,0.033,0.694,0.054
85,48.024789,-122.998135,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Jamestown,2,6,6,2,2,2,2,2,3342765,5.417,0.450,0.034,0.717,0.059
86,48.024789,-122.998135,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Jamestown,2,6,6,2,2,2,2,2,2775717,5.625,0.610,0.026,0.663,0.040
87,48.024789,-122.998135,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Jamestown,2,6,6,2,2,2,2,2,2874750,7.041,0.640,0.038,0.735,0.060
88,48.02218,-122.728709,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Oak Bay County Park,10,9,6,3,3,2,2,3,2227398,12.533,0.810,0.037,0.672,0.064
89,48.02218,-122.728709,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Oak Bay County Park,10,9,6,3,3,2,2,3,3074511,7.395,0.800,0.038,0.705,0.055
90,48.02218,-122.728709,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Oak Bay County Park,10,9,6,3,3,2,2,3,2424308,25.051,0.750,0.036,0.721,0.060
91,48.02218,-122.728709,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Oak Bay County Park,10,9,6,3,3,2,2,3,1614686,2.379,0.735,0.027,0.640,0.045
92,47.63237,-122.37869,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Smith Cove, Terminal 91",15,10,1,1,1,1,1,2,2166611,5.577,0.810,0.041,0.725,0.065
93,47.63237,-122.37869,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Smith Cove, Terminal 91",15,10,1,1,1,1,1,2,7730819,3.914,0.845,0.034,0.690,0.075
94,47.63237,-122.37869,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Smith Cove, Terminal 91",15,10,1,1,1,1,1,2,1618147,7.690,0.605,0.035,0.706,0.053
95,47.63237,-122.37869,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Smith Cove, Terminal 91",15,10,1,1,1,1,1,2,4318288,13.201,0.700,0.033,0.683,0.058
96,47.68234,-122.5064,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Brackenwood Ln,23,10,3,7,7,7,8,7,1269668,-1.514,0.555,0.037,0.723,0.052
97,47.68234,-122.5064,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Brackenwood Ln,23,10,3,7,7,7,8,7,2011541,15.989,0.625,0.033,0.639,0.050
98,47.68234,-122.5064,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Brackenwood Ln,23,10,3,7,7,7,8,7,1651492,6.809,0.750,0.034,0.672,0.052
99,47.68234,-122.5064,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Brackenwood Ln,23,10,3,7,7,7,8,7,2161794,7.492,0.755,0.034,0.738,0.056
100,48.04906,-122.7724,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Chimacum Creek delta,8,9,3,7,7,7,8,7,2951353,2.599,0.825,0.037,0.693,0.054
101,48.04906,-122.7724,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Chimacum Creek delta,8,9,3,5,5,5,5,7,1782912,2.837,0.750,0.029,0.603,0.045
102,48.04906,-122.7724,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Chimacum Creek delta,8,9,3,5,5,5,5,7,2742037,-0.411,0.995,0.033,0.654,0.052
103,48.04906,-122.7724,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Chimacum Creek delta,8,9,3,5,5,5,5,7,3088893,2.177,1.045,0.030,0.591,0.057
104,47.5706,-122.9717,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Hood Canal Holly,29,12,3,5,5,5,5,7,NA,-2.253,0.725,0.032,0.672,0.048
105,47.5706,-122.9717,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Hood Canal Holly,29,12,6,2,2,2,1,2,NA,9.830,0.690,0.034,0.693,0.058
106,47.5706,-122.9717,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Hood Canal Holly,29,12,6,2,2,2,1,2,291625,-1.043,0.755,0.035,0.705,0.060
107,47.5706,-122.9717,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Hood Canal Holly,29,12,6,2,2,2,1,2,1692340,-1.628,0.575,0.034,0.714,0.053
108,47.5706,-122.9717,47.81 - 48.26,-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23",Hood Canal Holly,29,12,6,2,2,2,1,2,NA,-0.271,0.630,0.035,0.667,0.055
109,47.5706,-122.9717,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Hood Canal Holly,29,12,4,2,3,3,2,1,380080,-6.292,0.685,0.036,0.688,0.055
110,47.3062,-122.5145,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Point Defiance Ferry,43,11,4,2,3,3,2,1,2208901,4.647,0.790,0.036,0.718,0.050
111,47.3062,-122.5145,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Point Defiance Ferry,43,11,4,2,3,3,2,1,1482316,6.956,0.790,0.037,0.724,0.057
112,47.3062,-122.5145,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Point Defiance Ferry,43,11,4,2,3,3,2,1,2846056,3.170,0.870,0.038,0.700,0.053
113,47.3062,-122.5145,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",Point Defiance Ferry,43,11,1,1,1,1,1,3,1927874,11.043,0.905,0.036,0.715,0.059
114,47.292549,-122.412175,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Comm Bay, Dick Gilmur Launch",48,11,1,1,1,1,1,3,NA,31.015,0.635,0.037,0.748,0.049
115,47.292549,-122.412175,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Comm Bay, Dick Gilmur Launch",48,11,1,1,1,1,1,3,4636577,11.286,0.930,0.035,0.703,0.054
116,47.292549,-122.412175,47.05 - 47.57,-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Comm Bay, Dick Gilmur Launch",48,11,1,1,1,1,1,3,4040140,4.915,0.870,0.031,0.672,0.050
117,47.292549,-122.412175,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Comm Bay, Dick Gilmur Launch",48,11,4,3,2,2,2,1,2353038,8.819,0.895,0.036,0.710,0.056
118,47.259189,-122.434689,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Thea Foss Waterway,46,11,4,3,2,2,2,1,735845,8.373,0.870,0.033,0.690,0.047
119,47.259189,-122.434689,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Thea Foss Waterway,46,11,4,3,2,2,2,1,1453865,13.402,0.890,0.036,0.696,0.054
