site_name,site_number,sample,p450,SOD
"Comm Bay, Dick Gilmur Launch",48,116,4040973,14.7616
"Comm Bay, Dick Gilmur Launch",48,117,2353073,8.8190
Thea Foss Waterway,46,118,1010594,17.1817
Thea Foss Waterway,46,119,1453659,13.4019
Thea Foss Waterway,46,120,2434731,13.8169
Thea Foss Waterway,46,121,0,48.7982
Thea Foss Waterway,46,122,8793166,0.2546
Salmon Beach,40,123,916811,0.0000
Salmon Beach,40,124,2352491,12.9329
Salmon Beach,40,125,2963755,8.9180
Salmon Beach,40,126,1383018,51.4696
Chambers Bay Park,56,127,4935346,15.5983
Chambers Bay Park,56,128,3856796,14.4921
Chambers Bay Park,56,129,4797197,8.6587
Chambers Bay Park,56,130,4420012,-1.7834
Gig Harbor Boat Launch,58,131,5823222,5.4353
Gig Harbor Boat Launch,58,132,2932222,9.9435
Gig Harbor Boat Launch,58,133,5726357,14.6561
Gig Harbor Boat Launch,58,134,1906238,-6.9063
Tulalip Bay,67,135,5545198,20.0483
Tulalip Bay,67,136,3670556,0.1346
Tulalip Bay,67,137,7831524,9.0754
Tulalip Bay,67,138,5606185,0.7866
Tulalip Bay,67,139,4974611,6.4429
Tulalip Bay,67,140,5640873,1.0353
Blair Waterway #2,42,141,3885225,26.4242
Blair Waterway #3,42,142,2469960,12.8544
Blair Waterway #4,42,143,3506452,2.6369
Blair Waterway #5,42,144,4998033,1.2694
Purdy - Dexters,57,145,6119860,-2.5706
Purdy - Dexters,57,146,5329851,-0.7264
Purdy - Dexters,57,147,4051273,-1.3510
Purdy - Dexters,57,148,3471329,7.0358
Blair Waterway,41,149,4422422,0.6717
Blair Waterway,41,150,5411649,6.4319
Blair Waterway,41,151,6052641,9.5899
Blair Waterway,41,152,3631858,9.3767
Madrona Pont,28,153,6373497,8.3148
Madrona Pont,28,154,6651025,2.0694
Madrona Pont,28,155,3417364,2.3686
Madrona Pont,28,156,6776918,2.7326
"Comm Bay, Milwaukee Waterway",49,157,4517486,5.0198
"Comm Bay, Milwaukee Waterway",49,158,15260103,16.2676
"Comm Bay, Milwaukee Waterway",49,159,3705987,5.7676
"Comm Bay, Milwaukee Waterway",49,160,8193639,4.9295
"Comm Bay, Milwaukee Waterway",49,161,6366494,-0.6357
Discovery Bay,12,162,5437003,17.5123
Discovery Bay,12,163,5775686,1.4852
Discovery Bay,12,164,1513923,15.9568
Discovery Bay,12,165,3392978,-0.2132
Kingston Marina,36,166,2529572,4.5462
Kingston Marina,36,167,5982158,7.7216
Kingston Marina,36,168,4667834,3.9397
Kingston Marina,36,169,7944848,0.0482
Rich Passage,32,170,1476511,3.5062
Rich Passage,32,171,4087247,2.6309
Rich Passage,32,172,3101248,0.8438
Rich Passage,32,173,4147207,1.9989
Filucy Bay,59,174,6630611,-0.5617
Filucy Bay,59,175,6728961,2.0060
Filucy Bay,59,176,3656052,19.0124
Filucy Bay,59,177,8044535,0.2318
Minter Bay,55,178,4961205,3.4680
Minter Bay,55,179,6536182,2.5247
Minter Bay,55,180,6263391,-1.9829
Minter Bay,55,181,7066217,1.9699
West Bay Park,73,182,7223931,2.6205
West Bay Park,73,183,4047412,3.5717
West Bay Park,73,184,7647788,5.7888
West Bay Park,73,185,4006818,-2.3553
Eld Inlet,72,186,5090553,10.4643
Eld Inlet,72,187,1226696,35.5990
Eld Inlet,72,188,6522867,14.2679
Eld Inlet,72,189,5739407,22.8329
Tulalip Reservation,70,190,4215635,1.1264
Tulalip Reservation,70,191,3759846,1.5932
Tulalip Reservation,70,192,4597377,-0.4235
Tulalip Reservation,70,193,2521368,10.0072
Browns Point Lighthouse,54,194,2165448,-0.7609
Browns Point Lighthouse,54,195,9793068,1.5103
Browns Point Lighthouse,54,196,7655768,2.4722
Browns Point Lighthouse,54,197,9992165,1.5313
Squaxin Island,38,198,6350828,-3.7076
Squaxin Island,38,199,9006878,16.6422
Squaxin Island,38,200,6605220,-2.7582
Squaxin Island,38,201,3512019,6.7876
Maple Hollow Park,51,202,5079449,-4.0549
Maple Hollow Park,51,203,4528128,3.6937
Maple Hollow Park,51,204,1311133,-4.1184
Maple Hollow Park,51,205,0,14.7873
Everett Harbor,66,206,5318907,-3.8003
Everett Harbor,66,207,6420811,-1.2381
Everett Harbor,66,208,6149521,1.4955
Everett Harbor,66,209,3196587,-0.3052
N Avenue Park,62,210,3680347,0.0158
N Avenue Park,62,211,4764132,0.0644
N Avenue Park,62,212,4827148,5.6918
N Avenue Park,62,213,3461581,-3.0150
Cap Sante,64,214,1293754,14.3706
Cap Sante,64,215,4083185,4.8951
Cap Sante,64,216,3480344,133.2677
Cap Sante,64,217,6057021,11.9474
Raft Island Park,53,218,6420643,-2.9389
Raft Island Park,53,219,6767449,2.8548
Raft Island Park,53,220,3322946,11.0289
Raft Island Park,53,221,1581168,1.2259
Friday Harbor,61,222,2728430,-2.9279
Friday Harbor,61,223,2977245,12.3111
Friday Harbor,61,224,3660262,2.2966
Friday Harbor,61,225,6464229,-4.8780
Friday Harbor,61,226,3941050,18.9351
Edmonds Ferry,69,227,6928220,0.8178
Edmonds Ferry,69,228,2077255,-4.2492
Edmonds Ferry,69,229,5845804,-2.4346
Edmonds Ferry,69,230,3992468,-4.3265
Miller Creek,20,231,5994423,-1.5335
Miller Creek,20,232,4130787,1.0411
Miller Creek,20,233,5542261,7.7041
Miller Creek,20,234,7321595,7.3136
Locust Beach,76,235,1911632,10.2044
Locust Beach,76,236,2139153,7.0757
Locust Beach,76,237,3303872,2.1083
Locust Beach,76,238,2252655,2.2178
Aiston Preserve,77,239,5965780,-0.2315
Aiston Preserve,77,240,1508156,4.8768
Aiston Preserve,77,241,4674882,8.8713
Aiston Preserve,77,242,2861653,0.0101
Port Angeles Yacht Club,1,243,5418454,14.8947
Port Angeles Yacht Club,1,244,6806288,3.3233
Port Angeles Yacht Club,1,245,4525700,24.3318
Port Angeles Yacht Club,1,246,2848746,-0.0604
Port Angeles Yacht Club,1,247,12345151,-0.0353
Port Angeles Yacht Club,1,248,2563791,1.7582
Kopachuck State Park,52,249,8355096,4.8232
Kopachuck State Park,52,250,9888442,4.0955
Kopachuck State Park,52,251,2558683,9.2097
Williams Olson Park,26,252,5178253,-0.2611
Kopachuck State Park,52,253,8338308,0.7752
Williams Olson Park,26,254,1705387,3.4678
Williams Olson Park,26,255,1267023,5.2869
Williams Olson Park,26,256,3732773,17.0734
Skiff Point,24,257,12721347,1.8950
Skiff Point,24,258,2967756,3.9328
Skiff Point,24,259,5002813,1.7547
Skiff Point,24,260,1964479,9.3621
"Manchester, Stormwater Outfall",33,261,12583522,2.1297
"Manchester, Stormwater Outfall",33,262,4548390,3.6818
"Manchester, Stormwater Outfall",33,263,4658604,4.9152
"Manchester, Stormwater Outfall",33,264,2700803,-2.4569
Donkey Creek Delta (PSS13175 - 000049),44,265,4311572,0.1894
Donkey Creek Delta (PSS13175 - 000049),44,266,2345153,-0.3690
Donkey Creek Delta (PSS13175 - 000049),44,267,2003071,6.2060
Donkey Creek Delta (PSS13175 - 000049),44,268,4080904,3.6049
Broad Spit (Fisherman's Point),30,269,1266317,0.8965
Broad Spit (Fisherman's Point),30,270,1780096,10.8747
Broad Spit (Fisherman's Point),30,271,4813963,7.4158
Broad Spit (Fisherman's Point),30,272,1386547,9.2770
Reach Island,39,273,7178794,7.6358
Reach Island,39,274,7550982,0.3672
Reach Island,39,275,1945061,0.0276
Reach Island,39,276,6947155,10.3041
Three Tree Point,22,277,8434870,-195.8056
Three Tree Point,22,278,9703015,8.9978
Three Tree Point,22,279,4665257,19.8030
Three Tree Point,22,280,6864899,3.6968
Arroyo Beach,13,281,3448794,7.0839
Arroyo Beach,13,282,6485447,0.6348
Arroyo Beach,13,283,3563340,11.8838
Arroyo Beach,13,284,1813227,18.1053
Arroyo Beach,13,285,1987132,15.2846
Arroyo Beach,13,286,9587219,0.0000
"Salmon Bay, Commodore Park",16,287,5854695,-0.4475
"Salmon Bay, Commodore Park",16,288,2506610,4.5920
"Salmon Bay, Commodore Park",16,289,2016415,1.3299
"Salmon Bay, Commodore Park",16,290,4648754,-2.3271
Shilshole Bay,18,291,4026125,0.8538
Shilshole Bay,18,292,2842961,1.5407
Shilshole Bay,18,293,2013492,12.8311
Shilshole Bay,18,294,2568717,24.4005
Rocky Point,27,295,4297558,15.4353
Rocky Point,27,296,1980727,7.3957
Rocky Point,27,297,8616041,14.1464
Rocky Point,27,298,3139278,2.6046
Lions Park,37,299,8920913,6.1002
Lions Park,37,300,8605549,31.3678
Lions Park,37,301,2556710,7.8690
Lions Park,37,302,6089843,13.8363
North Camano,7,303,8854036,-4.6145
North Camano,7,304,31917668,0.5635
North Camano,7,305,5141401,2.4383
North Camano,7,306,3248979,-1.4314
Maristone Island,11,307,2150285,12.9918
Maristone Island,11,308,5028627,5.3323
Maristone Island,11,309,5112018,-0.6580
Maristone Island,11,310,11966241,4.9487
Maristone Island,11,311,2059689,8.3885
Maristone Island,11,312,2318505,2.4083
