site_name,analyte,dryvalue
"Elliott Bay, Harbor Island, Pier 17",SumBDEs,4.393355299
Everett Harbor,SumBDEs,1.86407701
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumBDEs,-2.035089451
Filucy Bay,SumBDEs,1.364112646
Friday Harbor,SumBDEs,-1.378736591
Gig Harbor Boat Launch,SumBDEs,1.723839836
Hood Canal Holly,SumBDEs,-1.57078341
Jamestown,SumBDEs,-1.392056221
Kingston Marina,SumBDEs,1.690067885
Kitsap St Boat Launch,SumBDEs,7.080996384
Kopachuck State Park,SumBDEs,1.48442326
Lions Park,SumBDEs,6.515837752
Locust Beach,SumBDEs,-1.472050301
Madrona Pont,SumBDEs,1.627155963
"Manchester, Stormwater Outfall",SumBDEs,1.983929511
Maple Hollow Park,SumBDEs,1.57037037
Maristone Island,SumBDEs,-1.411104879
Meyer's Point - Henderson Inlet,SumBDEs,-1.338246269
Miller Creek,SumBDEs,4.384752475
Minter Bay,SumBDEs,2.894795918
Mukilteo,SumBDEs,2.977807514
N Avenue Park,SumBDEs,3.364615385
North Camano,SumBDEs,-1.52350365
Oak Bay County Park,SumBDEs,-1.346577079
Penn Cove Reference,SumBDEs,-1.389857973
Penrose Point State Park,SumBDEs,1.452279843
Point Defiance Ferry,SumBDEs,2.200275928
Port Angeles Yacht Club,SumBDEs,-1.442474227
Purdy - Dexters,SumBDEs,1.434199754
"Purdy, Burley Lagoon",SumBDEs,2.708153921
Raft Island Park,SumBDEs,-1.336773619
Reach Island,SumBDEs,-1.459528689
Rich Passage,SumBDEs,3.270654565
Rocky Point,SumBDEs,1.88747555
S of Skunk Island,SumBDEs,-1.561507644
"Salmon Bay, Commodore Park",SumBDEs,7.441176471
Salmon Beach,SumBDEs,1.786073501
"Seattle Aquarium, Pier 59",SumBDEs,5.313858268
Shilshole Bay,SumBDEs,7.517138599
"Silverdale, Dyes Inlet",SumBDEs,4.112443439
Skiff Point,SumBDEs,-2.19020462
"Smith Cove, Terminal 91",SumBDEs,19.50893744
Squaxin Island,SumBDEs,-1.359455056
"Suquamish, Stormwater Outfall",SumBDEs,3.222062212
Thea Foss Waterway,SumBDEs,6.49055666
Three Tree Point,SumBDEs,4.35945328
Tulalip Bay,SumBDEs,1.752014118
Tulalip Reservation,SumBDEs,1.061122881
West Bay Park,SumBDEs,8.09832742
Williams Olson Park,SumBDEs,1.44601467
Aiston Preserve,SumCHLDs,-1.095784314
Arroyo Beach,SumCHLDs,3.121731025
Blair Waterway,SumCHLDs,4.345567801
Blair Waterway #2,SumCHLDs,-1.710660878
Brackenwood Ln,SumCHLDs,-1.592865169
Broad Spit,SumCHLDs,-1.272607482
Browns Point Lighthouse,SumCHLDs,2.340272374
Cap Sante,SumCHLDs,-1.336948905
Chambers Bay Park,SumCHLDs,-0.825809199
"Cherry Point Aquatic Reserve, Conoco Phillips",SumCHLDs,-1.026235932
Chimacum Creek delta,SumCHLDs,-1.559808612
"Chuckanut, Clark's Point",SumCHLDs,-1.319775561
Comm Bay Skookum,SumCHLDs,5.539604912
"Comm Bay, Dick Gilmur Launch",SumCHLDs,4.817853774
"Comm Bay, Milwaukee Waterway",SumCHLDs,6.528544474
Des Moines Marina,SumCHLDs,1.347563335
Discovery Bay,SumCHLDs,-0.894344487
Donkey Creek Delta,SumCHLDs,-1.05793765
Eagle Harbor Dr,SumCHLDs,-1.512416312
"Eastsound, Fishing Bay",SumCHLDs,-1.3776771
Edmonds Ferry,SumCHLDs,-1.227714953
Edmonds Marina,SumCHLDs,-0.937130194
Eld Inlet,SumCHLDs,-1.233361502
Elliot Bay Myrtle Edwards,SumCHLDs,-1.409149199
"Elliott Bay, Harbor Island, Pier 17",SumCHLDs,-1.369357496
Everett Harbor,SumCHLDs,-1.464631937
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumCHLDs,-2.035089451
Filucy Bay,SumCHLDs,-1.126875664
Friday Harbor,SumCHLDs,-1.378736591
Gig Harbor Boat Launch,SumCHLDs,-1.231314168
Hood Canal Holly,SumCHLDs,-1.57078341
Jamestown,SumCHLDs,-1.392056221
Kingston Marina,SumCHLDs,-1.235049608
Kitsap St Boat Launch,SumCHLDs,-1.163306549
Kopachuck State Park,SumCHLDs,-1.079580553
Lions Park,SumCHLDs,-1.579597031
Locust Beach,SumCHLDs,-1.472050301
Madrona Pont,SumCHLDs,-1.265565749
"Manchester, Stormwater Outfall",SumCHLDs,-1.368227249
Maple Hollow Park,SumCHLDs,-1.177777778
Maristone Island,SumCHLDs,-1.411104879
Meyer's Point - Henderson Inlet,SumCHLDs,-1.338246269
Miller Creek,SumCHLDs,1.270942746
Minter Bay,SumCHLDs,-1.25002551
Mukilteo,SumCHLDs,-1.229963973
N Avenue Park,SumCHLDs,-1.248163772
North Camano,SumCHLDs,-1.52350365
Oak Bay County Park,SumCHLDs,-1.346577079
Penn Cove Reference,SumCHLDs,-1.389857973
Penrose Point State Park,SumCHLDs,-1.122216243
Point Defiance Ferry,SumCHLDs,-1.158039962
Port Angeles Yacht Club,SumCHLDs,-1.382371134
Purdy - Dexters,SumCHLDs,-1.089991813
"Purdy, Burley Lagoon",SumCHLDs,-1.046332197
Raft Island Park,SumCHLDs,-1.336773619
Reach Island,SumCHLDs,-1.459528689
Rich Passage,SumCHLDs,-0.8919967
Rocky Point,SumCHLDs,-1.217726161
S of Skunk Island,SumCHLDs,-1.561507644
"Salmon Bay, Commodore Park",SumCHLDs,6.845882353
Salmon Beach,SumCHLDs,-1.547930368
"Seattle Aquarium, Pier 59",SumCHLDs,-1.166456693
Shilshole Bay,SumCHLDs,4.13442623
"Silverdale, Dyes Inlet",SumCHLDs,-1.233733032
Skiff Point,SumCHLDs,-2.19020462
"Smith Cove, Terminal 91",SumCHLDs,5.3324429
Squaxin Island,SumCHLDs,-1.359455056
"Suquamish, Stormwater Outfall",SumCHLDs,-0.902177419
Thea Foss Waterway,SumCHLDs,4.478484095
Three Tree Point,SumCHLDs,1.354965209
Tulalip Bay,SumCHLDs,-1.297788235
Tulalip Reservation,SumCHLDs,-1.00217161
West Bay Park,SumCHLDs,-1.619665484
Williams Olson Park,SumCHLDs,-1.385764059
Aiston Preserve,SumDDTs,1.82630719
Arroyo Beach,SumDDTs,2.401331558
Blair Waterway,SumDDTs,9.901293723
Blair Waterway #2,SumDDTs,17.71755909
Brackenwood Ln,SumDDTs,2.182815231
Broad Spit,SumDDTs,-1.272607482
Browns Point Lighthouse,SumDDTs,8.190953307
Cap Sante,SumDDTs,6.175430657
Chambers Bay Park,SumDDTs,1.651618399
"Cherry Point Aquatic Reserve, Conoco Phillips",SumDDTs,1.992105044
Chimacum Creek delta,SumDDTs,-1.559808612
"Chuckanut, Clark's Point",SumDDTs,4.418379052
Comm Bay Skookum,SumDDTs,27.69802456
"Comm Bay, Dick Gilmur Launch",SumDDTs,24.74033019
"Comm Bay, Milwaukee Waterway",SumDDTs,8.076549865
Des Moines Marina,SumDDTs,20.21345002
Discovery Bay,SumDDTs,1.035556775
Donkey Creek Delta,SumDDTs,2.578723022
Eagle Harbor Dr,SumDDTs,4.605995131
"Eastsound, Fishing Bay",SumDDTs,1.3776771
Edmonds Ferry,SumDDTs,2.280042056
Edmonds Marina,SumDDTs,3.572808864
Eld Inlet,SumDDTs,1.447859155
Elliot Bay Myrtle Edwards,SumDDTs,22.81479655
"Elliott Bay, Harbor Island, Pier 17",SumDDTs,10.27018122
Everett Harbor,SumDDTs,1.86407701
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumDDTs,12.08334362
Filucy Bay,SumDDTs,1.601349628
Friday Harbor,SumDDTs,1.316066746
Gig Harbor Boat Launch,SumDDTs,2.093234086
Hood Canal Holly,SumDDTs,-1.57078341
Jamestown,SumDDTs,-1.392056221
Kingston Marina,SumDDTs,1.885075718
Kitsap St Boat Launch,SumDDTs,7.080996384
Kopachuck State Park,SumDDTs,1.48442326
Lions Park,SumDDTs,3.027560976
Locust Beach,SumDDTs,4.352148715
Madrona Pont,SumDDTs,2.591396534
"Manchester, Stormwater Outfall",SumDDTs,2.394397685
Maple Hollow Park,SumDDTs,1.504938272
Maristone Island,SumDDTs,1.340549635
Meyer's Point - Henderson Inlet,SumDDTs,1.412593284
Miller Creek,SumDDTs,3.685733965
Minter Bay,SumDDTs,1.710561224
Mukilteo,SumDDTs,1.942048379
N Avenue Park,SumDDTs,10.31091811
North Camano,SumDDTs,4.316593674
Oak Bay County Park,SumDDTs,-1.346577079
Penn Cove Reference,SumDDTs,4.315874758
Penrose Point State Park,SumDDTs,1.386267123
Point Defiance Ferry,SumDDTs,3.416217888
Port Angeles Yacht Club,SumDDTs,7.813402062
Purdy - Dexters,SumDDTs,1.663671715
"Purdy, Burley Lagoon",SumDDTs,2.031115441
Raft Island Park,SumDDTs,1.407130125
Reach Island,SumDDTs,1.459528689
Rich Passage,SumDDTs,3.092255226
Rocky Point,SumDDTs,2.496338631
S of Skunk Island,SumDDTs,-1.561507644
"Salmon Bay, Commodore Park",SumDDTs,23.06764706
Salmon Beach,SumDDTs,1.547930368
"Seattle Aquarium, Pier 59",SumDDTs,10.36850394
Shilshole Bay,SumDDTs,27.06169896
"Silverdale, Dyes Inlet",SumDDTs,5.072013575
Skiff Point,SumDDTs,2.071815182
"Smith Cove, Terminal 91",SumDDTs,33.16519364
Squaxin Island,SumDDTs,1.294719101
"Suquamish, Stormwater Outfall",SumDDTs,3.222062212
Thea Foss Waterway,SumDDTs,9.086779324
Three Tree Point,SumDDTs,2.827753479
Tulalip Bay,SumDDTs,2.141350588
Tulalip Reservation,SumDDTs,1.296927966
West Bay Park,SumDDTs,2.969386721
Williams Olson Park,SumDDTs,2.169022005
Aiston Preserve,SumHCHs,-0.913153595
Arroyo Beach,SumHCHs,-1.14063249
Blair Waterway,SumHCHs,0.880114998
Blair Waterway #2,SumHCHs,0.977520502
Brackenwood Ln,SumHCHs,-1.297890137
Broad Spit,SumHCHs,-1.071669458
Browns Point Lighthouse,SumHCHs,-0.936108949
Cap Sante,SumHCHs,1.082291971
Chambers Bay Park,SumHCHs,-0.707836457
"Cherry Point Aquatic Reserve, Conoco Phillips",SumHCHs,0.845135473
Chimacum Creek delta,SumHCHs,-1.310239234
"Chuckanut, Clark's Point",SumHCHs,-1.090249377
Comm Bay Skookum,SumHCHs,-1.384901228
"Comm Bay, Dick Gilmur Launch",SumHCHs,-0.976591981
"Comm Bay, Milwaukee Waterway",SumHCHs,-1.076873315
Des Moines Marina,SumHCHs,-1.102551819
Discovery Bay,SumHCHs,-0.7531322
Donkey Creek Delta,SumHCHs,-0.859574341
Eagle Harbor Dr,SumHCHs,-1.237431528
"Eastsound, Fishing Bay",SumHCHs,-1.157248764
Edmonds Ferry,SumHCHs,-0.993864486
Edmonds Marina,SumHCHs,0.585706371
Eld Inlet,SumHCHs,-1.01886385
Elliot Bay Myrtle Edwards,SumHCHs,-1.20784217
"Elliott Bay, Harbor Island, Pier 17",SumHCHs,1.027018122
Everett Harbor,SumHCHs,-1.2649094
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumHCHs,-1.717106724
Filucy Bay,SumHCHs,-0.948947928
Friday Harbor,SumHCHs,-1.190727056
Gig Harbor Boat Launch,SumHCHs,-1.046617043
Hood Canal Holly,SumHCHs,-1.297603687
Jamestown,SumHCHs,-1.126902655
Kingston Marina,SumHCHs,-1.040041775
Kitsap St Boat Launch,SumHCHs,1.315042186
Kopachuck State Park,SumHCHs,-0.877159199
Lions Park,SumHCHs,-1.316330859
Locust Beach,SumHCHs,-1.216041553
Madrona Pont,SumHCHs,-1.024505607
"Manchester, Stormwater Outfall",SumHCHs,-1.162993161
Maple Hollow Park,SumHCHs,-0.981481481
Maristone Island,SumHCHs,-1.199439148
Meyer's Point - Henderson Inlet,SumHCHs,-1.115205224
Miller Creek,SumHCHs,-1.016754197
Minter Bay,SumHCHs,-1.052653061
Mukilteo,SumHCHs,-1.035759135
N Avenue Park,SumHCHs,1.031091811
North Camano,SumHCHs,-1.269586375
Oak Bay County Park,SumHCHs,-1.090086207
Penn Cove Reference,SumHCHs,-1.097256294
Penrose Point State Park,SumHCHs,-0.924178082
Point Defiance Ferry,SumHCHs,-0.984333968
Port Angeles Yacht Club,SumHCHs,-1.202061856
Purdy - Dexters,SumHCHs,-0.917887843
"Purdy, Burley Lagoon",SumHCHs,-0.861685339
Raft Island Park,SumHCHs,-1.1257041
Reach Island,SumHCHs,-1.226004098
Rich Passage,SumHCHs,-0.773063806
Rocky Point,SumHCHs,0.730635697
S of Skunk Island,SumHCHs,-1.321275698
"Salmon Bay, Commodore Park",SumHCHs,4.167058824
Salmon Beach,SumHCHs,-1.309787234
"Seattle Aquarium, Pier 59",SumHCHs,2.527322835
Shilshole Bay,SumHCHs,-1.353084948
"Silverdale, Dyes Inlet",SumHCHs,0.822488688
Skiff Point,SumHCHs,-1.835036304
"Smith Cove, Terminal 91",SumHCHs,4.682144985
Squaxin Island,SumHCHs,-1.100511236
"Suquamish, Stormwater Outfall",SumHCHs,-0.708853687
Thea Foss Waterway,SumHCHs,1.233205765
Three Tree Point,SumHCHs,-1.119319085
Tulalip Bay,SumHCHs,-1.10312
Tulalip Reservation,SumHCHs,-0.884269068
West Bay Park,SumHCHs,-1.349721237
Williams Olson Park,SumHCHs,-1.144761614
Arroyo Beach,SumPCBs2x17,49.22729694
Brackenwood Ln,SumPCBs2x17,44.24625468
Salmon Beach,SumPCBs2x17,47.62862669
Chimacum Creek delta,SumPCBs2x17,29.32440191
Skiff Point,SumPCBs2x17,31.37320132
S of Skunk Island,SumPCBs2x17,28.22725356
Blair Waterway,SumPCBs2x17,50.60661236
"Chuckanut, Clark's Point",SumPCBs2x17,31.55985037
Kitsap St Boat Launch,SumPCBs2x17,146.6777822
"Eastsound, Fishing Bay",SumPCBs2x17,24.79818781
"Elliott Bay, Harbor Island, Pier 17",SumPCBs2x17,136.9357496
Williams Olson Park,SumPCBs2x17,58.44309291
Rocky Point,SumPCBs2x17,85.2408313
N Avenue Park,SumPCBs2x17,35.81687345
Port Angeles Yacht Club,SumPCBs2x17,72.12371134
Discovery Bay,SumPCBs2x17,16.94547449
Squaxin Island,SumPCBs2x17,35.60477528
Eld Inlet,SumPCBs2x17,42.36328638
North Camano,SumPCBs2x17,26.66131387
Reach Island,SumPCBs2x17,30.35819672
Friday Harbor,SumPCBs2x17,25.69463647
Tulalip Reservation,SumPCBs2x17,29.47563559
Drayton Harbor,SumPCBs2x17,25.88789238
Three Tree Point,SumPCBs2x17,48.30745527
Cap Sante,SumPCBs2x17,29.28554745
Locust Beach,SumPCBs2x17,28.80098414
Blair Waterway #2,SumPCBs2x17,54.98552822
West Bay Park,SumPCBs2x17,64.78661936
Lions Park,SumPCBs2x17,85.56150583
Madrona Pont,SumPCBs2x17,72.31804281
Aiston Preserve,SumPCBs2x17,28.00337691
Penn Cove Reference,SumPCBs2x17,34.38069722
Hood Canal Holly,SumPCBs2x17,25.26912442
Broad Spit,SumPCBs2x17,30.14070352
Penn Cove Baseline 1,SumPCBs2x17,26.47515978
Penn Cove Baseline 2,SumPCBs2x17,22.36734694
Penn Cove Baseline 3,SumPCBs2x17,31.44149545
"Manchester, Stormwater Outfall",SumPCBs2x17,55.41320358
"Suquamish, Stormwater Outfall",SumPCBs2x17,63.7968318
"Silverdale, Dyes Inlet",SumPCBs2x17,95.95701357
Kingston Marina,SumPCBs2x17,49.40198433
Eagle Harbor Dr,SumPCBs2x17,103.119294
Point Defiance Ferry,SumPCBs2x17,63.69219791
"Smith Cove, Terminal 91",SumPCBs2x17,175.5804369
Donkey Creek Delta,SumPCBs2x17,105.793765
Comm Bay Skookum,SumPCBs2x17,92.32674853
Thea Foss Waterway,SumPCBs2x17,84.37723658
"Salmon Bay, Commodore Park",SumPCBs2x17,126.5
"Seattle Aquarium, Pier 59",SumPCBs2x17,136.0866142
"Cherry Point Aquatic Reserve, Conoco Phillips",SumPCBs2x17,39.23843268
Mukilteo,SumPCBs2x17,42.07771487
Everett Harbor,SumPCBs2x17,46.60192525
Tulalip Bay,SumPCBs2x17,46.07148235
Edmonds Marina,SumPCBs2x17,52.71357341
Edmonds Ferry,SumPCBs2x17,47.93934579
Rich Passage,SumPCBs2x17,71.35973597
Meyer's Point - Henderson Inlet,SumPCBs2x17,56.50373134
"Purdy, Burley Lagoon",SumPCBs2x17,59.08699464
"Comm Bay, Dick Gilmur Launch",SumPCBs2x17,84.6379717
"Comm Bay, Milwaukee Waterway",SumPCBs2x17,56.53584906
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumPCBs2x17,26.71054904
Shilshole Bay,SumPCBs2x17,112.757079
Elliot Bay Myrtle Edwards,SumPCBs2x17,140.9149199
Jamestown,SumPCBs2x17,39.11015096
Oak Bay County Park,SumPCBs2x17,36.54994929
Maristone Island,SumPCBs2x17,36.68872686
Penrose Point State Park,SumPCBs2x17,50.16966732
Maple Hollow Park,SumPCBs2x17,49.07407407
Kopachuck State Park,SumPCBs2x17,43.18322212
Raft Island Park,SumPCBs2x17,43.62103387
Miller Creek,SumPCBs2x17,54.01506672
Des Moines Marina,SumPCBs2x17,55.12759097
Browns Point Lighthouse,SumPCBs2x17,53.2411965
Minter Bay,SumPCBs2x17,42.10612245
Chambers Bay Park,SumPCBs2x17,45.41950596
Purdy - Dexters,SumPCBs2x17,44.74703234
Gig Harbor Boat Launch,SumPCBs2x17,73.8788501
Filucy Bay,SumPCBs2x17,54.56450584
Arroyo Beach,SumPAHsHMW,186.1031957
Arroyo Beach,SumPAHsLMW,216.1198402
Arroyo Beach,SumPAHs,408.2263648
Brackenwood Ln,SumPAHsHMW,176.9850187
Brackenwood Ln,SumPAHsLMW,212.3820225
Brackenwood Ln,SumPAHs,389.3670412
Salmon Beach,SumPAHsHMW,226.2359768
Salmon Beach,SumPAHsLMW,202.4216634
Salmon Beach,SumPAHs,428.6576402
Chimacum Creek delta,SumPAHsHMW,56.77703349
Chimacum Creek delta,SumPAHsLMW,112.3062201
Chimacum Creek delta,SumPAHs,168.4593301
Skiff Point,SumPAHsHMW,213.1009901
Skiff Point,SumPAHsLMW,236.7788779
Skiff Point,SumPAHs,449.879868
S of Skunk Island,SumPAHsHMW,132.1275698
S of Skunk Island,SumPAHsLMW,162.156563
S of Skunk Island,SumPAHs,294.2841328
Blair Waterway,SumPAHsHMW,280.5366555
Blair Waterway,SumPAHsLMW,456.559655
Blair Waterway,SumPAHs,715.0934356
"Chuckanut, Clark's Point",SumPAHsHMW,74.59600998
"Chuckanut, Clark's Point",SumPAHsLMW,131.9775561
"Chuckanut, Clark's Point",SumPAHs,206.5735661
Kitsap St Boat Launch,SumPAHsHMW,354.0498192
Kitsap St Boat Launch,SumPAHsLMW,419.8019285
Kitsap St Boat Launch,SumPAHs,758.678184
"Eastsound, Fishing Bay",SumPAHsHMW,270.0247117
"Eastsound, Fishing Bay",SumPAHsLMW,242.4711697
"Eastsound, Fishing Bay",SumPAHs,512.4958814
"Elliott Bay, Harbor Island, Pier 17",SumPAHsHMW,2054.036244
"Elliott Bay, Harbor Island, Pier 17",SumPAHsLMW,1141.131247
"Elliott Bay, Harbor Island, Pier 17",SumPAHs,3195.16749
Williams Olson Park,SumPAHsHMW,156.6515892
Williams Olson Park,SumPAHsLMW,144.601467
Williams Olson Park,SumPAHs,301.2530562
Rocky Point,SumPAHsHMW,133.9498778
Rocky Point,SumPAHsLMW,176.5702934
Rocky Point,SumPAHs,310.5201711
N Avenue Park,SumPAHsHMW,1085.359801
N Avenue Park,SumPAHsLMW,1248.163772
N Avenue Park,SumPAHs,2333.523573
Port Angeles Yacht Club,SumPAHsHMW,1202.061856
Port Angeles Yacht Club,SumPAHsLMW,781.3402062
Port Angeles Yacht Club,SumPAHs,1983.402062
Discovery Bay,SumPAHsHMW,98.84860121
Discovery Bay,SumPAHsLMW,136.5052112
Discovery Bay,SumPAHs,235.3538124
Squaxin Island,SumPAHsHMW,77.68314607
Squaxin Island,SumPAHsLMW,97.10393258
Squaxin Island,SumPAHs,174.7870787
Eld Inlet,SumPAHsHMW,75.0741784
Eld Inlet,SumPAHsLMW,96.52394366
Eld Inlet,SumPAHs,171.5981221
North Camano,SumPAHsHMW,54.59221411
North Camano,SumPAHsLMW,107.9148418
North Camano,SumPAHs,165.0462287
Reach Island,SumPAHsHMW,81.73360656
Reach Island,SumPAHsLMW,110.9241803
Reach Island,SumPAHs,192.6577869
Friday Harbor,SumPAHsHMW,319.6162098
Friday Harbor,SumPAHsLMW,206.8104887
Friday Harbor,SumPAHs,532.693683
Tulalip Reservation,SumPAHsHMW,117.9025424
Tulalip Reservation,SumPAHsLMW,135.5879237
Tulalip Reservation,SumPAHs,253.4904661
Drayton Harbor,SumPAHsHMW,20.7103139
Drayton Harbor,SumPAHsLMW,98.37399103
Drayton Harbor,SumPAHs,119.0843049
Three Tree Point,SumPAHsHMW,141.387674
Three Tree Point,SumPAHsLMW,176.7345924
Three Tree Point,SumPAHs,312.2311133
Cap Sante,SumPAHsHMW,120.9620438
Cap Sante,SumPAHsLMW,254.6569343
Cap Sante,SumPAHs,375.6189781
Locust Beach,SumPAHsHMW,27.5209404
Locust Beach,SumPAHsLMW,121.6041553
Locust Beach,SumPAHs,147.2050301
Blair Waterway #2,SumPAHsHMW,403.2272069
Blair Waterway #2,SumPAHsLMW,610.9503136
Blair Waterway #2,SumPAHs,1038.615533
West Bay Park,SumPAHsHMW,202.4581855
West Bay Park,SumPAHsLMW,182.212367
West Bay Park,SumPAHs,391.4191586
Lions Park,SumPAHsHMW,131.6330859
Lions Park,SumPAHsLMW,157.9597031
Lions Park,SumPAHs,289.592789
Madrona Pont,SumPAHsHMW,120.5300714
Madrona Pont,SumPAHsLMW,138.6095821
Madrona Pont,SumPAHs,259.1396534
Aiston Preserve,SumPAHsHMW,19.48061002
Aiston Preserve,SumPAHsLMW,79.13997821
Aiston Preserve,SumPAHs,97.40305011
Penn Cove Reference,SumPAHsHMW,46.81626856
Penn Cove Reference,SumPAHsLMW,109.7256294
Penn Cove Reference,SumPAHs,160.9309232
Hood Canal Holly,SumPAHsHMW,11.61013825
Hood Canal Holly,SumPAHsLMW,109.2718894
Hood Canal Holly,SumPAHs,116.1013825
Broad Spit,SumPAHsHMW,18.75421552
Broad Spit,SumPAHsLMW,107.1669458
Broad Spit,SumPAHs,127.2607482
Penn Cove Baseline 1,SumPAHsHMW,15.48547081
Penn Cove Baseline 1,SumPAHsLMW,74.92969749
Penn Cove Baseline 1,SumPAHs,89.91563698
Penn Cove Baseline 2,SumPAHsHMW,12.30204082
Penn Cove Baseline 2,SumPAHsLMW,83.87755102
Penn Cove Baseline 2,SumPAHs,100.6530612
Penn Cove Baseline 3,SumPAHsHMW,17.58592119
Penn Cove Baseline 3,SumPAHsLMW,85.26507241
Penn Cove Baseline 3,SumPAHs,101.2522735
