"site_name","latitude","longitude","benz_a_anthracene","benzo_a_pyrene","benzo_b_fluoranthene","benzo_e_pyrene","benzo_ghi_perylene","benzo_k_fluoranthene","C1-benzanthracenes_chrysenes","C1-fluoranthenes_pyrenes","C2-benzanthracenes_chrysenes","C2-fluoranthenes_pyrenes","C3-benzanthracenes_chrysenes","C3-fluoranthenes_pyrenes","C4-benzanthracenes_chrysenes","C4-fluoranthenes_pyrenes","chrysene","dibenz_ah_anthracene","fluoranthene","indeno_123cd_pyrene","perylene","pyrene"
"Locust Beach",48.76652,-122.5395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,2.1,0,0,1.3
"Madrona Pont",47.579985,-122.67853,0.79,0,1.6,1.3,0,1.7,1.1,1.4,0.98,0.92,0,0.85,0,0,2.5,0,4.1,0,0,2.6
"Manchester, Stormwater Outfall",47.556111,-122.542778,1.9,0,1.5,1.1,0,1.7,1.2,2.1,0.7,1,0,0.69,0,0,3.3,0,6.3,0,0,3.7
"Maple Hollow Park",47.29954,-122.74554,0.66,0,0.75,0,0,0.93,0.58,0.91,0,0,0,0,0,0,1.9,0,2.7,0,0,1.5
"Maristone Island",48.018181,-122.699838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,1.6,0,0,0.79
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,1.4,0,2.9,0,0,2
"Miller Creek",47.443611,-122.361944,1.5,0,1.2,0.66,0,1.3,1.1,1.5,0.72,0.86,0,0.65,0,0,2.9,0,4.3,0,0,2.1
"Minter Bay",47.35399,-122.69176,0.62,0,0.62,0,0,1,0.55,0.9,0,0,0,0,0,0,2.1,0,3,0,0,1.5
"Mukilteo",47.949831,-122.301703,2.3,0,1.4,1,0,1.9,1.3,2.8,0.75,1.1,0,0,0,0,3.5,0,7.6,0,0.91,5.5
"N Avenue Park",48.52108,-122.61531,13,3.2,15,11,2.3,14,7.5,16,5.9,8.6,3.7,6.8,1.4,3,13,0.92,46,2.7,2,28
"North Camano",48.25523,-122.50817,0,0,0,0,0,0.62,0,0.75,0,0,0,0,0,0,1.4,0,3.3,0,0.51,2
"Oak Bay County Park",48.022466,-122.728123,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,1.4,0,2.1,0,0,1.1
"Penn Cove Baseline",48.218047,-122.712359,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.6,0,1.5,0,0,0.96
"Penn Cove Reference",48.214071,-122.719097,0,0,0,0,0,0.55,0,0.81,0,0,0,0,0,0,1.3,0,2.3,0,0,1.4
"Penrose Point State Park",47.2609094,-122.7447771,0.64,0,0.81,0,0,1,0.64,1.1,0,0.6,0,0,0,0,2.2,0,3.8,0,0,1.8
"Point Defiance Ferry",47.3061098,-122.514771,3.7,1,3,2.3,0.64,3.3,2.5,4.4,1.7,2.4,0.88,1.8,0,0.71,5.2,0,15,0,0.71,9.1
"Port Angeles Yacht Club",48.128267,-123.457133,13,2.6,11,8.7,1.2,12,7.6,15,4.6,7.8,2.4,6.7,0.9,3.5,17,0.48,49,1.3,2.2,30
"Purdy, Dexters",47.385334,-122.628902,0.59,0,0.69,0,0,1.1,0.63,0.89,0,0,0,0,0,0,2.1,0,2.9,0,0,1.5
"Purdy, Burley Lagoon",47.387021,-122.6367,0.74,0,0.93,0,0,1,0.78,1.1,0,0,0,0,0,0,2.5,0,3.8,0,0.72,2.2
"Raft Island Park",47.32622,-122.66715,0.54,0,0.6,0,0,0.84,0,0.75,0,0,0,0,0,0,1.6,0,2.8,0,0,1.7
"Reach Island",47.346817,-122.822363,0.73,0,1.1,0.58,0,1.3,0.61,1.1,0,0.65,0,0,0,0,2.1,0,3.8,0,0,2.2
"Rich Passage",47.578117,-122.524833,1.8,0,1.6,0.88,0,1.7,1.3,2.1,0.73,1.1,0,0.76,0,0,3.3,0,5.4,0,0.68,3
"Rocky Point",47.60253,-122.66991,1,0,1.7,1.3,0.55,1.9,0.99,0.65,0.86,0,0.56,0,0,0,2.5,0,5.5,0.43,0.46,3.3
"South of Skunk Island",48.02655,-122.75089,1.2,0,1.3,0.83,0,1.5,0.76,1.9,0,0.87,0,0,0,0,2.5,0,6.5,0,0.46,4.2
"Salmon Bay, Commodore Park",47.666244,-122.401894,4,1.3,4,5.2,1.6,5.3,3.9,4.4,3.5,3.5,1.9,3.4,0,1.3,6.1,0,11,1.1,1.6,8.6
"Salmon Beach",47.294692,-122.530504,3,0.69,3,1.5,0,3.7,1.7,2.8,0.84,1.6,0,1,0,0,4.5,0,8.7,0,0,5.2
"Seattle Aquarium, Pier 59",47.607334,-122.344055,25,9.7,22,18,3.6,24,16,27,9.3,15,3.9,11,0.87,4.9,25,1.4,72,3.5,5,43
"Shilshole Bay",47.6707,-122.40605,14,3.5,10,10,2,13,8.1,12,5.1,6.2,2.3,4.8,1.5,2.2,18,0,33,1.5,2.6,21
"Silverdale, Dyes Inlet",47.6428,-122.6967,0.88,0,1.2,1.3,0.51,1.4,1.2,1.5,0.95,1,0.58,0.97,0,0,2.5,0,4.8,0,0,3.4
"Skiff Point",47.6614139,-122.498892,2.9,0,2.4,1.4,0,2.6,1.6,3.1,0.83,1.4,0,0,0,0,4.8,0,10,0,0,4.9
"Smith Cove, Terminal 91",47.6325,-122.3786,42,16,37,42,5.6,45,33,60,15,29,5.4,19,2.2,8.3,59,2.3,180,4.9,8.8,110
"Squaxin Island",47.176735,-122.905337,0.57,0,0.65,0.47,0,0.82,0.49,0.84,0.37,0.52,0,0,0,0,1.6,0,3,0,0.61,1.8
"Suquamish Stormwater Outfall",47.729875,-122.550882,2.3,0.4,1.7,0.99,0,1.9,1.3,2.4,0.76,1.1,0,0.73,0,0,3.9,0,8.1,0,0.49,4.2
"Thea Foss Waterway",47.25934,-122.43479,4.6,1.3,3.9,4.2,1.2,4.2,4.6,6.4,4.2,4.6,2.4,4.3,0,1.7,7.4,0,16,0,0.77,12
"Three Tree Point",47.4485721,-122.3723967,1.8,0,1.4,0.93,0,1.5,1.3,2,0.94,0.94,0,0.8,0,0,3.5,0,5.4,0,0,2.8
"Tulalip Bay",48.0616613,-122.293939,1.7,0,1,0.8,0,1.3,0.9,2.2,0,0.78,0,0,0,0,2.9,0,8.1,0,1,5.5
"Tulalip Reservation",48.069978,-122.300216,1.1,0,0.94,0.72,0,1.3,0.71,1.6,0,0.73,0,0,0,0,2.1,0,6.3,0,0.83,4.1
"West Bay Park",47.052373,-122.9101963,1.4,0,1.5,1.1,0,1.8,1.7,2.1,1.1,1.1,0,1,0,0,2.5,0,5.9,0,4,5.1
"Williams Olson Park",47.6609,-122.5668,1.3,0,1.7,1.3,0,1.9,0.92,1.9,0.54,0.95,0,0.68,0,0,2.9,0,7.1,0,0,4.4
"Penn Cove Baseline 3",48.218047,-122.712359,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
