"Group1","Group2","Z","P.unadj","P.adj","Significant"
"Chambers Bay Park","Maple Hollow Park",-2.65527021350597,0.0079,0.2055,"No"
"Broad Spit","Edmonds Ferry",-2.69475918609218,0.007,0.2058,"No"
"Commencement Bay Skookum","Point Defiance Ferry",-2.67094708561523,0.0076,0.2058,"No"
"Elliot Bay Myrtle Edwards","Gig Harbor Boat Launch",2.69768570511977,0.007,0.2061,"No"
"Eagle Harbor Dr","Penn Cove Reference",2.75912949122982,0.0058,0.2062,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Reach Island",2.6768259126562,0.0074,0.2062,"No"
"Browns Point Lighthouse","Penrose Point State Park",2.76304870925714,0.0057,0.2064,"No"
"Browns Point Lighthouse","Kingston Marina",2.72581613799764,0.0064,0.207,"No"
"Browns Point Lighthouse","Madrona Pont",2.74933144616153,0.006,0.2071,"No"
"Penrose Point State Park","Seattle Aquarium, Pier 59",-2.649391386465,0.0081,0.2072,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Mukilteo",2.68466434871083,0.0073,0.2077,"No"
"Eastsound, Fishing Bay","Point Defiance Ferry",-2.69838161180644,0.007,0.2079,"No"
"Commencement Bay Skookum","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.68074513068352,0.0073,0.208,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Tulalip Reservation",2.6768259126562,0.0074,0.2083,"No"
"Eagle Harbor Dr","Salmon Beach",2.71209887490204,0.0067,0.2085,"No"
"Eastsound, Fishing Bay","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.70817965687472,0.0068,0.2086,"No"
"Chambers Bay Park","Seattle Aquarium, Pier 59",-2.70426043884741,0.0068,0.2088,"No"
"Edmonds Ferry","Suquamish, Stormwater Outfall",2.70034122082009,0.0069,0.2089,"No"
"Edmonds Ferry","Kitsap St Boat Launch",2.72581613799764,0.0064,0.2094,"No"
"Elliot Bay Myrtle Edwards","Lions Park",2.68529204950666,0.0072,0.2095,"No"
"Des Moines Marina","Point Defiance Ferry",-2.71797770194301,0.0066,0.2095,"No"
"Blair Waterway Two","Seattle Aquarium, Pier 59",-2.7140584839157,0.0066,0.2096,"No"
"Gig Harbor Boat Launch","Raft Island Park",-2.74933144616153,0.006,0.2098,"No"
"Des Moines Marina","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.7277757470113,0.0064,0.2106,"No"
"Aiston Preserve","Edmonds Ferry",-2.72973535602496,0.0063,0.2119,"No"
"Lions Park","Raft Island Park",-2.73757379207959,0.0062,0.212,"No"
"Edmonds Ferry","West Bay Park",2.73169496503862,0.0063,0.2132,"No"
"Madrona Pont","Seattle Aquarium, Pier 59",-2.6356741233694,0.0084,0.2138,"No"
"Kingston Marina","Seattle Aquarium, Pier 59",-2.61215881520551,0.009,0.227,"No"
"Eagle Harbor Dr","Skiff Point",2.59452233408259,0.0095,0.2326,"No"
"Maple Hollow Park","Penrose Point State Park",2.60040116112356,0.0093,0.2328,"No"
"Browns Point Lighthouse","Des Moines Marina",2.59648194309624,0.0094,0.2334,"No"
"Madrona Pont","Maple Hollow Park",-2.58668389802796,0.0097,0.2359,"No"
"Browns Point Lighthouse","Reach Island",2.54553210874115,0.0109,0.2403,"No"
"Browns Point Lighthouse","Eastsound, Fishing Bay",2.57688585295967,0.01,0.2406,"No"
"Lions Park","Three Tree Point",-2.53965328170018,0.0111,0.2406,"No"
"Eagle Harbor Dr","Eld Inlet",2.54161289071383,0.011,0.2411,"No"
"Browns Point Lighthouse","Commencement Bay Skookum",2.54945132676846,0.0108,0.2415,"No"
"Gig Harbor Boat Launch","Three Tree Point",-2.55141093578212,0.0107,0.2421,"No"
"Browns Point Lighthouse","Tulalip Reservation",2.54553210874115,0.0109,0.2422,"No"
"Browns Point Lighthouse","Mukilteo",2.55337054479578,0.0107,0.2427,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Shilshole Bay",2.5337744546592,0.0113,0.2427,"No"
"North Camano","Seattle Aquarium, Pier 59",-2.55533015380944,0.0106,0.2433,"No"
"Kingston Marina","Maple Hollow Park",-2.56316858986407,0.0104,0.2439,"No"
"Chambers Bay Park","Meyer's Point, Henderson Inlet",-2.55728976282309,0.0105,0.2439,"No"
"Broad Spit ","Gig Harbor Boat Launch",2.56548671191329,0.0103,0.2444,"No"
"Blair Waterway Two","Meyer's Point, Henderson Inlet",-2.56708780789138,0.0103,0.2453,"No"
"Broad Spit ","Lions Park",2.55805051854543,0.0105,0.2455,"No"
"Point Defiance Ferry","Shilshole Bay",2.52397640959092,0.0116,0.2477,"No"
"Arroyo Beach","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.51515136217164,0.0119,0.252,"No"
"Edmonds Ferry","Penn Cove Reference",2.49850149241337,0.0125,0.2526,"No"
"Eagle Harbor Dr","Rocky Point",2.50046110142703,0.0124,0.2531,"No"
"Meyer's Point, Henderson Inlet","Penrose Point State Park",2.50242071044068,0.0123,0.2535,"No"
"Arroyo Beach","Point Defiance Ferry",-2.50441814156493,0.0123,0.254,"No"
"Edmonds Ferry","Maristone Island",2.50584923764583,0.0122,0.2549,"No"
"Madrona Pont","Meyer's Point, Henderson Inlet",-2.48870344734508,0.0128,0.256,"No"
"Chuckanut, Clark's Point","Eagle Harbor Dr",-2.49066305635874,0.0128,0.2564,"No"
"Maple Hollow Park","North Camano",2.506339928468,0.0122,0.2565,"No"
"Des Moines Marina","Seattle Aquarium, Pier 59",-2.48282462030411,0.013,0.2584,"No"
"Commencement Bay, Dick Gilmur Launch","Gig Harbor Boat Launch",2.38288456060757,0.0172,0.2648,"No"
"Commencement Bay, Milwaukee Waterway","Madrona Pont",2.38082124327799,0.0173,0.2648,"No"
"Gig Harbor Boat Launch","Smith Cove, Terminal 91",-2.42991517693535,0.0151,0.2652,"No"
"Point Defiance Ferry","Purdy, Burley Lagoon",2.39464221468952,0.0166,0.2653,"No"
"Eastsound, Fishing Bay","Seattle Aquarium, Pier 59",-2.46322853016753,0.0138,0.2653,"No"
"Maple Hollow Park","Reach Island",2.38288456060757,0.0172,0.2663,"No"
"Discovery Bay","Eagle Harbor Dr",-2.45930931214022,0.0139,0.2664,"No"
"Commencement Bay, Milwaukee Waterway","Penrose Point State Park",2.39528050815994,0.0166,0.2664,"No"
"Maple Hollow Park","Mukilteo",2.3907229966622,0.0168,0.2666,"No"
"Eagle Harbor Dr","Purdy, Dexters",2.4691073572085,0.0135,0.2666,"No"
"Edmonds Ferry","Salmon Beach",2.45147087608559,0.0142,0.2668,"No"
"Eagle Harbor Dr","South of Skunk Island",2.42991517693535,0.0151,0.2669,"No"
"Blair Waterway Two","Commencement Bay, Milwaukee Waterway",-2.46344561403204,0.0138,0.267,"No"
"Locust Beach","Point Defiance Ferry",-2.39660182370318,0.0165,0.267,"No"
"Chimacum Creek delta","Point Defiance Ferry",-2.43187478594901,0.015,0.2672,"No"
"Commencement Bay, Dick Gilmur Launch","Lions Park",2.37112690652563,0.0177,0.2675,"No"
"Kingston Marina","Meyer's Point, Henderson Inlet",-2.46518813918119,0.0137,0.2676,"No"
"Eagle Harbor Dr","Thea Foss Waterway",2.45270444583401,0.0142,0.2677,"No"
"Maple Hollow Park","Tulalip Reservation",2.38288456060757,0.0172,0.2678,"No"
"Lions Park","Rich Passage",-2.38484416962123,0.0171,0.2679,"No"
"Commencement Bay Skookum","Maple Hollow Park",-2.38680377863489,0.017,0.268,"No"
"Gig Harbor Boat Launch","Rich Passage",-2.39660182370318,0.0165,0.2685,"No"
"Arroyo Beach","Browns Point Lighthouse",-2.37132620604177,0.0177,0.2688,"No"
"Reach Island","Seattle Aquarium, Pier 59",-2.43187478594901,0.015,0.2689,"No"
"Lions Park","Smith Cove, Terminal 91",-2.41815752285341,0.0156,0.2689,"No"
"Browns Point Lighthouse","Shilshole Bay",2.40248065074415,0.0163,0.269,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Purdy, Burley Lagoon",2.40444025975781,0.0162,0.2691,"No"
"Chambers Bay Park","Commencement Bay, Milwaukee Waterway",-2.45311756768778,0.0142,0.2692,"No"
"Gig Harbor Boat Launch","Jamestown",-2.37275730212266,0.0177,0.2692,"No"
"Lions Park","Port Angeles Yacht Club",-2.41998347279217,0.0155,0.2692,"No"
"Filucy Bay","Gig Harbor Boat Launch",2.42207674088072,0.0154,0.2693,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Locust Beach",2.40639986877146,0.0161,0.2693,"No"
"Edmonds Ferry","Skiff Point",2.33389433526613,0.0196,0.2693,"No"
"Broad Spit","Point Defiance Ferry",-2.33553859440934,0.0195,0.2694,"No"
"Meyer's Point, Henderson Inlet","North Camano",2.40835947778512,0.016,0.2695,"No"
"Filucy Bay","Lions Park",2.41031908679878,0.0159,0.2697,"No"
"Eastsound, Fishing Bay","Maple Hollow Park",-2.41423830482609,0.0158,0.2701,"No"
"Eagle Harbor Dr","Williams Olson Park",2.39660182370318,0.0165,0.2701,"No"
"Lions Park","Squaxin Island",-2.39856143271683,0.0165,0.2703,"No"
"Des Moines Marina","Meyer's Point, Henderson Inlet",-2.33585394427979,0.0195,0.2705,"No"
"Seattle Aquarium, Pier 59","Tulalip Reservation",2.43187478594901,0.015,0.2707,"No"
"Lions Park","Tulalip Bay",-2.33697990010031,0.0194,0.2711,"No"
"Gig Harbor Boat Launch","Squaxin Island",-2.41031908679878,0.0159,0.2713,"No"
"Eagle Harbor Dr","Friday Harbor",2.3403353016085,0.0193,0.2714,"No"
"Gig Harbor Boat Launch","Minter Bay",-2.363288470471,0.0181,0.2717,"No"
"Gig Harbor Boat Launch","Port Angeles Yacht Club",-2.43286333752022,0.015,0.2717,"No"
"Hood Canal Holly","Lions Park",2.32839332361494,0.0199,0.2719,"No"
"Kitsap St Boat Launch","Point Defiance Ferry",-2.33781355329345,0.0194,0.2719,"No"
"Mukilteo","Seattle Aquarium, Pier 59",-2.43971322200364,0.0147,0.2719,"No"
"Gig Harbor Boat Launch","Hood Canal Holly",-2.34127318834299,0.0192,0.2721,"No"
"Chimacum Creek delta","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.4416728310173,0.0146,0.2723,"No"
"Jamestown","Lions Park",2.35987743739461,0.0183,0.2727,"No"
"Des Moines Marina","Maple Hollow Park",-2.43383439496267,0.0149,0.2728,"No"
"Gig Harbor Boat Launch","Tulalip Bay",-2.34985976482835,0.0188,0.2729,"No"
"Aiston Preserve","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.35153081638905,0.0187,0.2731,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Kitsap St Boat Launch",2.34761159836174,0.0189,0.2731,"No"
"Commencement Bay Skookum","Seattle Aquarium, Pier 59",-2.43579400397633,0.0149,0.2731,"No"
"Point Defiance Ferry","West Bay Park",2.34369238033442,0.0191,0.2731,"No"
"Aiston Preserve","Point Defiance Ferry",-2.34173277132076,0.0192,0.2732,"No"
"Broad Spit","Fidalgo Bay Aq Reserve, Weaverling Spit",-2.34460982147203,0.019,0.2739,"No"
"Commencement Bay, Milwaukee Waterway","Kingston Marina",2.35603393205177,0.0185,0.2741,"No"
"Lions Park","Minter Bay",-2.35153081638905,0.0187,0.2745,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","West Bay Park",2.35349042540271,0.0186,0.2745,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Suquamish, Stormwater Outfall",2.32213668118419,0.0202,0.2751,"No"
"Cherry Point Aquatic Reserve, Conoco Phillips","Gig Harbor Boat Launch",2.31625785414322,0.0205,0.2767,"No"
"Browns Point Lighthouse","Chimacum Creek delta",2.31037902710224,0.0209,0.2771,"No"
"Eastsound, Fishing Bay","Meyer's Point, Henderson Inlet",-2.31625785414322,0.0205,0.2781,"No"
"Eagle Harbor Dr","Hood Canal Holly",2.31050462260376,0.0209,0.2783,"No"
"Point Defiance Ferry","Suquamish, Stormwater Outfall",2.3123386361159,0.0208,0.2783,"No"
"Cherry Point Aquatic Reserve, Conoco Phillips","Lions Park",2.30450020006127,0.0212,0.2801,"No"
"Eagle Harbor Dr","Tulalip Bay",2.3019180461184,0.0213,0.2807,"No"
"Commencement Bay, Milwaukee Waterway","North Camano",2.29613126325508,0.0217,0.2836,"No"
"Meyer's Point, Henderson Inlet","Mukilteo",2.29274254597933,0.0219,0.2848,"No"
"Commencement Bay Skookum","Meyer's Point, Henderson Inlet",-2.28882332795201,0.0221,0.2851,"No"
"Meyer's Point, Henderson Inlet","Reach Island",2.2849041099247,0.0223,0.2854,"No"
"Seattle Aquarium, Pier 59","Shilshole Bay",2.28882332795201,0.0221,0.2864,"No"
"Meyer's Point, Henderson Inlet","Tulalip Reservation",2.2849041099247,0.0223,0.2867,"No"
"Edmonds Ferry","Eld Inlet",2.28098489189738,0.0225,0.287,"No"
"Eagle Harbor Dr","Jamestown",2.27902050882409,0.0227,0.2872,"No"
"Browns Point Lighthouse","Locust Beach",2.27510606485641,0.0229,0.2888,"No"
"Browns Point Lighthouse","Purdy, Burley Lagoon",2.27314645584275,0.023,0.289,"No"
"Blair Waterway","Eagle Harbor Dr",-2.26726762880178,0.0234,0.2909,"No"
"Eagle Harbor Dr","Kopachuck State Park",2.26530801978812,0.0235,0.2911,"No"
"Eagle Harbor Dr","Edmonds Marina",2.26726762880178,0.0234,0.2922,"No"
"Brackenwood Lane","Gig Harbor Boat Launch",2.25746958373349,0.024,0.2957,"No"
"Brackenwood Lane","Lions Park",2.24571192965154,0.0247,0.3022,"No"
"Arroyo Beach","Seattle Aquarium, Pier 59",-2.24682084700397,0.0247,0.3027,"No"
"Edmonds Ferry","Rocky Point",2.23983310261057,0.0251,0.3042,"No"
"Blair Waterway Two","N Avenue Park",-2.23787349359691,0.0252,0.3044,"No"
"Maple Hollow Park","Shilshole Bay",2.23983310261057,0.0251,0.3055,"No"
"Eagle Harbor Dr","Port Angeles Yacht Club",2.21891447342653,0.0265,0.3089,"No"
"Chuckanut, Clark's Point","Edmonds Ferry",-2.23003505754228,0.0257,0.3093,"No"
"Chambers Bay Park","N Avenue Park",-2.22807544852863,0.0259,0.3095,"No"
"Commencement Bay, Milwaukee Waterway","Des Moines Marina",2.21970372030759,0.0264,0.3096,"No"
"Browns Point Lighthouse","Kitsap St Boat Launch",2.21631779444668,0.0267,0.3097,"No"
"Eagle Harbor Dr","Elliott Bay, Harbor Island, Pier 17",2.22219662148765,0.0263,0.3102,"No"
"Aiston Preserve","Browns Point Lighthouse",-2.220237012474,0.0264,0.3105,"No"
"Browns Point Lighthouse","West Bay Park",2.22219662148765,0.0263,0.3115,"No"
"Broad Spit","Browns Point Lighthouse",-2.22305537883188,0.0262,0.3122,"No"
"Edmonds Ferry","Purdy, Dexters",2.20847935839205,0.0272,0.3146,"No"
"Discovery Bay","Edmonds Ferry",-2.19868131332376,0.0279,0.3199,"No"
"Chimacum Creek delta","Seattle Aquarium, Pier 59",-2.19672170431011,0.028,0.3202,"No"
"Commencement Bay, Milwaukee Waterway","Eastsound, Fishing Bay",2.19904762761907,0.0279,0.321,"No"
"Arroyo Beach","Maple Hollow Park",-2.19315474397043,0.0283,0.3218,"No"
"Browns Point Lighthouse","Suquamish, Stormwater Outfall",2.19084287726913,0.0285,0.3224,"No"
"Gig Harbor Boat Launch","Salmon Bay, Commodore Park",-2.1830044412145,0.029,0.3275,"No"
"Madrona Pont","N Avenue Park",-2.15948913305061,0.0308,0.3289,"No"
"Edmonds Ferry","Thea Foss Waterway",2.17797841307679,0.0294,0.3291,"No"
"Donkey Creek Delta","Gig Harbor Boat Launch",2.15752952403695,0.031,0.3292,"No"
"Eagle Harbor Dr","Manchester, Stormwater Outfall",2.17908522318719,0.0293,0.3295,"No"
"Edmonds Ferry","South of Skunk Island",2.1692871781189,0.0301,0.3297,"No"
"Blair Waterway Two","Broad Spit ",-2.15525671111943,0.0311,0.3298,"No"
"Commencement Bay, Milwaukee Waterway","Reach Island",2.16599787931745,0.0303,0.3299,"No"
"Purdy, Burley Lagoon","Seattle Aquarium, Pier 59",-2.15948913305061,0.0308,0.3301,"No"
"Donkey Creek Delta","Lions Park",2.14577186995501,0.0319,0.3302,"No"
"Commencement Bay Skookum","Commencement Bay, Milwaukee Waterway",-2.17012909785516,0.03,0.3303,"No"
"N Avenue Park","Penrose Point State Park",2.17320639614622,0.0298,0.3304,"No"
"Lions Park","Salmon Bay, Commodore Park",-2.17124678713256,0.0299,0.3307,"No"
"Commencement Bay, Milwaukee Waterway","Mukilteo",2.17426031639286,0.0297,0.3308,"No"
"Chambers Bay Park","Oak Bay County Park",-2.14185265192769,0.0322,0.331,"No"
"Everett Harbor","Gig Harbor Boat Launch",2.16144874206427,0.0307,0.3311,"No"
"Chimacum Creek delta","Maple Hollow Park",-2.14773147896867,0.0317,0.3311,"No"
"Broad Spit ","Chambers Bay Park",2.14905988331287,0.0316,0.3312,"No"
"Commencement Bay, Milwaukee Waterway","Tulalip Reservation",2.16599787931745,0.0303,0.3312,"No"
"Eagle Harbor Dr","Silverdale, Dyes Inlet",2.15948913305061,0.0308,0.3314,"No"
"Gig Harbor Boat Launch","Miller Creek",-2.14577186995501,0.0319,0.3315,"No"
"Blair Waterway Two","Oak Bay County Park",-2.15165069699598,0.0314,0.3316,"No"
"Everett Harbor","Lions Park",2.14969108798232,0.0316,0.3319,"No"
"Meyer's Point, Henderson Inlet","Shilshole Bay",2.14185265192769,0.0322,0.3322,"No"
"Friday Harbor","Gig Harbor Boat Launch",2.13583998399222,0.0327,0.3323,"No"
"Locust Beach","Seattle Aquarium, Pier 59",-2.16144874206427,0.0307,0.3324,"No"
"Lions Park","Miller Creek",-2.13401421587306,0.0328,0.3326,"No"
"Kingston Marina","N Avenue Park",-2.13597382488672,0.0327,0.3334,"No"
"Edmonds Ferry","Williams Olson Park",2.13597382488672,0.0327,0.3347,"No"
"Cap Sante","Gig Harbor Boat Launch",2.12617577981843,0.0335,0.3379,"No"
"Friday Harbor","Lions Park",2.12344632837912,0.0337,0.339,"No"
"Cap Sante","Eagle Harbor Dr",-2.12029695277746,0.034,0.3392,"No"
"Broad Spit","Seattle Aquarium, Pier 59",-2.11782914490458,0.0342,0.3401,"No"
"Penn Cove Reference","Point Defiance Ferry",-2.11049890770917,0.0348,0.3402,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Penn Cove Reference",2.12029695277746,0.034,0.3404,"No"
"Broad Spit ","Penrose Point State Park",2.11435764759617,0.0345,0.3406,"No"
"Seattle Aquarium, Pier 59","West Bay Park",2.10853929869552,0.035,0.3406,"No"
"Broad Spit ","Madrona Pont",2.105682088667,0.0352,0.3407,"No"
"Locust Beach","Maple Hollow Park",-2.11245851672283,0.0346,0.3409,"No"
"Aiston Preserve","Seattle Aquarium, Pier 59",-2.10657968968186,0.0352,0.3411,"No"
"Eagle Harbor Dr","Miller Creek",2.10070086264089,0.0357,0.3413,"No"
"Maple Hollow Park","Purdy, Burley Lagoon",2.11049890770917,0.0348,0.3414,"No"
"Cap Sante","Lions Park",2.11441812573649,0.0345,0.3417,"No"
"Kitsap St Boat Launch","Seattle Aquarium, Pier 59",-2.10266047165454,0.0355,0.342,"No"
"Blair Waterway Two","Raft Island Park",-2.10070086264089,0.0357,0.3425,"No"
"Eagle Harbor Dr","Everett Harbor",2.08502399053163,0.0371,0.3452,"No"
"Arroyo Beach","Meyer's Point, Henderson Inlet",-2.08582253790337,0.037,0.3457,"No"
"Oak Bay County Park","Penrose Point State Park",2.08698359954528,0.0369,0.3458,"No"
"Broad Spit ","Kingston Marina",2.09080970193127,0.0365,0.3461,"No"
"Donkey Creek Delta","Eagle Harbor Dr",-2.08894320855894,0.0367,0.3465,"No"
"Gig Harbor Boat Launch","Silverdale, Dyes Inlet",-2.08698359954528,0.0369,0.347,"No"
"Chambers Bay Park","Raft Island Park",-2.0909028175726,0.0365,0.3472,"No"
"Maristone Island","Point Defiance Ferry",-2.08081370162024,0.0375,0.3476,"No"
"Broad Spit","Maple Hollow Park",-2.07247300959109,0.0382,0.3478,"No"
"N Avenue Park","North Camano",2.07914516349065,0.0376,0.3478,"No"
"Fidalgo Bay Aq Reserve, Weaverling Spit","Maristone Island",2.09154692222694,0.0365,0.3479,"No"
"Madrona Pont","Oak Bay County Park",-2.07326633644968,0.0381,0.3482,"No"
