"Grouping_Variable","Metric","Analyte","Spearman_Rho","P_Value"
"geo_group","p450","a55",0.2,0.783333333333333
"geo_group","p450","a56",0.2,0.783333333333333
"geo_group","p450","a57",0.2,0.783333333333333
"geo_group","p450","a58",0.3,0.683333333333333
"geo_group","p450","a59",0.3,0.683333333333333
"geo_group","p450","a60",0.4,0.516666666666667
"geo_group","p450","a61",0.5,0.45
"geo_group","p450","a62",0.2,0.783333333333333
"geo_group","p450","a63",0.3,0.683333333333333
"geo_group","p450","a64",0.3,0.683333333333333
"geo_group","p450","a65",0.3,0.683333333333333
"geo_group","p450","a66",0.3,0.683333333333333
"geo_group","p450","a67",0.3,0.683333333333333
"geo_group","p450","a68",0.3,0.683333333333333
"geo_group","p450","a69",0.6,0.35
"geo_group","p450","a70",0.3,0.683333333333333
"geo_group","p450","a71",0.3,0.683333333333333
"geo_group","p450","a72",0.3,0.683333333333333
"geo_group","p450","a73",0.3,0.683333333333333
"geo_group","p450","a74",-0.1,0.95
"geo_group","p450","a75",0.3,0.683333333333333
"geo_group","p450","a76",0.3,0.683333333333333
"geo_group","p450","a77",0.4,0.516666666666667
"geo_group","p450","a78",0.3,0.683333333333333
"geo_group","p450","a80",0.3,0.683333333333333
"geo_group","p450","a81",0.7,0.233333333333333
"geo_group","p450","a82",0.3,0.683333333333333
"geo_group","p450","a83",0.3,0.683333333333333
"geo_group","p450","a84",0.3,0.683333333333333
"geo_group","p450","a85",0.1,0.95
"geo_group","p450","a86",0.3,0.683333333333333
"geo_group","p450","a87",0.1,0.95
"geo_group","p450","a88",0.3,0.683333333333333
"geo_group","p450","a89",0.3,0.683333333333333
"geo_group","p450","a90",0.3,0.683333333333333
"geo_group","p450","a91",0.3,0.683333333333333
"geo_group","p450","a92",0.3,0.683333333333333
"geo_group","p450","a93",0.2,0.783333333333333
"geo_group","p450","a94",0.1,0.95
"geo_group","p450","a95",0.3,0.683333333333333
"geo_group","p450","a96",0.1,0.95
"geo_group","p450","a97",0.3,0.683333333333333
"geo_group","p450","a98",0.1,0.95
"geo_group","p450","a99",0.3,0.683333333333333
"geo_group","p450","a100",0.1,0.95
"geo_group","p450","a101",0.1,0.95
"geo_group","p450","a102",0.1,0.95
"geo_group","p450","a103",0.3,0.683333333333333
"geo_group","p450","a104",0,1
"geo_group","p450","a105",0,1
"geo_group","p450","a106",0.1,0.95
"geo_group","p450","a107",0.7,0.233333333333333
"geo_group","p450","a108",0.3,0.683333333333333
"geo_group","p450","a109",0.1,0.95
"geo_group","p450","a110",0.1,0.95
"geo_group","p450","a111",0.1,0.95
"geo_group","p450","a112",0.3,0.683333333333333
"geo_group","p450","a113",0.3,0.683333333333333
"geo_group","p450","a114",0.1,0.95
"geo_group","p450","a115",-0.8,0.133333333333333
"geo_group","p450","a116",0.1,0.95
"geo_group","p450","a117",0.3,0.683333333333333
"geo_group","p450","a118",0.3,0.683333333333333
"geo_group","p450","a119",0.3,0.683333333333333
"geo_group","p450","a120",-0.1,0.95
"geo_group","p450","a121",0.1,0.95
"geo_group","p450","a122",0.3,0.683333333333333
"geo_group","p450","a123",0.1,0.95
"geo_group","p450","a124",0.3,0.683333333333333
"geo_group","p450","a125",-0.1,0.95
"geo_group","p450","a126",0.3,0.683333333333333
"geo_group","p450","a127",0.1,0.95
"geo_group","p450","a128",0.3,0.683333333333333
"geo_group","p450","a129",0.5,0.45
"geo_group","p450","a130",0.1,0.95
"geo_group","p450","a131",0.7,0.233333333333333
"geo_group","sod","a1",-0.1,0.95
"geo_group","sod","a2",-0.9,0.0833333333333333
"geo_group","sod","a3",-0.6,0.35
"geo_group","sod","a4",-0.3,0.683333333333333
"geo_group","sod","a5",-0.1,0.95
"geo_group","sod","a6",-0.6,0.35
"geo_group","sod","a7",-0.6,0.35
"geo_group","sod","a8",-0.6,0.35
"geo_group","sod","a9",-0.6,0.35
"geo_group","sod","a10",-0.6,0.35
"geo_group","sod","a11",-0.1,0.95
"geo_group","sod","a12",-0.6,0.35
"geo_group","sod","a13",-0.6,0.35
"geo_group","sod","a14",-0.6,0.35
"geo_group","sod","a15",-0.1,0.95
"geo_group","sod","a16",-0.5,0.45
"geo_group","sod","a17",-0.6,0.35
"geo_group","sod","a18",-0.6,0.35
"geo_group","sod","a19",-0.6,0.35
"geo_group","sod","a20",-0.6,0.35
"geo_group","sod","a21",0.1,0.95
"geo_group","sod","a22",-0.1,0.95
"geo_group","sod","a23",-0.6,0.35
"geo_group","sod","a24",0.1,0.95
"geo_group","sod","a25",0.1,0.95
"geo_group","sod","a26",-0.2,0.783333333333333
"geo_group","sod","a27",0.1,0.95
"geo_group","sod","a28",0.1,0.95
"geo_group","sod","a29",-0.2,0.783333333333333
"geo_group","sod","a30",0.1,0.95
"geo_group","sod","a31",-0.6,0.35
"geo_group","sod","a32",-0.9,0.0833333333333333
"geo_group","sod","a33",-0.9,0.0833333333333333
"geo_group","sod","a34",-0.6,0.35
"geo_group","sod","a35",-0.6,0.35
"geo_group","sod","a36",-0.4,0.516666666666667
"geo_group","sod","a37",-0.7,0.233333333333333
"geo_group","sod","a38",0.1,0.95
"geo_group","sod","a39",-0.4,0.516666666666667
"geo_group","sod","a40",0.5,0.45
"geo_group","sod","a41",-0.6,0.35
"geo_group","sod","a42",-0.6,0.35
"geo_group","sod","a43",-0.6,0.35
"geo_group","sod","a44",-0.6,0.35
"geo_group","sod","a45",-0.6,0.35
"geo_group","sod","a46",-0.6,0.35
"geo_group","sod","a47",-0.6,0.35
"geo_group","sod","a48",-0.6,0.35
"geo_group","sod","a49",-0.6,0.35
"geo_group","sod","a50",-0.3,0.683333333333333
"geo_group","sod","a51",-0.1,0.95
"geo_group","sod","a52",-0.1,0.95
"geo_group","sod","a53",-0.6,0.35
"geo_group","sod","a54",-0.2,0.783333333333333
"geo_group","sod","a55",-0.1,0.95
"geo_group","sod","a56",-0.1,0.95
"geo_group","sod","a57",-0.1,0.95
"geo_group","sod","a58",-0.6,0.35
"geo_group","sod","a59",-0.6,0.35
"geo_group","sod","a60",0.2,0.783333333333333
"geo_group","sod","a61",-0.2,0.783333333333333
"geo_group","sod","a62",-0.1,0.95
"geo_group","sod","a63",-0.6,0.35
"geo_group","sod","a64",0.6,0.35
"geo_group","sod","a65",-0.6,0.35
"geo_group","sod","a66",-0.6,0.35
"geo_group","sod","a67",-0.6,0.35
"geo_group","sod","a68",-0.6,0.35
"geo_group","sod","a69",-0.7,0.233333333333333
"geo_group","sod","a70",-0.6,0.35
"geo_group","sod","a71",-0.6,0.35
"geo_group","sod","a72",0.6,0.35
"geo_group","sod","a73",-0.6,0.35
"geo_group","sod","a74",0,1
"geo_group","sod","a75",-0.6,0.35
"geo_group","sod","a76",0,1
"geo_group","sod","a77",0.2,0.783333333333333
"geo_group","sod","a78",0,1
"geo_group","sod","a80",0,1
"geo_group","sod","a81",-0.5,0.45
"geo_group","sod","a82",0,1
"geo_group","sod","a83",0,1
"geo_group","sod","a84",0,1
"geo_group","sod","a85",0.2,0.783333333333333
"geo_group","sod","a86",0,1
"geo_group","sod","a87",0.2,0.783333333333333
"geo_group","sod","a88",0,1
"geo_group","sod","a89",0,1
"geo_group","sod","a90",0,1
"geo_group","sod","a91",0,1
"geo_group","sod","a92",0,1
"geo_group","sod","a93",-0.1,0.95
"geo_group","sod","a94",0.2,0.783333333333333
"geo_group","sod","a95",0,1
"geo_group","sod","a96",0.2,0.783333333333333
"geo_group","sod","a97",0,1
"geo_group","sod","a98",0.2,0.783333333333333
"geo_group","sod","a99",0,1
"geo_group","sod","a100",0.2,0.783333333333333
"geo_group","sod","a101",0.2,0.783333333333333
"geo_group","sod","a102",0.2,0.783333333333333
"geo_group","sod","a103",0,1
"geo_group","sod","a104",0.6,0.35
"geo_group","sod","a105",0.6,0.35
"geo_group","sod","a106",0.2,0.783333333333333
"geo_group","sod","a107",-0.1,0.95
"geo_group","sod","a108",-0.1,0.95
"geo_group","sod","a109",0.2,0.783333333333333
"geo_group","sod","a110",0.8,0.133333333333333
"geo_group","sod","a111",0.2,0.783333333333333
"geo_group","sod","a112",0,1
"geo_group","sod","a113",-0.1,0.95
"geo_group","sod","a114",0.2,0.783333333333333
"geo_group","sod","a115",-0.1,0.95
"geo_group","sod","a116",0.2,0.783333333333333
"geo_group","sod","a117",0,1
"geo_group","sod","a118",0,1
"geo_group","sod","a119",-0.1,0.95
"geo_group","sod","a120",0,1
"geo_group","sod","a121",-0.3,0.683333333333333
"geo_group","sod","a122",0,1
"geo_group","sod","a123",0.2,0.783333333333333
"geo_group","sod","a124",0,1
"geo_group","sod","a125",0,1
"geo_group","sod","a126",0,1
"geo_group","sod","a127",0.2,0.783333333333333
"geo_group","sod","a128",0,1
"geo_group","sod","a129",-0.3,0.683333333333333
"geo_group","sod","a130",0.8,0.133333333333333
"geo_group","sod","a131",0.5,0.45
"geo_group","ci_wet_volume","a1",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a2",-0.1,0.95
"geo_group","ci_wet_volume","a3",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a4",-0.7,0.233333333333333
"geo_group","ci_wet_volume","a5",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a6",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a7",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a8",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a9",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a10",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a11",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a12",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a13",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a14",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a15",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a16",-0.5,0.45
"geo_group","ci_wet_volume","a17",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a18",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a19",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a20",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a21",-0.6,0.35
"geo_group","ci_wet_volume","a22",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a23",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a24",-0.6,0.35
"geo_group","ci_wet_volume","a25",-0.6,0.35
"geo_group","ci_wet_volume","a26",-0.3,0.683333333333333
"geo_group","ci_wet_volume","a27",-0.6,0.35
"geo_group","ci_wet_volume","a28",-0.6,0.35
"geo_group","ci_wet_volume","a29",-0.3,0.683333333333333
"geo_group","ci_wet_volume","a30",-0.6,0.35
"geo_group","ci_wet_volume","a31",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a32",-0.1,0.95
"geo_group","ci_wet_volume","a33",-0.1,0.95
"geo_group","ci_wet_volume","a34",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a35",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a36",-0.1,0.95
"geo_group","ci_wet_volume","a37",-0.3,0.683333333333333
"geo_group","ci_wet_volume","a38",-0.6,0.35
"geo_group","ci_wet_volume","a39",-0.1,0.95
"geo_group","ci_wet_volume","a40",-0.5,0.45
"geo_group","ci_wet_volume","a41",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a42",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a43",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a44",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a45",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a46",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a47",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a48",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a49",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a50",0.3,0.683333333333333
"geo_group","ci_wet_volume","a51",0.1,0.95
"geo_group","ci_wet_volume","a52",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a53",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a54",-0.8,0.133333333333333
"geo_group","ci_wet_volume","a55",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a56",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a57",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a58",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a59",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a60",-0.7,0.233333333333333
"geo_group","ci_wet_volume","a61",-0.8,0.133333333333333
"geo_group","ci_wet_volume","a62",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a63",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a64",-0.6,0.35
"geo_group","ci_wet_volume","a65",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a66",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a67",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a68",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a69",-0.3,0.683333333333333
"geo_group","ci_wet_volume","a70",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a71",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a72",-0.6,0.35
"geo_group","ci_wet_volume","a73",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a74",-1,0.0166666666666667
"geo_group","ci_wet_volume","a75",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a76",-0.5,0.45
"geo_group","ci_wet_volume","a77",-0.7,0.233333333333333
"geo_group","ci_wet_volume","a78",-0.5,0.45
"geo_group","ci_wet_volume","a80",-0.5,0.45
"geo_group","ci_wet_volume","a81",-0.5,0.45
"geo_group","ci_wet_volume","a82",-0.5,0.45
"geo_group","ci_wet_volume","a83",-0.5,0.45
"geo_group","ci_wet_volume","a84",-0.5,0.45
"geo_group","ci_wet_volume","a85",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a86",-0.5,0.45
"geo_group","ci_wet_volume","a87",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a88",-0.5,0.45
"geo_group","ci_wet_volume","a89",-0.5,0.45
"geo_group","ci_wet_volume","a90",-0.5,0.45
"geo_group","ci_wet_volume","a91",-0.5,0.45
"geo_group","ci_wet_volume","a92",-0.5,0.45
"geo_group","ci_wet_volume","a93",-0.9,0.0833333333333333
"geo_group","ci_wet_volume","a94",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a95",-0.5,0.45
"geo_group","ci_wet_volume","a96",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a97",-0.5,0.45
"geo_group","ci_wet_volume","a98",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a99",-0.5,0.45
"geo_group","ci_wet_volume","a100",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a101",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a102",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a103",-0.5,0.45
"geo_group","ci_wet_volume","a104",-0.1,0.95
"geo_group","ci_wet_volume","a105",-0.1,0.95
"geo_group","ci_wet_volume","a106",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a107",0.6,0.35
"geo_group","ci_wet_volume","a108",0.1,0.95
"geo_group","ci_wet_volume","a109",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a110",-0.3,0.683333333333333
"geo_group","ci_wet_volume","a111",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a112",-0.5,0.45
"geo_group","ci_wet_volume","a113",0.1,0.95
"geo_group","ci_wet_volume","a114",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a115",-0.4,0.516666666666667
"geo_group","ci_wet_volume","a116",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a117",-0.5,0.45
"geo_group","ci_wet_volume","a118",-0.5,0.45
"geo_group","ci_wet_volume","a119",0.1,0.95
"geo_group","ci_wet_volume","a120",-1,0.0166666666666667
"geo_group","ci_wet_volume","a121",-0.7,0.233333333333333
"geo_group","ci_wet_volume","a122",-0.5,0.45
"geo_group","ci_wet_volume","a123",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a124",-0.5,0.45
"geo_group","ci_wet_volume","a125",-1,0.0166666666666667
"geo_group","ci_wet_volume","a126",-0.5,0.45
"geo_group","ci_wet_volume","a127",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a128",-0.5,0.45
"geo_group","ci_wet_volume","a129",-0.2,0.783333333333333
"geo_group","ci_wet_volume","a130",-0.3,0.683333333333333
"geo_group","ci_wet_volume","a131",0.5,0.45
"geo_group","ci_wet_shell_weight","a1",-0.6,0.35
"geo_group","ci_wet_shell_weight","a2",-0.1,0.95
"geo_group","ci_wet_shell_weight","a3",-0.1,0.95
"geo_group","ci_wet_shell_weight","a4",-0.7,0.233333333333333
"geo_group","ci_wet_shell_weight","a5",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a6",-0.1,0.95
"geo_group","ci_wet_shell_weight","a7",-0.1,0.95
"geo_group","ci_wet_shell_weight","a8",-0.1,0.95
"geo_group","ci_wet_shell_weight","a9",-0.1,0.95
"geo_group","ci_wet_shell_weight","a10",-0.1,0.95
"geo_group","ci_wet_shell_weight","a11",-0.6,0.35
"geo_group","ci_wet_shell_weight","a12",-0.1,0.95
"geo_group","ci_wet_shell_weight","a13",-0.1,0.95
"geo_group","ci_wet_shell_weight","a14",-0.1,0.95
"geo_group","ci_wet_shell_weight","a15",-0.6,0.35
"geo_group","ci_wet_shell_weight","a16",-0.1,0.95
"geo_group","ci_wet_shell_weight","a17",-0.1,0.95
"geo_group","ci_wet_shell_weight","a18",-0.1,0.95
"geo_group","ci_wet_shell_weight","a19",-0.1,0.95
"geo_group","ci_wet_shell_weight","a20",-0.1,0.95
"geo_group","ci_wet_shell_weight","a21",0,1
"geo_group","ci_wet_shell_weight","a22",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a23",-0.1,0.95
"geo_group","ci_wet_shell_weight","a24",0,1
"geo_group","ci_wet_shell_weight","a25",0,1
"geo_group","ci_wet_shell_weight","a26",0.2,0.783333333333333
"geo_group","ci_wet_shell_weight","a27",0,1
"geo_group","ci_wet_shell_weight","a28",0,1
"geo_group","ci_wet_shell_weight","a29",0.2,0.783333333333333
"geo_group","ci_wet_shell_weight","a30",0,1
"geo_group","ci_wet_shell_weight","a31",-0.1,0.95
"geo_group","ci_wet_shell_weight","a32",-0.1,0.95
"geo_group","ci_wet_shell_weight","a33",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a34",-0.1,0.95
"geo_group","ci_wet_shell_weight","a35",-0.1,0.95
"geo_group","ci_wet_shell_weight","a36",0.1,0.95
"geo_group","ci_wet_shell_weight","a37",-0.2,0.783333333333333
"geo_group","ci_wet_shell_weight","a38",0,1
"geo_group","ci_wet_shell_weight","a39",0.1,0.95
"geo_group","ci_wet_shell_weight","a40",0.2,0.783333333333333
"geo_group","ci_wet_shell_weight","a41",-0.1,0.95
"geo_group","ci_wet_shell_weight","a42",-0.1,0.95
"geo_group","ci_wet_shell_weight","a43",-0.1,0.95
"geo_group","ci_wet_shell_weight","a44",-0.1,0.95
"geo_group","ci_wet_shell_weight","a45",-0.1,0.95
"geo_group","ci_wet_shell_weight","a46",-0.1,0.95
"geo_group","ci_wet_shell_weight","a47",-0.1,0.95
"geo_group","ci_wet_shell_weight","a48",-0.1,0.95
"geo_group","ci_wet_shell_weight","a49",-0.1,0.95
"geo_group","ci_wet_shell_weight","a50",0.7,0.233333333333333
"geo_group","ci_wet_shell_weight","a51",0.6,0.35
"geo_group","ci_wet_shell_weight","a52",-0.6,0.35
"geo_group","ci_wet_shell_weight","a53",-0.5,0.45
"geo_group","ci_wet_shell_weight","a54",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a55",-0.6,0.35
"geo_group","ci_wet_shell_weight","a56",-0.6,0.35
"geo_group","ci_wet_shell_weight","a57",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a58",-0.5,0.45
"geo_group","ci_wet_shell_weight","a59",-0.1,0.95
"geo_group","ci_wet_shell_weight","a60",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a61",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a62",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a63",-0.1,0.95
"geo_group","ci_wet_shell_weight","a64",-0.1,0.95
"geo_group","ci_wet_shell_weight","a65",-0.1,0.95
"geo_group","ci_wet_shell_weight","a66",-0.1,0.95
"geo_group","ci_wet_shell_weight","a67",-0.1,0.95
"geo_group","ci_wet_shell_weight","a68",-0.1,0.95
"geo_group","ci_wet_shell_weight","a69",0,1
"geo_group","ci_wet_shell_weight","a70",-0.1,0.95
"geo_group","ci_wet_shell_weight","a71",-0.1,0.95
"geo_group","ci_wet_shell_weight","a72",-0.1,0.95
"geo_group","ci_wet_shell_weight","a73",-0.1,0.95
"geo_group","ci_wet_shell_weight","a74",-0.7,0.233333333333333
"geo_group","ci_wet_shell_weight","a75",-0.1,0.95
"geo_group","ci_wet_shell_weight","a76",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a77",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a78",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a80",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a81",-0.1,0.95
"geo_group","ci_wet_shell_weight","a82",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a83",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a84",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a85",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a86",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a87",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a88",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a89",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a90",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a91",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a92",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a93",-0.6,0.35
"geo_group","ci_wet_shell_weight","a94",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a95",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a96",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a97",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a98",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a99",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a100",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a101",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a102",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a103",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a104",-0.1,0.95
"geo_group","ci_wet_shell_weight","a105",-0.1,0.95
"geo_group","ci_wet_shell_weight","a106",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a107",0.6,0.35
"geo_group","ci_wet_shell_weight","a108",-0.1,0.95
"geo_group","ci_wet_shell_weight","a109",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a110",0,1
"geo_group","ci_wet_shell_weight","a111",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a112",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a113",-0.1,0.95
"geo_group","ci_wet_shell_weight","a114",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a115",-0.9,0.0833333333333333
"geo_group","ci_wet_shell_weight","a116",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a117",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a118",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a119",-0.1,0.95
"geo_group","ci_wet_shell_weight","a120",-0.7,0.233333333333333
"geo_group","ci_wet_shell_weight","a121",-0.7,0.233333333333333
"geo_group","ci_wet_shell_weight","a122",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a123",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a124",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a125",-0.7,0.233333333333333
"geo_group","ci_wet_shell_weight","a126",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a127",-0.3,0.683333333333333
"geo_group","ci_wet_shell_weight","a128",-0.4,0.516666666666667
"geo_group","ci_wet_shell_weight","a129",-0.2,0.783333333333333
"geo_group","ci_wet_shell_weight","a130",0,1
"geo_group","ci_wet_shell_weight","a131",0.9,0.0833333333333333
"geo_group","ci_pollution","a1",0.2,0.783333333333333
"geo_group","ci_pollution","a2",0.7,0.233333333333333
"geo_group","ci_pollution","a3",0.3,0.683333333333333
"geo_group","ci_pollution","a4",0.5,0.45
"geo_group","ci_pollution","a5",0,1
"geo_group","ci_pollution","a6",0.3,0.683333333333333
"geo_group","ci_pollution","a7",0.3,0.683333333333333
"geo_group","ci_pollution","a8",0.3,0.683333333333333
"geo_group","ci_pollution","a9",0.3,0.683333333333333
"geo_group","ci_pollution","a10",0.3,0.683333333333333
"geo_group","ci_pollution","a11",0.2,0.783333333333333
